time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
58,24,49152,839,-109.71975693999998,270.39,-0.005793300678487867,0.9720497131347656,0.2,49.44533920288086,0.0073437057,230,0.78914375603199,-2.7927174605429173,0.0478515625,0.0003,147.69374821186065
61,25,51200,830,-109.67313822999999,277.32,-0.006986778361533652,0.9460291266441345,0.2,9.860641479492188,0.0080726,240,0.8323839753866196,-2.7558864817023276,0.071875,0.0003,80.11689473688602
66,26,53248,797,-106.33794088999997,294.55,-0.007222531478328164,0.9367788434028625,0.2,32.14936447143555,0.004892717,250,0.8044265061616898,-2.718683374673128,0.039453125,0.0003,179.46567500829696
70,27,55296,782,-106.35877922000002,315.24,-0.006973654462490231,0.9311339855194092,0.2,4.433498382568359,0.009017594,260,0.9425825476646423,-2.6992032036185263,0.09580078125,0.0003,32.68365894556045
75,28,57344,762,-102.25293490000001,325.38,-0.004932614273275249,0.941991925239563,0.2,33.77080535888672,0.0075182114,270,0.8589391261339188,-2.7064055003225804,0.057421875,0.0003,93.840376162529
80,29,59392,734,-98.69728126000001,351.3,-0.006848428869852796,0.9454754590988159,0.2,10.123857498168945,0.0070166606,280,0.8991360813379288,-2.723322383314371,0.0677734375,0.0003,51.13141059577465
85,30,61440,715,-93.21572057000002,368.42,-0.006492939635063521,0.9305119514465332,0.2,7.492589950561523,0.00864962,290,0.9148759841918945,-2.7103377602994443,0.082861328125,0.0003,50.462108585238454
91,31,63488,695,-94.5615554,376.32,-0.004330790854510269,0.9113686084747314,0.2,372.5321960449219,0.007426895,300,0.8689018487930298,-2.673622651398182,0.0607421875,0.0003,62.038495135307315
95,32,65536,689,-91.93909085,389.75,-0.005478237908391748,0.9150174856185913,0.2,6.252985000610352,0.007178842,310,0.9112756475806236,-2.656508608162403,0.066455078125,0.0003,38.46791504174471
99,33,67584,677,-90.83697866,406.82,-0.0074820501729846,0.9164319038391113,0.2,24.018953323364258,0.007840972,320,0.7015581429004669,-2.6605574071407316,0.066650390625,0.0003,73.3647845864296
103,34,69632,672,-88.81334575999999,421.68,-0.008693262889573816,0.9184243679046631,0.2,10.172242164611816,0.006447668,330,0.8338205814361572,-2.6648912809789183,0.08232421875,0.0003,47.15450949817896
108,35,71680,663,-83.69783621999999,438.09,-0.002330664998589782,0.91441810131073,0.2,8.796074867248535,0.0063018827,340,0.7471736967563629,-2.6636567056179046,0.06513671875,0.0003,103.47669156193733
112,36,73728,653,-80.96825519,454.11,-0.0051391521366895175,0.9000546932220459,0.2,2.5102744102478027,0.008456495,350,0.9029030650854111,-2.6394785948097708,0.097509765625,0.0003,26.324655036628247
115,37,75776,654,-78.19757758,468.77,-0.0028923981488333085,0.8861043453216553,0.2,2.96878719329834,0.005348556,360,0.8415950536727905,-2.608115027099848,0.050439453125,0.0003,54.14410923197865
119,38,77824,648,-77.93402793,485.58,-0.004111202460626373,0.8776669502258301,0.2,78.37056732177734,0.005739333,370,0.822198897600174,-2.585352114588022,0.037939453125,0.0003,105.1535803630948
124,39,79872,640,-74.2551967,501.76,-0.0036352040100609885,0.8758453130722046,0.2,2.568837881088257,0.009202712,380,0.9326087683439255,-2.576289103925228,0.07685546875,0.0003,24.740478096902372
128,40,81920,639,-74.62042890000001,514.24,-0.007265354889386799,0.8655500411987305,0.2,282.2645568847656,0.005680549,390,0.8901094570755959,-2.5591955997049807,0.073974609375,0.0003,42.85845631882548
131,41,83968,636,-70.81139680999999,533.79,-0.0056417176005197685,0.8664796948432922,0.2,185.23660278320312,0.005076219,400,0.7303788661956787,-2.5492520458996295,0.030859375,0.0003,123.17379608154297
137,42,86016,625,-70.24985811,550.13,-0.003926330336253159,0.8624595403671265,0.2,38.12504959106445,0.007325832,410,0.8286790400743484,-2.546574541926384,0.048974609375,0.0003,84.93509174883366
142,43,88064,617,-69.66124088000001,562.95,-0.0055279102933127435,0.8501496315002441,0.2,3.0740418434143066,0.009761658,420,0.8345153331756592,-2.5286098167300226,0.111572265625,0.0003,43.7576020501554
