time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
29,-126.94576002,38912,1312,174.06,19,-1.0669888423755765,0.0003,279.7715657711029,-0.006679927894583671,57.19392395019531,180,0.2,-1.0728836059570312e-06,0.011900524,0.084033203125
31,-126.78734990000001,40960,1282,186.16,20,-1.16722096465528,0.0003,325.13020141124724,-0.0016327577066476806,145.4353485107422,190,0.2,2.0384788513183594e-05,0.002446094,0.00458984375
34,-127.68230251999998,43008,1241,203.03,21,-1.1030380677431821,0.0003,195.12250549793242,-0.0040623031854920555,49.27032470703125,200,0.2,0.0001525282859802246,0.0141381435,0.063330078125
37,-126.82056516,45056,1214,210.88,22,-1.1173073418438435,0.0003,240.03114355802535,-0.007537087237869855,51.629974365234375,210,0.2,0.010164439678192139,0.008774572,0.0658203125
39,-121.64693303999998,47104,1179,231.88,23,-1.074430701881647,0.0003,171.30574827194215,-0.003646623885288136,114.80201721191406,220,0.2,0.18093931674957275,0.010695532,0.03134765625
42,-121.90358010999998,49152,1165,243.64,24,-1.07483567930758,0.0003,217.86083763837814,-0.0025115510361501947,182.72813415527344,230,0.2,0.195573091506958,0.0038915756,0.01396484375
44,-122.37737626000002,51200,1152,261.74,25,-1.0708360640332102,0.0003,348.54026930332185,-0.013196728692855686,134.39492797851562,240,0.2,0.182853102684021,0.01332403,0.156005859375
46,-119.15534966999999,53248,1145,270.57,26,-1.09949188567698,0.0003,184.71525266170502,-0.011920092596847098,34.35508346557617,250,0.2,-0.08554625511169434,0.011397641,0.078173828125
49,-114.46028476,55296,1126,288.34,27,-1.021016370691359,0.0003,347.5893859386444,-0.007175442573498003,126.8985366821289,260,0.2,0.19287407398223877,0.008445952,0.02998046875
52,-116.16129509000002,57344,1099,299.31,28,-1.102076818794012,0.0003,153.51142957806587,-0.0033616330107179237,282.293701171875,270,0.2,0.39743125438690186,0.0062999735,0.02490234375
55,-111.94379011999999,59392,1069,319.19,29,-1.0824010934680701,0.0003,243.60784937739373,-0.003267626138404012,123.59622192382812,280,0.2,0.20995551347732544,0.005531177,0.035107421875
