time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range
1241,186.17,28,34816,-127.47077155,17,385.58837890625,-0.007391864694363903,0.054833984375,0.009426968,412.8795699596405,0.0003,160,-1.1263522908091546,0.2310134768486023,0.2
1218,200.81,30,36864,-126.76405961,18,58.960533142089844,-0.005416279742348706,0.046630859375,0.0069378475,162.57176758050917,0.0003,170,-1.2550796091556549,0.37801992893218994,0.2
1201,214.78,32,38912,-124.95751963999999,19,59.14532470703125,-0.010325342136638938,0.080810546875,0.011376986,253.35872049331664,0.0003,180,-1.2003387570381165,0.12546133995056152,0.2
1198,226.29,34,40960,-120.74133477000004,20,108.3910140991211,-0.007995490173925646,0.086279296875,0.010042668,267.0547556638718,0.0003,190,-1.1550819646567105,0.17411619424819946,0.2
1183,241.1,36,43008,-117.94964445,21,125.56682586669922,-0.00893417317456624,0.038232421875,0.006605559,520.9970809936524,0.0003,200,-1.043906083330512,0.12796413898468018,0.2
1162,246.83,38,45056,-116.45040322999998,22,206.11122131347656,-0.003353691469783371,0.01533203125,0.0047660843,569.8211106538772,0.0003,210,-1.120451933518052,0.26859819889068604,0.2
1144,260.27,41,47104,-114.58480583000001,23,46.298805236816406,-0.007180951959162485,0.03740234375,0.0062219426,188.49969609975815,0.0003,220,-1.0748408522456885,0.5527777373790741,0.2
1100,278.04,44,49152,-109.43344929000001,24,33.62377166748047,-0.011980129608127754,0.169921875,0.014210562,125.99127637147903,0.0003,230,-1.0951052121818066,0.5694239735603333,0.2
1075,290.73,47,51200,-110.80619428,25,10.376008033752441,-0.009129570606455672,0.07021484375,0.010077056,71.62666263580323,0.0003,240,-1.165652022138238,0.6806429624557495,0.2
1051,313.42,50,53248,-111.24832406000003,26,77.36978912353516,-0.0065961323991359675,0.03984375,0.007841607,158.77527332305908,0.0003,250,-1.083220985159278,0.5092819333076477,0.2
