rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/approx_kl
-158.37821080952384,0,1,2048,2380,94.9047619047619,,,,,,,,,,
-156.32304566666664,2,2,4096,1787,95.28571428571429,0.2,0.0014938712120056152,-0.00895016891445266,927.7025756835938,1639.4817478179932,0.0003,-1.381116969510913,0.055029296875,10,0.007870398
-154.6004950645161,3,3,6144,1650,98.83870967741936,0.2,-0.05459392070770264,-0.007760108558431966,1106.265380859375,1479.2290684700013,0.0003,-1.3711952660232782,0.032080078125,20,0.00857083
-147.60766108536583,5,4,8192,1557,99.48780487804878,0.2,-0.03020179271697998,-0.00454386484780116,1816.5906982421875,2517.7322631835937,0.0003,-1.3550408136099577,0.019677734375,30,0.008944189
-151.87680883838385,6,5,10240,1527,103.21212121212122,0.2,-0.003627181053161621,-0.00844361746130744,560.5885009765625,1586.2280204772949,0.0003,-1.343636203929782,0.045556640625,40,0.009894293
-144.85380886,8,6,12288,1501,106.79,0.2,-0.0031316280364990234,-0.006567535728390794,216.15013122558594,946.4952160835267,0.0003,-1.3309446088969707,0.098388671875,50,0.011379782
-143.39725164,9,7,14336,1477,112.16,0.2,-0.023365139961242676,-0.0052004450510139575,428.4861755371094,1384.4163709640502,0.0003,-1.306550757586956,0.016650390625,60,0.007969612
-139.94277185,11,8,16384,1451,117.51,0.2,-0.0005334615707397461,-0.007705229684506776,457.2101135253906,892.3835674285889,0.0003,-1.3087033543735742,0.0609375,70,0.0065019163
-140.08585331,12,9,18432,1443,119.23,0.2,-0.03792440891265869,-0.0067231353481474795,151.89300537109375,692.0873408317566,0.0003,-1.2995582543313504,0.024755859375,80,0.0043172576
-142.39694034000001,14,10,20480,1438,119.76,0.2,0.014318227767944336,-0.004197601308987942,135.00025939941406,753.6771455287933,0.0003,-1.2843253307044507,0.019287109375,90,0.0057553574
-141.1321902,15,11,22528,1428,119.17,0.2,0.012955069541931152,-0.008473899612727109,310.21466064453125,662.488621520996,0.0003,-1.2825137313455344,0.06455078125,100,0.009001544
-143.11492341,17,12,24576,1428,116.65,0.2,0.011570870876312256,-0.01345761486008996,238.35006713867188,419.14066395759585,0.0003,-1.2859301671385766,0.12705078125,110,0.012092032
-144.74215696,18,13,26624,1428,116.25,0.2,0.02161473035812378,-0.005979787450633012,414.42864990234375,483.95178256034853,0.0003,-1.2585487868636847,0.031787109375,120,0.00823893
-142.73509869,20,14,28672,1424,118.82,0.2,0.020481586456298828,-0.004454961742885644,188.31607055664062,528.5260502338409,0.0003,-1.2148449078202248,0.01142578125,130,0.00789841
-141.31625075000002,21,15,30720,1397,123.51,0.2,0.03657001256942749,-0.01481611727795098,112.7911605834961,382.7292793273926,0.0003,-1.171639173850417,0.169384765625,140,0.016402086
-138.71347558999997,24,16,32768,1355,138.72,0.2,0.022082626819610596,-0.011976781467092223,231.921875,340.46845557689664,0.0003,-1.1819941487163306,0.082958984375,150,0.009927726
-138.95886126,26,17,34816,1313,152.1,0.2,0.051644325256347656,-0.005453011683857767,437.49169921875,481.6621590137482,0.0003,-1.1464731872081757,0.059033203125,160,0.007474605
-135.29309709,28,18,36864,1283,166.58,0.2,0.10550570487976074,-0.00591778834714205,115.96054077148438,410.0454815864563,0.0003,-1.1503885824233293,0.025830078125,170,0.005571114
-132.94452277,30,19,38912,1281,174.86,0.2,0.14973300695419312,-0.005045568776404252,175.09310913085938,284.7896768569946,0.0003,-1.1362046081572772,0.02392578125,180,0.005380241
-127.94760400000001,33,20,40960,1225,192.8,0.2,0.09844958782196045,-0.0032363992286263965,180.2687530517578,446.2299069404602,0.0003,-1.1136232994496822,0.008642578125,190,0.003581278
-123.53067382,34,21,43008,1230,196.88,0.2,0.47461163997650146,-0.009520010941196233,40.952857971191406,78.36742028295994,0.0003,-1.2053248703479766,0.11103515625,200,0.0117831305
-121.98627681000002,36,22,45056,1227,211.28,0.2,0.09009981155395508,-0.005553762095223647,113.82229614257812,405.5361014127731,0.0003,-1.0169421857222916,0.048486328125,210,0.01088196
-122.34560321999999,39,23,47104,1207,217.44,0.2,0.3267286419868469,-0.005646520400478039,176.84608459472656,507.3324544429779,0.0003,-1.0654905738309026,0.038134765625,220,0.008058839
-118.91185487000001,41,24,49152,1197,233.64,0.2,0.13817059993743896,-0.005594807359011611,163.47853088378906,338.43815433979034,0.0003,-1.0302514055743814,0.0314453125,230,0.0050956663
-116.17308114,43,25,51200,1171,247.43,0.2,0.3936622738838196,-0.004889927145995898,106.46267700195312,313.8839136600494,0.0003,-0.9626704497262836,0.03642578125,240,0.0053884685
-115.03854637999999,47,26,53248,1129,258.06,0.2,0.3963431715965271,-0.005783009259175742,122.8084945678711,289.47247948646543,0.0003,-1.09723956361413,0.020458984375,250,0.0059537594
-108.66990824,50,27,55296,1096,281.89,0.2,0.40370601415634155,-0.009907652421679814,33.00929260253906,159.9313735127449,0.0003,-1.1226347111165524,0.13212890625,260,0.013140317
-107.28202842,52,28,57344,1083,295.62,0.2,0.3542438745498657,-0.007789749436051352,32.29816436767578,173.8768136382103,0.0003,-1.1180148225277662,0.0908203125,270,0.008808807
-106.01479208,55,29,59392,1065,304.45,0.2,0.4524937868118286,-0.007651414660722366,103.6970443725586,210.9571006178856,0.0003,-1.0734273638576268,0.0615234375,280,0.008724283
-102.98112893999998,58,30,61440,1052,321.59,0.2,0.6269197762012482,-0.006781675602542237,24.88664436340332,101.31717829108239,0.0003,-1.0546940678730607,0.115673828125,290,0.007681098
-100.71809996999998,61,31,63488,1040,344.27,0.2,0.7356818914413452,-0.004511343431659043,271.3536071777344,59.36413838714361,0.0003,-1.111524185910821,0.088818359375,300,0.0066258535
-100.05014469999998,64,32,65536,1021,355.41,0.2,0.6474442183971405,-0.009596331547072623,30.188840866088867,95.56217387318611,0.0003,-1.044102782011032,0.120263671875,310,0.011317482
-95.74221773000001,67,33,67584,1005,381.25,0.2,0.4960775375366211,-0.0067702565189392775,41.695709228515625,140.07953044176102,0.0003,-1.0599254429340363,0.049951171875,320,0.0055950247
-92.92692676000003,70,34,69632,993,392.99,0.2,0.699466735124588,-0.004830452273745322,7.395201683044434,55.0463476806879,0.0003,-0.9836162159219384,0.043310546875,330,0.008040173
-92.68246541999999,73,35,71680,980,402.21,0.2,0.544324517250061,-0.007455998982368328,18.056060791015625,100.12807048559189,0.0003,-1.0774102360010147,0.07421875,340,0.006131349
-90.16867218000002,76,36,73728,966,412.77,0.2,0.6551941931247711,-0.004919431848975364,8.89729118347168,88.73197419941425,0.0003,-0.9646543387323618,0.099169921875,350,0.014535258
-86.31208518000001,79,37,75776,948,433.01,0.2,0.562781035900116,-0.007452503409876954,63.80522918701172,97.37412973344325,0.0003,-0.9835711136460304,0.06865234375,360,0.0069253156
-84.21444017999998,83,38,77824,934,444.93,0.2,0.48663967847824097,-0.006460386359685799,8.515240669250488,130.4605260312557,0.0003,-0.9981069080531597,0.07001953125,370,0.010040649
-82.26018722999999,86,39,79872,919,464.76,0.2,0.607679009437561,-0.00781947658106219,16.399459838867188,57.4620825201273,0.0003,-1.1040940020233392,0.081884765625,380,0.008508903
-82.52851018999998,89,40,81920,912,481.34,0.2,0.7805243581533432,-0.005896487038262422,18.508283615112305,92.7666180819273,0.0003,-0.9499561060220003,0.078857421875,390,0.009269365
-80.78954548,94,41,83968,890,489.18,0.2,0.8497633934020996,-0.003954923998389859,9.822537422180176,27.95885614603758,0.0003,-0.9011042157188058,0.059375,400,0.0065071257
-79.61401013,98,42,86016,870,502.25,0.2,0.8000670522451401,-0.004462670213979436,342.1818542480469,53.03508945852518,0.0003,-1.0092353390529751,0.055810546875,410,0.005269852
-76.28840362,102,43,88064,862,514.66,0.2,0.6316375136375427,-0.00515408119536005,44.24268341064453,80.67107415795326,0.0003,-1.0464162189513444,0.07236328125,420,0.008047633
-73.82862583000001,105,44,90112,853,526.31,0.2,0.6975423693656921,-0.0020076952765521127,23.856657028198242,97.54779498130083,0.0003,-0.9655878765508532,0.02841796875,430,0.0042306986
-70.99867325,109,45,92160,844,541.89,0.2,0.6635298728942871,-0.005027471856737975,15.167379379272461,54.37653966769576,0.0003,-0.9580416887998581,0.03828125,440,0.006639379
-69.99036757,112,46,94208,836,557.97,0.2,0.8541368097066879,-0.009310839883983135,3.08870792388916,26.821136309951545,0.0003,-0.8981704141944646,0.12080078125,450,0.011580644
-66.12921136000001,116,47,96256,828,575.0,0.2,0.7649358063936234,-0.0063561016446328725,3.2104692459106445,41.60968734826893,0.0003,-0.9319001095369458,0.050146484375,460,0.009563716
-64.29694035,119,48,98304,821,590.99,0.2,0.6947742402553558,-0.003907432224514196,1.79667067527771,86.12099126428366,0.0003,-0.8991386603564024,0.036572265625,470,0.0044537103
-64.92595661,123,49,100352,815,595.19,0.2,0.8656872361898422,-0.0018390765544609167,1.7227392196655273,36.24350684694946,0.0003,-0.8522693162783981,0.059765625,480,0.0075869644
-58.64802711,125,50,102400,814,607.83,0.2,0.6867104172706604,-0.0029611006590130272,38.87003707885742,98.49123053923249,0.0003,-0.7499118341132999,0.0177734375,490,0.00537991
-57.528545789999995,128,51,104448,813,626.17,0.2,0.48241645097732544,-0.0023855371116951575,120.69831848144531,203.58894669413567,0.0003,-0.8528703326359391,0.016455078125,500,0.0034720998
-55.07854737,131,52,106496,810,636.65,0.2,0.7947292178869247,-0.0033237878553336484,13.29040241241455,88.34211222976447,0.0003,-0.7473432246595622,0.02451171875,510,0.0033455135
-49.03896941999999,133,53,108544,812,651.5,0.2,0.7968509346246719,-0.002674365310667781,4.24486780166626,66.21452860534191,0.0003,-0.750316546484828,0.055712890625,520,0.0061472477
-40.85853019,136,54,110592,811,667.31,0.2,0.7360053062438965,-0.003931229007866932,76.86692810058594,190.27034650444983,0.0003,-0.7658193327486515,0.021142578125,530,0.0065727197
-38.742826539999996,139,55,112640,809,682.32,0.2,0.4110073447227478,-0.0030152496379741932,57.579097747802734,178.00815832912923,0.0003,-0.9181758379563689,0.050341796875,540,0.0069517917
-30.221719410000002,141,56,114688,810,694.24,0.2,0.7992112040519714,-0.0034460161019524093,5.461401462554932,32.960221548750994,0.0003,-0.7981195272877812,0.127197265625,550,0.008093823
-25.185234480000005,144,57,116736,809,702.92,0.2,0.27878427505493164,-0.0035960054123279407,52.33247756958008,243.34567977190017,0.0003,-0.8983518585562706,0.043359375,560,0.008153434
-27.56367677,146,58,118784,811,706.57,0.2,0.5556308925151825,-0.0025928004881279774,7.94094705581665,194.84275714457036,0.0003,-0.8345315895974637,0.029736328125,570,0.0032160091
