rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates
104.73684210526316,1947,1,1,2048,-134.31552194736844,,,,,,,,,,,
109.83783783783784,1517,2,2,4096,-135.17969221621618,0.0003,690.0955200195312,0.050634765625,0.00026673078536987305,-2.840329746156931,0.0059554093,2316.2425178527833,-0.008094149689713958,0.2,1.0013830661773682,10
113.61111111111111,1413,4,3,6144,-140.5728886851852,0.0003,1183.4493408203125,0.029248046875,-0.012223601341247559,-2.8427344992756844,0.004596671,2149.716777229309,-0.004239128178232932,0.2,1.0038111209869385,20
117.52173913043478,1363,6,4,8192,-142.29911068115942,0.0003,792.4494018554688,0.033447265625,0.0005966424942016602,-2.8471946522593496,0.0046406873,1485.9343160629273,-0.004371824543341063,0.2,1.0077778100967407,30
117.26436781609195,1332,7,5,10240,-142.58595562068965,0.0003,450.5782470703125,0.045654296875,-0.002478480339050293,-2.8606907919049265,0.006492027,844.9357436180114,-0.008391865222802154,0.2,1.013967752456665,40
118.98947368421052,1067,11,6,12288,-143.92277572631576,0.0003,818.278564453125,0.04306640625,-0.008427619934082031,-2.8781635858118535,0.0047172825,1137.5922779083253,-0.004828737665957305,0.2,1.0252833366394043,50
130.29,1079,13,7,14336,-140.76409521999997,0.0003,118.95238494873047,0.05,0.020513296127319336,-2.9074703462421896,0.005553969,392.28794662952424,-0.005966456112219021,0.2,1.0449700355529785,60
134.75,1096,14,8,16384,-133.70759585,0.0003,535.9336547851562,0.072705078125,0.02986133098602295,-2.9253761045634747,0.0077914847,794.6459698200226,-0.006917866638104897,0.2,1.0443217754364014,70
138.71,1106,16,9,18432,-134.34762544,0.0003,256.6296691894531,0.04951171875,0.07238143682479858,-2.9068038359284403,0.0059216265,403.8679503917694,-0.005448243983846623,0.2,1.0273749828338623,80
141.39,1116,18,10,20480,-131.09379301,0.0003,231.5627899169922,0.04755859375,0.11424452066421509,-2.8830444790422916,0.00613789,463.4591012954712,-0.004443572570744436,0.2,1.0219721794128418,90
143.37,1123,20,11,22528,-127.78466164,0.0003,152.87599182128906,0.083447265625,0.059980571269989014,-2.878625950217247,0.006221408,338.8423783302307,-0.009017369034700096,0.2,1.022557258605957,100
150.9,1124,21,12,24576,-123.02343501,0.0003,162.99388122558594,0.10029296875,0.10746169090270996,-2.8839389637112616,0.009118519,315.9415296554565,-0.012155184303992428,0.2,1.0244789123535156,110
158.39,1104,24,13,26624,-122.56706799000001,0.0003,180.87750244140625,0.07412109375,0.15969085693359375,-2.8786092258989813,0.0076994267,539.6516461849212,-0.009374487306922674,0.2,1.0180515050888062,120
160.04,1081,26,14,28672,-119.33781674000002,0.0003,227.83160400390625,0.033837890625,0.21735918521881104,-2.872553986310959,0.006249439,736.9936444997787,-0.005394019374216441,0.2,1.0165352821350098,130
169.25,1076,28,15,30720,-119.12674666,0.0003,204.74984741210938,0.03310546875,0.2233504056930542,-2.8867108382284643,0.0059671043,486.6174657344818,-0.006473546831693966,0.2,1.0309200286865234,140
178.38,1074,30,16,32768,-117.49328554000002,0.0003,121.71715545654297,0.03642578125,0.333818256855011,-2.9064352951943873,0.0052481736,449.25134720802305,-0.00766575676316279,0.2,1.040644645690918,150
190.36,1016,34,17,34816,-116.62837511000002,0.0003,116.07107543945312,0.06298828125,0.37916284799575806,-2.895478082448244,0.00700082,288.7595852613449,-0.009138600264850538,0.2,1.0204089879989624,160
203.06,983,37,18,36864,-116.18113479999998,0.0003,82.74308013916016,0.062890625,0.40291452407836914,-2.87555138990283,0.007446301,219.34840590953826,-0.006187779656102066,0.2,1.0186134576797485,170
217.19,939,41,19,38912,-113.44249364000001,0.0003,68.23614501953125,0.06240234375,0.4341108202934265,-2.858572571724653,0.008170724,264.59883337020875,-0.011736253056733403,0.2,1.0034303665161133,180
231.9,888,46,20,40960,-110.90237141,0.0003,60.3957405090332,0.050146484375,0.5870528817176819,-2.842950463294983,0.006846019,149.62225210666656,-0.004796009404526558,0.2,1.0015743970870972,190
251.75,851,50,21,43008,-108.45253016000001,0.0003,33.959434509277344,0.07626953125,0.6014887392520905,-2.842870555818081,0.0072359564,103.31297899484635,-0.008802240023214836,0.2,1.0041909217834473,200
269.24,817,55,22,45056,-107.46288235,0.0003,40.34524154663086,0.058154296875,0.5255589187145233,-2.8348146580159663,0.007425353,153.98002541065216,-0.005003131354169454,0.2,0.9956629276275635,210
282.52,784,60,23,47104,-108.39386124999997,0.0003,26.87353515625,0.065771484375,0.6853970289230347,-2.8225717440247537,0.007291101,92.77891838550568,-0.007817845234967535,0.2,0.99057537317276,220
299.09,750,65,24,49152,-104.06004386999999,0.0003,101.1777572631836,0.059619140625,0.38472455739974976,-2.8239656165242195,0.0073063374,131.75816107988356,-0.009031562517338897,0.2,0.9957782030105591,230
316.75,706,72,25,51200,-98.72125219000002,0.0003,19.303476333618164,0.087451171875,0.684542179107666,-2.812072975933552,0.0086317165,64.70720425248146,-0.008388795537757687,0.2,0.9816018342971802,240
333.9,688,77,26,53248,-98.37149138,0.0003,11.81634521484375,0.065234375,0.6575401723384857,-2.7744948141276837,0.007955208,68.25238118767739,-0.006578666111454368,0.2,0.9604746699333191,250
351.76,667,82,27,55296,-94.94601058,0.0003,9.428290367126465,0.065576171875,0.7762264311313629,-2.725762753933668,0.006565527,58.144083601236346,-0.007473938951443415,0.2,0.9390770792961121,260
368.44,643,89,28,57344,-91.36679515,0.0003,21.77473258972168,0.09365234375,0.7620744407176971,-2.6882549837231635,0.007051952,56.55336430668831,-0.00807461630756734,0.2,0.9257797598838806,270
385.82,630,94,29,59392,-89.49350434999998,0.0003,19.19916343688965,0.087158203125,0.635955810546875,-2.67086368650198,0.009980615,50.98243227005005,-0.006269738970149774,0.2,0.918877363204956,280
411.72,618,99,30,61440,-84.93514677999998,0.0003,207.08761596679688,0.041162109375,0.6338317692279816,-2.653841958940029,0.0046062823,50.5693301320076,-0.0006418598706659396,0.2,0.9097776412963867,290
429.22,606,104,31,63488,-83.54175734999998,0.0003,16.812891006469727,0.08447265625,0.7097913324832916,-2.6394132234156134,0.0074102813,80.22537645250559,-0.00623979380216042,0.2,0.9086285829544067,300
446.08,597,109,32,65536,-82.25870002999999,0.0003,9.418147087097168,0.064453125,0.5514620542526245,-2.625046148151159,0.008247787,38.76250936985016,-0.0074934143194695935,0.2,0.8988221883773804,310
462.51,594,113,33,67584,-79.84119974,0.0003,4.973208904266357,0.06416015625,0.7076958119869232,-2.5991683445870875,0.006881248,50.500174118578435,-0.002884536420242512,0.2,0.8846489787101746,320
479.57,587,118,34,69632,-77.85555461999999,0.0003,5.9717698097229,0.10810546875,0.4635390639305115,-2.565065797418356,0.010385022,48.15240927785635,-0.007560964045114815,0.2,0.8653921484947205,330
497.13,574,124,35,71680,-75.17230305,0.0003,3.2739696502685547,0.055908203125,0.35715222358703613,-2.536713510006666,0.0040161684,24.59991476237774,-0.0017478839261457324,0.2,0.8584249019622803,340
513.79,560,131,36,73728,-72.41871285,0.0003,6.53563928604126,0.088427734375,0.44188791513442993,-2.515998716652393,0.007965907,34.028963112831114,-0.006643462255306076,0.2,0.850349485874176,350
531.12,554,136,37,75776,-70.30344977,0.0003,3.62408185005188,0.08525390625,0.44736987352371216,-2.522272480279207,0.0061426656,27.3613304361701,-0.005468801532697398,0.2,0.8620972633361816,360
546.59,553,140,38,77824,-64.15024291,0.0003,6.653076648712158,0.064501953125,0.5513339042663574,-2.5275172337889673,0.008307811,52.64199916869402,-0.003042157601157669,0.2,0.8571690320968628,370
561.93,548,145,39,79872,-62.43714147,0.0003,9.713211059570312,0.057666015625,0.26723575592041016,-2.522407250851393,0.01001533,90.73286941349507,-0.0032436298701213674,0.2,0.8551009893417358,380
578.6,543,150,40,81920,-62.07547192,0.0003,2.090060234069824,0.07646484375,0.5076004266738892,-2.5099946051836013,0.00809814,30.06577060893178,-0.0022541780432220548,0.2,0.8463147878646851,390
593.7,537,156,41,83968,-58.68563888,0.0003,3.6538360118865967,0.043115234375,0.1915605664253235,-2.505492141097784,0.004589272,42.42163833528757,-0.0004911064872430871,0.2,0.8497424721717834,400
610.88,532,161,42,86016,-54.04477794000001,0.0003,23.18473243713379,0.0658203125,0.21598488092422485,-2.4997704178094864,0.007504337,66.35948700904846,-0.002437967425794341,0.2,0.8421457409858704,410
628.32,527,166,43,88064,-53.141563290000015,0.0003,12.878701210021973,0.07041015625,0.44390666484832764,-2.4808856308460236,0.0048816847,53.725984294712546,-0.004349291732069105,0.2,0.8332644104957581,420
644.34,526,171,44,90112,-50.817936010000004,0.0003,369.04205322265625,0.0677734375,0.22408902645111084,-2.479530529677868,0.004984269,66.33710985779763,-0.002408973410638282,0.2,0.8401399850845337,430
658.72,521,176,45,92160,-49.50863404,0.0003,4.4771881103515625,0.0859375,0.6213659048080444,-2.4811437010765074,0.007820353,35.57939777374268,-0.006346888185362332,0.2,0.8343591690063477,440
674.96,518,181,46,94208,-41.54755923999999,0.0003,3.057194948196411,0.101123046875,0.5868152678012848,-2.4609996505081653,0.010708688,33.873408971726896,-0.0054704741283785555,0.2,0.8245385885238647,450
682.36,513,187,47,96256,-45.88068895000001,0.0003,3.874793529510498,0.0423828125,0.5120050311088562,-2.441005651652813,0.0068365745,61.146376113593575,-0.004459241927543189,0.2,0.8172665238380432,460
707.71,509,192,48,98304,-42.070609850000004,0.0003,4.617599964141846,0.072412109375,0.6095761358737946,-2.4277267597615717,0.005432208,39.012253881245854,-0.00025681709230411797,0.2,0.8144311308860779,470
723.56,504,199,49,100352,-38.17402887,0.0003,3.3112523555755615,0.078955078125,0.6234124600887299,-2.4180365808308126,0.008787388,64.71436593011022,-0.004008607381547335,0.2,0.8104220032691956,480
740.24,501,204,50,102400,-34.90292157999999,0.0003,3.6517438888549805,0.0701171875,0.6520375311374664,-2.398695743083954,0.008870969,52.56548493541777,-0.0016648525444907137,0.2,0.7979094982147217,490
