time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss
240,781.43,124928,61,520,-33.64800734,0.8239419460296631,0.0056319055,0.6294975876808167,-2.449880738556385,600,174.33907329440117,0.07236328125,0.0003,0.2,18.8372745513916,-0.006195455451961607
246,791.39,126976,62,514,-29.722189760000003,0.8249034881591797,0.007115043,0.5671209096908569,-2.4432302989065646,610,112.14419851452112,0.066064453125,0.0003,0.2,159.56149291992188,-0.005604872339608847
252,798.13,129024,63,511,-26.026007210000003,0.8211728930473328,0.009501355,0.6512347757816315,-2.444185047596693,620,71.07250126004219,0.0537109375,0.0003,0.2,69.30886840820312,-0.0008210247098759283
256,799.2,131072,64,511,-25.433631080000005,0.7956411242485046,0.009010878,0.4906914234161377,-2.40100267380476,630,44.41993857994676,0.110693359375,0.0003,0.2,1.485959768295288,-0.004334083486901364
259,802.08,133120,65,513,-24.05321519,0.79290372133255,0.004928385,0.649102509021759,-2.3694359071552755,640,105.93609875440598,0.0521484375,0.0003,0.2,19.11305809020996,-0.0045933448978757955
262,777.13,135168,66,514,-25.21959363,0.7859237790107727,0.008023565,0.18418455123901367,-2.358286748081446,650,92.76117932200432,0.037646484375,0.0003,0.2,16.057613372802734,-0.0030635858711320907
267,790.47,137216,67,512,-21.32251719,0.7849336862564087,0.004497689,0.40790826082229614,-2.347391676157713,660,245.99941639006138,0.0482421875,0.0003,0.2,45.74216079711914,-0.004245757036551367
273,790.39,139264,68,509,-22.988508350000004,0.7780997157096863,0.008610261,0.589434802532196,-2.3367435656487943,670,43.81526656746864,0.10859375,0.0003,0.2,3.8820302486419678,-0.007130212656920776
278,788.0,141312,69,508,-22.295481440000007,0.7717608213424683,0.0038300822,0.570934921503067,-2.3210053287446497,680,69.72270542085171,0.04365234375,0.0003,0.2,15.219217300415039,-0.002175117332080845
282,793.32,143360,70,506,-19.341237220000004,0.7731008529663086,0.0059641795,0.2530909776687622,-2.3118117906153204,690,109.44213306605816,0.052783203125,0.0003,0.2,46.93440246582031,-0.0017807568663556594
287,793.48,145408,71,506,-17.15093419,0.7756080031394958,0.007541474,0.5826228559017181,-2.3158906385302545,700,34.95945599991828,0.087158203125,0.0003,0.2,1.189862847328186,-0.0029475302377250045
290,791.7,147456,72,506,-15.19416025,0.774370551109314,0.0058574076,0.5411255061626434,-2.3173145078122617,710,72.80944415703416,0.064453125,0.0003,0.2,6.401209354400635,-0.0012912021062220446
294,790.97,149504,73,507,-15.354932380000003,0.770490288734436,0.00922928,0.5803295373916626,-2.3092215612530707,720,69.93746365606785,0.072265625,0.0003,0.2,3.155116081237793,-0.0022175072037498465
298,786.36,151552,74,507,-15.11585652,0.7745857238769531,0.004245136,0.6793911755084991,-2.309026984870434,730,72.45812575519085,0.0509765625,0.0003,0.2,4.673385143280029,-0.0021701688652683514
303,782.75,153600,75,506,-14.267297400000002,0.761153519153595,0.010624622,0.6037245988845825,-2.2993104837834837,740,102.80313827097416,0.108203125,0.0003,0.2,17.337644577026367,-0.0057605833098932635
309,792.14,155648,76,502,-13.006178640000003,0.7515650391578674,0.0060964646,0.7574072480201721,-2.266370193660259,750,50.84617971181869,0.076220703125,0.0003,0.2,21.619991302490234,-0.0072424989702994935
313,773.72,157696,77,503,-16.131371459999997,0.7387523651123047,0.0075836484,0.8053957223892212,-2.238819745928049,760,27.348258512094617,0.13125,0.0003,0.2,1.8375000953674316,-0.002850003847561311
