time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance
22,1004,-110.39307063,304.88,44,45056,0.2,-0.007507632834312971,0.037890625,0.0046455464,210,104.02896118164062,-1.040200274437666,0.0003,290.71935937404635,0.19982874393463135
23,998,-109.66799773000002,322.28,47,47104,0.2,-0.0035018599883187562,0.03310546875,0.0064109876,220,21.56757926940918,-0.9910542868077755,0.0003,138.96406962275506,0.5691356062889099
24,987,-105.25062936,334.93,49,49152,0.2,-0.003112205787329003,0.028271484375,0.0053607034,230,53.994564056396484,-1.0025739209726452,0.0003,228.00939891338348,0.38028889894485474
25,974,-103.07693639000003,347.36,52,51200,0.2,-0.00850067045612377,0.128076171875,0.014350638,240,32.80141067504883,-0.9709351686760783,0.0003,175.83850574493408,0.24139875173568726
26,960,-97.19355643000003,370.22,55,53248,0.2,-0.005520908290054649,0.066162109375,0.0074281655,250,61.53750228881836,-0.9824265917763114,0.0003,220.82022221088408,0.2546764612197876
27,946,-95.58593366000001,377.87,58,55296,0.2,-0.0031446416913240684,0.045947265625,0.005851355,260,51.795284271240234,-0.7918388629332185,0.0003,190.49725744724273,0.3597675561904907
28,935,-91.98049776000002,394.26,61,57344,0.2,-0.007481594891578425,0.088720703125,0.0076963496,270,99.8611068725586,-0.9049711534753442,0.0003,131.69273773431777,0.3526194095611572
29,925,-88.65420499000001,408.76,64,59392,0.2,-0.0046628179552499205,0.048046875,0.00774744,280,62.117427825927734,-0.888571529276669,0.0003,220.6686987757683,0.47984135150909424
30,906,-81.13292093000001,424.94,67,61440,0.2,-0.0113274222232576,0.198779296875,0.015670465,290,96.45890808105469,-1.0070803806185722,0.0003,103.80647772550583,0.3637191653251648
31,902,-76.94313203,427.75,70,63488,0.2,-0.0048827709651959594,0.03388671875,0.004137749,300,26.94825553894043,-0.7734929712489247,0.0003,185.5251012980938,0.2987508177757263
32,877,-73.14538306,441.45,74,65536,0.2,-0.005180201490293257,0.118994140625,0.0073365946,310,28.839597702026367,-0.8663328843191266,0.0003,179.7124586701393,0.2774809002876282
33,858,-67.2965602,457.66,78,67584,0.2,-0.0036968859807529953,0.093017578125,0.012192542,320,18.087825775146484,-0.9209163706749678,0.0003,88.7459551781416,0.6253478527069092
34,848,-63.58048582000001,470.24,82,69632,0.2,-0.007748477923450991,0.165966796875,0.009579256,330,10.375205993652344,-1.0639084724709391,0.0003,59.10238713622093,0.5138744711875916
35,846,-64.61651942,490.59,84,71680,0.2,-0.0034872868687671143,0.062255859375,0.00994791,340,185.8747100830078,-0.8807776341214776,0.0003,178.69319341182708,0.42232847213745117
36,839,-62.04661119,499.54,87,73728,0.2,-0.00670194908962003,0.04306640625,0.007049538,350,21.889768600463867,-0.8969355411827564,0.0003,118.04732875227928,0.4832690358161926
37,830,-55.09267519000001,510.37,91,75776,0.2,-0.0032044534040323925,0.06357421875,0.006040451,360,126.10956573486328,-0.8904683291912079,0.0003,129.37878566384316,0.5426301658153534
38,827,-52.149539360000006,528.24,94,77824,0.2,-0.0041300665685412245,0.108837890625,0.008627829,370,9.468964576721191,-0.9420005632564425,0.0003,77.23584913164377,0.6128160655498505
