time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/clip_range
1937,106.22222222222223,1,-134.52092955555557,2048,1,,,,,,,,,,,
1483,112.30555555555556,2,-126.57162661111111,4096,2,0.044970703125,-2.8400101214647293,0.0051637897,0.0018360018730163574,2832.535575866699,10,0.0003,1981.7803955078125,-0.006107071621227078,1.0002667903900146,0.2
1375,118.82352941176471,3,-130.39393554901957,6144,4,0.0443359375,-2.8381896682083605,0.0062759505,0.002814352512359619,1925.5661951065063,20,0.0003,710.3843383789062,-0.004835196055501001,0.9984970688819885,0.2
1333,118.95588235294117,4,-134.40701945588236,8192,6,0.050341796875,-2.835179267078638,0.004527011,6.133317947387695e-05,2380.8578435897825,30,0.0003,834.6621704101562,-0.005491693643853069,1.0008145570755005,0.2
1301,124.7439024390244,5,-137.42742457317073,10240,7,0.044970703125,-2.8340898141264916,0.0073321937,-0.006702542304992676,691.5033738136292,40,0.0003,353.5779724121094,-0.00542165502847638,0.994066596031189,0.2
1286,123.61616161616162,6,-138.71662948484848,12288,9,0.05087890625,-2.82215464040637,0.007140445,-0.002391815185546875,700.5376185417175,50,0.0003,274.63665771484375,-0.0059588462216197515,0.9904384613037109,0.2
1256,127.43,7,-140.68868907,14336,11,0.08330078125,-2.798830455541611,0.006954305,-0.0002783536911010742,391.5146881103516,60,0.0003,128.23431396484375,-0.005064990670507541,0.97331702709198,0.2
1230,131.46,8,-136.35250159,16384,13,0.045703125,-2.7838423892855646,0.006594927,-0.013085007667541504,755.6798318862915,70,0.0003,290.5893859863281,-0.00264594481268432,0.9711194038391113,0.2
1212,136.34,9,-139.4785924,18432,15,0.04736328125,-2.7741988979279997,0.0064917733,-0.0011928081512451172,390.3720333099365,80,0.0003,173.77198791503906,-0.004677102260757238,0.966349720954895,0.2
1198,135.55,10,-139.56705731999998,20480,17,0.030712890625,-2.753017745912075,0.004599374,-0.0027048587799072266,642.1674634933472,90,0.0003,239.53475952148438,-0.0007664587039471372,0.9551572799682617,0.2
1182,136.33,11,-135.00215486999997,22528,19,0.039404296875,-2.75677604675293,0.0064950106,-1.0132789611816406e-05,917.7870135307312,100,0.0003,308.6852111816406,-0.004198915354209021,0.9697223901748657,0.2
1098,133.71,12,-132.99899693,24576,22,0.050634765625,-2.7788876689970494,0.010184435,-9.5367431640625e-07,455.46891965866087,110,0.0003,176.81431579589844,-0.008101453843119088,0.9682523012161255,0.2
1100,147.06,13,-132.26073751,26624,24,0.022265625,-2.771419966965914,0.0047846437,0.0021645426750183105,351.82357077598573,120,0.0003,91.04104614257812,-0.003163590678013861,0.967109203338623,0.2
1103,149.79,14,-134.04832550000003,28672,25,0.013330078125,-2.765111069381237,0.004002192,0.12896227836608887,630.3573407649994,130,0.0003,250.6280059814453,-0.0021255314903100954,0.9621845483779907,0.2
1036,160.36,15,-134.84667873,30720,29,0.000146484375,-2.7607127375900746,0.000877692,-0.13834047317504883,635.9103757858277,140,0.0003,132.3460235595703,-0.0011861119819513988,0.9630237817764282,0.2
974,168.49,16,-132.61576471,32768,33,0.017578125,-2.7600528366863726,0.005313905,0.1421934962272644,312.61844024658205,150,0.0003,112.61507415771484,-0.003743715208111098,0.961281418800354,0.2
902,186.69,17,-128.52694683,34816,38,0.0109375,-2.7576020434498787,0.0029735533,0.21897828578948975,335.95755376815794,160,0.0003,158.70941162109375,-0.004550146365363617,0.9605190753936768,0.2
906,193.75,18,-127.61752735,36864,40,0.054736328125,-2.746441639214754,0.008514322,0.24688345193862915,104.50897060632705,170,0.0003,31.31716537475586,-0.008794069317082176,0.9496005773544312,0.2
891,203.77,19,-125.24956000000002,38912,43,0.038427734375,-2.732989715784788,0.00463261,0.21055608987808228,301.8513144493103,180,0.0003,125.79438018798828,-0.005560213512217161,0.9494352340698242,0.2
889,215.08,20,-124.38190670000002,40960,46,0.064208984375,-2.7361810714006425,0.008953758,0.15174013376235962,190.52522122859955,190,0.0003,22.242107391357422,-0.006182720433571376,0.9515973329544067,0.2
860,225.61,21,-123.75627181,43008,49,0.04814453125,-2.7287677779793738,0.0054483637,0.2821432948112488,394.9611125946045,200,0.0003,135.5179901123047,-0.007534222879621666,0.9425090551376343,0.2
843,243.45,22,-121.88191947,45056,53,0.029931640625,-2.7165587179362776,0.0057685077,0.41363364458084106,137.44114891290664,210,0.0003,54.76095962524414,-0.00361375616339501,0.9404118657112122,0.2
812,258.17,23,-120.57054849000001,47104,57,0.02529296875,-2.7146816119551658,0.004915418,0.3775011897087097,348.7198695898056,220,0.0003,84.13906860351562,-0.004364634383819066,0.9393535852432251,0.2
776,275.87,24,-117.65910215,49152,63,0.026806640625,-2.7080491155385973,0.0045569153,0.4617515206336975,219.698393368721,230,0.0003,102.8687973022461,-0.005063825647812337,0.9357959032058716,0.2
758,289.55,25,-113.64210375,51200,67,0.06494140625,-2.7006188623607157,0.0074911853,0.7501035779714584,66.57745161056519,240,0.0003,18.696632385253906,-0.004170270187751157,0.9307971596717834,0.2
739,308.02,26,-109.07963274,53248,71,0.025537109375,-2.6920004203915595,0.005076997,0.46834999322891235,248.92721577882767,250,0.0003,65.05868530273438,-0.004512711887946353,0.9296681880950928,0.2
733,321.7,27,-108.36101000000001,55296,75,0.043115234375,-2.687348961085081,0.006315923,0.6477599143981934,126.87711262106896,260,0.0003,30.680561065673828,-0.005317860955983633,0.9244370460510254,0.2
740,322.25,28,-108.44559455999999,57344,77,0.079345703125,-2.6893278412520885,0.008346504,0.6347599923610687,158.9721099793911,270,0.0003,94.4890365600586,-0.006637252590735443,0.932489275932312,0.2
714,340.33,29,-104.95824295999999,59392,83,0.05146484375,-2.694763944298029,0.0055748844,0.34717971086502075,357.9196272611618,280,0.0003,328.18133544921875,-0.005360736114380415,0.9290509223937988,0.2
697,348.87,30,-101.37423763999999,61440,88,0.101220703125,-2.67325894087553,0.009262428,0.8917688354849815,52.51001948416233,290,0.0003,9.95356559753418,-0.008582002062757966,0.9138967990875244,0.2
679,365.14,31,-100.49029495999999,63488,93,0.0650390625,-2.6491607420146464,0.0051934496,0.8129157871007919,90.34059697389603,300,0.0003,45.403587341308594,-0.006066347417072393,0.9068621397018433,0.2
683,384.65,32,-97.79679607,65536,95,0.06318359375,-2.6326674282550813,0.006114406,0.8742229044437408,70.88710630834103,310,0.0003,14.29260540008545,-0.00294434238167014,0.8980622291564941,0.2
679,398.5,33,-94.59486331,67584,99,0.02001953125,-2.625922128558159,0.0034102635,0.3574662208557129,270.7409464478493,320,0.0003,408.7531433105469,-0.002774776493606623,0.9015228748321533,0.2
673,411.49,34,-92.97363061,69632,103,0.089306640625,-2.6177910581231116,0.009107692,0.8135968446731567,124.56769195795059,330,0.0003,17.535972595214844,-0.008441987457626966,0.8900065422058105,0.2
667,429.53,35,-87.58422809000001,71680,107,0.07666015625,-2.6019539810717105,0.008130775,0.8310334831476212,73.76858229935169,340,0.0003,27.39267921447754,-0.005282833390083397,0.8882327079772949,0.2
665,439.1,36,-88.19671586999999,73728,110,0.08818359375,-2.5943635784089567,0.009083942,0.7468929588794708,142.5689624130726,350,0.0003,131.72740173339844,-0.007141115079866723,0.8827377557754517,0.2
657,448.2,37,-87.28805172,75776,115,0.0609375,-2.592100226134062,0.005224025,0.8047882318496704,86.97289764285088,360,0.0003,28.78863525390625,-0.0034519259119406343,0.8839929699897766,0.2
647,469.01,38,-82.52302217,77824,120,0.069677734375,-2.5868690364062785,0.008611628,0.877215638756752,41.16420524269343,370,0.0003,7.87406063079834,-0.002560792543226853,0.8804203271865845,0.2
634,473.75,39,-81.17174969999999,79872,125,0.085595703125,-2.583958114683628,0.009149492,0.7378316223621368,80.16197430789471,380,0.0003,8.58558177947998,-0.005096903126832331,0.8814764618873596,0.2
626,489.45,40,-77.79225748,81920,130,0.04375,-2.578928280621767,0.0058343783,0.7039046883583069,127.1314522922039,390,0.0003,89.9219970703125,-0.0018655218969797715,0.8764183521270752,0.2
611,506.76,41,-74.90203537000001,83968,137,0.06279296875,-2.5760802954435347,0.007577408,0.8316412717103958,52.728032995760444,400,0.0003,2.984919309616089,-0.007333706966892351,0.8768590688705444,0.2
603,506.76,42,-75.69055853000002,86016,142,0.0759765625,-2.5611036889255048,0.00679464,0.844096302986145,39.40600292980671,410,0.0003,3.56095552444458,-0.004572199736139737,0.8656900525093079,0.2
593,523.49,43,-72.22992331000002,88064,148,0.083349609375,-2.5478894375264645,0.010589484,0.817342072725296,44.492114681005475,420,0.0003,2.630141019821167,-0.0027747848944272846,0.8643734455108643,0.2
584,540.33,44,-68.72653749000001,90112,154,0.07353515625,-2.544187328219414,0.0055337558,0.8307529091835022,36.89966704845428,430,0.0003,3.1965889930725098,-0.003575990119134076,0.861868143081665,0.2
580,562.65,45,-64.10032365,92160,158,0.080078125,-2.535228968411684,0.005535243,0.8398846834897995,38.68900973200798,440,0.0003,2.07378888130188,-0.00584853950786055,0.8591569662094116,0.2
576,579.13,46,-63.563199420000004,94208,163,0.085205078125,-2.538758102059364,0.006427039,0.7134526371955872,75.60101558119058,450,0.0003,6.252249717712402,-0.005165982244943734,0.8646231293678284,0.2
575,589.36,47,-60.53154501,96256,167,0.092822265625,-2.531343541294336,0.0080549605,0.8438096344470978,45.09504702575505,460,0.0003,3.272921085357666,-0.0068829754789476285,0.8503050804138184,0.2
565,605.35,48,-58.94715943999999,98304,173,0.026513671875,-2.505107580125332,0.0024679888,0.7176659405231476,77.66962404847145,470,0.0003,16.86530876159668,-0.0014117705584794748,0.8434973359107971,0.2
563,622.29,49,-55.64275895000001,100352,178,0.075634765625,-2.4862268686294557,0.010057498,0.8241510540246964,51.17230350226164,480,0.0003,5.514638423919678,-0.004320176074543269,0.8353553414344788,0.2
558,629.42,50,-54.77461886000001,102400,183,0.12080078125,-2.4766535364091395,0.007592369,0.9094404652714729,26.158316559717058,490,0.0003,0.4985388219356537,-0.005470823160430882,0.8320125341415405,0.2
555,644.09,51,-52.32330747000001,104448,188,0.068505859375,-2.4523785680532457,0.005204404,0.8863230273127556,34.63173511829227,500,0.0003,260.52325439453125,-0.006032344291452318,0.821062445640564,0.2
