time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates
31,18,-120.99254554,198.05,36864,1160,-0.0028673631830315573,-0.02781832218170166,0.00330716,0.002685546875,0.0003,165.63441467285156,-1.0660002164542675,0.2,414.68238558769224,170
33,19,-120.73142844,208.59,38912,1160,-0.005052857093687635,0.24170315265655518,0.0050337124,0.03564453125,0.0003,220.0916290283203,-1.085831269621849,0.2,243.32832832336425,180
35,20,-118.88156435,218.05,40960,1159,-0.005883860563335475,0.32261472940444946,0.007267833,0.045751953125,0.0003,136.09083557128906,-1.0874687902629376,0.2,422.2287939310074,190
37,21,-116.83591184999999,228.42,43008,1132,-0.00687605862331111,0.25999122858047485,0.0071415966,0.0314453125,0.0003,89.37380981445312,-1.0215234695002438,0.2,373.76757168769836,200
40,22,-115.13106290999998,245.67,45056,1109,-0.005859411635901779,0.23561543226242065,0.0054291384,0.0271484375,0.0003,113.14128875732422,-1.0056688297539949,0.2,204.01457018852233,210
43,23,-110.50485708999999,263.23,47104,1072,-0.010247411156160523,0.08014857769012451,0.008830242,0.091259765625,0.0003,64.29546356201172,-1.037235646136105,0.2,276.26215867996217,220
46,24,-109.60342425,272.24,49152,1065,-0.007662918239657301,0.44621604681015015,0.0068379645,0.064599609375,0.0003,46.96589660644531,-1.036866668984294,0.2,144.92322797775267,230
48,25,-110.09932371999999,285.69,51200,1050,-0.0025185611564666035,0.1522424817085266,0.0043715676,0.011572265625,0.0003,211.138916015625,-1.0345949601382016,0.2,367.920073890686,240
51,26,-109.27731441999998,296.75,53248,1036,-0.004717384178002248,0.3997054100036621,0.0049279025,0.016162109375,0.0003,182.8878936767578,-0.9981940327212214,0.2,395.59996795654297,250
54,27,-104.07634001000001,316.01,55296,1006,-0.004934056212368887,0.32275390625,0.007707856,0.06337890625,0.0003,48.261287689208984,-0.9408285439014434,0.2,211.0207995414734,260
57,28,-104.23393725999999,329.21,57344,994,-0.006896461536234711,0.5399523973464966,0.011017825,0.118017578125,0.0003,31.151046752929688,-0.8805922102183104,0.2,92.91619188189506,270
61,29,-101.63654658,345.99,59392,968,-0.002662412526842672,0.5754237771034241,0.006650763,0.039599609375,0.0003,24.34622573852539,-0.9713604660704732,0.2,110.37938474416733,280
65,30,-94.24494308000001,368.71,61440,941,-0.009840250855631894,0.623603492975235,0.010041265,0.13798828125,0.0003,27.81364631652832,-1.0178888751193882,0.2,56.45338316559791,290
68,31,-99.16262211000002,380.59,63488,929,-0.005910986844173749,0.3669878840446472,0.010387756,0.123388671875,0.0003,23.511125564575195,-1.0147595753893257,0.2,114.4599781692028,300
71,32,-95.18520519000002,400.08,65536,916,-0.007618939192616381,0.11059707403182983,0.012776881,0.106298828125,0.0003,55.45586395263672,-1.033687666244805,0.2,171.48706783652307,310
74,33,-94.34532203999999,413.42,67584,904,-0.004917811203267774,0.43401068449020386,0.009278213,0.029833984375,0.0003,24.88253402709961,-0.9630949111655355,0.2,115.35798637866974,320
77,34,-89.35937718999999,424.53,69632,899,-0.00735030361720419,0.5713866949081421,0.0052550426,0.067529296875,0.0003,23.58695411682129,-0.950523098371923,0.2,93.34890903234482,330
81,35,-89.14711670999999,439.73,71680,884,-0.007174848166323499,0.3694964647293091,0.012642331,0.117431640625,0.0003,23.981666564941406,-0.9705751515924931,0.2,155.3038851082325,340
84,36,-88.35447226999999,446.88,73728,874,-0.00997582230484113,0.24940991401672363,0.00772886,0.095556640625,0.0003,12.698515892028809,-1.0454241577535868,0.2,30.879155337810516,350
88,37,-86.34161462,460.3,75776,855,-0.0053152343432884665,0.3072814345359802,0.0038493886,0.05419921875,0.0003,15.773590087890625,-0.9849873790517449,0.2,99.84586461782456,360
93,38,-86.05946055,475.74,77824,831,-0.0038065467939304653,0.3593401312828064,0.0071934545,0.040771484375,0.0003,302.4596252441406,-1.0220311157405377,0.2,89.4051537245512,370
97,39,-82.9440336,492.63,79872,820,-0.010089468306978234,0.4300360083580017,0.012929801,0.132177734375,0.0003,7.813018321990967,-1.0344600781798363,0.2,31.28511587381363,380
100,40,-80.10565194999998,509.16,81920,811,-0.00951142703561345,0.32397109270095825,0.009149563,0.132275390625,0.0003,5.9776129722595215,-0.9995558204129338,0.2,19.37120603621006,390
