time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss
2349,1,-168.54019095652177,87.6086956521739,0,2048,,,,,,,,,,
1762,2,-161.49652190697674,93.25581395348837,2,4096,-0.007433425037015695,0.0003,0.01630859375,0.2,-0.009769797325134277,0.0068402225,618.2058715820312,10,-1.3828011840581893,1607.2657152175902
1642,3,-164.3117838615385,93.33846153846154,3,6144,-0.004421535722940462,0.0003,0.02822265625,0.2,0.005093038082122803,0.008804156,824.526123046875,20,-1.3813136588782071,1966.5337007522583
1576,4,-161.34275733720932,94.15116279069767,5,8192,-0.00546016170992516,0.0003,0.023388671875,0.2,-0.012456536293029785,0.007007886,835.9429321289062,30,-1.3761885695159435,1812.3725428581238
1437,5,-158.82137026530614,104.07142857142857,7,10240,-0.010570869989169295,0.0003,0.075634765625,0.2,0.0007910728454589844,0.010133307,289.5202331542969,40,-1.3696322474628686,907.0697976112366
1425,6,-157.942205,106.37,8,12288,-0.012308277979900594,0.0003,0.12060546875,0.2,0.0420229434967041,0.011116551,131.78465270996094,50,-1.3596719328314066,404.57362883090974
1415,7,-151.93577105999998,109.82,10,14336,-0.0067771468093269505,0.0003,0.05712890625,0.2,-0.16247451305389404,0.009918595,1017.6728515625,60,-1.3087376721203328,965.1945568084717
1414,8,-149.09225605999998,115.27,11,16384,-0.008536072963033802,0.0003,0.156396484375,0.2,-0.0022565126419067383,0.013090981,1034.304931640625,70,-1.2750161163508893,1313.765456867218
1413,9,-143.46040107,121.22,13,18432,-0.008390223399328534,0.0003,0.06865234375,0.2,-0.171913743019104,0.008983162,385.9233703613281,80,-1.249638195335865,772.4979418754577
1408,10,-131.86576921,129.09,14,20480,-0.012108964093931718,0.0003,0.189453125,0.2,0.016473591327667236,0.013379189,174.59043884277344,90,-1.191875474154949,455.598740363121
1405,11,-132.59019216000002,126.25,16,22528,-0.007532508957956452,0.0003,0.074560546875,0.2,-0.01784670352935791,0.0054755034,172.5799102783203,100,-1.235710693895817,388.07144632339475
1352,12,-127.54227171000001,140.13,18,24576,-0.008105037942004855,0.0003,0.118310546875,0.2,0.037626445293426514,0.010887964,140.97496032714844,110,-1.1492455568164588,413.6145037651062
