rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate
-188.6139857727273,91.4090909090909,2048,0,1,2304,,,,,,,,,,
-174.3193118863636,91.5,4096,2,2,1740,-1.3841591730713845,340.4068908691406,0.0078125,-0.005339319005724974,10,1538.517926979065,0.2,-0.008314967155456543,0.0046375636,0.0003
-173.8395787121212,91.98484848484848,6144,3,3,1619,-1.376095750927925,498.0721130371094,0.0951171875,-0.00832714941498125,20,1155.4202401161194,0.2,-0.007970094680786133,0.011135464,0.0003
-173.4081678222222,90.93333333333334,8192,5,4,1561,-1.3705190349370242,512.9406127929688,0.01298828125,-0.003963533142814413,30,1211.1243562698364,0.2,-0.11922132968902588,0.0070162057,0.0003
-175.21639298999997,91.26,10240,6,5,1518,-1.3646536726504563,136.4634552001953,0.05244140625,-0.007754761591786519,40,742.9243986129761,0.2,-0.0002307891845703125,0.008904878,0.0003
-173.00950017,92.81,12288,8,6,1490,-1.342717070132494,324.7956237792969,0.113330078125,-0.011145980752189644,50,672.2691170215606,0.2,-0.0010800361633300781,0.01371193,0.0003
-165.10860347000002,96.1,14336,9,7,1468,-1.2950484823435544,488.7257385253906,0.13759765625,-0.011126544457511045,60,1350.4313263893127,0.2,-0.025152921676635742,0.013604625,0.0003
-160.54844591,100.56,16384,11,8,1455,-1.2586488854140043,248.43484497070312,0.1595703125,-0.0076697028394846715,70,663.3540493488312,0.2,-0.0005810260772705078,0.011883149,0.0003
-152.02746628,106.56,18432,12,9,1436,-1.2414180018007754,385.9970397949219,0.021728515625,-0.0019501942544593476,80,1090.402098751068,0.2,4.202127456665039e-05,0.007890918,0.0003
-146.06817826999998,116.35,20480,14,10,1420,-1.161287645995617,882.6401977539062,0.08046875,-0.0007827391847968102,90,926.6823568344116,0.2,-0.0007990598678588867,0.010012925,0.0003
-138.05613445,120.89,22528,15,11,1414,-1.202357305213809,269.3438415527344,0.09541015625,-0.0006004862574627623,100,1159.6034598350525,0.2,9.953975677490234e-06,0.021465294,0.0003
-127.13663998000001,126.17,24576,17,12,1406,-1.1980908259749412,428.2486267089844,0.041650390625,-0.008623068963788682,110,1540.1064586639404,0.2,9.167194366455078e-05,0.007640058,0.0003
-126.22930339,137.72,26624,19,13,1362,-1.1833485767245293,128.5388946533203,0.1158203125,-0.008747762390703429,120,633.0672963142395,0.2,-6.473064422607422e-05,0.012120613,0.0003
-121.23307430000004,148.67,28672,21,14,1310,-1.2420367926359177,88.79524230957031,0.02978515625,-0.005673648590163794,130,196.84912109375,0.2,0.12792450189590454,0.006993846,0.0003
-119.2312256,164.57,30720,24,15,1276,-1.2332118030637502,36.22417449951172,0.027392578125,-0.003234024279663572,140,204.1273469209671,0.2,0.12024194002151489,0.00898651,0.0003
-115.61152479,177.25,32768,26,16,1237,-1.209756314009428,381.0486145019531,0.011767578125,-0.004066741750284564,150,298.80642116069794,0.2,0.167962908744812,0.005706414,0.0003
-113.80658468,182.37,34816,28,17,1241,-1.203839910030365,152.27232360839844,0.01494140625,-0.005690432053961558,160,303.48189744949343,0.2,0.024416625499725342,0.0054464475,0.0003
-114.85385204,191.27,36864,30,18,1210,-1.139679342135787,109.54044342041016,0.052099609375,-0.008546049163851422,170,327.22230224609376,0.2,-0.05529904365539551,0.006667918,0.0003
-111.04643288999998,198.87,38912,32,19,1211,-1.2030723117291928,121.69982147216797,0.01220703125,-0.003948309216866619,180,307.0434326887131,0.2,0.24846595525741577,0.004039292,0.0003
-111.40443005000002,203.04,40960,33,20,1213,-1.1208979230374099,307.83209228515625,0.055029296875,-0.006806903974211309,190,441.44665451049804,0.2,0.18590277433395386,0.01058089,0.0003
-110.37621562,212.3,43008,36,21,1164,-1.0750757943838836,74.01041412353516,0.059619140625,-0.00858864967667614,200,291.56214475631714,0.2,0.4468187689781189,0.009101093,0.0003
-112.94668014000003,225.62,45056,39,22,1151,-1.2333133339881897,32.944053649902344,0.06845703125,-0.004871639299381059,210,121.04493562579155,0.2,0.7507942467927933,0.008343653,0.0003
