time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
1308,16,25,32768,-132.24544886,157.41,0.0,203.7621612548828,0.0030941074,0.0002639889717102051,0.0003,298.49373412132263,150,-1.1810158882290125,-0.0016851549415150657,0.2
1272,17,27,34816,-129.80658812000001,172.43,0.015185546875,104.00269317626953,0.0078120036,0.00019097328186035156,0.0003,343.8171459674835,160,-1.1609482675790788,-0.0037080530310049653,0.2
1227,18,30,36864,-126.36837904,190.46,0.058544921875,92.11067199707031,0.0059893653,0.0018343925476074219,0.0003,205.56653409004213,170,-1.0937977716326714,-0.004097876857849769,0.2
1203,19,32,38912,-125.37298156000003,197.7,0.01435546875,62.9047966003418,0.003295993,0.1787828803062439,0.0003,97.65101490616799,180,-1.1655793875455855,-0.004108065364562208,0.2
1190,20,34,40960,-119.42791572000002,211.6,0.017236328125,212.491455078125,0.0046722814,0.12299203872680664,0.0003,253.67553839683532,190,-1.0760588958859443,-0.00408189470108482,0.2
1189,21,36,43008,-121.63275045,224.04,0.033154296875,140.19923400878906,0.009281675,0.07475799322128296,0.0003,412.1574761390686,200,-1.0748685169965029,-0.0035845225080265663,0.2
1188,22,37,45056,-119.69152807,233.37,0.032958984375,103.15528869628906,0.0050918693,0.22992581129074097,0.0003,333.8807718992233,210,-1.0796707045286893,-0.006826316774095176,0.2
1157,23,40,47104,-117.67058509,246.65,0.00732421875,55.02626037597656,0.0035330458,-0.09122586250305176,0.0003,370.89155435562134,220,-1.0774502139538527,-0.0047963743767468255,0.2
1144,24,42,49152,-117.58054324999998,253.57,0.04150390625,63.418888092041016,0.0069754533,0.4569975733757019,0.0003,189.02082266807557,230,-1.0030831951647996,-0.0071352537946950175,0.2
1124,25,45,51200,-114.36497992000001,266.08,0.02685546875,239.56129455566406,0.0058178296,0.016616404056549072,0.0003,406.7188951015472,240,-1.0353903817012906,-0.010185516846831888,0.2
1100,26,48,53248,-108.68736727,287.94,0.02333984375,39.3466682434082,0.006623255,0.40497511625289917,0.0003,202.49500370025635,250,-0.9968439012765884,-0.007719351964624366,0.2
1065,27,51,55296,-105.66905876999999,303.17,0.046337890625,28.509477615356445,0.006894667,0.4193180799484253,0.0003,196.14717279672624,260,-0.9282568071037531,-0.0060677673427562695,0.2
1049,28,54,57344,-104.62396708,319.36,0.03603515625,167.9139404296875,0.0044656238,0.5057515501976013,0.0003,197.22417376041412,270,-0.9444426896050573,-0.005003254149050918,0.2
1035,29,57,59392,-100.98359782,334.75,0.046484375,214.37033081054688,0.0067031775,0.4586907625198364,0.0003,153.82918136119844,280,-0.9121826687827707,-0.006218681729660602,0.2
1007,30,60,61440,-98.90866190999999,351.49,0.1326171875,46.75629425048828,0.010410229,0.4260045289993286,0.0003,222.8252325773239,290,-0.9931510869413614,-0.011183066850935574,0.2
976,31,65,63488,-97.40816333999999,368.43,0.05380859375,48.87400436401367,0.005744634,0.45308631658554077,0.0003,97.75481033325195,300,-1.0677923163399101,-0.006949931495182682,0.2
964,32,67,65536,-94.52691885,385.99,0.044921875,11.717019081115723,0.0041847085,0.7423711717128754,0.0003,66.1357976436615,310,-0.9898941485211253,-0.006328929969458841,0.2
947,33,71,67584,-88.64793631999999,400.19,0.089306640625,16.086111068725586,0.010151267,0.7135876715183258,0.0003,58.576631772518155,320,-1.050978546217084,-0.008301259099243907,0.2
935,34,74,69632,-88.69338572000001,416.76,0.045947265625,35.84317398071289,0.0062958486,0.3440985679626465,0.0003,116.19248470664024,330,-0.9025187559425831,-0.006059748987172498,0.2
914,35,78,71680,-85.58346757,433.84,0.08974609375,31.393178939819336,0.0070107635,0.33119821548461914,0.0003,68.41331261098385,340,-0.956094479188323,-0.00616055887658149,0.2
899,36,81,73728,-81.53520728999999,456.39,0.05859375,15.196374893188477,0.0060199928,0.5733945965766907,0.0003,40.95395903885365,350,-0.8260531317442655,-0.006274406515149167,0.2
887,37,85,75776,-77.48269387,473.87,0.0162109375,30.283557891845703,0.0048281304,0.4477018713951111,0.0003,101.9807465031743,360,-0.9365645760670305,-0.0010278411609760951,0.2
866,38,89,77824,-75.23034364000002,490.65,0.081884765625,8.874639511108398,0.009987301,0.742598682641983,0.0003,29.740796710550786,370,-0.8084326954558492,-0.008143603235657793,0.2
858,39,93,79872,-74.76891876,508.1,0.089453125,7.536066055297852,0.009166766,0.48250991106033325,0.0003,38.10710292905569,380,-1.0316471710801125,-0.006758358192746528,0.2
842,40,97,81920,-72.8309583,525.47,0.06416015625,4.666670322418213,0.009948664,0.7307176887989044,0.0003,31.401028034090995,390,-0.9135503692552447,-0.002316931005771039,0.2
835,41,100,83968,-72.09318189000001,534.2,0.030078125,2.0156941413879395,0.004503009,0.5350048243999481,0.0003,41.459563818573955,400,-0.9683471133932471,-0.0048312182683730494,0.2
824,42,104,86016,-67.51526039000001,549.12,0.128955078125,3.959444284439087,0.008480022,0.7122185230255127,0.0003,38.38290470540524,410,-0.9962685303762555,-0.005636970291379839,0.2
819,43,107,88064,-62.806554860000006,565.0,0.06689453125,5.8741044998168945,0.0047250576,0.01459205150604248,0.0003,51.04935906976461,420,-1.0103652447462081,-0.003939898563839961,0.2
808,44,111,90112,-60.17679107,587.22,0.026123046875,17.598360061645508,0.0040359553,0.25378888845443726,0.0003,78.78150802850723,430,-0.8480635052546859,-0.003351729322457686,0.2
797,45,115,92160,-56.82400347000001,593.51,0.00478515625,38.691829681396484,0.0013612749,-0.015282750129699707,0.0003,103.08171841800213,440,-0.8636880246922374,-0.00131137909120298,0.2
789,46,119,94208,-53.526834400000006,596.21,0.023095703125,15.850691795349121,0.0031527227,0.2364194393157959,0.0003,95.39264174997807,450,-0.8008159348741174,-0.001475269092770759,0.2
783,47,122,96256,-51.24524839000001,614.51,0.07265625,32.08695983886719,0.008174928,0.2783411145210266,0.0003,66.78229871094227,460,-0.9544511014595628,-0.003931232883041957,0.2
779,48,126,98304,-45.73627051,628.23,0.049658203125,30.311254501342773,0.0044130217,0.029108285903930664,0.0003,149.8812233388424,470,-0.854831886664033,-0.0035582861164584756,0.2
775,49,129,100352,-41.78142849000001,628.97,0.07705078125,15.49377155303955,0.010777113,0.15591615438461304,0.0003,103.96601889133453,480,-0.830562993697822,-0.006267848893912742,0.2
771,50,132,102400,-38.91473941000001,640.34,0.0591796875,24.63794708251953,0.005651064,0.4581843614578247,0.0003,87.5138903915882,490,-0.8037615602836012,-0.0029021042319072876,0.2
773,51,135,104448,-38.13371989,645.97,0.0640625,27.861103057861328,0.0047324216,0.549243688583374,0.0003,72.42159615904093,500,-0.9004622001200915,-0.002721100593043957,0.2
768,52,138,106496,-34.22019430000001,659.04,0.0236328125,60.63517761230469,0.00586793,0.25381773710250854,0.0003,221.93607212305068,510,-0.8953200021758676,-0.001763515117636416,0.2
771,53,140,108544,-31.616177199999996,674.17,0.039208984375,46.185081481933594,0.0027180873,0.6697507500648499,0.0003,80.90399793386459,520,-0.8448385167866945,-0.0019017691891349386,0.2
769,54,143,110592,-31.49341288,683.42,0.0234375,28.391456604003906,0.0028610418,0.5429508090019226,0.0003,208.93530238866805,530,-0.8808729078620672,-0.003526471831719391,0.2
765,55,147,112640,-28.904898279999998,698.1,0.073388671875,11.5297269821167,0.0077860653,0.6891485154628754,0.0003,73.62914730012417,540,-0.908470424823463,-0.004266955479397439,0.2
763,56,150,114688,-23.02274332,714.14,0.097802734375,368.3434143066406,0.0059254747,0.6664505302906036,0.0003,43.85205537751317,550,-0.8755059061571956,0.00030843403364997355,0.2
758,57,153,116736,-19.70404662,729.26,0.080859375,28.42638397216797,0.011047816,0.43335258960723877,0.0003,98.50430511832238,560,-0.8677622701972723,-0.005976058907253901,0.2
757,58,156,118784,-13.451499419999998,742.96,0.0759765625,17.10545539855957,0.009242944,0.6681945323944092,0.0003,70.28515933603049,570,-0.9019195446744561,-0.003352234412159305,0.2
750,59,160,120832,-12.96930077,752.08,0.02470703125,88.0199966430664,0.00446066,0.5294195711612701,0.0003,213.79347905516624,580,-0.8640689732506871,-0.0006026144706993364,0.2
744,60,165,122880,-11.149722529999998,759.16,0.052099609375,18.70475196838379,0.007021846,0.05007004737854004,0.0003,133.68667520284652,590,-0.8847428724169731,-0.002370125669403933,0.2
737,61,169,124928,-8.290427509999999,773.1,0.125,1.6732004880905151,0.009474324,0.5834779143333435,0.0003,32.4390161793679,600,-0.8808695714920759,-0.0072137028822908175,0.2
736,62,172,126976,-4.244082420000002,789.76,0.131884765625,3.381998300552368,0.01088148,0.6396987736225128,0.0003,47.765441390872,610,-0.9175566501915455,-0.0069766694738063965,0.2
733,63,175,129024,0.11577326999999603,804.44,0.06943359375,3.125648260116577,0.0048027183,0.6279407739639282,0.0003,75.79507780224085,620,-0.8174352370202541,-0.0023764074943755987,0.2
728,64,179,131072,-1.0326357900000043,812.29,0.237548828125,1.8715769052505493,0.025349602,0.776060089468956,0.0003,31.08301724418998,630,-0.9410214368253946,-0.013491860026260839,0.2
722,65,184,133120,1.8604346799999976,827.59,0.050439453125,0.9361183643341064,0.0056440337,0.7452071905136108,0.0003,30.022062319144606,640,-0.8131140494719148,-0.001251169858733192,0.2
719,66,187,135168,5.0768948899999975,837.28,0.08818359375,1.4987355470657349,0.0054971334,0.8300010561943054,0.0003,36.466911564581096,650,-0.9517044065520167,-0.004801824441528879,0.2
720,67,190,137216,8.108897879999995,849.0,0.046923828125,4.377020359039307,0.004157671,0.664003312587738,0.0003,56.39558239597827,660,-0.7977435732260346,-0.0024491902280715295,0.2
716,68,194,139264,10.347114609999998,850.73,0.0310546875,5.185967445373535,0.0051447046,0.6173179745674133,0.0003,92.43630378916859,670,-0.8581182500347495,-0.0029913705548096914,0.2
715,69,197,141312,11.976145329999998,861.3,0.03662109375,1.5853632688522339,0.0030782474,0.7897392213344574,0.0003,45.57123750243336,680,-0.9006665056571365,-0.0002730183456151281,0.2
715,70,200,143360,12.277784330000001,859.77,0.185400390625,1.8319001197814941,0.025901258,0.6883977055549622,0.0003,59.40340370535851,690,-0.8912952862679958,-0.006034987862221897,0.2
712,71,204,145408,14.503822880000003,869.47,0.037939453125,74.34297943115234,0.008216153,0.5759710371494293,0.0003,125.77161756083369,700,-0.8575548652559519,-0.001278143889066996,0.2
711,72,207,147456,13.65656726,870.58,0.08525390625,0.6566563844680786,0.008456314,0.756135493516922,0.0003,36.16114080408588,710,-0.899951577745378,-0.0034447382437065243,0.2
710,73,210,149504,13.669471849999997,870.8,0.050146484375,0.6024420261383057,0.005635864,0.8353015929460526,0.0003,28.933682947047053,720,-0.8854637989774347,-0.0016203444873099215,0.2
705,74,214,151552,14.135026999999997,870.8,0.0732421875,0.3125617206096649,0.0057734055,0.8568411767482758,0.0003,31.148754868842662,730,-0.8197939038276673,-0.002820022895321017,0.2
703,75,218,153600,14.894374800000001,870.8,0.174462890625,0.5065491199493408,0.013362698,0.855227142572403,0.0003,29.997933066729455,740,-0.8977663716301322,-0.004051561337837484,0.2
702,76,221,155648,10.52830756,858.9,0.06337890625,1.077492356300354,0.0073358617,0.8573712259531021,0.0003,44.02904036231339,750,-0.9426833160221577,-0.0031870759601588363,0.2
700,77,225,157696,9.01953929,853.88,0.011083984375,45.58265686035156,0.0048231315,0.4734591841697693,0.0003,193.75577650368214,760,-0.8260305397212505,-0.000995881729249959,0.2
700,78,227,159744,9.335482690000003,845.32,0.004052734375,11.051953315734863,0.0042218454,0.671142578125,0.0003,138.7097798191011,770,-0.8776887685060502,-0.0016250720836978871,0.2
700,79,230,161792,10.728749800000005,840.75,0.0048828125,113.98429107666016,0.0031595703,0.6937682330608368,0.0003,137.3770026832819,780,-0.7728339444845915,-0.0012132455209211911,0.2
699,80,234,163840,9.018274090000002,835.44,0.098046875,10.809621810913086,0.008314606,0.7129763066768646,0.0003,107.62463131248951,790,-0.8430180720984936,-0.002709349015640328,0.2
696,81,238,165888,9.754736050000002,835.44,0.040234375,27.569698333740234,0.0058427243,0.7986077815294266,0.0003,84.35262415334583,800,-0.8084995264187456,-0.0018573996334453114,0.2
694,82,241,167936,10.044178510000002,835.44,0.067236328125,1.3526992797851562,0.0059083793,0.9012864679098129,0.0003,32.353751712292436,810,-0.8353936290368438,-0.0022388126453734003,0.2
694,83,244,169984,7.38705458,827.29,0.118310546875,1.8266146183013916,0.013444848,0.8982886373996735,0.0003,40.80922082792968,820,-0.8698509132489562,-0.004994208094285568,0.2
695,84,247,172032,8.2823584,823.4,0.05634765625,42.14262771606445,0.0072935927,0.6788302361965179,0.0003,118.00951904058456,830,-0.7989086845889688,-0.0023307758128794376,0.2
695,85,250,174080,6.666993909999999,825.83,0.0283203125,18.102067947387695,0.008269547,0.8216530978679657,0.0003,51.993567834049465,840,-0.8519461512565613,-0.0008832260267809033,0.2
694,86,253,176128,5.790995390000001,823.17,0.116748046875,3.0021581649780273,0.011797064,0.8923364877700806,0.0003,39.91949757598341,850,-0.8908144222572446,-0.004314253690245096,0.2
692,87,257,178176,6.169466030000001,819.98,0.022119140625,157.12791442871094,0.0028712526,0.7576005160808563,0.0003,80.40613285377621,860,-0.7276345405727624,-0.0013074653877993114,0.2
692,88,260,180224,6.427902339999999,822.94,0.130859375,1.5938496589660645,0.011263935,0.7724239528179169,0.0003,59.36150836534798,870,-0.8625365054234863,-0.004983295577403624,0.2
690,89,264,182272,4.869741449999999,817.73,0.08994140625,2.373380661010742,0.0040060156,0.7941101640462875,0.0003,96.26989563703538,880,-0.7908920085057616,-0.002266517617681529,0.2
