time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
860,28,12,484.34,-388.82300480000004,24576,0.008220263,12.923547744750977,169.54840615689756,0.7828530967235565,0.0003,1340,-0.7783281836658716,0.067919921875,-0.0025450837671087355,0.2
864,30,13,484.537037037037,-386.3320905555556,26624,0.006771583,44.72622299194336,133.49002247750758,0.7933250069618225,0.0003,1350,-0.7938230784609914,0.066943359375,-0.001984690530662192,0.2
867,33,14,491.9655172413793,-393.2871698103447,28672,0.0069244406,19.06950569152832,113.02274061739445,0.8680822104215622,0.0003,1360,-0.7558408940210939,0.051953125,-0.0023159814314567483,0.2
866,35,15,495.81666666666666,-391.11506448333324,30720,0.008031003,87.38203430175781,246.2707656800747,0.2423323392868042,0.0003,1370,-0.707090268842876,0.053466796875,-0.0014904440751706716,0.2
854,38,16,506.6825396825397,-392.7726534761904,32768,0.010815045,11.58859920501709,72.79880155026913,0.9289380684494972,0.0003,1380,-0.7877844816073776,0.09814453125,-0.005382017256488325,0.2
857,40,17,509.86764705882354,-391.3174850735294,34816,0.005570395,9.362935066223145,88.29137960076332,0.908160537481308,0.0003,1390,-0.7663523038849235,0.06240234375,-0.0005774090866907499,0.2
852,43,18,509.55555555555554,-385.5368148194445,36864,0.005570761,312.5939025878906,165.40442799031734,0.839012548327446,0.0003,1400,-0.6890304444357753,0.0482421875,-0.006721588989603333,0.2
848,45,19,508.2763157894737,-384.3186249736842,38912,0.004458271,9.544864654541016,94.94357963353396,0.9234693571925163,0.0003,1410,-0.7159434279426933,0.03681640625,-0.001267092235502787,0.2
846,48,20,507.5125,-385.8385167,40960,0.0067271115,5.727057933807373,63.73360509425402,0.955059964209795,0.0003,1420,-0.8027799602597951,0.060791015625,-0.0006963082880247385,0.2
843,50,21,508.8095238095238,-388.6475953214285,43008,0.006533998,45.759681701660156,176.9711604475975,0.8351242542266846,0.0003,1430,-0.7598290162160992,0.048291015625,-0.0020509298054093962,0.2
843,53,22,508.4318181818182,-388.4813782840909,45056,0.005752774,22.7325382232666,201.3339244902134,0.7972328960895538,0.0003,1440,-0.791418582573533,0.04501953125,-0.004141281382908346,0.2
841,56,23,510.4130434782609,-390.32974523913055,47104,0.006757017,163.537841796875,99.95765910893678,0.9106376022100449,0.0003,1450,-0.7692363955080509,0.076220703125,-0.005776794839039212,0.2
