rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
-102.53085874,330.16,27,55296,764,72,260,52.55735845565796,1.0096498727798462,-0.005600932030938565,0.0003,0.084521484375,0.7514136582612991,-2.851768521219492,0.00791381,0.2,91.31869506835938
-99.17065601000002,347.02,28,57344,755,75,270,61.508703631162646,0.9961591958999634,-0.0036647562490543352,0.0003,0.029443359375,0.7226526439189911,-2.8404122799634934,0.004528952,0.2,9.413724899291992
-97.63260393999997,363.98,29,59392,744,79,280,136.39174307584761,0.987078070640564,-0.004125700999429683,0.0003,0.02421875,0.5690121948719025,-2.8186683312058447,0.004166426,0.2,26.309642791748047
-94.17275207999997,380.85,30,61440,718,85,290,60.91323740184307,0.9921870231628418,-0.011311707482673228,0.0003,0.149853515625,0.7494404911994934,-2.816042257845402,0.013759062,0.2,13.172621726989746
-91.54582368,396.95,31,63488,695,91,300,50.309145632386205,0.9804527759552002,-0.005320999695686624,0.0003,0.066796875,0.7696758955717087,-2.810379682481289,0.008882766,0.2,15.465081214904785
-88.13121439999999,413.89,32,65536,683,95,310,30.566930764913558,0.9790747165679932,-0.005184659293445293,0.0003,0.07294921875,0.8439198583364487,-2.7959264032542706,0.0071324543,0.2,6.2011027336120605
-86.52238048999999,429.99,33,67584,664,101,320,39.5367755651474,0.9714566469192505,-0.005960804823553189,0.0003,0.065576171875,0.7618654370307922,-2.785387735813856,0.008060458,0.2,3.5521676540374756
-83.79581241,446.88,34,69632,648,107,330,57.61451743990183,0.9735251069068909,-0.005249928440753138,0.0003,0.060595703125,0.7659620046615601,-2.7785103976726533,0.007449439,0.2,14.161783218383789
-81.41572437,464.02,35,71680,639,112,340,52.715888594835995,0.9600876569747925,-0.005510142687126063,0.0003,0.0794921875,0.8294991552829742,-2.7667767688632012,0.007502402,0.2,3.891571521759033
-79.34694037,481.31,36,73728,625,117,350,40.65247628539801,0.9591525793075562,-0.005766736780060455,0.0003,0.077392578125,0.8013963401317596,-2.75234841555357,0.007359759,0.2,12.729779243469238
-75.31662805,497.84,37,75776,616,123,360,46.58816010951996,0.9485888481140137,-0.007586749479378341,0.0003,0.085302734375,0.66813725233078,-2.737473177164793,0.009305591,0.2,6.106801509857178
-72.85996504,514.26,38,77824,610,127,370,25.363182631134986,0.927759051322937,-0.005912580460426397,0.0003,0.08544921875,0.88799849152565,-2.7051844909787177,0.008892074,0.2,5.319119930267334
-70.86558842000001,530.77,39,79872,603,132,380,34.32577074691653,0.8874045610427856,-0.0069390734744956715,0.0003,0.11787109375,0.8880948051810265,-2.6357515014708044,0.012186852,0.2,2.9106557369232178
-64.80242988,550.44,40,81920,600,136,390,38.48391441255808,0.8792836666107178,-0.003404149408743251,0.0003,0.092724609375,0.8348792046308517,-2.5859652049839497,0.0061693615,0.2,4.747687816619873
-65.02897891,567.19,41,83968,596,140,400,65.21473308801652,0.8678296804428101,-0.0034313210879190594,0.0003,0.039013671875,0.8240900635719299,-2.564481101185083,0.006049527,0.2,6.268583297729492
-60.59562542,584.44,42,86016,596,144,410,30.88249404281378,0.8598028421401978,-0.00799129239312606,0.0003,0.120166015625,0.5912764072418213,-2.5429900877177714,0.009047327,0.2,5.890512466430664
-61.128075779999996,596.81,43,88064,595,147,420,79.58218086361885,0.8567143678665161,-0.006091064781503519,0.0003,0.100146484375,0.6859656572341919,-2.528740952163935,0.006735795,0.2,5.288001537322998
-56.406675340000014,613.97,44,90112,595,151,430,63.12697736471891,0.8524357676506042,-0.0032195926032727584,0.0003,0.068603515625,0.594470351934433,-2.52075072824955,0.009231571,0.2,414.31341552734375
-53.74016883,631.14,45,92160,588,156,440,190.7467685997486,0.849622368812561,-0.004920489347387047,0.0003,0.028369140625,0.566320389509201,-2.512102473527193,0.0047929385,0.2,211.71437072753906
-51.18528173,647.78,46,94208,585,160,450,39.311171425879,0.8430039882659912,0.0010118759906617924,0.0003,0.0775390625,0.7993873506784439,-2.4990157589316366,0.008476227,0.2,1.7844254970550537
-49.75007574999999,665.59,47,96256,582,165,460,37.98343043923378,0.8303403854370117,-0.003094659058842808,0.0003,0.08427734375,0.6750301718711853,-2.4755143143236635,0.0068446225,0.2,279.2957763671875
-47.65788250000001,675.74,48,98304,584,168,470,213.29120535552502,0.8269306421279907,-0.0009329110151156783,0.0003,0.029541015625,0.5883362591266632,-2.4603627145290377,0.002933472,0.2,159.51318359375
-43.10386914000001,680.3,49,100352,586,171,480,117.43408600240946,0.824785590171814,-0.005855086381779983,0.0003,0.042138671875,0.6562509834766388,-2.4531379863619804,0.0038173248,0.2,113.10990905761719
-39.032850589999995,696.82,50,102400,585,174,490,213.74133156836032,0.814192533493042,-0.006477770156561746,0.0003,0.084814453125,0.5310553908348083,-2.4393886752426623,0.006536408,0.2,5.097430229187012
