time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/approx_kl
35,71680,409.47,966,-89.12967737999998,74,0.7666008472442627,340,53.949939754605296,-0.006745341073110467,0.044140625,0.0003,5.880055904388428,-0.9108352763578296,0.2,0.005886152
36,73728,425.38,943,-86.01215925999999,78,0.8249953538179398,350,37.64520300924778,-0.007794658016064204,0.06796875,0.0003,9.28120231628418,-1.0216656226664782,0.2,0.008635655
37,75776,439.69,912,-83.78739418999997,83,0.5030061900615692,360,75.22083581835031,-0.005101882535018376,0.05048828125,0.0003,27.470142364501953,-1.0503708716481923,0.2,0.006479471
38,77824,456.31,893,-82.77474801999999,87,0.7923020124435425,370,43.18064541965723,-0.006191404422861524,0.053125,0.0003,4.5597734451293945,-1.0413123480975628,0.2,0.00656059
39,79872,461.64,885,-80.98174555,90,0.8324726969003677,380,39.24042550176382,-0.003017604586057132,0.058984375,0.0003,1.73640775680542,-0.9742124209180474,0.2,0.0065158363
40,81920,476.37,871,-77.63787846,94,0.6459391415119171,390,82.33095082640648,-0.0028995708460570315,0.037060546875,0.0003,21.48967742919922,-0.8822075432166457,0.2,0.006917868
41,83968,493.08,857,-74.73769889999998,97,0.7517035007476807,400,54.02792909443379,-0.0030695679160999134,0.07529296875,0.0003,379.76214599609375,-0.9329478340223432,0.2,0.0063961577
42,86016,507.66,852,-72.69513730999999,100,0.7410205602645874,410,49.568557527661326,-0.007802095262013609,0.09072265625,0.0003,3.403292655944824,-0.9789196630939841,0.2,0.009076281
43,88064,520.92,849,-71.35169880999999,103,0.590938538312912,420,104.50796428322792,-0.0021778579546662515,0.00859375,0.0003,36.634212493896484,-0.9072449263185263,0.2,0.0038709352
44,90112,534.48,841,-68.56590197999999,107,0.6021943688392639,430,95.8817320920527,-0.002530255130113801,0.061767578125,0.0003,33.841365814208984,-0.9198677936568856,0.2,0.010570554
45,92160,550.24,836,-67.83071697,110,0.8401295691728592,440,52.91675447523594,-0.0028448528733861166,0.029638671875,0.0003,8.822958946228027,-0.8035741157829761,0.2,0.00725321
46,94208,565.04,835,-65.60545973,112,0.6532823443412781,450,102.61475809216499,-0.005553647083797841,0.04140625,0.0003,28.301856994628906,-0.8547539699822664,0.2,0.005805221
47,96256,577.53,827,-61.62200778999999,116,0.7365793585777283,460,68.85157556831837,-0.003858088574997964,0.056982421875,0.0003,13.488764762878418,-0.8378202322870493,0.2,0.006709558
48,98304,593.77,823,-58.06224416999999,119,0.6025069355964661,470,101.07209245562554,-0.007899569964502006,0.09306640625,0.0003,109.43807983398438,-0.8080968920141458,0.2,0.015238602
49,100352,607.55,819,-56.803943289999985,122,0.7665576636791229,480,36.695819426700474,-0.005826388660352677,0.06904296875,0.0003,282.1874694824219,-0.8165755458176136,0.2,0.006828348
50,102400,624.47,811,-55.12224372,126,0.4869316816329956,490,137.62573912590742,-0.004567529362248024,0.071728515625,0.0003,8.60944938659668,-0.9283218491822481,0.2,0.009854753
51,104448,640.37,804,-51.56256861000001,129,0.7843895703554153,500,46.226122783869506,-0.0058414568949956445,0.1046875,0.0003,6.130234241485596,-0.8643603526055813,0.2,0.009427628
52,106496,662.4,800,-45.31804519,132,0.8036222457885742,510,36.6094644382596,-0.0031178750825347377,0.111328125,0.0003,2.7486534118652344,-0.8432161746546626,0.2,0.0057822317
53,108544,678.02,790,-44.50215495,137,0.5982436239719391,520,91.9980090610683,-0.004874320400449506,0.05888671875,0.0003,27.349550247192383,-0.8023275334388018,0.2,0.006890756
54,110592,687.0,789,-40.09376088999999,140,0.5981172919273376,530,90.54660321921111,-0.0030682760901981966,0.101171875,0.0003,6.62738037109375,-0.7910384779796005,0.2,0.0106286425
55,112640,701.96,781,-34.93204307999999,144,0.3399621248245239,540,161.24118872582912,-0.002969584038692119,0.021728515625,0.0003,135.94580078125,-0.7867554800584913,0.2,0.0038089247
56,114688,716.69,778,-29.725881869999995,147,0.48659414052963257,550,107.1872063472867,-0.0050166715715022295,0.05888671875,0.0003,10.762694358825684,-0.7263414770364761,0.2,0.0071819406
57,116736,725.37,772,-24.781957139999996,151,0.3930296301841736,560,164.27819634675978,-0.00267316252393357,0.017431640625,0.0003,45.41172409057617,-0.7678930047899485,0.2,0.0020999785
58,118784,737.27,769,-21.363880560000002,154,0.5718826353549957,570,94.7399110674858,-0.0037664532994313047,0.03671875,0.0003,21.061363220214844,-0.7715534264221787,0.2,0.0052092294
59,120832,754.22,763,-16.30801077,158,0.601690024137497,580,83.65785863697529,-0.002917019239976071,0.067578125,0.0003,6.967251300811768,-0.8434468436986208,0.2,0.007211794
60,122880,767.17,763,-13.999657480000002,160,0.432736873626709,590,126.82720631361008,-0.0029120899282133903,0.0373046875,0.0003,23.94293785095215,-0.8164341850206256,0.2,0.003334484
61,124928,773.23,761,-13.35802768,163,0.5289593636989594,600,140.37638594210148,-0.003897100018002675,0.0443359375,0.0003,24.138288497924805,-0.8218060359358788,0.2,0.0034212968
62,126976,780.17,761,-6.361782880000001,166,0.4371035099029541,610,230.96258402764798,-0.002115536872224766,0.021875,0.0003,179.9403839111328,-0.8936536960303784,0.2,0.004284486
63,129024,795.18,754,-7.5779337700000005,171,0.5418254435062408,620,151.9464504301548,-0.003702193764911499,0.067431640625,0.0003,33.15749740600586,-0.8434069760143756,0.2,0.006449727
64,131072,804.51,752,-2.762993830000002,174,0.6214649975299835,630,113.7793987184763,-0.0024318256044352895,0.039892578125,0.0003,71.43035888671875,-0.8823614623397589,0.2,0.0038223807
65,133120,817.85,749,-0.12666735000000082,177,0.5650653541088104,640,88.98191559910774,-0.0026390601349703504,0.042041015625,0.0003,11.42412281036377,-0.8170022888109087,0.2,0.0039506317
66,135168,824.97,745,4.003380879999999,181,0.6814513504505157,650,63.83066591843963,-0.0032643500067933927,0.11923828125,0.0003,55.02610778808594,-0.9753482637926936,0.2,0.0056988816
67,137216,835.24,744,10.775119420000001,184,0.5826514363288879,660,92.09878289103509,-0.0007254618765728082,0.030419921875,0.0003,4.268616676330566,-0.8170929994434118,0.2,0.0035991743
68,139264,835.45,743,12.73961626,187,0.5774113833904266,670,110.50034507662058,-0.0013768210053967777,0.059228515625,0.0003,25.59852409362793,-0.8537444898858666,0.2,0.0060916427
69,141312,829.61,742,14.247779779999998,190,0.5600831806659698,680,147.84418280422688,-0.0026406544377095996,0.051171875,0.0003,78.14173126220703,-0.8803654061630368,0.2,0.005326732
70,143360,831.63,739,15.922427910000001,193,0.50931715965271,690,147.9982443317771,-0.0012814948218874632,0.020947265625,0.0003,83.70275115966797,-0.8697640789672733,0.2,0.0042308373
71,145408,828.9,738,17.81703202,196,0.599152535200119,700,69.0203857138753,-0.0034121180695365185,0.04970703125,0.0003,18.239337921142578,-0.6149972166866065,0.2,0.009591643
72,147456,808.45,738,19.10913163,199,0.5991283357143402,710,84.86589155644178,-0.0035590126310125923,0.0404296875,0.0003,19.789297103881836,-0.7820395149290562,0.2,0.003624141
73,149504,798.14,738,22.04775259,202,0.555901974439621,720,198.49038837254048,-0.004946531614405103,0.030517578125,0.0003,473.83892822265625,-0.8057497907429934,0.2,0.0063209124
74,151552,777.72,738,25.916020849999995,205,0.3859347105026245,730,127.31207305788993,-0.002752658742974745,0.025,0.0003,27.59285545349121,-0.7287878761067986,0.2,0.0036859484
75,153600,766.97,737,28.35908231000001,208,0.46684491634368896,740,187.4879258096218,-0.003257567697073682,0.02685546875,0.0003,253.02005004882812,-0.8351481020450592,0.2,0.0039191255
76,155648,751.94,737,26.823832359999997,210,0.44174784421920776,750,98.3314738214016,-0.0034664791986870115,0.033544921875,0.0003,11.490757942199707,-0.7852063659578562,0.2,0.0057243644
77,157696,745.56,736,28.420879010000004,214,0.5490648448467255,760,198.41523396372796,-0.0039151969773229215,0.030078125,0.0003,78.38945007324219,-0.8085634725168347,0.2,0.0066556586
