time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/learning_rate
86,478.36,-83.33350105,872,37,75776,0.102099609375,-0.006596732746402267,0.2,360,-0.9413970181718468,0.01124445,54.12775414288044,0.733281672000885,8.247101783752441,0.0003
90,489.61,-81.81457096,859,38,77824,0.0671875,-0.008233153755645617,0.2,370,-0.9245151141658425,0.016935954,158.7288031041622,0.38527554273605347,389.57244873046875,0.0003
93,509.4,-77.76116437,857,39,79872,0.0359375,-0.002889691687596496,0.2,380,-0.7463493699207902,0.004498463,127.8602165788412,0.5179713368415833,50.630916595458984,0.0003
97,523.71,-75.29189652,839,40,81920,0.06357421875,-0.004945132009015652,0.2,390,-0.8905905740335583,0.0071853134,110.17189926803113,0.47308605909347534,10.755257606506348,0.0003
100,542.14,-69.42348848,835,41,83968,0.074267578125,-0.004723786193062551,0.2,400,-0.8499293955042958,0.0096947625,137.93073585629463,0.5908428728580475,49.88923645019531,0.0003
103,554.06,-66.07781228,830,42,86016,0.054345703125,-0.0036961058976885397,0.2,410,-0.805592379719019,0.005809938,136.21761256456375,0.5427900552749634,163.55990600585938,0.0003
105,572.04,-64.46250511000001,831,43,88064,0.05244140625,-0.0023125370735215256,0.2,420,-0.9192628001794219,0.0067690127,69.17880947887897,0.4678635001182556,8.339908599853516,0.0003
109,586.2,-58.930192340000005,826,44,90112,0.109521484375,-0.0031593039639119525,0.2,430,-0.9588060971349478,0.0055320575,220.4871663928032,0.38054966926574707,100.58316802978516,0.0003
112,602.18,-57.391842989999994,816,45,92160,0.11748046875,-0.007124589289014693,0.2,440,-0.92799718901515,0.0109700095,53.748996981978415,0.5723442137241364,11.42361831665039,0.0003
116,611.89,-52.9640816,806,46,94208,0.078857421875,-0.0019958776836574545,0.2,450,-0.9249064231291413,0.0049498016,15.47986687719822,0.8573639839887619,3.674726724624634,0.0003
120,635.17,-47.677029180000005,801,47,96256,0.01005859375,-0.003062530902388971,0.2,460,-0.8775433601811529,0.0033690976,151.3242021858692,0.5789563655853271,32.982521057128906,0.0003
123,649.17,-43.297085640000006,796,48,98304,0.07021484375,-0.004200888885679888,0.2,470,-0.9197028826922178,0.0073443186,60.858174884319304,0.6349306404590607,9.681424140930176,0.0003
126,657.85,-42.998709909999995,794,49,100352,0.065478515625,-0.0026365360201452857,0.2,480,-0.9479234615340829,0.007841382,82.29767998307943,0.43100643157958984,66.39334869384766,0.0003
129,673.25,-39.431084029999994,791,50,102400,0.006640625,-0.006314711934828665,0.2,490,-0.8953681934624911,0.0018079568,219.53906418085097,0.3781331181526184,139.38050842285156,0.0003
132,689.9,-37.872234539999994,789,51,104448,0.013525390625,-0.00184518018795643,0.2,500,-0.8745873654261231,0.0035669636,87.96512698531151,0.5962992608547211,34.91862869262695,0.0003
134,691.54,-31.94226618,789,52,106496,0.0169921875,-0.0024777805687335786,0.2,510,-0.8441361274570227,0.0027376686,126.00162712931633,0.6406170427799225,98.40669250488281,0.0003
138,708.41,-25.670714860000004,782,53,108544,0.030126953125,-0.0021517301549465627,0.2,520,-0.7172094574198127,0.0047006197,182.0651565372944,0.5783078670501709,40.45937728881836,0.0003
142,722.26,-24.247532570000004,775,54,110592,0.071875,-0.0020234620540577454,0.2,530,-0.8971889955922961,0.0061680065,89.309191955626,0.505000650882721,31.2293758392334,0.0003
145,720.45,-24.845642830000006,773,55,112640,0.0232421875,-0.001960354079346871,0.2,540,-0.8467363627627492,0.005009379,139.87348395586014,0.49805188179016113,25.15521240234375,0.0003
148,738.82,-20.227507079999995,770,56,114688,0.051513671875,-0.006070474098669365,0.2,550,-0.7763245273381472,0.0059940955,176.8653725773096,0.40513622760772705,20.862823486328125,0.0003
151,734.59,-12.417997970000004,771,57,116736,0.084228515625,-0.0031094198559003415,0.2,560,-0.9269840620458126,0.0076419306,140.34451832771302,0.4358398914337158,32.463294982910156,0.0003
154,744.64,-12.960706360000007,769,58,118784,0.05185546875,-0.001963249587424798,0.2,570,-0.8622416401281953,0.0061665736,95.00553063750267,0.6328229308128357,12.0235595703125,0.0003
157,753.39,-11.311189380000005,767,59,120832,0.071630859375,-0.0038141999226354527,0.2,580,-0.8815669175237417,0.0046669412,159.67892459630966,0.5062209963798523,98.9593276977539,0.0003
160,761.85,-3.303998560000003,767,60,122880,0.0865234375,-0.004481647909415187,0.2,590,-0.9399840772151947,0.008881837,79.09381043612957,0.5953838229179382,7.777046203613281,0.0003
163,771.47,-2.099773180000002,764,61,124928,0.016455078125,-0.0006236504850676283,0.2,600,-0.786839508637786,0.0038482207,134.48426726162432,0.5446699559688568,43.0309944152832,0.0003
166,775.34,5.118841149999997,761,62,126976,0.097509765625,-0.0017854507474112324,0.2,610,-0.949566357024014,0.00611522,28.417366987466814,0.7685627490282059,4.245474338531494,0.0003
169,778.15,7.171437649999999,758,63,129024,0.04365234375,-0.002429281700460706,0.2,620,-0.8362840540707112,0.0050229398,112.93994987607002,0.44540101289749146,29.795686721801758,0.0003
172,773.63,9.122421470000004,760,64,131072,0.039013671875,-0.0049312059403746385,0.2,630,-0.867246245034039,0.0047969604,81.47333249151707,0.5989965498447418,17.988906860351562,0.0003
174,770.93,12.725810279999997,760,65,133120,0.10986328125,-0.00837902098937775,0.2,640,-0.7801576055586338,0.011537008,181.51205642223357,0.5678402781486511,19.299253463745117,0.0003
