rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
-95.73800594000001,71680,35,65,1098,356.68,340,0.0003,-0.003184613685880322,431.1339416503906,0.2,0.00670226,-1.0029946258291602,406.9508094072342,0.048681640625,0.27971702814102173
-93.98301808000001,73728,36,68,1082,368.92,350,0.0003,-0.0015083762613357977,93.03681945800781,0.2,0.003661417,-0.9807572009041905,213.8179575920105,0.011669921875,0.27555710077285767
-94.79846999000003,75776,37,70,1071,380.82,360,0.0003,-0.008633514070970705,91.58545684814453,0.2,0.013230136,-0.8773245807737112,172.54254193902017,0.10439453125,0.49341368675231934
-93.36116679000003,77824,38,73,1053,392.98,370,0.0003,-0.005042360304651083,115.0999526977539,0.2,0.0047232024,-1.0309648698195815,181.39753847122194,0.033349609375,0.5622755289077759
-91.52994863999999,79872,39,76,1041,410.59,380,0.0003,-0.004795429404475726,103.11382293701172,0.2,0.010059505,-1.0428024666383862,93.66575019359588,0.078076171875,0.7065540850162506
-91.48530047999999,81920,40,79,1031,425.87,390,0.0003,-0.005210823826200794,110.08942413330078,0.2,0.0067321314,-0.9286070691421628,151.9972725391388,0.031640625,0.5595695376396179
-89.87155996999999,83968,41,81,1025,442.06,400,0.0003,-0.012231767296907493,79.4078598022461,0.2,0.011950214,-1.0060003388673067,112.80847978591919,0.15224609375,0.571195662021637
-88.89302527,86016,42,84,1022,453.38,410,0.0003,-0.013761535483354237,53.66460037231445,0.2,0.007826338,-0.9899539187550545,223.88402173519134,0.093603515625,0.45188426971435547
-87.94432574000002,88064,43,86,1018,466.99,420,0.0003,-0.003602852061158046,94.47384643554688,0.2,0.004298865,-0.978494132310152,142.61418497562408,0.02373046875,0.6438112854957581
-86.71947860000002,90112,44,89,1009,478.82,430,0.0003,-0.006961276945730788,80.81452178955078,0.2,0.008480877,-1.034377791546285,158.26990693211556,0.09609375,0.6030488312244415
-84.27041023000001,92160,45,92,995,500.53,440,0.0003,-0.009870540855627042,16.479778289794922,0.2,0.009320492,-1.0001030324026943,77.81718279719352,0.094140625,0.7702958732843399
-84.07912936000001,94208,46,95,987,507.87,450,0.0003,-0.004251687128271442,17.41558265686035,0.2,0.0068691843,-1.042072707414627,97.4730989396572,0.0703125,0.5514376163482666
-81.78634718,96256,47,98,975,522.02,460,0.0003,-0.006889528420288116,69.22087097167969,0.2,0.010594102,-1.1026348512619735,61.655979692935944,0.147705078125,0.6407298445701599
-82.85972154999999,98304,48,102,956,527.56,470,0.0003,-0.007804358957946534,19.018922805786133,0.2,0.00839784,-0.9441236138343811,52.79936791062355,0.098876953125,0.8260446339845657
-79.47644398,100352,49,105,950,542.7,480,0.0003,-0.0029208404557721224,52.86265182495117,0.2,0.00716256,-1.03893861528486,46.01009782254696,0.0634765625,0.6617656946182251
-78.17116719999999,102400,50,109,933,558.97,490,0.0003,-0.004544488708052086,6.569735527038574,0.2,0.005127699,-0.9771390479058027,34.26173388957977,0.037939453125,0.8168270885944366
-76.64828311,104448,51,112,926,567.33,500,0.0003,-0.002251035982044414,9.785296440124512,0.2,0.0068378844,-0.9433460867032408,32.30732348263264,0.04384765625,0.632756233215332
-73.71205902999999,106496,52,115,923,582.8,510,0.0003,-0.0026940392941469326,7.5566277503967285,0.2,0.006618044,-0.9764216542243958,30.103825464844704,0.0447265625,0.6865280270576477
-76.45917304,108544,53,118,915,588.88,520,0.0003,-0.005865514664765215,17.788516998291016,0.2,0.008206559,-0.8970475791022181,57.736458307504655,0.093212890625,0.7230172455310822
-74.32893147,110592,54,122,905,603.18,530,0.0003,-0.004143321945593925,48.67054748535156,0.2,0.012379894,-0.9649485981091857,62.519674733281136,0.1091796875,0.5457726716995239
-70.97516215000002,112640,55,125,895,619.02,540,0.0003,-0.004384732228936627,53.72428894042969,0.2,0.0073275585,-0.9288514841347932,77.86305040121078,0.084912109375,0.5215018391609192
