rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
-659.7402527209304,38912,19,67,577,891.8139534883721,1410,0.0003,-0.0027164111423189754,1.5944890975952148,0.2,0.0057180794,-0.8507216189056634,31.42797509133816,0.079150390625,0.7923001796007156
-661.813426888889,40960,20,69,585,893.6,1420,0.0003,-0.0028460898451157846,34.61567306518555,0.2,0.009938177,-0.8388686487451196,132.9195861697197,0.103955078125,0.7590084373950958
-669.4590333404257,43008,21,72,589,898.1276595744681,1430,0.0003,-0.0027269220729067454,19.231792449951172,0.2,0.0049838815,-0.7177495684474706,73.5025651037693,0.0517578125,0.9230469837784767
-670.55581714,45056,22,76,588,899.48,1440,0.0003,-0.0012482769358030054,15.291049003601074,0.2,0.0048598014,-0.7970530681312085,56.674896490573886,0.054345703125,0.926582932472229
-670.3779751346154,47104,23,79,592,889.4423076923077,1450,0.0003,-0.00532882629231608,5.054008483886719,0.2,0.014520993,-0.7824720464646816,107.43236212134362,0.092333984375,0.8852327391505241
-657.9017985892857,49152,24,82,596,876.6071428571429,1460,0.0003,-0.0022637872581981354,5.333292007446289,0.2,0.006402583,-0.7611164212226867,105.18824827298522,0.0744140625,0.8600412309169769
-662.3526023448275,51200,25,85,601,873.1896551724138,1470,0.0003,-0.00047185508519760334,157.02587890625,0.2,0.0039184736,-0.7119450250640511,240.65565711259842,0.03037109375,0.6206522881984711
-652.403912672131,53248,26,87,606,860.1803278688525,1480,0.0003,-0.004626223188824952,1.9390448331832886,0.2,0.008061809,-0.8585543444380164,29.017352703213692,0.10654296875,0.6813062131404877
-653.114331,55296,27,90,609,863.65625,1490,0.0003,-0.001805743487784639,66.8126220703125,0.2,0.007325398,-0.7789823094382882,153.16093704104424,0.0482421875,0.7658338248729706
-649.7787126818181,57344,28,93,613,857.2878787878788,1500,0.0003,-0.001345813371517579,33.16250228881836,0.2,0.0056645554,-0.79115457162261,103.59170450270176,0.053662109375,0.8580483943223953
-655.617944102941,59392,29,96,613,859.0441176470588,1510,0.0003,-0.00097770370557555,12.62083625793457,0.2,0.004966322,-0.8324844436720014,89.44106853604316,0.051318359375,0.7978878170251846
-646.9637725138889,61440,30,99,616,843.4166666666666,1520,0.0003,-0.0019115275834337808,9.265679359436035,0.2,0.00649607,-0.8393868962302804,46.92422542944551,0.053564453125,0.8935763612389565
-645.5076663466667,63488,31,102,619,840.8,1530,0.0003,-0.00025146089610643684,72.70317840576172,0.2,0.0058993963,-0.7823181645944715,126.02156679406762,0.05537109375,0.7121456265449524
-643.0887188333334,65536,32,106,616,839.7051282051282,1540,0.0003,-0.004297938663512468,231.70748901367188,0.2,0.0094724065,-0.7992274217307568,136.2257793545723,0.0814453125,0.7957519888877869
-645.9503201499999,67584,33,108,620,843.7125,1550,0.0003,-0.0036909745635057335,15.436494827270508,0.2,0.009553928,-0.7948567582294345,90.68465449512004,0.083447265625,0.8906789198517799
-636.0446097831325,69632,34,111,622,836.0361445783133,1560,0.0003,-0.0035976419487269594,5.9241814613342285,0.2,0.012625907,-0.8153015362098813,31.907582180947067,0.14873046875,0.9514349922537804
-636.5230091999999,71680,35,115,622,834.1176470588235,1570,0.0003,-0.002217330038911314,20.959440231323242,0.2,0.0065711206,-0.7342958429828286,158.82676875889302,0.051171875,0.7909769862890244
-635.8285514090909,73728,36,118,623,833.0681818181819,1580,0.0003,-0.002059229428778053,10.00683307647705,0.2,0.0072556706,-0.8270413748919964,96.01091300472618,0.06748046875,0.8434499949216843
-633.3103646888889,75776,37,121,625,832.0666666666667,1590,0.0003,-0.0030544775239832235,9.999834060668945,0.2,0.004691788,-0.7761458495631814,105.51691759675741,0.044140625,0.8598759472370148
-633.3562075053762,77824,38,124,626,828.9354838709677,1600,0.0003,-0.0013055324881861452,1.3679271936416626,0.2,0.0077065635,-0.797374851629138,77.92612341046333,0.069140625,0.8781569749116898
-632.1951296041667,79872,39,126,629,828.2604166666666,1610,0.0003,-0.0005051066975283903,23.31945037841797,0.2,0.006149099,-0.7553935516625643,92.52602237910033,0.03271484375,0.80487360060215
-631.8680437653062,81920,40,130,627,829.9183673469388,1620,0.0003,-0.0009548521840770264,235.44834899902344,0.2,0.005714526,-0.7283155411481858,124.55992020666599,0.050634765625,0.6706945598125458
-630.68730265,83968,41,133,627,824.6,1630,0.0003,-0.0015285266126738861,12.244648933410645,0.2,0.004807038,-0.687087151221931,95.76100989431143,0.05439453125,0.8367751836776733
-625.90308499,86016,42,136,628,817.54,1640,0.0003,-0.004065266054749372,51.9697151184082,0.2,0.017727502,-0.7800520423799753,94.33677019402384,0.056591796875,0.800799235701561
-624.10547924,88064,43,140,626,813.58,1650,0.0003,-0.003197167144389823,31.483793258666992,0.2,0.010237072,-0.7950819283723831,136.75030286312102,0.115283203125,0.8040162473917007
-619.4527203600001,90112,44,144,625,809.24,1660,0.0003,-0.0019056180492043496,11.341963768005371,0.2,0.007350263,-0.7551564978435635,62.00644915550947,0.06376953125,0.9262023791670799
38.4238615,2048,1,2,879,866.5,1670,0.0003,-0.002740643883953453,31.673194885253906,0.2,0.006891111,-0.7309413036331535,120.66855306625366,0.070166015625,0.8512753248214722
57.18018175,4096,2,6,643,870.25,1680,0.0003,0.0022888408335347775,14.730703353881836,0.2,0.004205537,-0.7298253526911139,93.57199319452047,0.074365234375,0.5787053108215332
29.084549285714285,6144,3,10,600,847.0,1690,0.0003,-0.003643371725047473,30.182493209838867,0.2,0.0039247163,-0.6454806281253695,68.38110279366374,0.082080078125,0.6111912131309509
34.93397866666666,8192,4,13,617,850.4444444444445,1700,0.0003,-0.0026537588753853926,178.28921508789062,0.2,0.007642796,-0.7337419113144279,162.32201027274132,0.069140625,0.4887429475784302
39.75333781818181,10240,5,16,620,861.6363636363636,1710,0.0003,-0.003411424644582439,5.02837610244751,0.2,0.012114763,-0.7473303060978651,77.26821396201849,0.11689453125,0.5173825323581696
