time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
61,-7.59609821,829.81,166,748,124928,0.04775390625,196.86520385742188,-0.0016436235498986207,-0.8400909744203091,0.2,0.6280079185962677,0.005750686,44.38446091264486,600,0.0003
62,-7.288970619999999,837.9,169,747,126976,0.034130859375,7.672556400299072,-0.0019084428589849268,-0.8379182141274214,0.2,0.5218717157840729,0.0086686425,82.24832359403372,610,0.0003
63,-2.788824150000001,845.53,173,745,129024,0.06171875,160.21800231933594,-0.0020052445492183325,-0.8025177899748087,0.2,0.6376460492610931,0.0065148273,26.41200420707464,620,0.0003
64,-2.346827759999999,858.16,176,744,131072,0.07392578125,8.180885314941406,-0.0021331751260731833,-0.9243955675512552,0.2,0.4928708076477051,0.006727688,56.93375223651528,630,0.0003
65,-1.2747498699999995,863.98,179,740,133120,0.077587890625,4.460003852844238,-0.0028858251243946142,-0.9370407730340957,0.2,0.767352357506752,0.009226876,23.295035291463137,640,0.0003
66,3.39746076,873.79,182,740,135168,0.077294921875,25.966522216796875,-0.0020430518547073007,-0.894559315778315,0.2,0.42808741331100464,0.008741189,85.46759986132383,650,0.0003
67,3.4975562599999988,877.2,185,738,137216,0.0388671875,27.16899871826172,-0.0013426721197902225,-0.7799820652231574,0.2,0.613715797662735,0.0036023357,59.643478880822656,660,0.0003
68,5.836416799999999,881.88,189,734,139264,0.10625,3.0726780891418457,-0.004030059966316913,-0.9198947751894593,0.2,0.44507086277008057,0.008701822,36.8553682975471,670,0.0003
69,5.35394185,889.09,193,731,141312,0.103125,2.155062675476074,-0.0029914178936451207,-0.9014766063541174,0.2,0.2660340666770935,0.0061558597,44.2697460398078,680,0.0003
70,3.98019979,889.09,197,727,143360,0.05244140625,4.411199569702148,-0.002607865813479293,-0.7804695202037693,0.2,0.2868361473083496,0.0034657123,52.91574524194002,690,0.0003
71,4.076718380000001,889.6,200,725,145408,0.0802734375,2.754930257797241,-0.0018501970946090296,-0.9170779809355736,0.2,0.7612828016281128,0.008158302,33.32254914343357,700,0.0003
72,3.486488329999999,892.94,203,725,147456,0.058203125,1.7665610313415527,-0.003947108492866391,-0.840905180759728,0.2,0.1008196473121643,0.011256142,86.81110500395297,710,0.0003
73,8.665724829999998,885.24,205,726,149504,0.04658203125,7.328278541564941,-0.003091403786675073,-0.7148431217297911,0.2,0.38542068004608154,0.0074048657,46.94126939177513,720,0.0003
74,9.366492339999999,885.24,209,722,151552,0.07099609375,18.682758331298828,-0.0030423104610235894,-0.8229706203565001,0.2,0.2887002229690552,0.005896803,131.25264044106007,730,0.0003
75,9.928427699999999,890.23,212,721,153600,0.1390625,2.521327018737793,-0.009813593023864087,-0.8859337208792567,0.2,0.6155819594860077,0.016474243,41.742198820412156,740,0.0003
76,10.89741364,890.23,216,720,155648,0.107470703125,2.972156524658203,-0.0034398671166854912,-0.886087311245501,0.2,0.7955755889415741,0.007664553,25.331568102538586,750,0.0003
77,8.178581229999999,882.97,219,719,157696,0.0697265625,283.54437255859375,-0.0038955458949203603,-0.926578514277935,0.2,0.714853048324585,0.005300304,32.14712952189147,760,0.0003
78,6.74298628,884.69,222,718,159744,0.068359375,76.74309539794922,-0.003722831589402631,-0.888562636077404,0.2,0.3690348267555237,0.008019771,156.50758902579545,770,0.0003
79,8.194672689999999,883.94,225,716,161792,0.053759765625,4.9282073974609375,-0.0004531960978056304,-0.8773909926414489,0.2,0.3897271752357483,0.005780551,107.85491861253976,780,0.0003
80,8.781046389999998,887.12,230,710,163840,0.089111328125,3.9685745239257812,-0.00185855005911435,-0.829332833364606,0.2,0.5343999266624451,0.014591542,77.48820580393075,790,0.0003
81,8.219918819999998,889.22,233,709,165888,0.071435546875,1.623297929763794,-0.0012223274745338131,-0.802532534301281,0.2,0.6947268545627594,0.0076325806,39.85900480933488,800,0.0003
82,7.618770819999997,889.96,237,706,167936,0.058154296875,3.1040751934051514,-0.002759163431619527,-0.8009009402245283,0.2,0.36808741092681885,0.006636128,62.68471978455782,810,0.0003
83,6.41888739,884.46,241,704,169984,0.125634765625,2.9188966751098633,-0.002559791816747747,-0.9016912538558245,0.2,0.6716695129871368,0.009963147,45.918125110864636,820,0.0003
84,8.22053449,882.45,245,701,172032,0.05244140625,15.40325927734375,-0.0011307663495244923,-0.7968804003670812,0.2,0.49071335792541504,0.006415975,83.57277737855911,830,0.0003
85,8.96640461,879.01,247,702,174080,0.06513671875,7.3438544273376465,-0.003202491274714703,-0.7967150390148163,0.2,0.5353921353816986,0.005377581,89.95899800956249,840,0.0003
86,7.767753549999998,881.52,252,697,176128,0.059130859375,111.49333953857422,-0.002134245904017007,-0.79843082241714,0.2,0.5311225652694702,0.0072179968,54.40020268261433,850,0.0003
87,7.741290120000001,881.4,255,696,178176,0.113427734375,1.6918045282363892,-0.003059337307786336,-0.8874249467626214,0.2,0.5496931970119476,0.015789356,35.535308845713736,860,0.0003
88,6.593281600000001,874.57,259,693,180224,0.06484375,4.89308500289917,-0.0015697370501584374,-0.9342769311740995,0.2,0.5180056691169739,0.009838117,73.06018528789282,870,0.0003
89,2.811713470000002,865.51,262,693,182272,0.06494140625,40.53325653076172,0.0007681603434321005,-0.9191296735778451,0.2,0.3764770030975342,0.0033024317,89.74541126638651,880,0.0003
90,6.981140550000003,852.83,265,694,184320,0.035546875,30.064863204956055,-0.0028299255900492426,-0.9177060045301915,0.2,0.3773267865180969,0.0033531433,168.8177386239171,890,0.0003
91,7.427008270000001,852.83,269,691,186368,0.02919921875,75.78926849365234,-0.0017925755797477904,-0.8441970935091376,0.2,0.3496364951133728,0.003905428,135.1672332406044,900,0.0003
92,8.3158812,852.45,271,692,188416,0.11220703125,1.1436327695846558,0.0025555603977409193,-0.9411012470722199,0.2,0.690395176410675,0.007248884,51.88836410678923,910,0.0003
93,6.003653410000001,848.8,274,693,190464,0.03994140625,309.0549011230469,-0.0014020685674040578,-0.6806694880127907,0.2,0.5014342963695526,0.0031249658,116.51441286206246,920,0.0003
94,6.140590229999998,848.8,278,690,192512,0.047412109375,16.361356735229492,-0.001612233731430024,-0.921487775631249,0.2,0.47186869382858276,0.0069242744,128.5350617751479,930,0.0003
95,8.359660579999998,845.84,281,690,194560,0.20576171875,1.1410436630249023,-0.007104775500920368,-0.9720547318458557,0.2,0.8628669530153275,0.019944817,32.12503417879343,940,0.0003
96,9.76448274,840.15,285,688,196608,0.078857421875,31.713794708251953,-0.003312010814988753,-0.9056552849709988,0.2,0.5216395854949951,0.007857561,157.49330849945545,950,0.0003
97,5.521038190000001,829.87,288,688,198656,0.068798828125,34.467525482177734,-0.002027419680962339,-0.9178733851760625,0.2,0.4809744358062744,0.00823147,70.55353957563639,960,0.0003
98,6.300268410000001,829.87,291,688,200704,0.04443359375,5.314639091491699,-0.000570565369707765,-0.9195577742531895,0.2,0.5770021677017212,0.005065997,130.9060583293438,970,0.0003
99,3.468425330000001,828.29,294,687,202752,0.056689453125,1.9602737426757812,-0.0004301025299355388,-0.8475830199196934,0.2,0.846558079123497,0.004577552,22.77539288625121,980,0.0003
100,2.8943616200000006,831.97,297,687,204800,0.0681640625,27.59767723083496,-0.0009521080828562845,-0.8041798047721386,0.2,0.6978600025177002,0.0053488105,60.89606670849025,990,0.0003
101,4.49218338,826.23,300,688,206848,0.047607421875,23.798776626586914,-0.0006980795245908666,-0.9237297851592302,0.2,0.7537652999162674,0.0062222057,88.29009889289736,1000,0.0003
102,4.680524639999999,825.61,303,689,208896,0.06982421875,212.054443359375,-0.001260145540436497,-0.8760360538959503,0.2,0.5714519023895264,0.004721155,90.97452182099224,1010,0.0003
103,5.060235250000001,803.01,306,689,210944,0.036279296875,8.530352592468262,-0.000360753751010634,-0.8799056580290199,0.2,0.6906489431858063,0.006262025,62.54216577932239,1020,0.0003
