time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate
28672,1132,187.03,14,25,-122.75898283999999,-0.006229377943964209,0.2,130,-1.13434700332582,0.033349609375,153.29351806640625,0.0060307425,486.47596154212954,0.12133204936981201,0.0003
30720,1100,193.49,15,27,-118.05151775,-0.005251075804699213,0.2,140,-1.215720995515585,0.0583984375,120.81320190429688,0.006894693,329.875191450119,0.19466108083724976,0.0003
32768,1103,205.47,16,29,-117.68116535000003,-0.005087367260421161,0.2,150,-1.1840262573212386,0.03583984375,227.8932647705078,0.005215613,369.3402095079422,-0.15415024757385254,0.0003
34816,1104,209.63,17,31,-121.60566369999998,-0.008294682099949569,0.2,160,-1.1200500350445508,0.071142578125,187.7812957763672,0.008555077,377.3476280212402,0.12078893184661865,0.0003
36864,1067,214.95,18,34,-121.2102391,-0.005433703660673928,0.2,170,-1.0934420838952064,0.04482421875,229.81837463378906,0.006659863,374.6317142486572,0.14267945289611816,0.0003
38912,1046,226.33,19,37,-118.34904696000001,-0.0051633737719384955,0.2,180,-1.1118952516466378,0.070849609375,43.212867736816406,0.0062145004,220.99400389194489,0.4040526747703552,0.0003
40960,1047,232.94,20,39,-114.69992589000003,-0.011214625310822157,0.2,190,-1.1169315852224826,0.08193359375,30.745655059814453,0.0098856455,184.29233186244966,0.3908005356788635,0.0003
43008,1039,233.25,21,41,-120.59638329,-0.006091588748677168,0.2,200,-1.0277748879045248,0.05810546875,164.1204376220703,0.009148312,365.8838768005371,0.23831576108932495,0.0003
45056,1023,248.02,22,44,-119.23220586,-0.008302946102048736,0.2,210,-1.0255318062379957,0.076904296875,116.91264343261719,0.0073618214,280.1364289045334,0.47697609663009644,0.0003
47104,1020,256.33,23,46,-115.69577694000002,-0.011829270326416008,0.2,220,-1.0963263377547263,0.124853515625,46.85831832885742,0.011552071,278.24138913154604,0.4796478748321533,0.0003
49152,986,274.88,24,49,-108.91451331000002,-0.007376697989820968,0.2,230,-1.0577077185735106,0.08125,167.79783630371094,0.007855527,284.66755771636963,0.1454879641532898,0.0003
51200,973,287.5,25,52,-108.16812395000001,-0.004817203098355094,0.2,240,-1.099464899301529,0.043603515625,22.526355743408203,0.0054197777,93.35705889463425,0.6525877714157104,0.0003
53248,962,304.03,26,55,-110.52113879000001,-0.012035635163192638,0.2,250,-1.044062564522028,0.125341796875,70.585205078125,0.012576996,90.3640063226223,0.6786996126174927,0.0003
55296,952,318.22,27,58,-108.11006139000001,-0.007040967575449031,0.2,260,-1.007834232971072,0.078857421875,109.95667266845703,0.009867135,105.58841672539711,0.745009183883667,0.0003
57344,928,330.05,28,61,-107.08107201000003,-0.007826123527775054,0.2,270,-1.023872036486864,0.10888671875,19.4670352935791,0.010556748,100.66303179264068,0.5797044932842255,0.0003
59392,906,349.13,29,65,-103.33074487,-0.006740481069573434,0.2,280,-0.9376159800216556,0.099267578125,32.324989318847656,0.009816067,81.94840081334114,0.7873728275299072,0.0003
61440,884,365.47,30,69,-101.90423305999998,-0.005859581995173358,0.2,290,-1.0316470308229326,0.08583984375,18.45001983642578,0.009202673,117.9252291381359,0.5567707121372223,0.0003
63488,861,380.48,31,73,-96.69075173999998,-0.008030613089067629,0.2,300,-1.0095955163240433,0.1279296875,18.48883628845215,0.009216953,38.07198940515518,0.013041079044342041,0.0003
65536,841,391.18,32,77,-96.44937415999999,-0.005082836543442682,0.2,310,-0.9587395038455725,0.03955078125,11.627351760864258,0.006594561,67.84032689630985,0.5837228894233704,0.0003
67584,820,407.91,33,82,-94.41922557999999,-0.009715023259923327,0.2,320,-0.9576197776943445,0.042431640625,17.213443756103516,0.007637755,41.63955350518226,0.8234860450029373,0.0003
69632,811,427.64,34,85,-93.22355394,-0.005559863441885682,0.2,330,-0.9805219190195202,0.073828125,7.71802282333374,0.009248583,29.466842940449716,0.3883693814277649,0.0003
71680,796,436.51,35,89,-93.20577609,-0.0027104365821287502,0.2,340,-0.9410372147336602,0.050390625,6.692929267883301,0.0055644284,84.84853745400906,0.06442081928253174,0.0003
73728,785,452.12,36,93,-87.84133059000001,-0.006033058204047847,0.2,350,-0.9517498860135675,0.060546875,7.913172245025635,0.0066363923,21.613496112823487,0.9049662053585052,0.0003
75776,784,466.8,37,96,-85.99024979000004,-0.006097681325627491,0.2,360,-0.9577396688982844,0.07119140625,18.691896438598633,0.0070477584,35.23713474869728,0.2596248388290405,0.0003
77824,778,481.49,38,99,-84.67305891,-0.0034611796392709946,0.2,370,-0.9523128174245358,0.04794921875,185.01226806640625,0.0045771655,35.77839728593826,0.30072879791259766,0.0003
79872,770,497.67,39,103,-80.94884841000001,-0.0029288656383869237,0.2,380,-0.9220624305307865,0.027099609375,53.01883316040039,0.004673608,62.59799229204655,0.2703484892845154,0.0003
81920,765,506.07,40,106,-83.54622031000001,-0.004823283951554913,0.2,390,-0.9146498220041395,0.08154296875,4.587639331817627,0.0068194033,32.59462929368019,0.5178683400154114,0.0003
83968,756,523.05,41,110,-80.52133241,-0.002454847352055367,0.2,400,-0.9172386549413204,0.05966796875,2.1446046829223633,0.0063691195,16.56807822138071,0.7721489071846008,0.0003
86016,753,544.19,42,114,-77.24022054999999,-0.004363416317210067,0.2,410,-0.8807243227958679,0.031005859375,9.194537162780762,0.005680808,37.78087193965912,0.8961419388651848,0.0003
88064,748,560.9,43,117,-71.96000812,-0.0024549087189370765,0.2,420,-0.9442787498235703,0.056298828125,18.9478816986084,0.0042552687,66.89836704432965,0.7344523370265961,0.0003
90112,738,577.95,44,121,-69.03471135,-0.0034264966918271965,0.2,430,-0.9354863937944173,0.05078125,3.917757034301758,0.0046247076,29.762569614499807,0.5879319906234741,0.0003
92160,735,592.5,45,125,-68.59549546,-0.001854554083547555,0.2,440,-0.9125604409724474,0.043701171875,5.976398944854736,0.006308918,29.102399580180645,0.7019161581993103,0.0003
94208,728,609.22,46,129,-62.66972631999999,-0.0033025740092853086,0.2,450,-0.9298509042710066,0.076611328125,31.743446350097656,0.007954872,57.67902030646801,0.8622497022151947,0.0003
96256,726,624.72,47,132,-63.08839899999999,-0.001822851067117881,0.2,460,-0.907513739168644,0.0435546875,258.0626525878906,0.005958462,37.56925067305565,0.8858875408768654,0.0003
98304,720,641.94,48,136,-59.52795486999999,-0.004033005543897161,0.2,470,-0.8815298328176141,0.04453125,8.256486892700195,0.005804399,32.31465761139989,0.8123427778482437,0.0003
100352,713,657.51,49,140,-56.99729632999999,-0.006300346534408164,0.2,480,-0.884858065098524,0.060595703125,4.773958683013916,0.0056736413,45.807938589155675,0.7705226838588715,0.0003
102400,706,673.61,50,144,-56.06916353,-0.006293693008774426,0.2,490,-0.9074916139245033,0.0646484375,3.806429386138916,0.0076261563,34.9306530803442,0.8491646945476532,0.0003
104448,701,690.04,51,148,-52.416367179999995,-0.004596785255125723,0.2,500,-0.7556683661416173,0.053466796875,3.9928436279296875,0.019969642,52.14591371193528,0.8023930937051773,0.0003
106496,694,704.81,52,153,-50.12807553,-0.0006529470265377313,0.2,510,-0.8409000745043158,0.041455078125,95.5362319946289,0.0014912253,86.97610167339444,0.24863338470458984,0.0003
108544,694,723.22,53,156,-45.885509309999996,-0.003001282874174649,0.2,520,-0.8851009918376803,0.031103515625,36.727882385253906,0.0043514105,57.680491405725476,0.7608652561903,0.0003
110592,685,731.53,54,161,-42.70153576,-0.002228235337042861,0.2,530,-0.8072836836799979,0.037451171875,28.006370544433594,0.006511349,90.34060237035155,0.626314103603363,0.0003
112640,685,738.54,55,164,-42.90332892000001,-0.002758212915796321,0.2,540,-0.8780294887721538,0.0380859375,6.441341876983643,0.0066223964,79.14856909289956,0.5522018671035767,0.0003
114688,681,753.45,56,168,-40.29696325,-0.0022942602867260576,0.2,550,-0.8170502094551921,0.080908203125,6.169412612915039,0.006746387,41.01148579120636,0.718364804983139,0.0003
