time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
1269,32768,16,-133.75274478,166.94,25,204.9800567626953,0.24467867612838745,0.008162394,0.0003,-0.00886141254013637,150,0.057568359375,447.03233008384706,0.2,-1.1009745862334968
1233,34816,17,-129.55857203,180.47,28,78.9450454711914,0.42221879959106445,0.008973658,0.0003,-0.007793634187692078,160,0.042236328125,268.7019471168518,0.2,-1.1943358320742845
1203,36864,18,-129.31696737000001,193.25,30,149.5994873046875,0.47558289766311646,0.0057800123,0.0003,-0.005550924909766763,170,0.035986328125,230.8267962694168,0.2,-1.168056995049119
1164,38912,19,-126.10363315000002,205.12,33,66.17639923095703,0.4204309582710266,0.0073063998,0.0003,-0.0048222966244793495,180,0.051513671875,269.87476058006285,0.2,-1.115308617055416
1115,40960,20,-122.25582454,221.9,36,212.28553771972656,0.45613664388656616,0.011184625,0.0003,-0.00958532625954831,190,0.108935546875,338.2362661123276,0.2,-1.0998986423015595
1102,43008,21,-120.37779366000001,235.52,39,27.392593383789062,0.6939671039581299,0.006088894,0.0003,-0.005531264685123461,200,0.04599609375,102.35292080044746,0.2,-1.117114382237196
1077,45056,22,-118.93273541,249.39,41,202.60841369628906,0.3617492914199829,0.006479374,0.0003,-0.0030705553559528197,210,0.03583984375,364.77424213886263,0.2,-0.9851177534088492
1072,47104,23,-115.83172917000002,267.35,43,128.32810974121094,0.6615866124629974,0.012183579,0.0003,-0.009345381939056097,220,0.1330078125,238.9140517950058,0.2,-1.078642161935568
1051,49152,24,-114.12234468000001,281.94,46,69.64998626708984,0.26015663146972656,0.005671298,0.0003,-0.004307291492295917,230,0.035400390625,296.0592069149017,0.2,-0.9560045141726732
1015,51200,25,-110.66892105999997,299.4,50,68.47126007080078,0.5417053997516632,0.007789237,0.0003,-0.01033552835287992,240,0.0943359375,244.96525912284852,0.2,-1.0796439871191978
999,53248,26,-109.34932574999999,312.68,53,19.814977645874023,0.7625294029712677,0.009917086,0.0003,-0.008245502396312077,250,0.088330078125,71.56757562160492,0.2,-1.1496587317436933
967,55296,27,-105.56194616999997,329.64,57,47.033267974853516,0.6340265274047852,0.014072647,0.0003,-0.004332304713898338,260,0.089990234375,99.85757662653923,0.2,-0.9252504907548428
959,57344,28,-104.57654690999998,346.77,59,9.463837623596191,0.7962160706520081,0.0052551394,0.0003,-0.005949489282647847,270,0.065966796875,70.61828860342503,0.2,-0.9185523213818669
948,59392,29,-102.38504578999999,365.84,62,42.436119079589844,0.7138054966926575,0.005900015,0.0003,-0.005808753278688528,280,0.073291015625,147.36135588884355,0.2,-1.0074671108275652
938,61440,30,-99.86387443999998,379.09,65,18.730295181274414,0.7652562856674194,0.009572263,0.0003,-0.006702699926972855,290,0.098828125,123.60716388821602,0.2,-1.023319518007338
