rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl
208.74,35,38912,-126.66463448999998,1111,19,180,-1.1943311490118504,0.084619140625,169.80948528051377,55.62038040161133,0.20789724588394165,0.0003,0.2,-0.006983040965860709,0.012425585
221.71,37,40960,-125.23795430000001,1086,20,190,-1.1405114252120256,0.066552734375,193.14271008968353,60.10704803466797,0.19641119241714478,0.0003,0.2,-0.004481871944153682,0.009287603
238.76,41,43008,-121.51988364000003,1037,21,200,-0.9716500202193856,0.061865234375,205.7703646659851,97.15257263183594,0.23585665225982666,0.0003,0.2,-0.01063335781072965,0.008706341
249.66,44,45056,-118.30720366,1011,22,210,-1.05156802367419,0.0677734375,103.45293847322463,42.97616195678711,0.4171066880226135,0.0003,0.2,-0.006650617862032959,0.0094149
268.78,47,47104,-113.84736325999998,983,23,220,-1.0624519892036914,0.0486328125,178.20037281513214,60.52043914794922,0.14028865098953247,0.0003,0.2,-0.005414981109788641,0.006255828
285.77,51,49152,-112.06820123999998,955,24,230,-1.0851657239720225,0.09921875,101.60646755099296,39.36627197265625,0.3784019351005554,0.0003,0.2,-0.006522581163153518,0.010683954
303.37,54,51200,-111.00690393999997,941,25,240,-1.11086605489254,0.169921875,63.36914103627205,26.94126319885254,0.5359991490840912,0.0003,0.2,-0.01204414583480684,0.014356149
318.66,57,53248,-108.63603859999999,922,26,250,-1.0693646207451821,0.145556640625,129.72698028087615,74.8717041015625,0.2426825761795044,0.0003,0.2,-0.006207228988932912,0.008301421
335.91,61,55296,-106.33397251000001,895,27,260,-0.872039413265884,0.04296875,134.00620384216307,137.44818115234375,0.330578088760376,0.0003,0.2,-0.005136699955619406,0.011626143
356.91,64,57344,-103.48301991999999,888,28,270,-1.0530331533402204,0.118701171875,81.86277597546578,57.151885986328125,0.38770055770874023,0.0003,0.2,-0.007073083676368696,0.009232437
375.06,68,59392,-100.64044437999999,872,29,280,-1.0212609710171818,0.041796875,133.16501465439796,28.592105865478516,0.301480770111084,0.0003,0.2,-0.004494595358119113,0.0058831186
392.56,72,61440,-97.46611157999997,849,30,290,-0.9871562294661999,0.122216796875,52.474805384874344,16.134525299072266,0.39529186487197876,0.0003,0.2,-0.011553408009785927,0.012829654
409.79,76,63488,-92.97764812999998,829,31,300,-0.9837247909978032,0.09287109375,60.88463734388351,10.880891799926758,0.35559552907943726,0.0003,0.2,-0.00634981302646338,0.007459417
425.62,79,65536,-93.00684032,822,32,310,-1.011748913489282,0.096533203125,21.968984121084212,6.682829856872559,0.3409217596054077,0.0003,0.2,-0.008133159493445419,0.009901262
443.33,82,67584,-90.34149254,818,33,320,-0.9510587140917778,0.08955078125,24.817633375525475,6.639143943786621,0.03939419984817505,0.0003,0.2,-0.0039129381904785985,0.011175048
460.52,85,69632,-87.37440175,811,34,330,-0.9802944617345929,0.0513671875,36.74260877966881,6.873419761657715,0.22551238536834717,0.0003,0.2,-0.0022851646470371636,0.0039249426
477.87,90,71680,-83.12263088,794,35,340,-0.9711944296956062,0.063427734375,17.358911512792112,5.692265033721924,0.22205913066864014,0.0003,0.2,-0.003821066822274588,0.006365659
494.91,93,73728,-80.04508135,788,36,350,-0.9200559569522738,0.08076171875,20.796292555332183,8.926915168762207,-0.004899382591247559,0.0003,0.2,-0.0028043919090123383,0.005340494
512.11,96,75776,-78.18357765,781,37,360,-0.9787376262247562,0.0802734375,16.44990781843662,46.62746047973633,0.014833152294158936,0.0003,0.2,-0.00454113903833786,0.005209362
528.85,100,77824,-75.74501285000001,772,38,370,-0.9129093430936337,0.05439453125,15.742346253991126,5.653077125549316,0.08348363637924194,0.0003,0.2,-0.0029988570386194624,0.005116959
546.41,104,79872,-72.39940774,767,39,380,-0.9665349341928959,0.084521484375,18.04408687055111,3.688711404800415,0.23815613985061646,0.0003,0.2,-0.003797762364411028,0.0071878834
563.53,107,81920,-68.30464667,764,40,390,-0.9776463098824024,0.070263671875,40.82678361237049,13.925198554992676,0.2894160747528076,0.0003,0.2,-0.0038988123767921936,0.005775492
579.41,110,83968,-66.65553439,761,41,400,-0.9068677451461553,0.029931640625,15.501521070301532,3.638794422149658,0.31977033615112305,0.0003,0.2,-0.001147971986210905,0.0033400012
595.8,112,86016,-60.842907620000005,761,42,410,-0.9843026768416167,0.07626953125,23.96828383654356,5.411219120025635,0.06130719184875488,0.0003,0.2,-0.004244722697330871,0.005676439
612.32,115,88064,-61.11536075,759,43,420,-0.925700469315052,0.070654296875,26.551052376627922,6.296396732330322,0.19992148876190186,0.0003,0.2,-0.0022139167893328706,0.0063474746
635.65,118,90112,-56.32070511,757,44,430,-0.8697519719600677,0.055078125,26.96449461132288,8.230843544006348,0.19130569696426392,0.0003,0.2,-0.002690951435943134,0.005400822
652.55,122,92160,-54.07228411999999,751,45,440,-0.8704300444573164,0.0390625,27.577575874328613,4.249466896057129,0.27957385778427124,0.0003,0.2,-0.002051359257166041,0.0055141705
669.83,126,94208,-53.05809282999999,747,46,450,-0.884129025787115,0.036328125,17.49569738432765,6.7580389976501465,0.18832343816757202,0.0003,0.2,-0.0015200412235572003,0.004481107
685.92,129,96256,-49.59273862,742,47,460,-0.90433664675802,0.06591796875,12.589185996353626,3.529247760772705,0.2366929054260254,0.0003,0.2,-0.003056499835656723,0.0064339163
701.85,132,98304,-48.14782753,739,48,470,-0.8988587215542794,0.065087890625,16.54547323435545,4.755926609039307,0.2943342328071594,0.0003,0.2,-0.000679054697684478,0.0061749667
719.2,136,100352,-46.29970836,734,49,480,-0.8741093313321471,0.040380859375,20.192517456412315,7.348836898803711,0.1998199224472046,0.0003,0.2,0.00030935045942896976,0.0034900492
736.27,140,102400,-42.589671470000006,726,50,490,-0.8806784937158227,0.034814453125,18.432638163864613,5.36192512512207,0.1739768385887146,0.0003,0.2,-0.0005968605684756767,0.0043471307
751.83,144,104448,-41.45560023,722,51,500,-0.8754750180989503,0.06767578125,16.32540903687477,2.6779730319976807,0.2061368227005005,0.0003,0.2,-0.001575667128781788,0.0054191556
767.22,148,106496,-38.69542207,719,52,510,-0.8803124209865928,0.070703125,11.968980342894792,2.476517677307129,0.2488396167755127,0.0003,0.2,-0.002618847371195443,0.0053596306
783.43,151,108544,-37.44587436,714,53,520,-0.8641856802627444,0.051806640625,20.62125121355057,190.67518615722656,0.20512449741363525,0.0003,0.2,-0.0014888077479554341,0.0044988478
796.94,155,110592,-35.27446223,710,54,530,-0.8683421446010471,0.067431640625,17.793943993747234,2.7857813835144043,0.29163646697998047,0.0003,0.2,-0.003744278984959237,0.008381458
810.59,159,112640,-32.10479393,705,55,540,-0.8467287369072437,0.040380859375,16.95289720967412,103.98230743408203,0.4150252938270569,0.0003,0.2,-0.0003564200167602394,0.0033411486
825.77,163,114688,-29.270838259999994,701,56,550,-0.8280450215563178,0.053271484375,13.433744329959154,2.358916997909546,0.3648858666419983,0.0003,0.2,-0.0008427944878349081,0.004738087
833.64,168,116736,-29.42341731,692,57,560,-0.8318494958803058,0.040234375,22.555612532794477,4.264949798583984,0.5543731153011322,0.0003,0.2,-0.004376181292172987,0.0060947193
849.35,171,118784,-25.279234250000005,692,58,570,-0.7836964830756188,0.06396484375,20.100724670290948,2.974640369415283,0.45116251707077026,0.0003,0.2,-0.0021576631799689492,0.004807327
863.41,175,120832,-23.904334450000007,688,59,580,-0.8220466928556561,0.073779296875,21.081747933477164,4.9936909675598145,0.5774052441120148,0.0003,0.2,-0.002534429295337759,0.006356813
876.57,179,122880,-21.69734817,685,60,590,-0.7930347956717014,0.101416015625,13.168082825094462,5.31231164932251,0.35717934370040894,0.0003,0.2,-0.005164292730478337,0.008133864
884.16,182,124928,-21.38281762,683,61,600,-0.7715709244832396,0.0734375,18.21315403133631,4.904903411865234,0.627768337726593,0.0003,0.2,0.0005389650359575171,0.0062299226
899.25,185,126976,-17.807093329999997,682,62,610,-0.810294978134334,0.05126953125,22.743071205168963,2.0994045734405518,0.7113201916217804,0.0003,0.2,-0.0024179262334655506,0.0041033174
907.32,188,129024,-17.94158778,683,63,620,-0.7729931784793734,0.07080078125,18.628993491828442,4.781387805938721,0.5411152541637421,0.0003,0.2,-0.0016698676539817826,0.006867705
921.81,192,131072,-14.583780590000003,681,64,630,-0.7798128202557564,0.096923828125,15.621221012622119,4.470993518829346,0.7199881970882416,0.0003,0.2,-0.0029379391733527884,0.0045892904
938.52,195,133120,-13.450014020000003,679,65,640,-0.7541660949587822,0.06328125,42.335865365713836,12.619237899780273,0.5767229795455933,0.0003,0.2,-0.0017066621741832933,0.004393894
953.38,200,135168,-10.261210320000002,673,66,650,-0.7969627633690834,0.07578125,15.874125099927188,2.0407261848449707,0.771703913807869,0.0003,0.2,-0.003550901087874081,0.007839727
961.43,205,137216,-9.421939730000002,668,67,660,-0.7731444295495749,0.07158203125,20.795958450436594,2.0574824810028076,0.5539982616901398,0.0003,0.2,-0.0016575031855609267,0.004807055
961.43,209,139264,-9.355191260000002,665,68,670,-0.7602414783090353,0.069580078125,17.991194389015437,2.4679665565490723,0.4560197591781616,0.0003,0.2,-0.0008661980435135774,0.004728703
976.52,212,141312,-6.608533800000001,664,69,680,-0.7601261178031564,0.062841796875,21.46272522881627,2.196955442428589,0.514740526676178,0.0003,0.2,-0.0019413053436437623,0.008164101
976.52,216,143360,-7.0282963800000005,662,70,690,-0.7363910840824246,0.062841796875,16.268939209356905,2.712157726287842,0.7085708677768707,0.0003,0.2,-0.002287696412531659,0.004003402
983.3,221,145408,-6.777424240000001,657,71,700,-0.7093953030183912,0.071728515625,15.463027880713344,1.036136507987976,0.49037760496139526,0.0003,0.2,-0.002421226706064772,0.005002332
983.3,223,147456,-6.698744799999999,658,72,710,-0.7275239132344723,0.04150390625,12.568718323856592,2.1356265544891357,0.43156999349594116,0.0003,0.2,-0.00023840853609726764,0.0030730353
986.42,227,149504,-4.6133369900000005,657,73,720,-0.7078657541424036,0.0640625,15.793795743584633,1.1429595947265625,0.5441694557666779,0.0003,0.2,-0.0029373751247476322,0.0052052583
994.31,230,151552,-1.11612391,656,74,730,-0.7129626529291272,0.059619140625,24.152051450312136,2.4480044841766357,0.5879423022270203,0.0003,0.2,-0.002038949926645728,0.004894443
994.31,233,153600,-2.85441597,657,75,740,-0.7171593585982918,0.069091796875,15.95557265393436,1.5600073337554932,0.6346794962882996,0.0003,0.2,-0.0032360422643250785,0.0056757107
