time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
38912,1117,34,227.6,19,-119.24628332,0.2,180,0.084326171875,204.6139854311943,0.009493131,-0.009675881883595139,0.2255210280418396,0.0003,55.748939514160156,-1.185943751782179
40960,1104,37,241.93,20,-115.29848607999999,0.2,190,0.024560546875,280.954581618309,0.005474931,-0.0038727908184228,0.32516539096832275,0.0003,89.90819549560547,-1.0881888065487146
43008,1075,39,260.21,21,-112.32723977999999,0.2,200,0.042919921875,181.59872426986695,0.009014622,-0.002833190750243375,0.22321808338165283,0.0003,28.948823928833008,-0.9762551022693515
45056,1058,42,275.84,22,-109.45681572000001,0.2,210,0.063330078125,160.03065562844276,0.0078975335,-0.0054251773173746186,0.2797468304634094,0.0003,30.514413833618164,-1.0923684064298869
47104,1026,45,282.03,23,-109.73390281,0.2,220,0.03916015625,217.33726098537446,0.006788807,-0.005041966757562477,0.41364598274230957,0.0003,49.52534484863281,-0.9671771684661508
49152,1005,48,298.97,24,-107.81666047,0.2,230,0.11103515625,100.06937841176986,0.013003297,-0.009316131727973697,0.7416287660598755,0.0003,172.3198699951172,-1.0420871160924434
51200,995,51,311.97,25,-106.35972037000002,0.2,240,0.04560546875,160.01119379997255,0.0069297124,-0.007084383840265218,0.6540437340736389,0.0003,35.283687591552734,-0.9833698881790042
53248,970,54,328.85,26,-101.10066060000001,0.2,250,0.03193359375,116.36925010681152,0.005600321,-0.004339118441566825,0.6491841971874237,0.0003,55.062721252441406,-1.0511283962056042
55296,947,58,346.82,27,-99.50002218,0.2,260,0.078271484375,76.63916534781455,0.0077019474,-0.007883440105069894,0.4803151488304138,0.0003,352.5063171386719,-1.0273823784664273
57344,941,60,362.71,28,-98.08733448,0.2,270,0.048388671875,66.78484457135201,0.0057709096,-0.0035659012050018647,0.7059896886348724,0.0003,11.24802017211914,-1.0685611557215453
59392,932,63,381.44,29,-94.78134238000003,0.2,280,0.040625,269.002400803566,0.005937021,-0.004661306649359176,0.5835056304931641,0.0003,182.93704223632812,-0.8676920145750046
61440,913,67,398.35,30,-92.37531149,0.2,290,0.07548828125,163.933877158165,0.006592596,-0.0057122704245557545,0.4377570152282715,0.0003,73.51781463623047,-1.0791219171136617
63488,902,70,415.61,31,-87.73987134000001,0.2,300,0.078271484375,47.84419966638088,0.008188752,-0.009091557706415187,0.728897750377655,0.0003,14.791024208068848,-0.958400433883071
65536,884,74,432.72,32,-85.28766832000001,0.2,310,0.049560546875,53.862852251529695,0.008228003,-0.004813648838899098,0.7109148800373077,0.0003,19.2766170501709,-0.9345355940982699
67584,870,77,446.45,33,-84.04637841999998,0.2,320,0.06240234375,40.21610311567783,0.0062444257,-0.007759792261640541,0.7960858792066574,0.0003,5.785184860229492,-1.0257321203127503
