time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl
49152,24,-114.83531880000001,218.09,1190,41,0.2,0.0031787753105163574,106.75677490234375,0.0003,-0.006773868051095633,0.044677734375,-1.1397574428468942,230,399.3172719240189,0.009066735
51200,25,-114.95191805999998,231.87,1185,43,0.2,0.06518596410751343,58.74696731567383,0.0003,-0.005351586035976652,0.022412109375,-1.099273818358779,240,256.037607216835,0.005040872
53248,26,-115.17174223000004,237.02,1186,44,0.2,0.0055931806564331055,99.09368896484375,0.0003,-0.006229931517736986,0.01552734375,-1.0560840412974357,250,366.81231050491334,0.0061244247
55296,27,-112.81266239,244.04,1181,46,0.2,-0.031433701515197754,330.66290283203125,0.0003,-0.004621193333150586,0.008447265625,-1.0237794902175665,260,578.391311120987,0.004213642
57344,28,-110.99687280000002,262.4,1152,49,0.2,0.0667220950126648,288.9071044921875,0.0003,-0.004659543211164419,0.0283203125,-1.1108368378132583,270,447.39407229423523,0.0053302366
59392,29,-108.31548586999999,273.2,1150,51,0.2,0.14766430854797363,54.991512298583984,0.0003,-0.006924952752888203,0.054931640625,-1.173772667720914,280,199.19361227750778,0.007788986
61440,30,-106.17367713999998,283.6,1137,54,0.2,0.1526969075202942,194.97828674316406,0.0003,-0.005628942653129343,0.040625,-1.0109315350651742,290,330.84474778175354,0.010211413
63488,31,-105.09250433000001,288.11,1128,56,0.2,0.2161954641342163,87.7099380493164,0.0003,-0.00242600552883232,0.007177734375,-0.987783569842577,300,228.46774005889893,0.003863255
65536,32,-105.45959893,302.1,1118,58,0.2,0.15889185667037964,410.1031494140625,0.0003,-0.006219850685010897,0.031591796875,-1.0411719396710395,310,460.6303318023682,0.005921356
67584,33,-102.07585718,318.49,1096,61,0.2,0.2686055302619934,152.85595703125,0.0003,-0.008002385475265328,0.100634765625,-1.0067013522610069,320,242.16588379144667,0.014112128
69632,34,-100.23118888,330.64,1077,64,0.2,0.48553621768951416,39.451908111572266,0.0003,-0.005591644578817068,0.062841796875,-1.0880064863711596,330,99.36858603358269,0.010143849
71680,35,-101.20962238,329.49,1059,67,0.2,0.38545602560043335,62.37037658691406,0.0003,-0.007269966240710346,0.09873046875,-1.0595286492258311,340,185.12656930685043,0.009495807
73728,36,-102.90642208999999,335.22,1042,70,0.2,0.30803054571151733,54.75351333618164,0.0003,-0.007972344900190364,0.07119140625,-0.997615821287036,350,214.7295130610466,0.01098734
75776,37,-100.66930233000001,350.24,1038,72,0.2,0.3290634751319885,90.04408264160156,0.0003,-0.0075144410860957574,0.050390625,-0.9821692906320095,360,193.7154582262039,0.0057224003
77824,38,-94.47556657999999,369.06,1014,76,0.2,0.05370616912841797,68.62077331542969,0.0003,-0.003528153692604974,0.096630859375,-1.053929741308093,370,278.0664266109467,0.008175894
79872,39,-94.68183812,377.6,1007,79,0.2,0.08864599466323853,47.22265625,0.0003,-0.008369035569194239,0.087255859375,-0.9104640541598201,380,218.6314029097557,0.016980492
81920,40,-91.96992656999998,394.08,987,82,0.2,0.22644293308258057,68.15388488769531,0.0003,-0.003434591242694296,0.0896484375,-0.9774863934144378,390,166.99237509965897,0.008489726
83968,41,-95.01271666999999,400.33,976,86,0.2,0.45228809118270874,21.62368392944336,0.0003,-0.010564710744074546,0.11669921875,-1.0434437856078147,400,105.09542117714882,0.00721473
86016,42,-91.59213888000002,417.12,969,88,0.2,0.27179110050201416,15.337206840515137,0.0003,-0.005323068567668088,0.0755859375,-0.9672693343833089,410,168.33243398666383,0.0069788853
88064,43,-92.18382977000002,425.73,953,92,0.2,0.08029353618621826,13.574258804321289,0.0003,-0.006299829411727842,0.1322265625,-1.0559262720867992,420,37.49314607679844,0.008678932
90112,44,-86.9158259,433.77,942,95,0.2,0.010021090507507324,25.81540870666504,0.0003,-0.010598875959112774,0.173779296875,-1.087590774334967,430,34.27050366401672,0.013414356
92160,45,-86.50050357000002,449.62,931,98,0.2,0.06692242622375488,7.401864528656006,0.0003,-0.00792635856778361,0.1123046875,-1.03156867492944,440,24.327105537056923,0.009982719
94208,46,-83.43724411,466.11,916,102,0.2,0.33863890171051025,7.5157904624938965,0.0003,-0.006545588004519232,0.089111328125,-1.0301459135487676,450,26.619473871588706,0.007814353
96256,47,-81.91681687999998,481.83,910,105,0.2,0.04935729503631592,7.968687057495117,0.0003,-0.005287574305839371,0.111181640625,-1.05768758431077,460,20.906080628931523,0.008742744
98304,48,-80.32513270999999,498.77,902,108,0.2,0.11637240648269653,10.401763916015625,0.0003,-0.00428178880829364,0.070751953125,-0.9769400278106332,470,26.650526240468025,0.008982607
100352,49,-77.14574285,514.32,883,113,0.2,0.20457690954208374,11.676839828491211,0.0003,-0.004658439219201682,0.057470703125,-1.0362048499286174,480,27.893781040608882,0.007888966
102400,50,-75.34650728000001,522.68,877,116,0.2,0.6127429604530334,5.978765487670898,0.0003,-0.004537353111663834,0.059814453125,-1.0054554548114538,490,26.826587536931036,0.006953448
104448,51,-73.30928507000002,537.39,861,121,0.2,0.400787889957428,9.778544425964355,0.0003,-0.0024089949449262347,0.02900390625,-1.022626399807632,500,38.45955402106047,0.005033849
106496,52,-71.53371467000001,552.45,854,124,0.2,0.7305712401866913,3.3528852462768555,0.0003,-0.004878472533891909,0.047216796875,-0.9942254757508635,510,17.595324034243824,0.0061737923
108544,53,-68.17696426,567.36,838,129,0.2,0.69509157538414,161.24082946777344,0.0003,-0.004571587697864743,0.04619140625,-0.9917293211445213,520,32.44310909062624,0.0072572604
110592,54,-67.37828085,584.18,829,133,0.2,0.6599314212799072,4.026328086853027,0.0003,-0.002921406259702053,0.044140625,-0.9178903475403786,530,20.638883631676435,0.003554501
112640,55,-61.2956645,605.1,823,136,0.2,0.5165963768959045,6.779706954956055,0.0003,-0.0027529725062777287,0.05263671875,-0.8976969750598073,540,28.08765404820442,0.0056439172
114688,56,-61.32970292,621.14,816,140,0.2,0.420768678188324,45.84105682373047,0.0003,-0.006751401909787092,0.023291015625,-0.8833748232573271,550,93.87328114360571,0.0026377134
116736,57,-57.45083637999999,636.54,814,143,0.2,0.3248230814933777,6.830895900726318,0.0003,-0.006739092797215562,0.116943359375,-0.9570529853925109,560,20.387565869092942,0.009556757
118784,58,-54.669454560000005,651.26,810,146,0.2,0.5972814559936523,2.05307936668396,0.0003,-0.004830927708826494,0.10263671875,-0.9002347456291317,570,22.037525361776353,0.00885299
120832,59,-51.97856582,665.32,800,150,0.2,0.42076432704925537,4.648467540740967,0.0003,-0.0011001399281667546,0.03515625,-0.9125066136941313,580,31.352377657592296,0.0050988705
122880,60,-51.373904540000005,679.54,795,154,0.2,0.4409298300743103,2.9348533153533936,0.0003,-0.005163360255392035,0.053369140625,-0.9405470123514533,590,29.994160284101962,0.006674242
124928,61,-51.4652851,687.29,787,158,0.2,0.42248696088790894,3.7585361003875732,0.0003,-0.0015401216485770419,0.04697265625,-0.9199818436056375,600,26.315421414375304,0.0048788553
126976,62,-50.743560529999996,694.96,783,162,0.2,0.4404507279396057,3.638723134994507,0.0003,-0.003340438193117734,0.08271484375,-0.9472101509571076,610,22.19545719847083,0.005965478
129024,63,-48.76991478,707.22,782,164,0.2,0.4039697051048279,4.390201568603516,0.0003,-0.0031884010844805744,0.0828125,-0.938983554765582,620,29.92261798530817,0.0074987924
131072,64,-46.88349082,722.72,777,168,0.2,0.3464662432670593,7.097184658050537,0.0003,-0.004838383007154334,0.062939453125,-0.9033863684162498,630,33.09162613004446,0.0057272865
133120,65,-44.55692608999999,737.76,775,171,0.2,0.5491925776004791,7.567689418792725,0.0003,-0.0025820844384725206,0.08515625,-0.8747587339952588,640,24.39463146328926,0.007203951
135168,66,-41.572445989999984,752.46,772,175,0.2,0.600758969783783,4.0869622230529785,0.0003,-0.0008707590037374757,0.032275390625,-0.9138195045292378,650,19.49953543767333,0.0034790481
137216,67,-41.145329659999994,760.65,769,178,0.2,0.48052167892456055,6.688814163208008,0.0003,-0.0050716465397272256,0.0794921875,-0.9262372970581054,660,18.604347164183856,0.00754599
139264,68,-38.86527461,775.14,767,181,0.2,0.4949350357055664,5.810956001281738,0.0003,-0.0007933529595902655,0.042578125,-0.910866392403841,670,34.94485484063625,0.0037492984
141312,69,-38.0971573,785.54,763,185,0.2,0.4975482225418091,5.681183338165283,0.0003,-0.0028510753763839602,0.05458984375,-0.8808372559025883,680,26.56387111544609,0.005820731
143360,70,-34.50419322,800.76,759,188,0.2,0.24333500862121582,6.498239517211914,0.0003,-0.00109649666956102,0.04853515625,-0.8973657839000225,690,71.56579907536506,0.0045900503
145408,71,-30.729379649999995,817.87,753,193,0.2,0.5826770663261414,3.5164036750793457,0.0003,-0.0033581634605070578,0.081103515625,-0.9321451852098107,700,18.197624188661575,0.0074614007
147456,72,-32.21995163,825.66,742,198,0.2,0.6400259435176849,11.69461441040039,0.0003,-0.0022964618023252116,0.036669921875,-0.8797361113131046,710,33.984963135421275,0.0043471046
149504,73,-27.862840779999992,848.19,740,201,0.2,0.5719271898269653,2.9883692264556885,0.0003,-0.0038694676564773544,0.047705078125,-0.9044612735509873,720,17.015517988801,0.005629947
151552,74,-25.49896765999999,861.86,734,206,0.2,0.6177227199077606,113.80142211914062,0.0003,-0.003181020501142484,0.0728515625,-0.8524903308600187,730,32.12935131415725,0.00637631
153600,75,-26.39960320999999,861.86,729,210,0.2,0.4853668212890625,2.0825517177581787,0.0003,-0.0005606788210570813,0.068310546875,-0.839061988517642,740,25.636803144961597,0.007090142
155648,76,-24.737372659999995,869.5,726,214,0.2,0.6209791302680969,2.5738332271575928,0.0003,-0.003553951601497829,0.06552734375,-0.8649915311485529,750,22.75432555228472,0.006109612
157696,77,-22.22021012999999,881.35,718,219,0.2,0.6301561594009399,4.347494602203369,0.0003,-0.005073301283846377,0.090625,-0.8645824022591114,760,28.954262451082467,0.00874779
159744,78,-19.903228769999995,894.83,711,224,0.2,0.5685995519161224,2.1979868412017822,0.0003,-0.003182952005590778,0.059326171875,-0.8700641745701432,770,16.634268056601286,0.0044936957
161792,79,-18.30789634,906.85,710,227,0.2,0.5761833488941193,5.756906032562256,0.0003,-0.0024031996086705475,0.067822265625,-0.8503670502454043,780,24.37059644162655,0.0066405702
163840,80,-17.987782309999996,913.28,706,231,0.2,0.718859076499939,4.2027130126953125,0.0003,-0.002251766361587215,0.0724609375,-0.8705768816173076,790,20.00352410823107,0.0060740914
165888,81,-14.348227839999998,926.2,704,235,0.2,0.23712772130966187,2.973054885864258,0.0003,-0.0014311217004433275,0.057470703125,-0.8292022855952382,800,18.86749125495553,0.0062853573
167936,82,-12.731557869999996,932.4,700,239,0.2,0.5276888310909271,2.8502161502838135,0.0003,-0.0012582385970745236,0.039453125,-0.8549822490662337,810,15.488200546056031,0.0039827246
169984,83,-11.209480649999998,945.23,701,242,0.2,0.4432159662246704,2.9312846660614014,0.0003,-0.0031570663733873515,0.057275390625,-0.8214278932660818,820,23.879404773563145,0.005039015
172032,84,-10.233855789999998,953.6,700,245,0.2,0.7590728551149368,2.134361505508423,0.0003,-0.007378328638151288,0.1267578125,-0.8969102330505848,830,18.016970551013948,0.009717045
174080,85,-10.954828710000001,960.66,699,248,0.2,0.5069027245044708,8.124274253845215,0.0003,-0.0031539217648969497,0.049755859375,-0.8340861907228827,840,60.50746547281742,0.0049406644
176128,86,-9.789254029999999,968.5,697,252,0.2,0.6853721141815186,233.01791381835938,0.0003,-0.002794984351930907,0.05615234375,-0.8192447438836098,850,28.69735563248396,0.0050090095
178176,87,-8.280660950000001,978.53,698,255,0.2,0.5130891799926758,5.522397994995117,0.0003,-0.0042075299847056154,0.06728515625,-0.8520177623257041,860,19.16526166945696,0.005234656
180224,88,-5.460136349999999,985.8,698,258,0.2,0.7162936329841614,4.044998645782471,0.0003,3.3409004390705374e-05,0.048583984375,-0.819849862344563,870,25.20391117930412,0.006182613
182272,89,-3.902664250000001,988.82,697,261,0.2,0.7320525944232941,7.152791976928711,0.0003,-0.0013212626770837232,0.04677734375,-0.8026794312521816,880,30.06522588133812,0.0058201356
184320,90,-3.747204139999999,993.68,697,264,0.2,0.6306934356689453,2.0548274517059326,0.0003,-0.00597982313047396,0.099267578125,-0.8384367955848575,890,24.789702339470388,0.0063430686
186368,91,-3.08886629,993.68,698,266,0.2,0.6459798216819763,2.5752031803131104,0.0003,-0.0030999763344880193,0.0341796875,-0.8301394097507,900,52.555547846853734,0.004590604
188416,92,-3.1906049199999997,993.68,697,270,0.2,0.9196436256170273,1.9674357175827026,0.0003,-0.0012647193547309144,0.043994140625,-0.8132104331627488,910,15.428155130147934,0.005815145
190464,93,-3.90271212,993.68,692,275,0.2,0.8978817313909531,1.6379300355911255,0.0003,-0.0013580722850747406,0.069287109375,-0.8403643425554037,920,24.727376494556665,0.0078045325
192512,94,-3.544806829999999,993.68,688,279,0.2,0.6966340243816376,1.7023792266845703,0.0003,-0.004399974135594675,0.09560546875,-0.7857124010100961,930,28.59842432811856,0.007883456
194560,95,-3.0187539799999996,991.51,685,283,0.2,0.7947365939617157,2.0446956157684326,0.0003,-0.003669973673822824,0.04873046875,-0.827231713756919,940,20.556629713997246,0.0056217387
196608,96,-3.32731538,991.51,685,286,0.2,0.4196631908416748,130.37611389160156,0.0003,-0.0011781776360294317,0.02451171875,-0.7920739589259028,950,79.89484312236308,0.0065238127
198656,97,-2.75595807,991.51,685,289,0.2,0.8876047730445862,73.87468719482422,0.0003,0.0003521579739754088,0.0603515625,-0.8131584368646145,960,27.483730022609233,0.0054757474
200704,98,-2.1292438200000006,990.09,683,293,0.2,0.8353350609540939,2.6248512268066406,0.0003,-0.003395747340437083,0.07451171875,-0.7668789910152555,970,27.816101362556218,0.006376095
202752,99,-1.8134738400000003,990.09,682,296,0.2,0.6734982132911682,5.46682071685791,0.0003,-0.002886535213474417,0.068505859375,-0.7476577628403902,980,76.45052760243416,0.008233793
204800,100,-2.0192681000000006,990.09,681,300,0.2,0.7591366916894913,3.4050612449645996,0.0003,-0.0009155574218311813,0.034130859375,-0.7606793366372585,990,31.261826442927124,0.004606798
206848,101,-4.726972790000001,987.55,683,302,0.2,0.9070593416690826,1.5765306949615479,0.0003,-0.0018404682065011001,0.073876953125,-0.7685467258095742,1000,18.336490420252083,0.008162308
208896,102,-4.210502890000001,987.55,681,306,0.2,0.6882621347904205,49.90689468383789,0.0003,-0.0038570298387639924,0.053125,-0.7583032418042421,1010,90.83685275912285,0.0068045272
210944,103,-1.9595280900000003,987.78,679,310,0.2,0.8431854099035263,1.7647099494934082,0.0003,-0.0004030960699310526,0.03994140625,-0.7864281322807074,1020,19.21081966124475,0.0037150094
212992,104,-1.3887757800000002,987.78,678,313,0.2,0.6825977861881256,14.704404830932617,0.0003,-0.0008218328221119009,0.0453125,-0.770961058139801,1030,58.77533472776413,0.0037731007
215040,105,-2.52935015,987.78,677,317,0.2,0.8948704749345779,1.894730806350708,0.0003,-0.004917467819177545,0.1029296875,-0.781265932880342,1040,31.41266535744071,0.01339076
217088,106,-3.6556883700000005,986.18,678,320,0.2,0.8622813820838928,3.7018280029296875,0.0003,-0.0035212766597396694,0.06474609375,-0.7860938584432006,1050,30.716592824459077,0.0064798268
219136,107,-3.9597669,986.18,675,324,0.2,0.8619086742401123,6.991846561431885,0.0003,-0.003253399205277674,0.0435546875,-0.780392855592072,1060,33.91184722594917,0.002966261
221184,108,-4.22070273,986.18,675,327,0.2,0.8209969997406006,1.262896180152893,0.0003,-0.0009666964935604483,0.070166015625,-0.766666099242866,1070,26.6327895142138,0.011500369
223232,109,-2.82312373,986.18,674,331,0.2,0.7739939987659454,1.9127968549728394,0.0003,-0.0013586043860414065,0.083154296875,-0.7838860591873527,1080,24.91454811915755,0.004825781
225280,110,-0.9200532,982.35,673,334,0.2,0.8533508628606796,1.4174212217330933,0.0003,-0.001123438925424125,0.043994140625,-0.7735654756426811,1090,24.36505251787603,0.0027345857
227328,111,-1.5967560499999993,982.35,673,337,0.2,0.3436025381088257,49.81331253051758,0.0003,-0.0006942021733266302,0.036376953125,-0.7106425866484642,1100,110.35435891002416,0.0038420064
