time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/loss,train/clip_range
2351,-173.33722291666666,1,0,84.875,2048,,,,,,,,,,
1753,-169.0927685625,2,2,84.125,4096,-0.006796454169671051,2387.89487953186,0.0003,10,0.007916819,-1.3824337743222714,-0.0031137466430664062,0.020751953125,742.2005615234375,0.2
1622,-162.6429973,3,3,87.14285714285714,6144,-0.005138662779063452,785.2663919448853,0.0003,20,0.009927748,-1.3812572170048951,-0.014076709747314453,0.051953125,294.2911376953125,0.2
1553,-162.45271107608693,4,5,88.41304347826087,8192,-0.007244663697201758,1334.9649099349976,0.0003,30,0.00754427,-1.3714930571615696,-0.05756092071533203,0.018896484375,453.3839416503906,0.2
1491,-161.34284128,5,6,90.77,10240,-0.009866232743661385,571.9588889122009,0.0003,40,0.009554926,-1.3467385057359933,-0.006635069847106934,0.095751953125,493.12030029296875,0.2
1317,-160.63187152,6,9,101.87,12288,-0.008648092177463696,633.9891791343689,0.0003,50,0.008749044,-1.3530768480151891,0.010196506977081299,0.05791015625,302.3698425292969,0.2
1327,-159.90186445,7,10,106.99,14336,-0.005185054655157728,561.0793572902679,0.0003,60,0.0056868554,-1.3313039071857928,0.21975338459014893,0.027490234375,229.03179931640625,0.2
1270,-152.99319082999997,8,12,118.57,16384,-0.0071844350604806095,681.6212718009949,0.0003,70,0.007863077,-1.3096029724925757,-0.10141527652740479,0.126806640625,369.43487548828125,0.2
1278,-155.80121107,9,14,122.91,18432,-0.008192980586318298,426.9302383422852,0.0003,80,0.00799895,-1.3298406422138214,0.009929060935974121,0.043701171875,363.8976135253906,0.2
1283,-154.62298525999998,10,15,130.47,20480,-0.002992223329783883,754.6362183570861,0.0003,90,0.007074818,-1.2579816434532405,-0.04494976997375488,0.018896484375,526.2101440429688,0.2
1289,-146.32856987000002,11,17,134.71,22528,-0.008122130722767906,641.760779762268,0.0003,100,0.011724956,-1.222411645948887,-0.004475951194763184,0.081591796875,294.2180480957031,0.2
1288,-148.07726691000002,12,19,134.62,24576,-0.006132960754621308,914.5896679878235,0.0003,110,0.009023099,-1.1867620654404163,-0.037754178047180176,0.051513671875,495.1959228515625,0.2
1292,-144.88833748000002,13,20,141.16,26624,-0.009353911955258809,492.3828040599823,0.0003,120,0.008465102,-1.2100948378443719,0.011640191078186035,0.063427734375,206.511474609375,0.2
1297,-139.25555509,14,22,144.6,28672,-0.0035532685658836273,710.6956427574157,0.0003,130,0.008096147,-1.2048548009246587,0.08270055055618286,0.01640625,275.6083679199219,0.2
1270,-138.55718124999999,15,24,148.1,30720,-0.006083036868949421,599.9758034229278,0.0003,140,0.008609341,-1.1656433776021005,0.2100326418876648,0.030078125,193.2828826904297,0.2
1272,-131.97522200000003,16,25,154.88,32768,-0.003994712293206248,372.8042649745941,0.0003,150,0.007798058,-1.2303807009011507,0.13707345724105835,0.023974609375,54.775115966796875,0.2
1223,-128.76536565,17,28,167.47,34816,-0.008984004591184203,490.0855891466141,0.0003,160,0.0127934385,-1.125554383173585,0.1517946720123291,0.0990234375,185.11505126953125,0.2
1191,-129.89661237,18,30,176.57,36864,-0.004940865730895893,492.1583627462387,0.0003,170,0.007271395,-1.1788352821022272,0.3228796124458313,0.024169921875,63.958221435546875,0.2
1156,-125.67844400999998,19,33,185.91,38912,-0.00848002658021869,305.73715422153475,0.0003,180,0.009087304,-1.1638197898864746,0.35035598278045654,0.07255859375,123.2846908569336,0.2
