rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate
99.45,0,2048,-173.3475477,1,2329,,,,,,,,,,
100.65,2,4096,-168.07074117500002,2,1750,-1.3803686659783125,0.010093917,229.56817626953125,0.2,1223.133526611328,0.048583984375,-0.010015326217398979,10,0.005870699882507324,0.0003
98.66129032258064,3,6144,-166.46827393548384,3,1623,-1.3728659600019455,0.005675979,280.96075439453125,0.2,883.8833414077759,0.014794921875,-0.005071843240875751,20,0.00471121072769165,0.0003
100.62962962962963,5,8192,-167.3672974814815,4,1568,-1.365461764857173,0.0071676113,284.2501525878906,0.2,835.5832728385925,0.024755859375,-0.005666604697762523,30,-0.00901174545288086,0.0003
102.11111111111111,6,10240,-166.30518304040405,5,1522,-1.350256521627307,0.0049891965,291.1676940917969,0.2,919.2884175300599,0.024658203125,-0.005096488712297287,40,-0.002464890480041504,0.0003
105.12,8,12288,-165.96834805999998,6,1504,-1.3207894425839186,0.012078079,419.5672607421875,0.2,573.556639289856,0.150830078125,-0.010603958587671514,50,-0.0019072294235229492,0.0003
109.67,9,14336,-165.21833432,7,1476,-1.2751630797982216,0.013081462,393.02960205078125,0.2,600.9822323322296,0.1447265625,-0.00838926507422002,60,-0.02266407012939453,0.0003
114.31,11,16384,-159.71877225000003,8,1462,-1.235727759823203,0.008265153,343.5743408203125,0.2,517.958882856369,0.101904296875,-0.006162645014410373,70,-0.004852414131164551,0.0003
120.9,12,18432,-156.69560027,9,1452,-1.2348515585064888,0.008861547,263.13897705078125,0.2,532.1632148265838,0.05576171875,-0.00993888516095467,80,0.0009243488311767578,0.0003
127.57,14,20480,-153.59815248,10,1442,-1.2120923358947038,0.013438385,195.6602020263672,0.2,411.91099519729613,0.138232421875,-0.01293023739126511,90,-0.006588101387023926,0.0003
134.31,15,22528,-152.36850543,11,1430,-1.1679982896894217,0.006237449,192.25328063964844,0.2,393.5568766593933,0.051708984375,-0.005003075344575336,100,-0.000535130500793457,0.0003
143.74,17,24576,-147.70662693,12,1411,-1.1617703594267368,0.008544296,214.09609985351562,0.2,500.84051566123964,0.0630859375,-0.0047875492149614726,110,-9.72747802734375e-05,0.0003
155.05,19,26624,-142.31644638999998,13,1398,-1.127481670305133,0.0061377073,150.49899291992188,0.2,490.5873194217682,0.037744140625,-0.00517084521416109,120,-0.0005015134811401367,0.0003
165.25,20,28672,-140.30441650999998,14,1381,-1.0538003703579306,0.006974685,307.6779479980469,0.2,469.0288046836853,0.075244140625,-0.004032377587282099,130,-0.003131270408630371,0.0003
173.74,22,30720,-134.64855310000002,15,1369,-1.083637023344636,0.004919342,286.0951843261719,0.2,518.783056640625,0.045166015625,-0.00546253547508968,140,-0.00019359588623046875,0.0003
