time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance
687,49152,-549.9430594186048,71,567.2674418604652,24,0.0065019066,1460,0.2,-0.0018788934663461986,0.069873046875,3.7020046710968018,31.606864535063504,0.0003,-0.8902440244331956,0.8241336494684219
679,51200,-545.227266247191,75,564.4157303370787,25,0.003977977,1470,0.2,-0.0018750731309410185,0.05751953125,56.52165222167969,185.99478646814822,0.0003,-0.785997418127954,0.20521461963653564
684,53248,-538.5454181914894,77,564.8085106382979,26,0.006250104,1480,0.2,-0.004933412013633643,0.055810546875,174.2732391357422,163.8982388138771,0.0003,-0.7496973292902112,0.3225034475326538
688,55296,-528.5498665454545,80,552.6060606060606,27,0.011833496,1490,0.2,-0.0027348611465640715,0.07490234375,13.188628196716309,70.59817146956921,0.0003,-0.8313910374417901,0.6613515913486481
679,57344,-525.67195972,84,557.15,28,0.0052668843,1500,0.2,-0.0004044112138217315,0.04013671875,53.071754455566406,110.43793096244335,0.0003,-0.7939978169277311,0.5722310245037079
675,59392,-518.04052672,87,554.89,29,0.007614132,1510,0.2,-0.00047184853028738873,0.084375,8.502744674682617,129.63427292220294,0.0003,-0.8209617212414742,0.6724779009819031
666,61440,-513.5897256100001,92,549.62,30,0.007709966,1520,0.2,-0.003787190448201727,0.06533203125,101.3748779296875,133.469945076108,0.0003,-0.809886971488595,0.6914827823638916
664,63488,-516.2352523,95,565.71,31,0.008513372,1530,0.2,-0.00841627560002962,0.075244140625,21.15706443786621,82.25570692420006,0.0003,-0.7763295980170369,0.7393234670162201
665,65536,-504.17634206,98,553.9,32,0.022687066,1540,0.2,-0.005629718866839539,0.125048828125,23.915916442871094,137.9870140105486,0.0003,-0.7825379179790616,0.7896434664726257
669,67584,-501.8849515899999,100,549.19,33,0.0053475574,1550,0.2,-0.002719007801351836,0.06748046875,31.95924186706543,173.550497841835,0.0003,-0.780021739564836,0.6853247284889221
673,69632,-481.52772425,103,527.28,34,0.005086419,1560,0.2,-7.465647286153398e-05,0.068115234375,7.522892475128174,39.51210393309593,0.0003,-0.8818472733721137,0.805974006652832
676,71680,-477.33533015999996,105,524.8,35,0.0054912264,1570,0.2,-0.0013430984276055825,0.029052734375,11.487977027893066,177.26171732842923,0.0003,-0.7431785261258483,0.3043876886367798
680,73728,-476.5909106,108,524.35,36,0.006897779,1580,0.2,-0.00044022480287821966,0.07021484375,15.53457260131836,69.95308054238558,0.0003,-0.7252283036708832,0.8008764237165451
685,75776,-482.99909974,110,523.52,37,0.0065839887,1590,0.2,-0.0015240573302435223,0.095703125,30.886348724365234,46.8963700145483,0.0003,-0.8765314547345042,0.6356475055217743
684,77824,-479.61320723999995,113,519.93,38,0.01176435,1600,0.2,-0.001793791726231575,0.123779296875,19.1097469329834,36.209999829530716,0.0003,-0.8451615121215582,0.7941173166036606
688,79872,-482.9435428,116,523.53,39,0.016648993,1610,0.2,-0.007403128632722656,0.088134765625,9.706517219543457,47.85697155445814,0.0003,-0.7834779327735305,0.8103478997945786
688,81920,-488.86396231,118,531.87,40,0.007903557,1620,0.2,-0.004704658836635645,0.056396484375,11.753265380859375,100.73995897471904,0.0003,-0.7593339666724205,0.7176453471183777
690,83968,-490.01024317999986,121,536.77,41,0.0073209135,1630,0.2,0.0022915051064046565,0.086328125,1.543309211730957,14.563153402507306,0.0003,-0.8665035553276539,0.9133015647530556
691,86016,-482.4578559099999,124,522.46,42,0.0044823317,1640,0.2,-0.000382978829293279,0.041943359375,11.903796195983887,109.8735094949603,0.0003,-0.7575104342773556,0.8258437365293503
688,88064,-484.68605339000004,127,532.26,43,0.0056263553,1650,0.2,-0.001909240536042489,0.028515625,5.642797470092773,51.24473123401403,0.0003,-0.820721760392189,0.44157886505126953
690,90112,-480.69587476,130,527.55,44,0.008511441,1660,0.2,-0.003109576742281206,0.09873046875,2.5450775623321533,141.99149171710013,0.0003,-0.7717025356367231,0.2915889620780945
690,92160,-476.1975791,133,523.23,45,0.009187969,1670,0.2,-0.0006662650914222468,0.110107421875,4.899354934692383,69.05959786772728,0.0003,-0.799666847847402,0.6915662586688995
693,94208,-478.89645272000007,135,526.52,46,0.0077858674,1680,0.2,-0.003929017833434046,0.101318359375,2.224626064300537,34.15710896998644,0.0003,-0.8940974920988083,0.8433021306991577
696,96256,-478.47677564,138,531.5,47,0.006830262,1690,0.2,-0.002248337814671686,0.04951171875,18.517545700073242,114.09930885881185,0.0003,-0.8094715259969234,0.551588773727417
699,98304,-483.0191082099999,140,533.49,48,0.005010993,1700,0.2,-0.0013637346026371233,0.018994140625,117.38655853271484,166.39888221919537,0.0003,-0.7187712147831917,0.6053777635097504
701,100352,-473.74525270000004,143,529.36,49,0.0055399956,1710,0.2,-0.001761577444631257,0.0525390625,15.402569770812988,56.195166181027886,0.0003,-0.7842076363041997,0.6162391006946564
833,2048,-86.32872850000001,2,617.0,1,0.0027499273,1720,0.2,-0.0012869226800830802,0.010595703125,12.313505172729492,218.53127968609334,0.0003,-0.659275365434587,0.36121469736099243
720,4096,-48.054018400000004,5,759.6,2,0.005498982,1730,0.2,0.0010408568887214642,0.045166015625,4.655881404876709,128.86630796194078,0.0003,-0.8235547378659248,0.3762151598930359
683,6144,-48.855230625000004,8,745.875,3,0.0065126102,1740,0.2,0.0008804479264654219,0.049658203125,13.15656566619873,123.33396428525448,0.0003,-0.8894812855869532,0.5097679495811462
672,8192,-27.429654600000003,12,796.7,4,0.0057752538,1750,0.2,-0.0018817179792677053,0.085546875,152.56455993652344,110.14085891991854,0.0003,-0.905601293221116,0.5386678278446198
627,10240,-32.66974425,16,778.5833333333334,5,0.011547156,1760,0.2,-0.0042721202109532895,0.106298828125,3.8472611904144287,28.037273912131788,0.0003,-0.9180356293916703,0.7384391129016876
608,12288,-26.297183714285712,20,810.2142857142857,6,0.0030165315,1770,0.2,-0.0003450178970524576,0.053271484375,109.78894805908203,147.07206450626254,0.0003,-0.9276944117620587,0.4193720817565918
597,14336,-24.662028125000003,23,833.9375,7,0.005541623,1780,0.2,-0.0007985800428286893,0.064892578125,2.4130775928497314,22.03030196353793,0.0003,-0.9358696250244976,0.7472110986709595
616,16384,-27.731420950000008,26,800.95,8,0.0065970747,1790,0.2,-0.004448312698514201,0.06845703125,4.0799384117126465,25.111847921460868,0.0003,-0.9265903582796454,0.7708114236593246
618,18432,-25.495560409090913,29,819.0454545454545,9,0.005075597,1800,0.2,-0.000435799660772318,0.03388671875,60.093467712402344,177.38903097361327,0.0003,-0.8963109523057937,0.5484637022018433
616,20480,-21.766517458333336,33,817.5,10,0.007579984,1810,0.2,-0.005813928075076547,0.07041015625,2.344167947769165,27.58832674473524,0.0003,-0.9242564974352717,0.7456503510475159
625,22528,-24.56272925925926,35,811.2962962962963,11,0.007320255,1820,0.2,-0.002651144449191634,0.070947265625,11.15673542022705,55.84933265596628,0.0003,-0.8464965462684632,0.605703741312027
625,24576,-25.012891200000002,39,803.1,12,0.0055242716,1830,0.2,0.0009989935504563618,0.094189453125,17.007749557495117,62.54037903770804,0.0003,-0.8940467027947306,0.6829724907875061
625,26624,-26.939397333333332,42,796.6060606060606,13,0.0047006696,1840,0.2,-0.0025590512530470734,0.05380859375,3.850944995880127,65.52533869892359,0.0003,-0.9129423202946783,0.6963779330253601
629,28672,-29.864864555555553,45,782.4444444444445,14,0.006870161,1850,0.2,-0.004368802352109924,0.0630859375,12.21997356414795,69.09189067035913,0.0003,-0.8818577008321882,0.7428919076919556
629,30720,-33.39620335897436,48,767.6410256410256,15,0.003971054,1860,0.2,-0.000885588831442874,0.031298828125,204.71768188476562,80.38605017364026,0.0003,-0.863913782313466,0.7498428523540497
630,32768,-35.171487581395354,52,758.3953488372093,16,0.011991976,1870,0.2,-0.005948027590784477,0.090966796875,8.44237232208252,101.953335352242,0.0003,-0.9385245237499475,0.6034761667251587
626,34816,-39.807913891304345,55,749.3695652173913,17,0.00727094,1880,0.2,-0.0014049138640984892,0.089013671875,24.75078582763672,94.3472054541111,0.0003,-0.8512405814602971,0.7704662382602692
606,36864,-40.735373367346945,60,747.469387755102,18,0.0036272388,1890,0.2,-0.0012464390623790679,0.03505859375,31.441370010375977,151.9546767860651,0.0003,-0.838603806681931,0.5631639063358307
614,38912,-42.922522055555554,63,720.1851851851852,19,0.0043930295,1900,0.2,-0.00012680604995694012,0.061376953125,3.2569470405578613,67.01067267805338,0.0003,-0.9007004788145423,0.5369344651699066
624,40960,-45.71026024561403,65,709.421052631579,20,0.0037630852,1910,0.2,-0.0010636230479576624,0.043017578125,25.392980575561523,112.40059010088444,0.0003,-0.8405945234000682,0.7400389015674591
627,43008,-46.509205233333326,68,715.4333333333333,21,0.005318909,1920,0.2,-0.002689056003146106,0.0580078125,57.22111129760742,88.56938491463661,0.0003,-0.8471528105437756,0.8002884387969971
623,45056,-43.94598912903225,72,710.9516129032259,22,0.0076491106,1930,0.2,-0.0037319005125027614,0.112158203125,3.9961295127868652,67.13011025041342,0.0003,-0.8028303777799011,0.8597412109375
632,47104,-45.97629642424243,74,710.1818181818181,23,0.004679296,1940,0.2,-0.0031907924385450315,0.062841796875,55.03432846069336,97.13105008006096,0.0003,-0.8123280817642808,0.6044159531593323
634,49152,-44.36067414492754,77,706.6376811594203,24,0.005193457,1950,0.2,-0.0017800171688577393,0.059765625,4.095575332641602,84.72971789091825,0.0003,-0.8294770093634725,0.7583207935094833
641,51200,-46.51960510958904,79,697.6712328767123,25,0.002889228,1960,0.2,-0.0004342623966294923,0.045556640625,30.891204833984375,140.68025770038366,0.0003,-0.8152459964156151,0.6190991401672363
645,53248,-46.01911207792207,82,687.4025974025974,26,0.0068880776,1970,0.2,0.00013533926685340702,0.039453125,9.492785453796387,87.9009096890688,0.0003,-0.8788897713646293,0.7282555997371674
641,55296,-47.081390675,86,689.6875,27,0.009309848,1980,0.2,-0.001080640791769838,0.05322265625,44.32563781738281,114.21113379001618,0.0003,-0.8005312567576766,0.7585471272468567
647,57344,-51.71979492941176,88,673.3058823529411,28,0.006854007,1990,0.2,-0.0037741891770565416,0.04951171875,6.7903337478637695,65.9579164981842,0.0003,-0.8515977183356881,0.8064564019441605
649,59392,-52.97059620000001,91,658.5222222222222,29,0.004858093,2000,0.2,-0.0015588833499350584,0.049169921875,94.09379577636719,116.2782601326704,0.0003,-0.8515184117481113,0.7959576845169067
650,61440,-54.52851344210527,94,646.578947368421,30,0.007211607,2010,0.2,-0.002600667651859112,0.057763671875,60.74800109863281,104.0999773800373,0.0003,-0.7995212970301508,0.7982391119003296
655,63488,-54.36297763636363,96,637.2626262626262,31,0.0026489303,2020,0.2,-0.0003723103327502031,0.05888671875,55.66556930541992,92.09409175515175,0.0003,-0.8337347550317645,0.8337835073471069
659,65536,-57.11548697,99,614.35,32,0.0043396363,2030,0.2,0.00011008717920049093,0.0423828125,39.80110168457031,136.2892137736082,0.0003,-0.7743677716702223,0.7742688357830048
660,67584,-59.11736981000001,102,602.09,33,0.005952444,2040,0.2,0.0032986708247335628,0.0705078125,33.57684326171875,98.43941006362438,0.0003,-0.8201584398746491,0.692689836025238
654,69632,-62.76190181,106,582.78,34,0.00620001,2050,0.2,-0.00024444151786156,0.055126953125,3.7523458003997803,58.47628438323736,0.0003,-0.8120984608307481,0.871211364865303
656,71680,-62.590760329999995,109,576.1,35,0.007302633,2060,0.2,-0.004829108738340438,0.07490234375,48.91490936279297,92.96712569594384,0.0003,-0.8059715297073126,0.7486082911491394
658,73728,-66.36794253,111,557.04,36,0.005801889,2070,0.2,0.0015383289923192934,0.070068359375,4.2103376388549805,23.34015585333109,0.0003,-0.8196830423548818,0.9457060247659683
659,75776,-67.84567514000001,114,554.43,37,0.0019895919,2080,0.2,-9.482576642767526e-05,0.048779296875,26.6800537109375,90.58442908227444,0.0003,-0.8721065593883395,0.8181528151035309
660,77824,-69.02390426,117,546.65,38,0.013730158,2090,0.2,-0.001933665672549978,0.08935546875,2.8078701496124268,23.347972056269647,0.0003,-0.8196868294849992,0.9449659809470177
656,79872,-72.81450835999999,121,532.78,39,0.0051606568,2100,0.2,-0.00209403101252974,0.0544921875,28.51963996887207,66.7308950021863,0.0003,-0.8596813932061196,0.8685464113950729
660,81920,-73.40369831999999,124,519.18,40,0.010062706,2110,0.2,-0.003064782878209371,0.114599609375,3.2558624744415283,44.021087197959424,0.0003,-0.8388333685696125,0.9118360280990601
665,83968,-76.90451271,126,506.87,41,0.005782313,2120,0.2,0.0006906940237968229,0.0396484375,21.8203125,77.08066400587559,0.0003,-0.8102949807420373,0.9051657244563103
658,86016,-74.00622287,130,504.8,42,0.0017363045,2130,0.2,0.0009386582511069719,0.02607421875,30.067867279052734,79.57488243877887,0.0003,-0.8080547008663416,0.864442840218544
656,88064,-71.48457703999999,134,513.25,43,0.009083081,2140,0.2,-0.00447047230991302,0.077734375,7.134644985198975,28.305936136841773,0.0003,-0.8668868225067854,0.9041721671819687
651,90112,-72.90102121,138,516.63,44,0.0043364908,2150,0.2,-0.0031820778553083074,0.06259765625,3.5706162452697754,18.484994961321355,0.0003,-0.8277806153520941,0.9340888857841492
652,92160,-72.02310102999999,141,526.49,45,0.0052871816,2160,0.2,-0.002312197798892157,0.0369140625,25.730844497680664,39.10107443183661,0.0003,-0.8167815255001187,0.8666138350963593
654,94208,-72.30939901,143,511.9,46,0.0046514566,2170,0.2,-0.0008068919298239053,0.04794921875,5.914413928985596,31.474877128005026,0.0003,-0.829640344530344,0.9192061796784401
656,96256,-76.33431894,146,498.61,47,0.0076525942,2180,0.2,-0.0015096515620825813,0.044677734375,38.4334716796875,51.07350907027721,0.0003,-0.8261808592826128,0.893828883767128
653,98304,-75.66838302000001,150,498.61,48,0.0032124715,2190,0.2,-0.004797954369860235,0.047802734375,19.550172805786133,47.15612318813801,0.0003,-0.8554528350010514,0.9274700805544853
651,100352,-76.32622134,154,506.93,49,0.0070362473,2200,0.2,-0.0029220834287116302,0.073681640625,5.86882209777832,28.438659271597864,0.0003,-0.8595341458916664,0.9193371832370758
