time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance
1215,40960,-120.9965855,33,226.15,20,0.005525207,190,0.2,-0.0047890167250443485,0.023095703125,217.90977478027344,430.33672535419464,0.0003,-1.0228724785149097,2.0742416381835938e-05
1201,43008,-119.98667702999997,35,239.87,21,0.0077906176,200,0.2,-0.0047521399435936475,0.06982421875,78.62601470947266,249.69647557735442,0.0003,-1.002754706889391,-2.682209014892578e-05
1184,45056,-117.51873646999998,38,245.37,22,0.011035763,210,0.2,-0.007088437284983229,0.087548828125,98.20132446289062,338.96873660087584,0.0003,-1.0307452453300356,-0.00012385845184326172
1147,47104,-115.09964384999999,41,266.33,23,0.009307465,220,0.2,-0.007236097725399304,0.101953125,104.18207550048828,192.28054933547975,0.0003,-1.0952333312481641,-2.658367156982422e-05
1113,49152,-112.88803358000001,44,283.42,24,0.010523524,230,0.2,-0.001920901450648671,0.043798828125,122.99669647216797,161.45545337200164,0.0003,-1.0590606957674027,8.147954940795898e-05
1100,51200,-109.26279094000002,46,300.93,25,0.009535049,240,0.2,-0.0032535424950765448,0.08525390625,40.615760803222656,135.65218631029128,0.0003,-1.088124330341816,0.00013744831085205078
1059,53248,-105.88218436000001,50,316.97,26,0.005115679,250,0.2,-0.003760002810304286,0.052392578125,99.09852600097656,221.47541613578795,0.0003,-1.0150960257276893,0.0004405975341796875
1038,55296,-104.33664856000003,53,334.64,27,0.008545773,260,0.2,-0.005196229119610507,0.0591796875,51.49436569213867,149.11260971426964,0.0003,-1.0726786877959966,-0.00032901763916015625
1008,57344,-103.7481077,56,351.44,28,0.009418121,270,0.2,-0.004975838692189427,0.030615234375,36.74541473388672,105.78222920894623,0.0003,-1.0877486843615771,0.08264964818954468
998,59392,-102.70577727,59,364.38,29,0.0114758,280,0.2,-0.006474309123586863,0.081591796875,26.973812103271484,92.01125816702843,0.0003,-1.0813199907541275,0.0423927903175354
973,61440,-99.56001809,63,381.34,30,0.0047532422,290,0.2,-0.002543435890402179,0.00673828125,117.12151336669922,148.71862318515778,0.0003,-1.0037496319040655,0.14159947633743286
953,63488,-96.21032007999999,66,396.19,31,0.008535509,300,0.2,-0.00792710222885944,0.03896484375,15.59638786315918,79.22983771562576,0.0003,-1.0880823738873004,0.31995975971221924
943,65536,-95.34624248,69,416.43,32,0.0038058334,310,0.2,-0.00299573919546674,0.00712890625,14.839357376098633,90.94784787893295,0.0003,-0.9870174901559949,0.3402126431465149
932,67584,-89.39573114,72,430.75,33,0.00702574,320,0.2,-0.007437485494301654,0.068212890625,32.96043395996094,137.7799575328827,0.0003,-0.9317687474191189,0.3142514228820801
925,69632,-90.2723743,75,448.81,34,0.008785598,330,0.2,-0.004997404095774982,0.08544921875,27.70033836364746,89.89511064887047,0.0003,-1.059010950475931,0.5267132222652435
916,71680,-84.86590584,78,464.53,35,0.00871752,340,0.2,-0.002399998647160828,0.049462890625,9.83703899383545,133.2226079404354,0.0003,-0.9956645704805851,0.45307546854019165
903,73728,-81.14511773,81,481.32,36,0.0034959624,350,0.2,-0.004344207973917946,0.024658203125,9.479706764221191,57.68817658126354,0.0003,-0.9545305598527193,0.7483523488044739
898,75776,-81.17197076999999,84,498.27,37,0.0052136173,360,0.2,-0.0024935839508543724,0.05703125,6.8242692947387695,54.620131741464135,0.0003,-1.0544030614197255,0.771618977189064
888,77824,-80.03815985,87,513.94,38,0.007721603,370,0.2,-0.011258111195638775,0.0796875,18.462392807006836,49.96392929404974,0.0003,-0.9990335585549474,0.793497696518898
881,79872,-78.72105041,90,523.15,39,0.0074581187,380,0.2,-0.00774449058008031,0.096630859375,4.230846881866455,30.441534534096718,0.0003,-0.9403714947402477,0.822668120265007
874,81920,-76.39807799,93,538.16,40,0.0056151617,390,0.2,-0.0046057528805249605,0.027783203125,69.72406768798828,102.24714094549418,0.0003,-0.9514204576611519,0.6569015681743622
860,83968,-70.70793982,97,560.37,41,0.008247271,400,0.2,-0.00451346084519173,0.11181640625,3.4280524253845215,35.00113611668348,0.0003,-1.0624826919287442,0.8811533451080322
857,86016,-71.92958263,100,568.59,42,0.008911913,410,0.2,-0.004229738027061103,0.054150390625,4.091920852661133,68.79159226715565,0.0003,-1.0058604288846253,0.7982568442821503
855,88064,-65.62484384999999,102,584.11,43,0.00543297,420,0.2,-0.0024791172887489664,0.024755859375,28.12726593017578,159.84502668976785,0.0003,-0.8270774709060789,0.6082748770713806
849,90112,-63.58922246,106,597.67,44,0.011773327,430,0.2,-0.007222009001270635,0.149609375,3.9411327838897705,38.371717950701715,0.0003,-1.090470763295889,0.8783057406544685
840,92160,-59.494282299999995,109,615.61,45,0.0074013025,440,0.2,-0.0031996641773730516,0.028125,513.4049682617188,247.39265904426574,0.0003,-0.942984321527183,0.5649369060993195
844,94208,-58.2430101,111,615.46,46,0.008003132,450,0.2,-0.002793946536257863,0.02802734375,64.81074523925781,108.57325086146594,0.0003,-0.9685899360105396,0.723675012588501
838,96256,-52.89402868,114,628.2,47,0.0071724183,460,0.2,-0.00287154021934839,0.02294921875,272.06011962890625,372.0703823685646,0.0003,-0.8820754446089267,0.463637113571167
835,98304,-50.64414463,117,645.57,48,0.009645611,470,0.2,-0.0034140222443966193,0.085595703125,40.53504180908203,91.44269051030278,0.0003,-0.8720445176586509,0.7952573001384735
833,100352,-49.96974227,120,661.39,49,0.007935575,480,0.2,-0.0029562105879449518,0.095166015625,106.08753967285156,64.57661507353187,0.0003,-0.8906838892027735,0.8313610553741455
829,102400,-49.66057645,123,671.3,50,0.0061572534,490,0.2,-0.004732508045708528,0.086376953125,7.31996488571167,55.36122971512377,0.0003,-0.9251201190054417,0.8133414089679718
828,104448,-48.46162268,126,683.27,51,0.010612144,500,0.2,-0.003516752795985667,0.087451171875,6.006525993347168,87.55367264896631,0.0003,-1.0431560156866908,0.7702866494655609
826,106496,-47.63482754,128,691.05,52,0.0054285545,510,0.2,-0.0032997721806168555,0.024560546875,48.69260025024414,168.67546944618226,0.0003,-0.9828211605548859,0.6828507483005524
824,108544,-45.35170298999999,131,705.71,53,0.0049829455,520,0.2,-0.002877609159622807,0.03154296875,41.25394821166992,119.61022776961326,0.0003,-1.0038962729275227,0.7349863946437836
819,110592,-43.43622235,134,710.16,54,0.0038752523,530,0.2,-0.0026901644450845197,0.036328125,63.650447845458984,73.50733527392148,0.0003,-0.8436302032321692,0.8714047968387604
817,112640,-41.41357377,137,723.4,55,0.009210701,540,0.2,-0.0037806808286404703,0.088720703125,8.567511558532715,98.49794300347567,0.0003,-0.9569815730676055,0.7482576668262482
810,114688,-39.339744700000004,141,733.96,56,0.009082397,550,0.2,-0.006566045237559592,0.089013671875,17.701467514038086,148.25961477160453,0.0003,-0.9772761512547732,0.8104775995016098
808,116736,-36.832068340000006,144,745.07,57,0.0123739885,560,0.2,-0.003758935041696532,0.218896484375,2.03235125541687,55.07059429958463,0.0003,-0.9937877632677555,0.8305876106023788
803,118784,-33.69759678,147,756.49,58,0.007138772,570,0.2,-0.0071036383837054014,0.1072265625,3.126898765563965,37.733211792260406,0.0003,-1.05331748444587,0.8273189812898636
801,120832,-30.19438998,150,770.47,59,0.0035146093,580,0.2,-0.0025371798910782672,0.01416015625,67.59785461425781,74.87911817580462,0.0003,-0.9556782292202115,0.7632204443216324
797,122880,-28.391318739999996,154,775.88,60,0.0048819715,590,0.2,-0.0009019108460051939,0.027294921875,30.979711532592773,121.61142349988222,0.0003,-0.951221271418035,0.6793048977851868
796,124928,-28.29159592,156,768.98,61,0.011236444,600,0.2,-0.0013401594369497616,0.081298828125,1.859439730644226,94.8639875844121,0.0003,-0.90261419005692,0.7365966439247131
796,126976,-27.767501410000005,159,767.43,62,0.007872108,610,0.2,-0.007164554387418321,0.065087890625,45.4279899597168,113.07718368470668,0.0003,-0.9922833126038313,0.78660087287426
