time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
26624,1328,20,-132.38033155000002,13,146.37,120,829.7426600456238,0.0003,0.009450376033782959,0.2,0.0076442454,483.1133728027344,-0.005859227807377465,-1.1630942214280366,0.0162109375
28672,1327,21,-129.04770514,14,155.26,130,554.8267039775849,0.0003,0.05438810586929321,0.2,0.007413725,331.0605163574219,-0.007942433984135277,-1.2349668864160777,0.04716796875
30720,1326,23,-126.92630191,15,162.01,140,365.0483413219452,0.0003,0.03676861524581909,0.2,0.00582877,126.5002670288086,-0.005505611484841211,-1.1208157669752836,0.059375
32768,1324,24,-125.39755585,16,170.82,150,915.3827376365662,0.0003,0.1139708161354065,0.2,0.0065656947,445.0473327636719,-0.008734523574821651,-1.1015722177922727,0.0662109375
34816,1321,26,-124.82480446000001,17,177.46,160,983.9762048721313,0.0003,0.008068978786468506,0.2,0.011029895,438.6344299316406,-0.00776782505272422,-1.0728790700435638,0.079248046875
36864,1273,28,-123.11593993000001,18,183.37,170,693.4648138046265,0.0003,0.051386117935180664,0.2,0.006800496,216.14309692382812,-0.00990316427196376,-1.100205247104168,0.060107421875
38912,1256,30,-120.96646965000002,19,196.01,180,324.2250700950623,0.0003,0.08619558811187744,0.2,0.0074449833,119.42572021484375,-0.003305918164551258,-1.169649314880371,0.034716796875
40960,1239,33,-121.88698115000001,20,202.69,190,285.75105288028715,0.0003,0.10715478658676147,0.2,0.008942256,113.45408630371094,-0.004774267922039143,-1.1364499889314175,0.047705078125
43008,1235,34,-120.24977728999998,21,212.85,200,354.6194526672363,0.0003,0.06947857141494751,0.2,0.008470113,144.82347106933594,-0.009891865667304956,-1.1460902523249388,0.070654296875
45056,1231,36,-122.78107675999998,22,222.51,210,449.60342626571656,0.0003,0.10926008224487305,0.2,0.0048071435,180.95846557617188,-0.0034360195277258754,-1.0709054581820965,0.009228515625
47104,1216,38,-120.28084187999998,23,231.52,220,780.9233881950379,0.0003,0.19434547424316406,0.2,0.005496173,202.39588928222656,-0.004018219128920464,-1.000676690042019,0.020556640625
49152,1209,40,-118.78443424000001,24,241.82,230,293.65009198188784,0.0003,0.38435131311416626,0.2,0.0071486663,118.89553833007812,-0.0067895307744038295,-1.0169850595295429,0.051953125
51200,1198,42,-121.39109023999998,25,241.69,240,394.3819047689438,0.0003,0.2669011354446411,0.2,0.004961353,197.3379364013672,-0.008431162701162976,-0.9836042230948806,0.03427734375
53248,1193,44,-121.22050800999999,26,251.37,250,344.65875270366666,0.0003,0.4963926076889038,0.2,0.006845424,132.55592346191406,-0.008358094192226417,-1.03489537127316,0.06435546875
55296,1173,47,-115.91488864000002,27,263.32,260,387.60003485679624,0.0003,0.43965858221054077,0.2,0.006657902,228.271728515625,-0.004474874537845608,-1.037282887287438,0.04111328125
57344,1148,49,-115.83570873,28,273.88,270,132.4305916428566,0.0003,0.7057863473892212,0.2,0.007319142,40.40494918823242,-0.005921315561135998,-1.0622155774384736,0.07470703125
59392,1129,52,-113.19834585999999,29,288.18,280,197.93770480155945,0.0003,0.6361376047134399,0.2,0.01084128,98.70947265625,-0.007114017455751309,-1.0861441116780042,0.091943359375
61440,1120,54,-112.76124445,30,307.24,290,170.7767353415489,0.0003,0.5988283157348633,0.2,0.008267382,42.328712463378906,-0.007899039173935307,-1.1153086878359317,0.075830078125
