time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
37,91,-82.88406805000001,75776,507.14,825,-0.9450456975027919,45.481815338134766,360,0.5667640566825867,0.2,-0.002913062307925429,0.0060436195,0.0003,91.06358850300312,0.05224609375
38,95,-81.29399665,77824,518.75,811,-0.9990684838965536,6.439205646514893,370,0.5015417337417603,0.2,-0.005601845985802356,0.0066573424,0.0003,87.21132999360562,0.042578125
39,100,-76.18291273,79872,537.45,796,-0.9746727969497442,19.071638107299805,380,0.6619592308998108,0.2,-0.0028405000404745804,0.0037346368,0.0003,61.303927183151245,0.06689453125
40,103,-71.93113801999999,81920,546.35,788,-0.9761284157633782,65.57743835449219,390,0.36266958713531494,0.2,-0.008178681728168158,0.009227615,0.0003,120.48041833788156,0.080908203125
41,107,-71.88557798,83968,556.62,784,-0.9650951204821467,12.919448852539062,400,0.6093010604381561,0.2,-0.002762229903964908,0.0032544555,0.0003,88.18587924540043,0.024755859375
42,110,-67.09159600999999,86016,577.91,776,-0.9247341705486178,24.993515014648438,410,0.7307817339897156,0.2,-0.004666201290820027,0.0043166634,0.0003,110.1853631824255,0.0462890625
43,113,-64.34109093000001,88064,589.26,774,-0.9079024218022823,63.78230285644531,420,0.7607526481151581,0.2,-0.004080222834090819,0.005387283,0.0003,76.33638973534107,0.0689453125
44,117,-60.48999548,90112,597.61,769,-0.9035791866481304,17.002634048461914,430,0.3260601758956909,0.2,-0.0027632008292130194,0.0069708247,0.0003,137.92276753783227,0.0732421875
45,120,-59.31637822,92160,613.4,762,-0.9348634863272309,307.0891418457031,440,0.38993245363235474,0.2,-0.005334821882570395,0.0040231505,0.0003,176.18393594920636,0.02265625
46,123,-54.77090858,94208,625.8,760,-0.8981965783983469,11.32544994354248,450,0.5770030915737152,0.2,-0.0031450415968720335,0.0072502866,0.0003,81.68549957424402,0.055615234375
47,127,-51.18181474,96256,641.99,756,-0.8515617925673723,11.72768497467041,460,0.5280075669288635,0.2,-0.003588154625686002,0.0038482412,0.0003,69.84364832937717,0.04033203125
48,131,-50.39966659999999,98304,656.01,748,-0.8857036460191011,27.996265411376953,470,0.353163480758667,0.2,-0.002817121889165719,0.0061493274,0.0003,152.3833031654358,0.06572265625
49,136,-44.03109828999999,100352,669.5,736,-0.9296378904953599,78.33575439453125,480,0.582233339548111,0.2,-0.0011730209022061898,0.0071600876,0.0003,105.600370657444,0.0224609375
50,140,-43.930405779999994,102400,682.02,729,-0.858095272257924,25.461946487426758,490,0.5567993223667145,0.2,-0.0027852853720105484,0.0049746493,0.0003,68.06319938004017,0.05341796875
51,144,-41.20317853,104448,695.79,723,-0.8776921819895506,2.521172046661377,500,0.7675182968378067,0.2,-0.0031884891344816425,0.005775798,0.0003,20.466960771381856,0.08876953125
52,148,-36.10080418,106496,713.52,718,-0.930997165478766,2.4777376651763916,510,0.7415735423564911,0.2,-0.005659512146667112,0.007545503,0.0003,29.987141779065134,0.0900390625
53,151,-32.365711940000004,108544,722.84,716,-0.7926100064069033,7.82777214050293,520,0.5256577134132385,0.2,-0.0038282368412183134,0.008769015,0.0003,128.54309518635273,0.049462890625
54,155,-29.524985410000003,110592,727.92,713,-0.8225355811417103,75.74943542480469,530,0.4601116180419922,0.2,-0.0004536275078862673,0.0051249354,0.0003,82.58678345382214,0.0251953125
55,158,-25.91163591,112640,742.1,710,-0.9126156961545349,19.400732040405273,540,0.5686432421207428,0.2,-0.0055250794110179415,0.0049460502,0.0003,71.61577429622412,0.057421875
