rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss
-163.18145733333333,2048,1,2192,94.71428571428571,0,,,,,,,,,,
-152.6848238139535,4096,2,1688,93.46511627906976,2,0.0003,1115.5306396484375,10,0.2,-0.0024214982986450195,0.0063404385,-1.3826834492385387,-0.008428718445429695,0.0333984375,3044.2380981445312
-154.30149103076926,6144,3,1582,93.78461538461538,3,0.0003,584.4268188476562,20,0.2,-0.005721330642700195,0.008327413,-1.3779276091605426,-0.00839839165273588,0.062841796875,1786.4339218139648
-160.1054571264368,8192,4,1536,93.19540229885058,5,0.0003,375.623046875,30,0.2,-0.06459963321685791,0.010677899,-1.364496411755681,-0.006211019212787505,0.06796875,949.1217453956604
-163.20147461,10240,5,1512,89.17,6,0.0003,127.81471252441406,40,0.2,-0.0024416446685791016,0.009336182,-1.3636258944869042,-0.008905249260715209,0.13388671875,621.9866690635681
-168.69297315999995,12288,6,1495,89.16,8,0.0003,233.02151489257812,50,0.2,-0.01215982437133789,0.007958011,-1.3517350070178509,-0.006330840515147429,0.0404296875,433.5526647567749
-172.13808393,14336,7,1484,88.58,9,0.0003,242.00994873046875,60,0.2,-0.0005501508712768555,0.009304308,-1.3553123310208322,-0.006948431261116638,0.091162109375,511.21944704055784
-170.54202862,16384,8,1474,91.38,11,0.0003,126.93840026855469,70,0.2,-0.00018644332885742188,0.010109762,-1.3424847844988108,-0.007717817329103127,0.083251953125,429.2572688102722
-163.31591797,18432,9,1466,95.03,12,0.0003,94.79598999023438,80,0.2,-0.00014412403106689453,0.013628008,-1.3203423660248519,-0.009289280678058277,0.089111328125,338.44207897186277
-160.97226225999998,20480,10,1458,101.34,14,0.0003,190.66061401367188,90,0.2,-0.0008311271667480469,0.012691965,-1.3092185601592063,-0.011262716937199001,0.15791015625,569.4205434799194
-156.91838932,22528,11,1448,106.44,15,0.0003,72.70196533203125,100,0.2,0.001030266284942627,0.010496042,-1.2860818482935428,-0.0037756502075353636,0.009033203125,359.0853662490845
-146.35576738,24576,12,1440,113.46,17,0.0003,319.6647033691406,110,0.2,0.028298139572143555,0.011129059,-1.2354876600205897,-0.0054737166294216875,0.043896484375,428.8901484489441
-144.07663202999998,26624,13,1429,120.55,18,0.0003,143.01025390625,120,0.2,0.0011880993843078613,0.011236012,-1.2220279540866614,-0.010967356749461032,0.0904296875,469.83324699401857
-138.37696972999996,28672,14,1413,129.56,20,0.0003,113.41865539550781,130,0.2,-0.059760451316833496,0.010241905,-1.1976155735552312,-0.006876122932590078,0.096923828125,343.4377690076828
-136.85386016,30720,15,1403,137.29,21,0.0003,119.7744140625,140,0.2,-8.52346420288086e-05,0.01123153,-1.1377165872603654,-0.007303893314383458,0.068017578125,493.8041599273682
-132.49075773,32768,16,1390,148.01,23,0.0003,364.3802185058594,150,0.2,-0.0004911422729492188,0.0072388174,-1.1178160067647696,-0.006735448412655387,0.062548828125,448.2429197788239
-129.65300514,34816,17,1379,157.51,25,0.0003,154.54290771484375,160,0.2,-0.0011684894561767578,0.02352106,-1.144726439192891,-0.003074832746642642,0.090771484375,322.15487337112427
-128.0274853,36864,18,1360,171.37,27,0.0003,270.549560546875,170,0.2,-4.1365623474121094e-05,0.007696164,-1.1382326200604438,-0.00660797690943582,0.0775390625,579.3499752998353
-124.78533550999998,38912,19,1348,181.71,28,0.0003,216.245849609375,180,0.2,7.301568984985352e-05,0.005638975,-1.132368078455329,-0.0011887525135534816,0.071435546875,415.20262560844424
