rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance
109.66666666666667,-129.89084777777782,1,1,2048,1947,,,,,,,,,,,
124.06451612903226,-115.77997632258065,2,2,4096,1409,2672.117038345337,-2.841835170984268,0.2,0.0044497475,1.0012176036834717,0.0003,10,-0.002569445910921786,569.9331665039062,0.0236328125,-0.0038275718688964844
141.53488372093022,-125.33388841860466,3,6,6144,933,1675.0099098205567,-2.842038118094206,0.2,0.005871065,1.0022109746932983,0.0003,20,-0.005362043080094736,1182.322998046875,0.040380859375,-0.009234070777893066
132.9344262295082,-125.96629018032786,4,8,8192,993,654.3146050930023,-2.8442914307117464,0.2,0.0036814804,1.003382921218872,0.0003,30,-0.0035717844501050424,494.1076965332031,0.03291015625,0.08074110746383667
132.41558441558442,-128.10458055844157,5,9,10240,1027,1382.0735057830811,-2.8461657211184503,0.2,0.0055372464,1.005023717880249,0.0003,40,-0.00628677908462123,376.4885559082031,0.051025390625,-0.027135848999023438
131.65591397849462,-129.77846902150537,6,11,12288,1055,979.6441666603089,-2.843188425898552,0.2,0.00407665,1.0021700859069824,0.0003,50,-0.0038010864867828787,469.7521667480469,0.024951171875,-0.07184731960296631
132.37,-127.15846540000001,7,13,14336,1073,1073.121587562561,-2.8484625704586506,0.2,0.0075601535,1.0077627897262573,0.0003,60,-0.006295097839756636,704.4765014648438,0.047216796875,-0.001016855239868164
132.02,-131.05633431,8,15,16384,1085,1073.6151081085204,-2.8544881619513034,0.2,0.007979342,1.010545253753662,0.0003,70,-0.0031978902290575205,379.8584289550781,0.051025390625,-0.03676009178161621
127.32,-133.63883353,9,16,18432,1095,727.235195350647,-2.8628924407064913,0.2,0.0057384633,1.014797568321228,0.0003,80,-0.004456509808369447,257.0943603515625,0.036767578125,-0.006621122360229492
132.39,-129.56081211,10,18,20480,1093,416.93195033073425,-2.8594005897641184,0.2,0.0049947016,1.0141282081604004,0.0003,90,-0.0020661741713411176,168.81163024902344,0.053564453125,-0.08608222007751465
146.99,-124.9935767,11,22,22528,1019,465.3592601776123,-2.856604641675949,0.2,0.008520652,1.010716199874878,0.0003,100,-0.005524092190898955,140.16297912597656,0.0720703125,0.0001156926155090332
155.98,-128.34163406,12,24,24576,1019,318.2937621593475,-2.855978571623564,0.2,0.0015794358,1.00836980342865,0.0003,110,-0.0015701995471317787,195.9964599609375,0.0009765625,0.0029970407485961914
163.47,-123.9537911,13,26,26624,1019,386.7293151378632,-2.844922164082527,0.2,0.0043954737,0.9986650347709656,0.0003,120,-0.004080241665360518,201.75921630859375,0.02451171875,-0.001150965690612793
170.79,-125.20301561999997,14,27,28672,1024,425.84160313606264,-2.8359965950250627,0.2,0.0028511016,1.0008902549743652,0.0003,130,-0.005329856869502691,203.63616943359375,0.02333984375,-0.011374115943908691
