time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss
859,92160,552.29,-59.45195575999999,45,107,-0.932563921622932,0.010968143,0.065087890625,440,159.0074224591255,0.0003,0.14651727676391602,0.2,-0.0019410394223086768,39.408573150634766
859,94208,561.56,-53.12061939999999,46,109,-0.8253066718578339,0.00795559,0.04833984375,450,221.36990594863892,0.0003,0.24114221334457397,0.2,-0.0037154618417844175,35.33088302612305
860,96256,573.88,-47.880515119999984,47,111,-0.9081296052783727,0.005124309,0.0501953125,460,268.746405979991,0.0003,0.17021870613098145,0.2,-0.0026888955340837128,47.75453186035156
861,98304,583.81,-43.82216231,48,114,-0.8118942271918058,0.008431589,0.0662109375,470,178.8800922214985,0.0003,0.7015111446380615,0.2,-0.0030840350318612764,114.81902313232422
859,100352,590.39,-40.09965455,49,116,-0.8609295794740319,0.007087877,0.074365234375,480,260.4990498483181,0.0003,0.5223462283611298,0.2,-0.004500746030680602,56.98551940917969
860,102400,602.44,-33.3591349,50,118,-0.8574405241757631,0.009807924,0.094677734375,490,203.21751646995546,0.0003,0.39709633588790894,0.2,-0.006219474846875528,213.3656005859375
858,104448,617.32,-23.899197770000004,51,121,-0.8840443527325987,0.007524466,0.105859375,500,152.5984624683857,0.0003,0.4110223650932312,0.2,-0.0026953948443406263,15.35760498046875
859,106496,617.32,-20.35160241000001,52,123,-0.8421648606657982,0.0076025445,0.066064453125,510,157.69164927601815,0.0003,0.4690784215927124,0.2,-0.00543519395578187,51.38146209716797
858,108544,615.22,-10.592706889999999,53,126,-0.8336591275408864,0.0031802077,0.03134765625,520,282.8165569484234,0.0003,0.43270736932754517,0.2,-0.004157903571467614,15.256322860717773
857,110592,614.31,-7.29672238,54,129,-0.809168490767479,0.0036797537,0.024755859375,530,199.06391034722327,0.0003,0.3260100483894348,0.2,-0.000842564155209402,69.82717895507812
852,112640,619.99,-0.0003827000000017122,55,132,-0.8960255343466997,0.007963372,0.08740234375,540,154.35235431194306,0.0003,0.4115836024284363,0.2,-0.004570583739405265,484.5325927734375
