time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
22,41,279.73,1089,45056,-120.14014069,0.0003,-1.070755261555314,210,0.097705078125,0.010956505,208.2680263876915,0.2,0.4344022274017334,-0.008418379449722124,93.54573822021484
23,44,290.47,1058,47104,-116.90933942999999,0.0003,-0.9897054644301534,220,0.04296875,0.005137483,208.85692459344864,0.2,0.37587302923202515,-0.005470226700708736,280.5798645019531
24,46,312.04,1051,49152,-112.27204104999997,0.0003,-1.0939268309623003,230,0.032861328125,0.004186764,135.98635731935502,0.2,0.5087191164493561,-0.005715846914245049,27.259521484375
25,50,331.55,1015,51200,-111.78656102,0.0003,-1.0192872509360313,240,0.12353515625,0.010528359,105.9369400024414,0.2,0.5868296325206757,-0.0073728546361962796,22.000865936279297
26,52,340.47,1007,53248,-107.87609371999999,0.0003,-1.0769787404686213,250,0.093701171875,0.0075264396,193.65624849796296,0.2,0.44639670848846436,-0.010751005336351227,259.0623779296875
27,55,359.44,995,55296,-104.14862162,0.0003,-1.0571757581084966,260,0.019287109375,0.003970441,113.33878393769264,0.2,0.61807981133461,-0.0015929286084428896,43.558292388916016
28,59,374.5,963,57344,-101.68156918000001,0.0003,-0.9509982539340853,270,0.143896484375,0.011501501,103.18762491941452,0.2,0.712843269109726,-0.009771520365029573,34.52907180786133
29,62,396.05,955,59392,-101.52551921000003,0.0003,-1.1169568259268998,280,0.052587890625,0.005668681,97.99856160879135,0.2,0.23267173767089844,-0.003092426180228358,20.049057006835938
30,65,406.81,940,61440,-98.88998821000001,0.0003,-1.0232932956889271,290,0.01181640625,0.0041279932,215.19783815145493,0.2,0.34453147649765015,-0.0019038581362110563,43.45326232910156
31,69,429.01,919,63488,-95.81638895,0.0003,-0.9907515808939934,300,0.065283203125,0.009103285,96.31271296143532,0.2,0.6367546916007996,-0.0037628857302479447,97.97061920166016
32,71,443.73,912,65536,-94.35111798000001,0.0003,-1.100801144912839,310,0.103759765625,0.005440161,97.14429193735123,0.2,0.28739070892333984,-0.004325938927649986,14.727640151977539
33,74,460.99,910,67584,-91.54460061,0.0003,-1.095620084926486,320,0.1654296875,0.016180322,191.6462605237961,0.2,0.2633557915687561,-0.008113242468971294,64.36212158203125
34,78,479.15,890,69632,-87.90875961000002,0.0003,-1.0429115518927574,330,0.04501953125,0.0071843676,118.50867283940315,0.2,0.6303817629814148,-0.004258718507480807,96.33659362792969
35,81,491.07,880,71680,-85.74400023,0.0003,-1.0735778085887433,340,0.111181640625,0.008143136,43.507311788201335,0.2,0.7641017287969589,-0.008268742515792838,6.717729568481445
36,84,505.48,872,73728,-83.58220563,0.0003,-0.963318751193583,350,0.106640625,0.008494844,116.40551883280277,0.2,0.5673040747642517,-0.0048717580546508545,60.293697357177734
37,87,526.07,864,75776,-79.51425698,0.0003,-0.9927699012681842,360,0.055615234375,0.007593243,113.82867986559867,0.2,0.21948516368865967,-0.0035254935959528667,7.570266246795654
38,90,541.36,859,77824,-73.16553983,0.0003,-0.9884084049612284,370,0.07587890625,0.007915967,98.01670049577952,0.2,0.6242439150810242,-0.003305460947740357,11.44132137298584
39,94,553.08,847,79872,-72.24225550999999,0.0003,-0.9773446777835488,380,0.096142578125,0.009041097,87.81879475265741,0.2,0.4356502294540405,-0.005407107120117871,355.8345947265625
40,96,561.6,848,81920,-71.44167365999999,0.0003,-0.9354156898334622,390,0.058251953125,0.006015652,128.15883020758628,0.2,0.28408074378967285,-0.0027102523934445346,274.20721435546875
41,100,571.31,838,83968,-73.20328796999999,0.0003,-1.0508801886811852,400,0.08193359375,0.0058647837,106.91897602677345,0.2,0.4532124400138855,-0.005953423967730487,33.856117248535156
42,104,587.57,823,86016,-69.452245,0.0003,-0.9824441516771912,410,0.046240234375,0.006222196,105.29444380700588,0.2,0.6742075085639954,-0.004730067800119286,41.31565856933594
43,107,600.46,820,88064,-68.02352413,0.0003,-1.0123074293136596,420,0.117529296875,0.010417367,53.43588365465403,0.2,0.739579826593399,-0.008580526846344583,6.559689044952393
44,111,614.91,811,90112,-65.09589421000001,0.0003,-0.9604847613722086,430,0.055615234375,0.004414942,64.06875564754009,0.2,0.7659720331430435,-0.003352711796469521,31.42671012878418
45,115,622.89,801,92160,-64.33279391,0.0003,-1.0222566666081547,440,0.06845703125,0.008624428,27.671290381252767,0.2,0.7911648601293564,-0.004308278439566493,180.20838928222656
46,118,632.62,796,94208,-63.24970581,0.0003,-0.9440813748165965,450,0.013134765625,0.0023069691,152.97850232720376,0.2,0.3955875039100647,-0.0013111644191667437,41.77872085571289
47,121,646.84,792,96256,-63.646053630000004,0.0003,-0.9683973817154765,460,0.07470703125,0.0071241474,70.21985037475824,0.2,0.7021803855895996,-0.007560521105915541,15.967646598815918
48,125,666.45,786,98304,-59.424912860000006,0.0003,-0.9821016320958733,470,0.06806640625,0.0059192693,58.971895860135554,0.2,0.7642955034971237,-0.0024135378043865785,21.675765991210938
