time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
13,40,773.7352941176471,664,26624,-682.3503591176471,0.0003,-0.8356003720313311,1350,0.131103515625,0.011110881,43.54562506973743,0.2,0.8790390640497208,-0.009578176731156417,4.262390613555908
14,43,767.3513513513514,656,28672,-681.9049698648649,0.0003,-0.8483332766219973,1360,0.03828125,0.0058174646,51.33622491061688,0.2,0.6398288309574127,-0.0002901862491853535,18.089487075805664
15,47,775.9487179487179,652,30720,-678.0017752564103,0.0003,-0.7908249344676733,1370,0.046142578125,0.006204606,93.49518199414015,0.2,0.5829752683639526,-0.0012004282361885998,6.5790181159973145
16,50,786.8780487804878,650,32768,-685.9923440975609,0.0003,-0.8856823097914457,1380,0.066943359375,0.0069056824,68.46962279230357,0.2,0.8516600728034973,-0.002506269906734815,4.121689319610596
17,53,796.7906976744187,648,34816,-692.9164566511628,0.0003,-0.8803664037957788,1390,0.0765625,0.008485803,25.980518557876348,0.2,0.9099196046590805,-0.0031473553819523657,5.544816970825195
18,56,805.6444444444444,650,36864,-698.888798311111,0.0003,-0.8400240994989872,1400,0.096142578125,0.0053359736,32.44029161557555,0.2,0.9008640125393867,-0.001164950284146471,3.211371421813965
19,59,777.8775510204082,656,38912,-681.4315045714285,0.0003,-0.7773019345477223,1410,0.057080078125,0.006216305,44.17162487953901,0.2,0.9156539514660835,-0.0039958903318620285,6.504344940185547
20,62,777.4615384615385,658,40960,-684.0360224423076,0.0003,-0.7880770010873676,1420,0.042138671875,0.0047590667,79.98110498785972,0.2,0.7440382540225983,-0.0014653155572887044,14.314274787902832
21,64,763.625,663,43008,-670.181812125,0.0003,-0.7772035161033273,1430,0.052294921875,0.003911361,37.03173769563436,0.2,0.15846437215805054,-0.0007560754209407605,2.327709674835205
22,66,746.0833333333334,672,45056,-657.2965390166667,0.0003,-0.7626446947455406,1440,0.052099609375,0.0026167107,185.7040307238698,0.2,0.4065861105918884,-0.0011665083904517815,46.39813995361328
23,70,746.2258064516129,664,47104,-657.1598955322581,0.0003,-0.7618528349325061,1450,0.0458984375,0.0029354976,82.26226311028003,0.2,0.8216477483510971,-0.00022331417821987997,15.490797996520996
24,73,715.7794117647059,669,49152,-639.1015490441176,0.0003,-0.8084046620875597,1460,0.060693359375,0.006229851,25.057720383256672,0.2,0.5892239511013031,-0.000914399712200975,3.583536386489868
25,76,709.5555555555555,673,51200,-633.484590125,0.0003,-0.7883971439674496,1470,0.11064453125,0.012026559,35.43982201218605,0.2,0.737402468919754,-0.0005582234764005989,26.784202575683594
26,79,696.2105263157895,672,53248,-619.1019282105262,0.0003,-0.7519974455237388,1480,0.03896484375,0.0045298147,75.19122900664806,0.2,0.6807672381401062,-0.0020611756794096437,16.871673583984375
27,81,679.7530864197531,677,55296,-608.0636427777778,0.0003,-0.7760385714471341,1490,0.09208984375,0.008401144,39.14732663631439,0.2,0.8682360947132111,-0.001393240114703076,7.516139507293701
28,84,685.710843373494,678,57344,-609.9569456144578,0.0003,-0.7522015640512109,1500,0.064990234375,0.00913558,122.09409790933132,0.2,0.11260604858398438,-0.001958117359026801,35.14506912231445
29,86,671.0113636363636,683,59392,-599.975287056818,0.0003,-0.8867575218901038,1510,0.09033203125,0.007087959,23.87883289642632,0.2,0.9524216093122959,-0.0018051871375064366,1.5818537473678589
30,90,678.3222222222222,676,61440,-605.4910828666665,0.0003,-0.7392278434708714,1520,0.047314453125,0.0044391933,92.62338585555554,0.2,0.635530412197113,-0.001536768693040358,10.04572868347168
31,93,683.6195652173913,679,63488,-604.1007973695652,0.0003,-0.8282798487693072,1530,0.0486328125,0.005739428,11.269825258851052,0.2,0.9447803273797035,0.0008395201672101394,2.1678876876831055
32,96,689.3052631578947,677,65536,-605.3257668631578,0.0003,-0.7058622926473618,1540,0.0279296875,0.004814361,162.00605343580247,0.2,0.7514245957136154,-0.002480281765019754,38.147945404052734
33,99,687.1649484536083,679,67584,-603.803973742268,0.0003,-0.6553101101890206,1550,0.02373046875,0.0071367817,74.68634567856789,0.2,0.8219336271286011,-0.0003852158719382714,8.976472854614258
34,101,684.44,684,69632,-597.16442623,0.0003,-0.8741177117452026,1560,0.097802734375,0.0075283237,32.77646561898291,0.2,0.9432316049933434,-0.00022908344253664837,2.2166590690612793
35,104,675.66,684,71680,-586.64602033,0.0003,-0.7828049262985587,1570,0.08349609375,0.005961648,66.87296695187688,0.2,0.841226115822792,-0.0011493870915728621,172.6174774169922
36,108,669.62,679,73728,-584.7649093800001,0.0003,-0.8002525109797716,1580,0.050732421875,0.0058195265,87.39011441320181,0.2,0.8120800256729126,-0.002714154767090804,5.3577423095703125
37,111,659.65,678,75776,-573.43600453,0.0003,-0.8177747583016753,1590,0.066650390625,0.005960387,26.94274112135172,0.2,0.9439211077988148,-0.0018616155139170587,179.52627563476562
38,115,650.29,674,77824,-560.1601967,0.0003,-0.829476865194738,1600,0.07353515625,0.010499807,90.48939307779074,0.2,0.8237129002809525,-0.0015181288079475052,3.8018298149108887
39,117,647.12,676,79872,-555.5900408800001,0.0003,-0.8173234352841974,1610,0.027734375,0.0054605124,100.63924430310726,0.2,0.7749048471450806,-0.0014450396367465146,71.398681640625
40,120,646.41,680,81920,-551.9049213700001,0.0003,-0.7537292568013072,1620,0.0927734375,0.011953704,52.340041515231135,0.2,0.8978319242596626,-0.0036573325291101356,4.032943248748779
41,123,649.75,681,83968,-552.67380327,0.0003,-0.8167368015274405,1630,0.080859375,0.0077528358,111.92277757227421,0.2,0.7997813522815704,-0.002973639413903584,60.45162582397461
42,125,644.31,684,86016,-546.49267023,0.0003,-0.8157400609925389,1640,0.081396484375,0.008828772,59.57641692757606,0.2,0.7587219625711441,-0.0024314020542078652,7.989382743835449
43,128,654.8,683,88064,-550.0954854700001,0.0003,-0.8273583499714732,1650,0.096337890625,0.016421482,57.423476692289114,0.2,0.9283447265625,-0.00419329995274893,2.081678867340088
44,131,654.98,683,90112,-546.15464273,0.0003,-0.8604377398267389,1660,0.074462890625,0.006564211,48.4162872724235,0.2,0.9518351070582867,0.0005756903698056704,2.4040818214416504
45,134,655.45,685,92160,-541.9598363099999,0.0003,-0.770078538544476,1670,0.044970703125,0.0030768106,94.44261927604676,0.2,0.8983756825327873,-0.001890265783003997,6.247304439544678
46,138,651.28,680,94208,-536.9253081799999,0.0003,-0.7987611072137952,1680,0.044921875,0.003737423,56.28610227033496,0.2,0.9491716660559177,-0.0006062162879970856,2.0631532669067383
47,140,648.27,683,96256,-533.45726098,0.0003,-0.7920833840966225,1690,0.081640625,0.013952942,88.56002375781536,0.2,0.9040246978402138,-0.0039113612245273545,11.820751190185547
48,143,638.42,684,98304,-521.88296588,0.0003,-0.7501539640128613,1700,0.04013671875,0.0048183734,111.75814243108034,0.2,0.7699319571256638,-0.001210190015626722,16.749603271484375
49,147,633.23,681,100352,-515.0427919300001,0.0003,-0.7637308083474637,1710,0.058935546875,0.0058051366,95.94272805005312,0.2,0.8595156669616699,-0.0025725506544404197,21.17786979675293
