time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
38,40960,20,1076,251.94,-115.11060708999999,57.167396545410156,117.88595142960548,190,0.0071518915,-0.006933835958989221,-1.2299136865884066,0.5314722955226898,0.2,0.0806640625,0.0003
41,43008,21,1027,269.77,-111.83366313999998,23.77712059020996,82.08618847131729,200,0.008639234,-0.008711731365474406,-1.2034408949315547,0.5657042562961578,0.2,0.060400390625,0.0003
45,45056,22,994,290.65,-106.9330226,34.67808151245117,89.61201912164688,210,0.00834451,-0.0060981932299910115,-1.1584310237318278,0.5086727440357208,0.2,0.05927734375,0.0003
47,47104,23,984,305.58,-106.58305677999999,32.2876091003418,125.60716588497162,220,0.0085805105,-0.005043501174804987,-1.1374491583555937,0.4781942367553711,0.2,0.078515625,0.0003
50,49152,24,966,323.67,-103.55446389000001,39.72064208984375,257.3615692615509,230,0.007411808,-0.004238995964988135,-1.07021101731807,0.21957236528396606,0.2,0.054443359375,0.0003
54,51200,25,944,338.81,-100.80226037,18.35588836669922,59.61469453275204,240,0.008568095,-0.006141065654810518,-1.1310999922454357,0.6778788864612579,0.2,0.10439453125,0.0003
57,53248,26,924,351.75,-99.02355942999999,114.38822937011719,151.13014891147614,250,0.010868253,-0.009121854442855692,-1.0077140925452113,0.4003572463989258,0.2,0.12587890625,0.0003
60,55296,27,913,373.11,-97.24648883999998,65.66556549072266,113.69586061239242,260,0.0058696233,-0.006876448929688195,-1.033351007476449,0.6119734644889832,0.2,0.043505859375,0.0003
63,57344,28,896,391.27,-94.69898382000001,38.03962326049805,110.48137364387512,270,0.006044578,-0.002146893420285778,-0.984424670226872,0.39539504051208496,0.2,0.021923828125,0.0003
67,59392,29,874,408.37,-92.43140952000002,23.352802276611328,60.963014125823975,280,0.011935264,-0.005890704080957221,-1.0334677351638675,-0.014132380485534668,0.2,0.118115234375,0.0003
71,61440,30,856,425.21,-91.58169494000003,22.486318588256836,67.75131970643997,290,0.007614279,-0.008125860463769641,-0.9801060991361737,-0.010486364364624023,0.2,0.111181640625,0.0003
74,63488,31,847,443.0,-88.90044715,14.505718231201172,38.546458101272584,300,0.0094060525,-0.00780939691758249,-0.9808597514405847,0.3091939687728882,0.2,0.122265625,0.0003
78,65536,32,838,459.73,-85.85166701,11.027145385742188,28.397763961553572,310,0.013480606,-0.00908223893493414,-1.0183880150318145,0.39465922117233276,0.2,0.139697265625,0.0003
82,67584,33,823,477.16,-83.54167218000002,10.075376510620117,33.30641118437052,320,0.0059176655,-0.004953860515524866,-0.9764904724434018,0.023065388202667236,0.2,0.04765625,0.0003
84,69632,34,821,500.52,-81.51232079999998,6.364603519439697,21.368283545970918,330,0.007445879,-0.005493266096164007,-0.9819652535021305,0.00025725364685058594,0.2,0.1025390625,0.0003
88,71680,35,806,517.54,-79.71627021999998,76.34012603759766,138.99595453441142,340,0.008124532,-0.0030991080806415995,-1.021807680465281,2.5391578674316406e-05,0.2,0.108837890625,0.0003
92,73728,36,800,534.2,-76.77137723,67.32508087158203,17.455165100097656,350,0.007917872,-0.0021406619096524084,-0.9832786744460463,0.01837080717086792,0.2,0.047216796875,0.0003
95,75776,37,795,551.76,-73.27457586,6.300320148468018,28.604092510044573,360,0.008601721,-0.007057843326765578,-0.973390680924058,0.06681030988693237,0.2,0.0908203125,0.0003
98,77824,38,792,569.29,-70.86042726000001,7.32524299621582,23.72361467331648,370,0.005763961,-0.002981146531237755,-0.935362446308136,0.2745235562324524,0.2,0.052783203125,0.0003
100,79872,39,791,586.34,-67.66367433,8.699056625366211,26.5432335883379,380,0.0043581207,-0.004815565457465709,-0.9558587079867721,0.1999962329864502,0.2,0.033251953125,0.0003
103,81920,40,791,603.37,-64.54264777000002,7.683933258056641,20.67591562718153,390,0.0046553547,-0.003834912298771087,-0.9721195541322232,0.42352962493896484,0.2,0.043017578125,0.0003
107,83968,41,777,620.35,-63.90127931000001,4.635540008544922,25.387607084214686,400,0.005262277,-0.003124561158620054,-0.9574661917984486,0.434861958026886,0.2,0.059423828125,0.0003
112,86016,42,764,633.38,-62.666430629999994,9.9422025680542,32.28274984210729,410,0.0049417624,-0.004364495145273395,-0.9128468856215477,0.23337292671203613,0.2,0.066748046875,0.0003
116,88064,43,757,650.47,-59.227334690000006,5.683398246765137,62.144081296026705,420,0.0049158228,-0.005739400015590946,-0.9416556848213077,0.30597418546676636,0.2,0.07509765625,0.0003
119,90112,44,755,667.24,-56.5923815,3.6530866622924805,31.151812656223775,430,0.005990766,-0.0055733686389430655,-0.9553087839856744,0.41003865003585815,0.2,0.08466796875,0.0003
122,92160,45,751,681.23,-50.62463565000001,5.5152692794799805,20.527470657229422,440,0.0057262946,-0.002050332905491814,-0.8938596595078707,0.6171411573886871,0.2,0.041357421875,0.0003
125,94208,46,749,696.31,-50.22532351000001,2.660115957260132,19.163168407976627,450,0.007833879,-0.006518339268222917,-0.9414432123303413,0.5954701602458954,0.2,0.100537109375,0.0003
128,96256,47,746,719.19,-46.66370129,5.402024745941162,35.06135573387146,460,0.004860191,-0.0004934462056553456,-0.853971404209733,0.4709424376487732,0.2,0.058642578125,0.0003
132,98304,48,742,733.43,-45.365469029999986,4.892522811889648,29.055748215317728,470,0.0059474856,-0.001265607328969054,-0.9397502809762954,0.6175385415554047,0.2,0.055810546875,0.0003
135,100352,49,739,740.73,-44.25897847999999,129.28379821777344,23.624947591125967,480,0.004336467,0.0003801688049861696,-0.9185223057866096,0.5838852226734161,0.2,0.04921875,0.0003
140,102400,50,727,748.22,-42.42322576999999,4.564853191375732,20.038815304636955,490,0.0050829705,-0.003830510308762314,-0.8967266470193863,0.5174713730812073,0.2,0.072900390625,0.0003
143,104448,51,725,763.58,-40.76408326000001,2.697000026702881,20.503557409346104,500,0.004500384,-0.0016181356506422162,-0.9246648143976927,0.5115646421909332,0.2,0.065478515625,0.0003
146,106496,52,726,779.89,-33.7722561,6.123302459716797,27.577388478815557,510,0.0039590644,-0.0007178629544796422,-0.8733555035665631,0.4246399402618408,0.2,0.048583984375,0.0003
