time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl
0,2312,2048,-181.09799466666664,93.61904761904762,1,,,,,,,,,,
2,1732,4096,-170.7057835365854,97.02439024390245,2,0.0003,-1.3820300880819558,1167.9563875198364,0.2,-0.00626673109291005,491.80523681640625,10,0.03740234375,-0.0032329559326171875,0.006680063
3,1576,6144,-168.17883794915255,102.86440677966101,3,0.0003,-1.3704652346670627,936.5968665122986,0.2,-0.006829821907740552,422.1922302246094,20,0.016357421875,-0.021656036376953125,0.007061786
5,1534,8192,-162.042567721519,102.79746835443038,4,0.0003,-1.3600269611924887,955.5073558807374,0.2,-0.007713764048821759,628.5134887695312,30,0.04833984375,0.0019764304161071777,0.008656593
6,1506,10240,-163.49667387999997,102.16,5,0.0003,-1.3495224609971046,790.5675243377685,0.2,-0.006563770593493246,311.02703857421875,40,0.0431640625,-0.003873467445373535,0.007460977
8,1490,12288,-162.70193607000002,104.31,6,0.0003,-1.3390633426606655,633.2942215442657,0.2,-0.006319280386378523,592.1864624023438,50,0.06650390625,-0.015480875968933105,0.007378051
10,1347,14336,-163.18813219,115.21,7,0.0003,-1.3129746671766043,390.1340125560761,0.2,-0.011390217325242702,195.1796112060547,60,0.139111328125,0.0006514787673950195,0.011909855
12,1341,16384,-160.80905528,122.39,8,0.0003,-1.3090345073491334,308.37948524951935,0.2,-0.008240135628147982,98.7379150390625,70,0.035107421875,0.01677471399307251,0.008330117
14,1271,18432,-158.26631862000005,135.05,9,0.0003,-1.2221759878098966,609.5736820697784,0.2,-0.002658501350379083,408.1966247558594,80,0.0,0.07408875226974487,0.0015004482
16,1277,20480,-157.01073173,140.14,10,0.0003,-1.2421191837638617,207.80576798915862,0.2,-0.005942071093886625,88.36430358886719,90,0.043408203125,0.23483014106750488,0.008343765
17,1271,22528,-153.48231096,149.13,11,0.0003,-1.1634210754185914,382.150897026062,0.2,-0.007321993492223555,257.3374328613281,100,0.02255859375,-0.1694943904876709,0.0067330464
19,1268,24576,-151.25518767999998,157.66,12,0.0003,-1.1902404744178057,564.1302565574646,0.2,-0.006633180834614905,368.8563232421875,110,0.033984375,0.06511986255645752,0.0049648536
20,1272,26624,-146.46073254000004,165.11,13,0.0003,-1.2119979366660119,551.777176809311,0.2,-0.007420622701465618,347.8027648925781,120,0.054443359375,0.21295148134231567,0.008014497
