time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss
58,150,118784,787,-50.61434643000001,667.06,570,0.823345810174942,0.0732421875,3.788668155670166,0.0003,0.2,-0.003971621560776839,0.0066653425,81.36771195083857,-0.9518487526103854
59,154,120832,783,-48.501011399999996,684.74,580,0.7940926253795624,0.037255859375,100.32220458984375,0.0003,0.2,-0.003194494228955591,0.004507581,138.56233309805393,-0.8758283369243145
60,157,122880,778,-45.906212169999996,695.09,590,0.8850162327289581,0.04658203125,5.497435569763184,0.0003,0.2,-0.0027475442046124956,0.0065569812,82.16690845638513,-0.9026635648682714
61,161,124928,774,-43.31778404000001,710.8,600,0.9225945100188255,0.0798828125,2.4861366748809814,0.0003,0.2,-0.004945139649498742,0.005086622,32.77656860873103,-0.9039125569164753
62,165,126976,768,-43.451200979999996,723.88,610,0.7880518436431885,0.084423828125,5.9919514656066895,0.0003,0.2,-0.004723173534875969,0.0059445044,95.01455393135548,-0.6933727318421006
63,168,129024,764,-41.66801250999999,730.63,620,0.8737083524465561,0.04873046875,4.5162577629089355,0.0003,0.2,-0.004618605334690074,0.0064175734,33.986458893120286,-0.9423719581216574
64,173,131072,754,-39.73500564,741.88,630,0.8700915724039078,0.096923828125,327.3078918457031,0.0003,0.2,-0.0027358353181625716,0.012532296,40.39646425172687,-0.9110355531796813
65,177,133120,749,-39.402204409999996,756.09,640,0.8702151477336884,0.045556640625,3.351590394973755,0.0003,0.2,-0.0020455187099287287,0.0048078476,45.34037609398365,-0.855745386518538
66,180,135168,747,-30.958604610000002,772.26,650,0.8250173479318619,0.059033203125,19.787654876708984,0.0003,0.2,-0.007159994844550965,0.021289993,99.94021444022655,-0.8846914883702993
67,185,137216,739,-34.38172733,774.15,660,0.8215213119983673,0.038671875,349.83270263671875,0.0003,0.2,-0.0031710626317362767,0.0062599513,76.01976649612189,-0.9765634974464774
68,190,139264,732,-31.587952299999998,781.3,670,0.8196766674518585,0.03984375,5.474870681762695,0.0003,0.2,-0.0024041491618845613,0.005744344,61.475599417090415,-0.862598873488605
69,194,141312,725,-26.217623359999997,801.73,680,0.8839812949299812,0.117333984375,1.9508943557739258,0.0003,0.2,-0.00293974084634101,0.00742131,28.712321925908327,-0.8897105501964688
70,197,143360,726,-23.90282509,812.83,690,0.7571530938148499,0.0513671875,11.751904487609863,0.0003,0.2,-0.0028407232450263107,0.0054820618,63.99716979265213,-0.8942889675498009
71,201,145408,721,-21.96152457,820.45,700,0.7882394194602966,0.031103515625,5.424262523651123,0.0003,0.2,-0.0018351846185396426,0.0026013707,71.36925323158502,-0.8638898618519306
72,205,147456,716,-17.798397519999998,831.32,710,0.9159805104136467,0.02900390625,4.855184555053711,0.0003,0.2,-0.00033252472640015184,0.003719166,23.05548585653305,-0.9049114471301436
73,209,149504,713,-15.098229120000001,848.39,720,0.6085606515407562,0.0443359375,35.05452346801758,0.0003,0.2,-0.0024981600203318522,0.0065591168,99.44095925092697,-0.8287065722048282
74,212,151552,713,-15.280037820000002,848.39,730,0.7704808562994003,0.12802734375,2.4599826335906982,0.0003,0.2,-0.0041021584635018375,0.010051636,50.42997669056058,-0.8216717779636383
75,216,153600,710,-14.726004180000004,850.4,740,0.8695956468582153,0.050244140625,3.075848340988159,0.0003,0.2,-0.0022726527793565767,0.0047852416,25.491720099002123,-0.9061727987602353
76,219,155648,710,-13.69144839,861.72,750,0.6462110280990601,0.02119140625,4.0692138671875,0.0003,0.2,-0.0026245638542604865,0.004663394,87.85134043693543,-0.889763998799026
77,222,157696,708,-15.489107640000002,851.71,760,0.9129656925797462,0.1255859375,3.0204575061798096,0.0003,0.2,-0.006715517232078127,0.012386019,18.049516608566044,-0.8130312789231539
78,225,159744,707,-12.459930719999997,853.62,770,0.7136327922344208,0.062353515625,18.51030921936035,0.0003,0.2,-0.004757379244983895,0.007795699,152.89888829290868,-0.8325262004509568
79,230,161792,702,-13.363694259999999,853.62,780,0.8822642937302589,0.06923828125,3.1726908683776855,0.0003,0.2,-0.0030061067518545315,0.0061202655,23.83820562362671,-0.9174874639138579
80,233,163840,701,-12.61825185,855.41,790,0.812033161520958,0.07412109375,6.446649074554443,0.0003,0.2,-0.005277788086095825,0.0058625056,32.45146031603217,-0.832442850060761
81,237,165888,699,-11.546333190000002,858.94,800,0.8641197979450226,0.066455078125,3.6774730682373047,0.0003,0.2,-0.0026507605653023347,0.0053787464,26.553289843350647,-0.9090170439332723
82,240,167936,697,-9.586355199999998,862.54,810,0.8203413486480713,0.066162109375,4.327610015869141,0.0003,0.2,-0.0042825838434509935,0.0063618077,34.31544382199645,-0.8085818834602833
83,245,169984,692,-9.77693394,862.34,820,0.729448139667511,0.053271484375,29.300609588623047,0.0003,0.2,-0.004639876839064527,0.005151077,50.586753693223,-0.809123115427792
84,249,172032,689,-8.102368640000002,867.31,830,0.47961658239364624,0.0337890625,107.22537231445312,0.0003,0.2,-0.0052879166269121924,0.008464645,148.25720064342022,-0.8414617776870728
85,253,174080,687,-7.371437710000002,871.98,840,0.8834125250577927,0.091259765625,3.176673412322998,0.0003,0.2,-0.0035989357274957,0.0059356554,18.4171392172575,-0.9088275985792279
86,256,176128,686,-6.203141820000003,874.76,850,0.7791236191987991,0.035986328125,2.8994646072387695,0.0003,0.2,0.0010940375927020797,0.0034542163,33.72409777194262,-0.8691401321440935
87,259,178176,686,-5.105200490000002,878.86,860,0.8893541917204857,0.05791015625,1.7925546169281006,0.0003,0.2,-0.0012100235879188403,0.0057283863,19.815182081609965,-0.9064755337312818
88,262,180224,685,-5.150364860000003,883.99,870,0.7865605056285858,0.0501953125,3.554171085357666,0.0003,0.2,-0.0013054244802333415,0.0049468796,28.02526762112975,-0.8342834265902639
89,266,182272,685,-3.347948640000001,877.56,880,0.8021377623081207,0.032421875,2.062810182571411,0.0003,0.2,-0.002787845725833904,0.0029538684,31.9533647865057,-0.8421199373900891
90,270,184320,682,-4.16266287,880.31,890,0.6522911489009857,0.0931640625,126.7572250366211,0.0003,0.2,-0.0035226636347942984,0.009421857,96.60259072929621,-0.7899110775440932
91,273,186368,680,-4.53732647,880.31,900,0.8303974568843842,0.04970703125,1.7043085098266602,0.0003,0.2,-0.002679219016135903,0.006922258,29.292961445450782,-0.809601579606533
92,276,188416,681,-5.464132709999999,883.65,910,0.7486158013343811,0.110693359375,1.3046447038650513,0.0003,0.2,-0.00507478629151592,0.008196542,26.533954034373163,-0.7229900099337101
93,280,190464,678,-3.1157132899999995,893.36,920,0.8272152096033096,0.063525390625,1.841086506843567,0.0003,0.2,-0.0018410160759231077,0.004328391,25.3153987120837,-0.8731196958571672
94,283,192512,678,-2.786361649999999,890.97,930,0.8003673702478409,0.057080078125,2.3577873706817627,0.0003,0.2,-0.0022043399250833316,0.0048098797,28.459816397354007,-0.8868984514847398
95,286,194560,679,-1.682203659999999,887.91,940,0.7292993366718292,0.055859375,8.87152099609375,0.0003,0.2,-0.006050277514441404,0.0065361294,69.92899601757526,-0.8708601495251059
96,290,196608,675,0.26498877000000015,894.42,950,0.7607897818088531,0.031103515625,45.94266128540039,0.0003,0.2,-0.0010472747213498223,0.0050617456,66.02076437100769,-0.8329664338380098
97,293,198656,676,0.7417845000000003,901.39,960,0.7845023274421692,0.07060546875,2.1140100955963135,0.0003,0.2,-0.0029423455518553963,0.0063799634,38.27569976449013,-0.8607680018991232
98,296,200704,675,0.18159677000000002,900.85,970,0.7921037375926971,0.04130859375,2.5164809226989746,0.0003,0.2,-0.00252402280602837,0.0035385848,55.60947964563966,-0.8630895808339119
99,300,202752,675,0.6323153399999996,897.72,980,0.5353393852710724,0.07802734375,5.953293800354004,0.0003,0.2,-0.002620897586166393,0.0057374593,88.64475110135973,-0.8372251018881798
100,303,204800,674,2.486530179999999,899.48,990,0.4091528058052063,0.00908203125,80.11079406738281,0.0003,0.2,-0.0016266881666524569,0.0015997561,152.12008308917285,-0.8109909914433956
101,306,206848,673,6.46451601,896.66,1000,0.6411891281604767,0.0458984375,6.6479034423828125,0.0003,0.2,-0.0014979395520640538,0.005069605,68.97383470460773,-0.8346467720344662
102,310,208896,673,10.281479269999998,900.51,1010,0.5198878049850464,0.017138671875,10.947454452514648,0.0003,0.2,-0.0017488918456365354,0.0036871051,106.1942139700055,-0.797457680851221
103,313,210944,673,11.375274769999997,901.5,1020,0.4047123193740845,0.0396484375,7.437108516693115,0.0003,0.2,-0.0033233737496630054,0.0046113366,171.84281935691834,-0.7327485704794526
104,316,212992,673,15.034752379999997,888.79,1030,0.7503932416439056,0.079052734375,27.85560417175293,0.0003,0.2,-0.0013404262048425154,0.007505567,55.833392809331414,-0.8453161733224988
105,319,215040,673,14.480022619999998,879.48,1040,0.46657025814056396,0.033203125,24.550643920898438,0.0003,0.2,-0.0028100407944293693,0.0033584852,120.53982889652252,-0.7155437467619776
106,322,217088,672,14.68366554,875.68,1050,0.5725748538970947,0.051513671875,33.813316345214844,0.0003,0.2,-0.000942757647135295,0.009960429,92.45932055115699,-0.7439439238980412
107,325,219136,673,19.52406654,863.44,1060,0.7248565554618835,0.05478515625,4.750786781311035,0.0003,0.2,-0.0009288579240092076,0.0044269105,68.54757758900523,-0.7663405762985349
108,328,221184,673,19.082347509999998,862.25,1070,0.5009909272193909,0.03359375,32.66584014892578,0.0003,0.2,-0.0025341204833239316,0.004738872,115.81157308667898,-0.7378148190677166
109,331,223232,673,19.984078969999995,860.8,1080,0.6068229973316193,0.029052734375,14.374115943908691,0.0003,0.2,-0.00026940913230646404,0.0043010227,105.86383102834225,-0.7051605306565761
110,335,225280,672,21.85253588,855.0,1090,0.6944028437137604,0.077490234375,18.733787536621094,0.0003,0.2,-0.0030307853463455102,0.00719276,51.32098850309849,-0.8484146008267999
111,337,227328,672,19.90910101,850.77,1100,0.7485387623310089,0.0865234375,14.230066299438477,0.0003,0.2,-0.0020674954783316936,0.006392639,94.67392225563526,-0.7611872933804988
112,341,229376,671,22.512170140000002,839.77,1110,0.43774861097335815,0.114599609375,3.8822028636932373,0.0003,0.2,-0.0025317676991107874,0.011873117,145.1099764660001,-0.7420707138255238
113,345,231424,670,21.2318836,839.3,1120,0.6906040906906128,0.038232421875,32.96968460083008,0.0003,0.2,-0.0020443060686375246,0.00720553,88.80802685171366,-0.727295178361237
114,347,233472,671,25.020008449999995,827.45,1130,0.700452595949173,0.09951171875,136.0646209716797,0.0003,0.2,-0.0015689236312027787,0.0075235274,70.72147870846092,-0.722237141430378
115,350,235520,671,26.19577542,821.06,1140,0.6005943417549133,0.044873046875,27.35198974609375,0.0003,0.2,-0.0021318233375495765,0.005093448,83.84646104350686,-0.7363558972254396
116,353,237568,671,29.00811313,812.5,1150,0.6112086772918701,0.0888671875,34.52932357788086,0.0003,0.2,-0.003449737092523719,0.012409642,136.6790321186185,-0.6721866505220533
117,356,239616,672,32.91508342,814.68,1160,0.6239281892776489,0.05341796875,9.267457962036133,0.0003,0.2,-0.0016602064111793879,0.004741911,69.27384315505624,-0.7409397991374135
118,359,241664,672,33.86172071000001,811.1,1170,0.5093749761581421,0.047314453125,77.6808853149414,0.0003,0.2,-0.0028386262805724983,0.0048172204,154.46088864803315,-0.7855132395401597
119,362,243712,672,34.113183910000004,798.33,1180,0.6088786423206329,0.094287109375,1.997775673866272,0.0003,0.2,-0.0023431346839061008,0.0052665467,47.10407404899597,-0.729655583575368
120,365,245760,673,37.87541884,788.43,1190,0.3816545605659485,0.043994140625,133.72802734375,0.0003,0.2,-0.0018398208339931443,0.0042345747,183.0090024024248,-0.7360497910529376
121,368,247808,672,38.196406540000005,780.07,1200,0.7303549349308014,0.065771484375,6.794162750244141,0.0003,0.2,-0.002416913463275705,0.0066525294,108.22555495202542,-0.7686382301151753
122,372,249856,671,40.62797399,770.56,1210,0.5986601412296295,0.061376953125,11.242877006530762,0.0003,0.2,-0.0015731846091512126,0.004084315,165.0345843732357,-0.7342613046988845
123,374,251904,672,41.47677913,756.83,1220,0.7255798578262329,0.0623046875,318.3658752441406,0.0003,0.2,-0.0013588069188699592,0.009167446,61.71086588576436,-0.6990691285580397
1,2,2048,815,-412.7444495,561.5,1230,0.32462453842163086,0.06767578125,115.71273040771484,0.0003,0.2,-0.0014034215473657241,0.006984279,157.70750530436635,-0.74017220325768
2,4,4096,839,-449.7016538571428,578.2857142857143,1240,0.5808396935462952,0.074072265625,56.61048889160156,0.0003,0.2,-0.0015598742560541724,0.010559473,166.94756908416747,-0.7169580608606339
3,7,6144,839,-407.4998235454546,540.8181818181819,1250,0.3740808963775635,0.04267578125,28.272079467773438,0.0003,0.2,-0.0052602959916839605,0.007263778,338.8396343588829,-0.6991631466895342
4,10,8192,771,-394.0820994666667,545.9333333333333,1260,0.6275587677955627,0.03447265625,12.272109031677246,0.0003,0.2,-0.0015651356174203102,0.0035061338,201.55897701978682,-0.6415805365890265
5,13,10240,748,-399.0234052941176,573.5294117647059,1270,0.6801030039787292,0.014306640625,48.579612731933594,0.0003,0.2,-0.0019298978884762618,0.0040693963,158.49947631657125,-0.6953362096101046
6,16,12288,736,-390.569871,583.6666666666666,1280,0.8504594415426254,0.063427734375,15.898844718933105,0.0003,0.2,-0.0014632359117968008,0.006827485,67.48205861151219,-0.7513096172362566
7,19,14336,742,-394.31324049999995,575.4583333333334,1290,0.8612350672483444,0.04599609375,333.70611572265625,0.0003,0.2,-0.0022170221971464345,0.0063791596,118.26162104904651,-0.6557801991701127
8,22,16384,738,-387.65114425,568.7142857142857,1300,0.7055125534534454,0.104541015625,25.525972366333008,0.0003,0.2,-0.003791447751427768,0.010093944,156.8965766310692,-0.7577520743012428
9,24,18432,740,-380.69231248484846,558.4545454545455,1310,0.8501264005899429,0.067529296875,11.29032039642334,0.0003,0.2,-0.004838022862531943,0.005194646,137.8250973343849,-0.7350200159475208
10,27,20480,751,-380.0959664324324,552.5675675675676,1320,0.8252420425415039,0.038134765625,37.35679244995117,0.0003,0.2,-0.002670122174458811,0.003991113,207.8448982834816,-0.6137016762048007
11,30,22528,750,-374.801601,548.225,1330,0.8226315379142761,0.0693359375,54.48049545288086,0.0003,0.2,-0.0016829929056257243,0.0063012014,171.30170079767703,-0.6874033898115158
12,33,24576,739,-375.8745255116279,555.0232558139535,1340,0.9190514013171196,0.06083984375,19.29166603088379,0.0003,0.2,-0.0011698464440996759,0.0038150472,99.2845433369279,-0.6496675623580813
13,36,26624,735,-373.44191534042545,561.5957446808511,1350,0.8837544173002243,0.084814453125,1.9476220607757568,0.0003,0.2,-0.0006294776052527595,0.007590155,127.86107899621129,-0.6125608377158642
14,38,28672,737,-367.0639040196079,554.7843137254902,1360,0.9288679659366608,0.136083984375,9.094027519226074,0.0003,0.2,-0.006111046687146881,0.011327657,83.57906636148691,-0.6907103732228279
15,41,30720,742,-368.3373338392857,542.0714285714286,1370,0.9069992229342461,0.083154296875,12.615615844726562,0.0003,0.2,-0.002783257787086768,0.0056358906,117.22610735148191,-0.6734937140718102
16,44,32768,739,-369.40473591666665,543.35,1380,0.7258637547492981,0.039599609375,47.323734283447266,0.0003,0.2,-0.000292567001451971,0.0027812342,194.80596028864383,-0.6827969145029783
17,46,34816,743,-365.06696965624997,538.5,1390,0.8897788673639297,0.0578125,14.900854110717773,0.0003,0.2,-0.0031623178787413054,0.0043957992,109.73995078504086,-0.6539996895939112
18,49,36864,745,-358.07866563235297,533.6911764705883,1400,0.843420073390007,0.071630859375,19.975948333740234,0.0003,0.2,-0.0060289018947514705,0.020641956,139.14098486304283,-0.6247268715873361
19,52,38912,745,-355.22899256164385,530.5890410958904,1410,0.9396998360753059,0.032275390625,11.232266426086426,0.0003,0.2,-0.0010000129050240503,0.0040399856,105.73166570067406,-0.6412891520187258
20,54,40960,749,-351.2146721558442,527.1688311688312,1420,0.9172197952866554,0.018701171875,9.258089065551758,0.0003,0.2,-0.0003529297013301402,0.0015043712,142.02657684981824,-0.5938285344280303
21,57,43008,753,-349.30722685365856,522.829268292683,1430,0.9046223387122154,0.0779296875,28.352813720703125,0.0003,0.2,-0.001962428737897426,0.009327846,112.18799101412296,-0.632568845897913
22,59,45056,758,-346.67750556321846,517.4252873563219,1440,0.8863926157355309,0.1109375,47.63142776489258,0.0003,0.2,-0.005369260011502774,0.011705881,175.55963320434094,-0.6909517852589488
23,61,47104,760,-341.2673724673913,511.35869565217394,1450,0.8970940634608269,0.08671875,6.4094133377075195,0.0003,0.2,-0.0027158498975040856,0.008631187,165.0465863317251,-0.7108223056420684
24,64,49152,765,-338.4727763917526,506.45360824742266,1460,0.8564849197864532,0.036279296875,60.027740478515625,0.0003,0.2,-0.001834051951300353,0.004121513,204.57795501351356,-0.6081503861583769
25,66,51200,768,-334.00081045999997,500.5,1470,0.9274857640266418,0.115185546875,7.918316841125488,0.0003,0.2,-0.003117026886320673,0.0066503575,124.9215578481555,-0.6591557387262583
26,68,53248,772,-324.39160696000005,493.93,1480,0.8749376237392426,0.082666015625,13.954030990600586,0.0003,0.2,-0.0016475278447614984,0.012046102,132.5073801368475,-0.6711758954450489
