time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/learning_rate
1230,-136.79320864000002,15,151.51,30720,24,226.3822784423828,0.03859132528305054,0.2,-1.1736092925071717,0.149267578125,-0.012530826848524157,0.010620078,140,322.8079591751099,0.0003
1224,-132.93038112000002,16,159.38,32768,26,221.05349731445312,0.07415527105331421,0.2,-1.1569070231169463,0.06904296875,-0.008848213875899092,0.00679381,150,420.9809676647186,0.0003
1216,-134.15096608000005,17,166.43,34816,28,381.31317138671875,0.08296173810958862,0.2,-1.1495951410382985,0.04462890625,-0.00606136616479489,0.005322064,160,403.46174001693726,0.0003
1167,-130.85882883,18,183.58,36864,31,160.01722717285156,0.08253633975982666,0.2,-1.0784682758152484,0.146240234375,-0.009844818385317922,0.013480238,170,343.4286679267883,0.0003
1137,-129.77573019000002,19,195.72,38912,34,102.91706085205078,0.10148066282272339,0.2,-1.0889783969148994,0.1306640625,-0.01025659156293841,0.0125332475,180,219.60412311553955,0.0003
1122,-126.18050176999999,20,207.31,40960,36,62.13995361328125,0.02699798345565796,0.2,-1.0770245973020791,0.06123046875,-0.006078538073779782,0.008726989,190,257.03643028736116,0.0003
1071,-120.57153724000001,21,226.3,43008,40,358.8122863769531,0.1048882007598877,0.2,-1.0105395251885056,0.07373046875,-0.007227652838628274,0.008972103,200,359.5298950910568,0.0003
1058,-123.30029873000001,22,240.22,45056,42,78.42635345458984,0.12383246421813965,0.2,-1.0537031227722764,0.052392578125,-0.005355127391521819,0.009332215,210,123.08141514062882,0.0003
1043,-121.02170731,23,255.12,47104,45,272.74566650390625,0.023384928703308105,0.2,-1.0184468174353243,0.115087890625,-0.008941618482640478,0.011339206,220,290.70844702720643,0.0003
997,-116.67382658999999,24,269.07,49152,49,150.19454956054688,-0.00037026405334472656,0.2,-0.9850201388821006,0.123388671875,-0.004062408971367404,0.013032854,230,187.360172522068,0.0003
957,-115.28444053,25,285.47,51200,53,14.816536903381348,0.10567188262939453,0.2,-1.000064281374216,0.01552734375,-0.0026359455776400866,0.0060006264,240,117.91097676157952,0.0003
926,-111.02311583999999,26,307.97,53248,57,28.704204559326172,0.10116219520568848,0.2,-1.000064553692937,0.119921875,-0.00793937233829638,0.008338152,250,81.67315779924392,0.0003
913,-109.91700702,27,325.58,55296,60,79.78392791748047,0.11769658327102661,0.2,-0.9991464842110872,0.0462890625,-0.004008867465017829,0.009374175,260,76.89008993506431,0.0003
886,-104.84092064000001,28,343.38,57344,64,14.025423049926758,-1.9073486328125e-06,0.2,-1.0572035627439618,0.102490234375,-0.005635752592934295,0.0050437395,270,49.69049100279808,0.0003
858,-102.88059605000001,29,361.31,59392,69,27.067020416259766,0.17455416917800903,0.2,-1.0028246803209186,0.0298828125,-0.0021926413566689005,0.0051947753,280,87.82947731614112,0.0003
840,-98.72665924999997,30,378.47,61440,73,25.44378662109375,0.19908124208450317,0.2,-0.9767336644232273,0.039990234375,-0.005861601734795841,0.008575096,290,74.5400290697813,0.0003
818,-97.00849515,31,396.08,63488,77,11.986719131469727,0.17144405841827393,0.2,-0.978110478259623,0.082470703125,-0.005867029484943487,0.01021503,300,46.50311183035374,0.0003
791,-93.78778190999999,32,411.39,65536,82,17.00816535949707,2.2649765014648438e-06,0.2,-0.9956898937001825,0.09248046875,-0.006480865112825996,0.010171728,310,40.366775053739545,0.0003
781,-91.48163620999999,33,429.47,67584,86,13.76029109954834,5.066394805908203e-06,0.2,-1.0434962812811137,0.046826171875,-0.0022335422254400328,0.005395228,320,46.64009646475315,0.0003
765,-89.08466203,34,445.37,69632,91,10.132627487182617,0.00020748376846313477,0.2,-0.9796923957765102,0.083203125,-0.004546744834806304,0.007885537,330,43.32755787968635,0.0003
