time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
2338,0,1,2048,97.52380952380952,-157.40072180952384,,,,,,,,,,
1781,2,2,4096,92.18181818181819,-167.82745684090906,0.2,-0.005852950454573147,1509.9641735076905,0.0003,500.3799133300781,10,0.008013721,-1.3813374396413565,0.06044921875,0.005989193916320801
1650,3,3,6144,91.22388059701493,-168.52923367164178,0.2,-0.011718483578442828,931.9511661052704,0.0003,664.4090576171875,20,0.0108669195,-1.3761261146515609,0.0740234375,-0.03230559825897217
1576,5,4,8192,93.0919540229885,-168.4526594137931,0.2,-0.012246731948107482,667.0037522315979,0.0003,225.30001831054688,30,0.013169888,-1.3548018284142018,0.12109375,-0.011604785919189453
1530,6,5,10240,94.98,-166.81204720999997,0.2,-0.008614591423975072,615.7107079982758,0.0003,240.79913330078125,40,0.007694526,-1.3493377096951007,0.0671875,-0.0041201114654541016
1486,8,6,12288,96.06,-166.79842097,0.2,-0.002552788925822824,1105.0901911735534,0.0003,348.857666015625,50,0.007848357,-1.3394417829811573,0.012744140625,-4.851818084716797e-05
1446,9,7,14336,100.81,-161.01994524,0.2,-0.005168031284119934,518.2868299007416,0.0003,195.83694458007812,60,0.00765476,-1.315528193488717,0.029736328125,-0.0010476112365722656
1414,11,8,16384,106.48,-158.30001698,0.2,-0.006688486938946881,516.5738622665406,0.0003,216.30833435058594,70,0.009779738,-1.271077661216259,0.0689453125,-6.842613220214844e-05
1387,13,9,18432,111.49,-156.27797771,0.2,-0.008395227279106621,750.4711784362793,0.0003,308.3023681640625,80,0.010278052,-1.2295114606618882,0.06357421875,-0.01656794548034668
1372,14,10,20480,117.95,-153.54000822999998,0.2,-0.004410820068005705,557.6150117874146,0.0003,239.24546813964844,90,0.0070411307,-1.1981274254620076,0.020703125,0.009807169437408447
1354,16,11,22528,124.86,-153.22130751,0.2,-0.011950545108993538,400.96667943000796,0.0003,150.9754638671875,100,0.010959148,-1.1492783311754464,0.101953125,0.024646282196044922
1343,18,12,24576,135.4,-149.67042110999998,0.2,-0.009769413979665843,486.1805558681488,0.0003,158.79103088378906,110,0.010025863,-1.1376741111278534,0.109423828125,0.020505905151367188
1334,19,13,26624,143.32,-143.41931669000002,0.2,-0.008652969475951977,476.3569546699524,0.0003,221.25144958496094,120,0.006071055,-1.1545266143977642,0.050341796875,0.014564454555511475
