rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/loss
-161.23804015000002,100.8,2014,1,1,2048,,,,,,,,,,
-164.9780236097561,99.14634146341463,1500,2,2,4096,-1.3810571044683457,0.0012380480766296387,0.0003,0.2,1117.5174613952636,-0.008457162824925035,10,0.0337890625,0.00904589,404.8891296386719
-161.51319308064518,97.64516129032258,1399,3,4,6144,-1.3783569272607565,-0.0014938116073608398,0.0003,0.2,991.9737447738647,-0.005116952052048873,20,0.01689453125,0.009504924,321.18951416015625
-157.5047928101266,102.87341772151899,1347,4,6,8192,-1.3637570519000293,-0.005475282669067383,0.0003,0.2,1111.0245817184448,-0.01494758087937953,30,0.126953125,0.01445595,409.5267028808594
-154.16259016,102.3,1321,5,7,10240,-1.346020295098424,-0.009632349014282227,0.0003,0.2,1320.8367522239685,-0.010020044483826495,40,0.061328125,0.008535727,375.40032958984375
-147.91244741,103.6,1303,6,9,12288,-1.3191137988120318,-0.02909266948699951,0.0003,0.2,626.7842284202576,-0.005403123215364758,50,0.117041015625,0.014717803,219.02374267578125
-144.6614948,107.44,1284,7,11,14336,-1.2417989406734704,-0.0002014636993408203,0.0003,0.2,665.3621792793274,-0.007637355665792711,60,0.137353515625,0.01602396,213.0127410888672
-137.16311856000002,113.54,1276,8,12,16384,-1.2519539382308722,-4.088878631591797e-05,0.0003,0.2,818.0145991325378,-0.008029526464815718,70,0.038427734375,0.010202333,318.037109375
-130.47895202,118.95,1274,9,14,18432,-1.2373796176165341,-0.000706791877746582,0.0003,0.2,601.5238913059235,-0.0063491658715065565,80,0.0498046875,0.006857046,218.3120880126953
-135.24717351,123.18,1276,10,16,20480,-1.211266577243805,-0.01280510425567627,0.0003,0.2,486.5546817302704,-0.007723461600835435,90,0.08291015625,0.008509209,136.85281372070312
-132.76814031,133.01,1268,11,17,22528,-1.1561542436480523,0.022959411144256592,0.0003,0.2,548.5160384178162,-0.0060754622143576855,100,0.05390625,0.010529926,485.60284423828125
-127.73887719,142.3,1250,12,19,24576,-1.1777940332889556,0.04754394292831421,0.0003,0.2,546.2381626605987,-0.0090737418475328,110,0.073681640625,0.007571215,330.4072265625
-126.65895232999999,154.02,1231,13,21,26624,-1.117306189239025,-0.16657805442810059,0.0003,0.2,482.2547971010208,-0.0035656533349538223,120,0.05263671875,0.013682274,161.8486785888672
-123.34637253,163.24,1231,14,23,28672,-1.1542959179729224,0.04143643379211426,0.0003,0.2,387.65632910728453,-0.008720324734167662,130,0.0576171875,0.006743276,136.71102905273438
-123.14841951,170.51,1233,15,24,30720,-1.131506770849228,0.04402202367782593,0.0003,0.2,394.68524951934813,-0.007759105475270189,140,0.098828125,0.008901497,222.72860717773438
-120.53109837,181.62,1228,16,26,32768,-1.1137433040887117,0.13620728254318237,0.0003,0.2,318.5324592113495,-0.006802290320774773,150,0.03984375,0.0059456667,133.0509796142578
-121.068373,192.13,1197,17,29,34816,-1.1369065422564746,0.17187219858169556,0.0003,0.2,432.2878244876862,-0.005559388195979409,160,0.039990234375,0.005630904,182.64028930664062
-119.42246644,205.78,1167,18,31,36864,-1.180312579870224,0.2619277238845825,0.0003,0.2,298.631433391571,-0.006746516538260039,170,0.039990234375,0.007135176,161.62757873535156
-116.60595072,216.84,1134,19,34,38912,-1.1460436541587113,0.12490922212600708,0.0003,0.2,309.1100113391876,-0.008609034995606635,180,0.09697265625,0.009390466,117.76626586914062
-113.36182179000001,233.43,1102,20,37,40960,-1.1879717886447907,0.20439046621322632,0.0003,0.2,193.27581305503844,-0.0079442527370702,190,0.057275390625,0.007968094,62.211483001708984
-109.73853956,256.08,1075,21,40,43008,-1.2386773273348808,0.42221808433532715,0.0003,0.2,106.36011714935303,-0.005120595183689148,200,0.039453125,0.0050952644,37.35057067871094
-108.89551589000001,271.48,1055,22,42,45056,-1.136948499083519,0.21961665153503418,0.0003,0.2,253.0588416993618,-0.004550556577305543,210,0.019677734375,0.004585959,37.431880950927734
-106.09797324999998,282.19,1031,23,45,47104,-1.0936004992574453,0.36854517459869385,0.0003,0.2,167.2840823173523,-0.005814369850122602,220,0.02900390625,0.006857464,42.13770294189453
-104.59987870999997,299.65,1006,24,48,49152,-1.0302286738529802,0.36415815353393555,0.0003,0.2,184.18438105583192,-0.0077087136509362605,230,0.083203125,0.012000335,21.710479736328125
-102.11697915999999,323.68,983,25,52,51200,-1.0997530978173018,0.6587083637714386,0.0003,0.2,67.27081516385078,-0.005670711133279838,240,0.04150390625,0.005253202,16.04050064086914
-100.37476482,338.41,968,26,54,53248,-1.1054325219243766,0.46245914697647095,0.0003,0.2,94.46152979731559,-0.008919069827970815,250,0.07802734375,0.010259762,95.80738830566406
-98.47077120999998,350.09,950,27,58,55296,-1.0710395773872734,0.22335600852966309,0.0003,0.2,100.52144619226456,-0.005290476110531017,260,0.058251953125,0.007244478,39.162940979003906
-96.55866269,373.27,937,28,61,57344,-1.0972009856253861,0.6720654368400574,0.0003,0.2,64.0687981724739,-0.00798230212094495,270,0.03515625,0.0056470204,11.803876876831055
-95.25838459999999,390.44,921,29,64,59392,-1.116612693667412,0.6497264206409454,0.0003,0.2,110.47891372442245,-0.003066307172412053,280,0.037548828125,0.005551872,32.47895431518555
-90.96784625999999,403.92,916,30,67,61440,-1.0739040721207858,0.7848929166793823,0.0003,0.2,47.736079294979575,-0.00808325751349912,290,0.11357421875,0.013460463,3.6074228286743164
-88.20841966,419.79,900,31,70,63488,-1.067732466943562,0.4777752161026001,0.0003,0.2,99.23271798789501,-0.004561301178182475,300,0.064111328125,0.0072792247,10.117080688476562
-82.3847774,432.8,889,32,73,65536,-1.0406035700812937,0.8175882995128632,0.0003,0.2,39.96772916167974,-0.005736716138198972,310,0.068896484375,0.0067483317,3.6145975589752197
-82.00984413999998,448.19,868,33,77,67584,-0.9968206029385328,0.6540964841842651,0.0003,0.2,105.10489090532064,-0.0033047451644961255,320,0.021435546875,0.0035766314,87.46269989013672
-77.47178946000001,464.58,850,34,81,69632,-1.0631214616820217,0.7967658191919327,0.0003,0.2,55.94024057090282,-0.007543788263865281,330,0.16064453125,0.009454786,7.969156265258789
-74.95546426000001,481.65,835,35,85,71680,-1.0428995499387383,0.8459550589323044,0.0003,0.2,50.179382195323704,-0.007462194820982404,340,0.07783203125,0.0072262394,3.7488181591033936
-73.55428293000001,499.02,825,36,89,73728,-1.0271533316001296,0.8723954260349274,0.0003,0.2,30.89282836429775,-0.007102801489236299,350,0.130712890625,0.010285573,1.617612600326538
-71.20733489000003,514.96,818,37,92,75776,-0.9987882534042001,0.8592157512903214,0.0003,0.2,31.371819867566227,-0.005422790259399335,360,0.133984375,0.011946745,2.526283025741577
-71.05908051000002,528.8,819,38,94,77824,-0.9552802622318268,0.8778997585177422,0.0003,0.2,31.44809732660651,-0.006987159696291201,370,0.093115234375,0.010135994,1.668052077293396
-67.46900383,545.25,803,39,99,79872,-0.8584199776872993,0.5806866586208344,0.0003,0.2,138.0909724086523,-0.0024212626289227047,380,0.02509765625,0.0061446037,61.65699005126953
-63.74717869,568.21,797,40,102,81920,-0.9335242675617337,0.8341588079929352,0.0003,0.2,36.79436146020889,-0.005563407247245777,390,0.050830078125,0.0046854224,3.6114580631256104
-59.225357929999994,584.42,792,41,105,83968,-0.9928807564079761,0.7034333050251007,0.0003,0.2,79.05079770982266,-0.0037184567270742265,400,0.05029296875,0.005621377,3.3267440795898438
-59.086879759999995,592.83,784,42,109,86016,-0.9217227198183536,0.8660486042499542,0.0003,0.2,42.94653036743402,-0.00393620378599735,410,0.0455078125,0.007277981,403.6099548339844
-58.29176224999999,608.7,780,43,112,88064,-0.9406148590147495,0.7705599218606949,0.0003,0.2,66.80055736899376,-0.002801691998320166,420,0.02431640625,0.003447601,16.757278442382812
-56.78388615,627.53,777,44,115,90112,-0.9149963678792119,0.8146065920591354,0.0003,0.2,51.01540755406022,-0.003811609173862962,430,0.076416015625,0.0055591064,4.374177932739258
-53.49724929,643.42,772,45,119,92160,-0.9243311217054725,0.7081043124198914,0.0003,0.2,96.75018657259643,-0.0022249946763622575,440,0.02978515625,0.0037553404,4.723690032958984
-51.97802584,658.14,767,46,122,94208,-0.9330977274104952,0.8516336381435394,0.0003,0.2,35.95774395037442,-0.006779839299269952,450,0.160546875,0.013685608,2.1587352752685547
-47.153536360000004,677.58,768,47,125,96256,-0.8942023830488324,0.8622971773147583,0.0003,0.2,38.25716456696391,-0.003381728971726261,460,0.05478515625,0.0061742,2.642822027206421
-44.26987720000001,693.59,765,48,128,98304,-0.774996686168015,0.808695375919342,0.0003,0.2,64.24197389036416,-0.0023492861197155434,470,0.051171875,0.006431148,16.672565460205078
-41.822260540000016,703.0,764,49,131,100352,-0.8487188577651977,0.8119592070579529,0.0003,0.2,43.336334340274334,-0.0044316601866739806,480,0.085302734375,0.011574449,2.673057794570923
-40.897248090000005,722.38,766,50,133,102400,-0.8618280772119761,0.4531373381614685,0.0003,0.2,194.93138967752458,-0.003809735193499364,490,0.061083984375,0.012040093,48.526817321777344
-38.40734822,732.4,762,51,136,104448,-0.8673032633960247,0.7860289812088013,0.0003,0.2,72.35715478509664,-0.0019794567881035617,500,0.029443359375,0.0044859564,23.426401138305664
-35.70191369,746.89,760,52,139,106496,-0.7400152692571282,0.7501695454120636,0.0003,0.2,65.31461564227939,-0.00170330004330026,510,0.0490234375,0.003414651,2.912614345550537
-34.592026800000006,761.88,756,53,143,108544,-0.8196471873670816,0.7836248278617859,0.0003,0.2,88.8844770014286,-0.001245319578811177,520,0.01923828125,0.00281322,12.432576179504395
-28.80571365,778.37,755,54,146,110592,-0.7729197112843395,0.8939432576298714,0.0003,0.2,25.168149735033513,-0.004637847719277488,530,0.064111328125,0.0056563467,0.7746284008026123
-25.30311354,793.12,751,55,149,112640,-0.7759673433378339,0.7373018562793732,0.0003,0.2,83.03296055197715,-0.008983205773984083,540,0.028125,0.015262586,22.35004425048828
-19.832304179999998,801.87,749,56,153,114688,-0.7746279198676348,0.5777712166309357,0.0003,0.2,154.57392266839742,-0.00417268625824363,550,0.054443359375,0.012332771,193.8932342529297
-18.0937226,804.47,750,57,155,116736,-0.7874174416065216,0.5311022400856018,0.0003,0.2,137.26019575893878,-0.002391783634084277,560,0.05654296875,0.007393925,22.10498046875
-9.08036806,815.07,751,58,157,118784,-0.864694251678884,0.4341956377029419,0.0003,0.2,169.87271091043948,-0.00404076214908855,570,0.053076171875,0.0057484703,12.007164001464844
-7.407193140000001,810.82,752,59,160,120832,-0.776379874907434,0.40655088424682617,0.0003,0.2,205.4410679012537,-0.0030694284578203224,580,0.027001953125,0.0052625956,12.273417472839355
-6.035550349999999,805.88,750,60,163,122880,-0.7846436966210604,0.5325137674808502,0.0003,0.2,105.35291260182858,-0.005390253779478371,590,0.07861328125,0.007835144,46.274166107177734
-5.133307149999999,802.5,751,61,166,124928,-0.7687616065144539,0.5456786155700684,0.0003,0.2,136.5589453972876,-0.0024198274191803647,600,0.059912109375,0.0077057993,23.00115966796875
0.9156512999999985,805.33,747,62,169,126976,-0.8452801529318095,0.5149028897285461,0.0003,0.2,161.6430308893323,-0.0023478996441554044,610,0.040283203125,0.0060988427,25.878807067871094
