time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
22,243.16,45056,1157,-120.16754646999998,38,0.0090665575,-1.0828942188993096,0.290774941444397,0.2,210,182.21133422851562,0.0003,-0.010200579058437142,291.7175244092941,0.064306640625
23,263.83,47104,1109,-113.47132039999997,42,0.008155657,-1.1517266780138016,0.3567771911621094,0.2,220,150.5344696044922,0.0003,-0.005117047816747799,293.2286165356636,0.042919921875
24,273.87,49152,1084,-116.56692574999997,45,0.0099556865,-1.1559050485491753,0.33976370096206665,0.2,230,62.938621520996094,0.0003,-0.01018570208689198,190.62125267982483,0.059423828125
25,291.67,51200,1057,-111.93086462000001,48,0.004700052,-1.1472620207816362,-0.24732935428619385,0.2,240,139.0287628173828,0.0003,-0.006123832378943916,262.52748999595644,0.029931640625
26,308.2,53248,1050,-110.39800059999999,50,0.007655141,-1.111038801074028,0.4080822467803955,0.2,250,38.265377044677734,0.0003,-0.005433290564542404,121.13517637848854,0.0390625
27,323.62,55296,1046,-108.52414232999998,52,0.007824901,-1.043193598650396,0.08193141222000122,0.2,260,92.38060760498047,0.0003,-0.006956331716355635,245.02351150512695,0.07978515625
28,336.96,57344,1045,-106.63978621999996,54,0.010184443,-0.9967029822990299,0.34236812591552734,0.2,270,101.9220962524414,0.0003,-0.00922771866171388,275.38682622909545,0.130810546875
29,353.99,59392,1022,-107.08539288,58,0.010746216,-1.0212590496987104,0.4340040683746338,0.2,280,29.023983001708984,0.0003,-0.007892716395144817,230.9489109635353,0.0662109375
30,363.63,61440,1009,-104.39610723,60,0.008497644,-1.0037263637408613,0.492459237575531,0.2,290,127.78578186035156,0.0003,-0.006675630215613637,165.62764234542846,0.09609375
31,376.99,63488,992,-105.48274782000003,63,0.004939336,-1.0098098136484623,0.6885499656200409,0.2,300,25.755550384521484,0.0003,-0.005636221889290027,101.03465468287467,0.0353515625
32,393.63,65536,985,-99.99287808000001,66,0.00672091,-1.0070429395884275,0.6016919016838074,0.2,310,103.2961654663086,0.0003,-0.00557478094851831,138.35016689300537,0.04072265625
33,408.78,67584,970,-98.59916674,69,0.0030360094,-0.8537842048332095,0.5196386277675629,0.2,320,58.6029167175293,0.0003,-0.0025541831797454505,179.74418756961822,0.014453125
34,418.74,69632,949,-95.66118538,73,0.0037770872,-1.0083563037216663,0.35390210151672363,0.2,330,24.696229934692383,0.0003,-0.002562777693674434,131.18917213082312,0.0134765625
35,429.84,71680,927,-97.26569422,77,0.013668496,-0.9923334723338485,0.46228140592575073,0.2,340,82.35391998291016,0.0003,-0.010914191760093672,142.8594245672226,0.11689453125
36,441.98,73728,919,-95.93589491,80,0.0061167562,-0.9104507591575384,0.5208646953105927,0.2,350,31.145065307617188,0.0003,-0.0038001941040420205,142.97652327418328,0.053759765625
