rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/value_loss
-185.35022047826087,2317,0,2048,1,84.0,,,,,,,,,,
-180.8468349130435,1730,2,4096,2,88.91304347826087,0.0003,0.2,-1.3843946684151889,0.00424108,-0.0036566463866620326,0.011865234375,986.68115234375,-0.003331780433654785,10,1686.3611377716065
-178.6633996231884,1606,3,6144,3,88.94202898550725,0.0003,0.2,-1.3795588549226523,0.0035782128,-0.00366182202269556,0.008203125,576.1801147460938,-0.04727005958557129,20,1121.0165424346924
-171.04084475280902,1557,5,8192,4,91.5505617977528,0.0003,0.2,-1.3734980039298534,0.012306599,-0.007599749270593747,0.053515625,981.4486083984375,-0.0021364688873291016,30,1022.4796897888184
-163.78757181,1525,6,10240,5,93.34,0.0003,0.2,-1.3467912144958973,0.00855734,-0.011018645207514055,0.058740234375,299.70343017578125,-0.010250449180603027,40,1111.1692845344544
-165.07220345,1502,8,12288,6,94.72,0.0003,0.2,-1.3279178205877542,0.008249235,-0.004594866123079555,0.06650390625,156.0725860595703,-0.0012621879577636719,50,430.0465116977692
-162.21306353000003,1483,9,14336,7,97.9,0.0003,0.2,-1.3299641191959382,0.010365175,-0.0061019605003821194,0.07646484375,161.9185333251953,-0.0033457279205322266,60,494.3975187301636
-156.23190884,1469,11,16384,8,102.9,0.0003,0.2,-1.2804356172680855,0.0095412135,-0.011804979784938042,0.098583984375,143.79676818847656,-0.0003522634506225586,70,365.0890472888947
-153.86021715000004,1455,12,18432,9,108.15,0.0003,0.2,-1.2392951678484678,0.011538526,-0.007390809868229553,0.057666015625,285.53515625,-0.0026688575744628906,80,581.132119846344
-149.14667923000002,1440,14,20480,10,114.07,0.0003,0.2,-1.246910198777914,0.008401874,-0.008882912073022452,0.061572265625,238.78390502929688,0.01196521520614624,90,463.88534898757933
-146.08239257,1429,15,22528,11,120.82,0.0003,0.2,-1.167055044323206,0.009421676,-0.006592610534426058,0.034228515625,160.2607421875,0.015579760074615479,100,538.0992607116699
-140.50352029,1418,17,24576,12,130.32,0.0003,0.2,-1.1395528446882963,0.008937289,-0.007055131997913122,0.06083984375,478.470947265625,0.02830350399017334,110,332.23216547966
-135.92867224,1403,18,26624,13,138.64,0.0003,0.2,-1.134184395521879,0.0041564843,-0.006259984304779209,0.018798828125,402.7186584472656,0.026790618896484375,120,527.2990397453308
-133.97765948999998,1331,21,28672,14,150.13,0.0003,0.2,-1.1336805548518896,0.009437344,-0.012546610065328423,0.06181640625,140.6923370361328,0.033000409603118896,130,552.2629472255707
-127.62929528000002,1288,23,30720,15,166.55,0.0003,0.2,-1.23884782679379,0.009936383,-0.007949652512616012,0.059765625,125.40270233154297,0.012391865253448486,140,249.11311974525452
-126.32260538,1250,26,32768,16,182.28,0.0003,0.2,-1.0977067451924085,0.013681589,-0.0110496616223827,0.167431640625,272.28692626953125,0.044864535331726074,150,398.1529469013214
-121.45178243000002,1233,28,34816,17,195.65,0.0003,0.2,-1.115168510749936,0.011108874,-0.007382371050334768,0.08837890625,162.2086639404297,0.0630616545677185,160,280.91689257621766
-117.24343168000001,1218,30,36864,18,208.87,0.0003,0.2,-1.0830154564231633,0.0070437603,-0.006723084244731581,0.057958984375,197.53240966796875,-0.011156201362609863,170,474.25649826526643
-115.63381288,1171,33,38912,19,222.88,0.0003,0.2,-1.034646393917501,0.0053361757,-0.007785350090125575,0.032373046875,177.0900421142578,0.052639126777648926,180,568.2260427951812
-115.79731256000001,1146,35,40960,20,233.38,0.0003,0.2,-1.0805850248783826,0.004457373,-0.00398642488871701,0.02255859375,96.7513198852539,0.0909242033958435,190,333.66953775882723
-111.43143792,1123,38,43008,21,254.96,0.0003,0.2,-1.007193070463836,0.0054078465,-0.004015286850335542,0.039404296875,30.97918128967285,0.2539774775505066,200,117.5905481517315
-109.02080663000001,1119,40,45056,22,266.49,0.0003,0.2,-1.1095233231782913,0.0058551766,-0.007632599929638673,0.049951171875,54.38328552246094,0.2579526901245117,210,164.04387500286103
-108.05225956999999,1085,43,47104,23,276.57,0.0003,0.2,-0.9466499656438827,0.0073982365,-0.00721681879949756,0.055322265625,89.05204010009766,0.1744198203086853,220,228.0968992471695
-104.65548153999998,1056,46,49152,24,293.82,0.0003,0.2,-1.033235471136868,0.008100683,-0.007503289631858934,0.0865234375,78.76757049560547,0.23377102613449097,230,174.74798774719238
-99.34662731,1047,48,51200,25,309.48,0.0003,0.2,-1.0431108955293893,0.006730075,-0.00503288197069196,0.061376953125,19.92722511291504,0.4716807007789612,240,119.72727891206742
-96.2376866,1027,51,53248,26,331.41,0.0003,0.2,-0.9558240013197065,0.007770182,-0.007571708419709467,0.051513671875,47.19218444824219,0.2543357014656067,250,262.9782749414444
-95.81907251000001,1004,55,55296,27,347.14,0.0003,0.2,-0.9979809453710914,0.009950694,-0.0077336461778031666,0.116357421875,404.52166748046875,0.39059972763061523,260,144.1939967393875
-91.93246523000002,990,57,57344,28,364.3,0.0003,0.2,-0.9102550152689218,0.022331487,-0.01096399630769156,0.1837890625,60.892120361328125,0.12162059545516968,270,171.3597931265831
-91.58573236000001,968,61,59392,29,381.58,0.0003,0.2,-0.8929701087996363,0.009208921,-0.006322607358742971,0.1091796875,28.60858917236328,0.3055088520050049,280,63.77494053244591
-89.37515400000002,945,64,61440,30,392.85,0.0003,0.2,-0.9856526330113411,0.011570435,-0.01217334877437679,0.189892578125,16.285423278808594,0.046545565128326416,290,39.96569432020188
-85.96941324000001,930,68,63488,31,416.21,0.0003,0.2,-0.9867954645305872,0.012082117,-0.010725318161712493,0.122705078125,65.23452758789062,0.4251253008842468,300,71.77230363488198
-81.88616049000001,901,72,65536,32,433.4,0.0003,0.2,-0.9822260065004229,0.0075306916,-0.005060234840493649,0.0640625,18.84827995300293,0.6096079349517822,310,53.84893116652965
-79.6838644,876,77,67584,33,450.71,0.0003,0.2,-0.9824991704896092,0.008764172,-0.007515107005019672,0.0859375,8.88815975189209,0.22850579023361206,320,24.884153966605663
-76.02973573999999,855,81,69632,34,468.15,0.0003,0.2,-0.9889791693538428,0.012642407,-0.008122825916507282,0.11025390625,12.632844924926758,0.14780396223068237,330,24.946460710465907
-70.82286467,848,84,71680,35,484.53,0.0003,0.2,-0.9437716556712985,0.008584833,-0.004634424917458091,0.055224609375,19.527006149291992,0.1742148995399475,340,43.81693115234375
-70.33962708000001,832,88,73728,36,501.12,0.0003,0.2,-0.9670322922989726,0.009792817,-0.008984663186129182,0.109716796875,3.8246593475341797,0.3874164819717407,350,19.627615486085414
-69.14576977,829,91,75776,37,518.32,0.0003,0.2,-0.9609451839700341,0.0055663036,-0.003483359389429097,0.056640625,4.7634687423706055,0.5443428456783295,360,29.28741698116064
-66.6458939,812,95,77824,38,534.84,0.0003,0.2,-0.8743696631863713,0.004907081,-0.003853127378533827,0.0234375,38.715145111083984,0.7191365659236908,370,64.74496914744377
-65.23521904,803,99,79872,39,551.56,0.0003,0.2,-0.9338452136144042,0.005233974,-0.006002693843038287,0.039306640625,5.059895992279053,0.4201645851135254,380,30.821550641208887
-62.04567531,791,103,81920,40,568.44,0.0003,0.2,-0.9379005141556263,0.0057928693,-0.004066038814198691,0.095947265625,3.0802500247955322,0.5433079302310944,390,24.689484354108572
-58.270035289999996,780,107,83968,41,584.17,0.0003,0.2,-0.9294589400291443,0.006442142,-0.005282420409639599,0.081396484375,2.557443857192993,0.7501271665096283,400,30.19397438764572
-56.55669169,768,111,86016,42,598.48,0.0003,0.2,-0.9481330014765262,0.005951158,-0.004885009904683102,0.071435546875,6.663002014160156,0.4159345030784607,410,35.98203861936927
-56.785846359999994,760,115,88064,43,614.41,0.0003,0.2,-0.9565427634865046,0.009190215,-0.001267203087627422,0.04912109375,2.3642983436584473,0.4863911271095276,420,23.887549514323474
-51.08198074999999,747,120,90112,44,630.97,0.0003,0.2,-0.9531061112880707,0.0035619931,-0.005176931670575868,0.064453125,4.841178894042969,0.49794310331344604,430,22.121698221191764
-50.89640033999999,745,123,92160,45,647.76,0.0003,0.2,-0.9809660511091352,0.010554081,-0.003836347987817135,0.07607421875,1.7780895233154297,0.6157648861408234,440,29.59262270182371
