time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
71680,35,474.68,882,-79.85671944999999,81,0.00561336,-0.005329328923835419,36.836463928222656,0.044677734375,340,111.83696993589402,0.6950139105319977,0.0003,0.2,-1.0047438073903323
73728,36,489.88,876,-78.13204624,84,0.0069687665,-0.005637448953348212,21.46630859375,0.089599609375,350,85.13667443990707,0.7096416354179382,0.0003,0.2,-0.999088017642498
75776,37,503.78,872,-76.28255935,86,0.008502847,-0.005854160308081191,10.496939659118652,0.06669921875,360,46.57468022406101,0.8292939215898514,0.0003,0.2,-0.9087961414828897
77824,38,508.76,860,-76.97917313,90,0.013546716,-0.005682632044772618,63.59587860107422,0.116162109375,370,92.81886866688728,0.5517069399356842,0.0003,0.2,-1.0191342730075121
79872,39,531.86,848,-72.63547213,94,0.009935772,-0.009541512309078825,18.733808517456055,0.099462890625,380,80.28248828947544,0.6842954456806183,0.0003,0.2,-0.9109095882624387
81920,40,544.03,832,-67.36543029,98,0.008060014,-0.0039447355309675915,19.2459659576416,0.100341796875,390,64.81964258253575,0.7236677706241608,0.0003,0.2,-0.9145606020465493
83968,41,555.58,822,-67.7186123,102,0.0070144827,-0.006636719554080628,3.8200042247772217,0.057421875,400,39.602698613703254,0.7844242751598358,0.0003,0.2,-0.9372006293386221
86016,42,569.62,810,-63.267305789999995,106,0.0070961267,-0.005324353626201627,14.339022636413574,0.064013671875,410,89.0080482572317,0.6006391942501068,0.0003,0.2,-0.9004121005535126
88064,43,583.99,806,-60.643411879999995,109,0.010563619,-0.007741876640648115,3.743939161300659,0.211865234375,420,39.711129216104744,0.8376438468694687,0.0003,0.2,-0.9106651566922664
90112,44,595.95,806,-60.55684891,111,0.009520071,-0.0037874503032071516,5.792546272277832,0.11064453125,430,47.8369663387537,0.8118018954992294,0.0003,0.2,-0.8534181423485279
