rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss,train/entropy_loss
-166.17373904545454,89.22727272727273,1,0,2048,2286,,,,,,,,,,
-158.41086056818185,91.25,2,1006,4096,4,0.2,892.4090576171875,0.0044296979904174805,-0.00477914542570943,10,0.0074923635,0.02509765625,0.0003,1907.168613052368,-1.3826040152460337
-156.42435918461538,93.63076923076923,3,1007,6144,6,0.2,533.0374145507812,-0.017255783081054688,-0.004135065268201288,20,0.0033043812,0.00458984375,0.0003,1678.144108581543,-1.3772610548883677
-154.62865997701152,93.60919540229885,4,1009,8192,8,0.2,915.876953125,-0.006742954254150391,-0.009322313115990254,30,0.010197824,0.05029296875,0.0003,2412.7448774337768,-1.3770104479044676
-161.42365708999998,95.72,5,1010,10240,10,0.2,274.1804504394531,-0.0018581151962280273,-0.007220382415107451,40,0.008931242,0.03583984375,0.0003,683.2737229824066,-1.369376454129815
-160.33301369,99.48,6,1966,12288,6,0.2,363.44952392578125,-0.0008031129837036133,-0.007555343172862194,50,0.006220228,0.053857421875,0.0003,1062.48060836792,-1.359978800266981
-157.92273608,103.09,7,1968,14336,7,0.2,277.1089782714844,-0.001569986343383789,-0.013064273720374331,60,0.010829192,0.132763671875,0.0003,676.3842443943024,-1.344304221123457
-156.30818249,107.41,8,1969,16384,8,0.2,108.65033721923828,-0.0015604496002197266,-0.010190498907468282,70,0.012377031,0.173046875,0.0003,350.9650369644165,-1.2966058865189551
-157.63891362,113.88,9,3023,18432,6,0.2,216.29176330566406,-0.01658773422241211,-0.009375265936250798,80,0.009003749,0.061962890625,0.0003,532.8019335269928,-1.2713302820920944
-149.7141416,119.59,10,3024,20480,6,0.2,191.11685180664062,-0.0005391836166381836,-0.010665112307469827,90,0.009839281,0.081494140625,0.0003,645.5113596916199,-1.2656132962554694
-149.90319387,124.18,11,3026,22528,7,0.2,219.08448791503906,-0.0016350746154785156,-0.007585346131963888,100,0.010880862,0.0580078125,0.0003,479.6848793029785,-1.2537922900170089
-144.61549895,125.63,12,3970,24576,6,0.2,152.30767822265625,-9.298324584960938e-06,-0.0051830305368639525,110,0.00872311,0.052978515625,0.0003,330.1209671497345,-1.209356465563178
