time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
21,-103.65809480999998,303.97,679,43008,63,-2.8167282447218893,0.0003,200,0.995227038860321,0.2,12.102746963500977,121.0475723028183,0.070849609375,-0.006057242357928772,0.006107608,0.4057578444480896
22,-100.20052338999999,327.96,655,45056,68,-2.829913367331028,0.0003,210,0.9971334934234619,0.2,57.77243423461914,196.55747933983804,0.090576171875,-0.007336011362349381,0.0083651915,0.41560685634613037
23,-96.92041550999998,345.03,642,47104,73,-2.8138738311827183,0.0003,220,0.9813491106033325,0.2,15.642542839050293,111.96729522943497,0.04375,-0.0020494129043072463,0.005214004,0.5999071896076202
24,-96.58432767999999,358.42,638,49152,76,-2.7725863002240656,0.0003,230,0.9565385580062866,0.2,18.51458740234375,56.525537222623825,0.05478515625,-0.004904903643182479,0.0053419853,0.7257590293884277
25,-92.24046006,374.98,625,51200,81,-2.7307292029261587,0.0003,240,0.9397740364074707,0.2,27.991912841796875,146.81338290572165,0.057275390625,-0.00602606037282385,0.0073121833,0.5197048783302307
26,-89.99528921000001,392.14,620,53248,85,-2.699023067206144,0.0003,250,0.9288054704666138,0.2,8.338733673095703,49.55818431675434,0.06689453125,-0.005193046839849558,0.010236882,0.8062902390956879
27,-86.34868915000001,408.42,607,55296,91,-2.670784346014261,0.0003,260,0.9156702756881714,0.2,13.730920791625977,57.476661819219586,0.091259765625,-0.00877600386083941,0.009164734,0.6998868882656097
28,-84.22897839,426.0,589,57344,97,-2.653503143787384,0.0003,270,0.9107480645179749,0.2,9.527534484863281,50.97908000051975,0.103515625,-0.007035235880175605,0.0069502867,0.8347978293895721
29,-83.05220522999997,443.86,580,59392,102,-2.6329848259687423,0.0003,280,0.8951787352561951,0.2,11.937078475952148,65.4147120654583,0.04921875,-0.005685053372872062,0.00648316,0.7665103077888489
30,-79.56195158999999,460.49,578,61440,106,-2.597611054778099,0.0003,290,0.8812133073806763,0.2,5.2252116203308105,32.47443246543408,0.0634765625,-0.004097842308692634,0.007957492,0.8959323838353157
31,-77.25911737,477.32,576,63488,110,-2.5796475537121295,0.0003,300,0.8799888491630554,0.2,12.718969345092773,38.16739694327116,0.069873046875,-0.008762421571009326,0.008811236,0.7441953420639038
32,-76.16324046999999,494.67,570,65536,114,-2.5739125102758407,0.0003,310,0.8782185316085815,0.2,7.432059288024902,43.61564606577158,0.060107421875,-0.008085992528867792,0.007422964,0.6528639495372772
33,-72.67162144999999,516.63,566,67584,119,-2.5646134719252585,0.0003,320,0.8696486949920654,0.2,3.1109650135040283,18.448809242248537,0.06259765625,-0.002350242614193121,0.0068121725,0.9032285064458847
34,-72.48928182,527.99,563,69632,123,-2.5481392093002797,0.0003,330,0.8648868203163147,0.2,141.2108917236328,109.01165717542172,0.052197265625,-0.004540772279142402,0.0053750803,0.514204740524292
