rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
-184.28025625,84.41666666666667,1,2250,0,2048,,,,,,,,,,
-167.48518360000003,91.0,2,1618,2,4096,10,0.03369140625,-1.3823338210582734,-0.004366636276245117,0.0003,563.7323608398438,1609.4526916503905,0.0073932074,-0.006615694806532702,0.2
-157.40337475757573,92.74242424242425,3,1464,4,6144,20,0.078955078125,-1.3739713575690984,-0.05318105220794678,0.0003,898.52685546875,1609.9438066482544,0.012902383,-0.01269260281478637,0.2
-152.829804954023,93.86206896551724,4,1424,5,8192,30,0.092333984375,-1.3577962826937438,-0.01090848445892334,0.0003,531.1493530273438,1346.7973640441894,0.010197309,-0.00861723378275201,0.2
-152.18352478999998,94.51,5,1392,7,10240,40,0.0427734375,-1.3602304629981519,-0.07364940643310547,0.0003,394.8134460449219,1036.3428312301635,0.0075731743,-0.006581492369878106,0.2
-149.46526774,99.68,6,1364,9,12288,50,0.0822265625,-1.3462630528956652,-0.0010260343551635742,0.0003,519.8223876953125,696.1358363628387,0.012394677,-0.0038925386259506924,0.2
-145.61938827,102.28,7,1349,10,14336,60,0.036181640625,-1.323644668236375,-0.0069495439529418945,0.0003,290.3008728027344,684.3926153182983,0.0073431493,-0.004714040519320406,0.2
-147.53341343,105.54,8,1329,12,16384,70,0.0875,-1.2839429289102555,-0.0002931356430053711,0.0003,456.9549865722656,473.3872759819031,0.008490142,-0.00724858124704042,0.2
-142.63358648,109.73,9,1319,13,18432,80,0.082958984375,-1.2458376619964837,-0.01630854606628418,0.0003,149.42755126953125,416.48649339675904,0.012929201,-0.008598606212763116,0.2
-135.28609572,116.57,10,1312,15,20480,90,0.03115234375,-1.234379994496703,0.003312408924102783,0.0003,290.7452697753906,561.3296442985535,0.006325081,-0.0051188730387366375,0.2
-133.12723549,126.66,11,1295,17,22528,100,0.060498046875,-1.1545020818710328,0.022301137447357178,0.0003,234.44664001464844,480.4141142845154,0.011383524,-0.009613964759773807,0.2
-127.95399214999999,139.9,12,1249,19,24576,110,0.04755859375,-1.1512051973491908,0.018143534660339355,0.0003,484.4308166503906,456.0692533493042,0.0066250227,-0.0075305801161448475,0.2
-129.22420824000002,146.53,13,1235,21,26624,120,0.018505859375,-1.211256591975689,0.02643275260925293,0.0003,63.40327835083008,377.15106303691863,0.0039591696,-0.003039285975683015,0.2
