time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
28672,140.4,-140.70253227,14,20,1377,0.0056803254,0.04122692346572876,0.0003,130,-1.1938655767589808,-0.003519004982081242,0.2,0.015771484375,478.0208361148834,186.68739318847656
30720,142.53,-136.03893485,15,22,1371,0.01049814,0.14142918586730957,0.0003,140,-1.1482454724609852,-0.007703399255115073,0.2,0.0703125,490.03444027900696,178.22889709472656
32768,148.9,-136.72538285000002,16,24,1363,0.0084908195,0.15046650171279907,0.0003,150,-1.1099390536546707,-0.00580162359692622,0.2,0.037158203125,674.7644733428955,385.7276916503906
34816,161.53,-137.24390798,17,26,1321,0.0034732893,0.16154766082763672,0.0003,160,-1.135278469324112,-0.003507690770493355,0.2,0.016015625,664.6830501556396,286.2372741699219
36864,165.35,-135.86095193,18,27,1319,0.006385899,0.21590960025787354,0.0003,170,-1.1862354617565871,-0.005106487283774186,0.2,0.035986328125,325.527783870697,112.77940368652344
38912,172.54,-135.9354754,19,29,1310,0.007093653,0.04480266571044922,0.0003,180,-1.1383694037795067,-0.004888031912560109,0.2,0.02900390625,550.225971698761,206.15435791015625
40960,182.14,-129.74157577,20,31,1287,0.008454244,0.16411244869232178,0.0003,190,-1.171540605649352,-0.006439437698281836,0.2,0.04375,487.3008545875549,276.32550048828125
43008,184.61,-130.09410825000003,21,33,1289,0.009030722,0.13602477312088013,0.0003,200,-1.1157116863876582,-0.010374876740388572,0.2,0.056494140625,377.63976702690127,79.71880340576172
45056,190.81,-130.22001873999997,22,34,1289,0.007376414,-0.028270602226257324,0.0003,210,-1.0726111572235824,-0.005064401458366774,0.2,0.048779296875,516.8797101974487,141.89520263671875
47104,192.41,-128.79335755,23,36,1291,0.0074708224,0.21017783880233765,0.0003,220,-1.1070014271885156,-0.007088304776698351,0.2,0.09326171875,450.44598603248596,592.373291015625
49152,205.15,-128.34272288000003,24,38,1274,0.008599699,0.3348538279533386,0.0003,230,-1.016831280104816,-0.006362347753020003,0.2,0.05322265625,735.580388212204,241.9560089111328
