time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss
11,1359,124.29,16,-140.30175610999996,22528,-1.2571654111146926,-0.00566616335636354,0.0003,140.23509216308594,0.013088027,-0.0009233951568603516,100,0.2,0.06865234375,394.8882279396057
12,1352,131.48,18,-137.87564501999998,24576,-1.1948017414659262,-0.005954483873938443,0.0003,125.06893920898438,0.01019364,-0.005011796951293945,110,0.2,0.043798828125,503.5978890895843
13,1343,140.29,19,-135.16598144,26624,-1.1415892161428929,-0.008099993861833354,0.0003,100.28553009033203,0.006771795,-0.021030545234680176,120,0.2,0.02919921875,370.18123960494995
14,1336,145.65,21,-135.30735341,28672,-1.1007507666945457,-0.004895582703466061,0.0003,194.46133422851562,0.004285111,0.010903120040893555,130,0.2,0.008544921875,550.8902801036835
15,1241,160.31,24,-130.87769168,30720,-1.114658360928297,-0.007669712191272993,0.0003,239.10845947265625,0.0077787186,0.0790477991104126,140,0.2,0.071435546875,546.2541620254517
16,1206,172.87,27,-127.33301224999997,32768,-1.2320077493786812,-0.004721072492975509,0.0003,85.84425354003906,0.007344792,0.19812536239624023,150,0.2,0.0544921875,210.29222085475922
17,1178,185.76,29,-125.61866608,34816,-1.179040963947773,-0.01120724752690876,0.0003,83.47518157958984,0.010055715,0.1116451621055603,160,0.2,0.081982421875,300.869252705574
18,1114,204.24,33,-125.23444512,36864,-1.1461139932274818,-0.008377183314587455,0.0003,133.79588317871094,0.0064864988,0.2464207410812378,170,0.2,0.0369140625,348.46907579898834
19,1082,217.91,35,-122.53626110999998,38912,-1.22915421128273,-0.005272928840713576,0.0003,453.4983215332031,0.007277319,0.3901967406272888,180,0.2,0.071728515625,173.6562459230423
20,1061,230.3,38,-121.88364217,40960,-1.1753157749772072,-0.007131306154769845,0.0003,258.5662536621094,0.009292778,0.17302900552749634,190,0.2,0.047607421875,266.6130034446716
21,1061,242.83,40,-120.39042781000002,43008,-1.1198161840438843,-0.009036138498049694,0.0003,85.89765930175781,0.0065704873,0.5320633351802826,200,0.2,0.068505859375,168.24023627042772
