rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
-103.52309172,29,59392,1021,340.23,58,-0.007720952574891271,-1.057996972091496,280,0.3750237822532654,78.49089813232422,150.14329134225846,0.2,0.0003,0.07529296875,0.010550735
-101.46224769000003,30,61440,998,356.54,61,-0.007997278866969281,-1.050843184441328,290,0.12296390533447266,49.77227020263672,229.76190507411957,0.2,0.0003,0.073095703125,0.0072627277
-98.35187903000002,31,63488,984,374.0,64,-0.00952255211013835,-1.0701887154951693,300,0.32454854249954224,30.66905403137207,121.30847356915474,0.2,0.0003,0.11953125,0.015970113
-94.85153832000002,32,65536,968,391.08,67,-0.009447410250868416,-1.0015701945871114,310,0.7057738900184631,11.255730628967285,45.57038828730583,0.2,0.0003,0.12431640625,0.016262256
-90.39622998000003,33,67584,939,406.83,71,-0.008020315096655396,-0.9455222927033902,320,0.3150670528411865,22.015621185302734,116.75236889719963,0.2,0.0003,0.0806640625,0.009260023
-89.48116744000001,34,69632,910,423.81,76,-0.004305060577462427,-1.0127254415303468,330,0.2520144581794739,6.179670810699463,56.55563810765743,0.2,0.0003,0.080224609375,0.007418803
-88.38698017,35,71680,904,440.3,79,-0.004779853265790735,-1.0110058456659317,340,0.16962963342666626,12.08687686920166,44.411127981543544,0.2,0.0003,0.0455078125,0.006989955
-83.43758315000001,36,73728,890,457.76,82,-0.005112250077945646,-1.0407121060416102,350,0.2974444031715393,12.211423873901367,31.99717710316181,0.2,0.0003,0.131494140625,0.006827788
-81.51064562,37,75776,882,473.98,85,-0.0038193130436411592,-0.9618881188333035,360,0.31083452701568604,9.93325424194336,44.1018905878067,0.2,0.0003,0.0513671875,0.0067167636
-79.1537802,38,77824,866,491.22,89,-0.0036701597971841695,-0.9431308811530471,370,-0.028400182723999023,8.664496421813965,75.38712272942067,0.2,0.0003,0.049462890625,0.0066316742
-75.20835650000001,39,79872,859,508.19,92,-0.004538202191906748,-0.9891288403421641,380,0.24795907735824585,8.437564849853516,34.405054710805416,0.2,0.0003,0.05107421875,0.006222358
-74.26096287000001,40,81920,842,525.23,97,-0.005318652023561299,-1.0050386311486363,390,0.24837225675582886,9.848177909851074,27.579618836939336,0.2,0.0003,0.104296875,0.007758904
-71.94133780000001,41,83968,836,541.87,100,-0.004931363806099398,-1.0268883192911744,400,0.2758990526199341,4.444357395172119,20.123300111293794,0.2,0.0003,0.08583984375,0.009063421
-69.29248183000001,42,86016,831,558.36,103,-0.003914936650107848,-0.9553318247199059,410,0.4335036873817444,3.2689383029937744,16.84305235594511,0.2,0.0003,0.06884765625,0.01038529
-65.03712648000001,43,88064,819,574.14,107,-0.002574890012328979,-0.9874917279928923,420,0.4279935359954834,4.4311842918396,20.705057570338248,0.2,0.0003,0.075537109375,0.007357705
-62.64343494000001,44,90112,807,590.39,111,-0.002404597672284581,-0.9703822871670127,430,0.4001467823982239,3.089240312576294,26.26275359466672,0.2,0.0003,0.032177734375,0.00565553
-61.009589950000006,45,92160,798,606.93,115,-0.005052222394442652,-0.9903280081227421,440,0.42363911867141724,4.59132719039917,24.43396028056741,0.2,0.0003,0.06806640625,0.0060255267
-58.29501727000001,46,94208,789,622.47,119,-0.0035345859272638337,-0.9263240432366728,450,0.4354071021080017,231.34259033203125,41.32966912835836,0.2,0.0003,0.078759765625,0.0052118897
-52.10581096,47,96256,779,646.66,123,-0.0025336620514281095,-0.981481796130538,460,0.6194597482681274,2.638587236404419,16.245353347063066,0.2,0.0003,0.05556640625,0.0060596326
-52.106092140000015,48,98304,776,661.69,126,-0.0037887867452809586,-0.9506892969831824,470,0.39694225788116455,4.263472557067871,33.25935812816024,0.2,0.0003,0.037744140625,0.0046494883
-49.88328820000001,49,100352,770,677.91,130,-0.008294499847397673,-0.9581168748438358,480,0.5817166268825531,4.960168838500977,24.205601705610754,0.2,0.0003,0.131640625,0.008108012
-48.97191955,50,102400,760,693.25,134,-0.004257831834547687,-0.923855172470212,490,0.6696316003799438,3.048417329788208,16.794360844045876,0.2,0.0003,0.086328125,0.0066297357
-46.51068415000002,51,104448,757,704.64,137,-0.0020289708889322357,-0.8750386966392398,500,0.40087229013442993,3.3555352687835693,38.850731106847526,0.2,0.0003,0.0560546875,0.008498276
-44.77202555000001,52,106496,751,719.03,141,-0.0033659226275631225,-0.9793726677075029,510,0.4055723547935486,12.510403633117676,58.74122311025858,0.2,0.0003,0.080078125,0.007281606
-43.27696839,53,108544,748,735.3,145,-0.0028676700792857448,-0.9149742975831032,520,0.7446092367172241,2.584949254989624,27.37288072630763,0.2,0.0003,0.078955078125,0.0076855714
-38.4059018,54,110592,740,750.67,149,-0.007380377700610552,-0.9100448081269861,530,0.7905155271291733,4.803275108337402,26.37002519890666,0.2,0.0003,0.099072265625,0.008244583
-36.58763564000001,55,112640,737,769.55,152,-0.0020323477598140015,-0.8418159689754248,540,0.4845399260520935,44.96696472167969,79.6832464054227,0.2,0.0003,0.025439453125,0.0027229274
-35.27495992000001,56,114688,733,784.54,156,-0.0037604914519761222,-0.7876738974824548,550,0.6722503900527954,9.195935249328613,91.04427509009838,0.2,0.0003,0.072802734375,0.0082326485
-35.24988814000001,57,116736,732,789.71,159,-0.0017264971014810727,-0.8657727040350437,560,0.7698061317205429,3.0164921283721924,32.37899584472179,0.2,0.0003,0.060107421875,0.0047710543
-31.365993940000003,58,118784,732,804.47,162,-0.002159076429234119,-0.8864251712337137,570,0.7552129328250885,2.822431802749634,57.68710169494152,0.2,0.0003,0.045849609375,0.004150116
-29.934229520000002,59,120832,729,818.56,165,-0.00100026803847868,-0.9280235607177019,580,0.5590269565582275,51.85712814331055,81.86935989260674,0.2,0.0003,0.061572265625,0.0066047967
-31.135037770000004,60,122880,728,824.64,168,-0.00420989092453965,-0.8490506246685982,590,0.6683148741722107,12.47439193725586,71.3773302435875,0.2,0.0003,0.045654296875,0.00768617
-24.175387439999998,61,124928,725,843.77,172,-0.0037194966742390536,-0.844291847012937,600,0.6153179407119751,60.90869140625,120.91853779554367,0.2,0.0003,0.030029296875,0.0043633203
-21.7545732,62,126976,724,858.74,175,-0.002203388503403403,-0.7602774541825056,610,0.597805917263031,229.50119018554688,152.0864662528038,0.2,0.0003,0.046435546875,0.005590221
-19.434685079999998,63,129024,717,870.59,179,-0.0025707322725793346,-0.8292684761807323,620,0.8135087490081787,1.5762742757797241,30.532311701774596,0.2,0.0003,0.069775390625,0.0070242733
-17.894233670000002,64,131072,717,882.46,182,-0.0015473335952265188,-0.8340785892680287,630,0.7697037011384964,337.9991149902344,47.58843772262335,0.2,0.0003,0.047802734375,0.0070264027
-15.87596094,65,133120,712,894.8,186,-0.00335166421282338,-0.8557129578664899,640,0.6766432523727417,10.001890182495117,59.03081794679165,0.2,0.0003,0.035400390625,0.003379072
-17.55712185,66,135168,709,900.75,190,-0.0034321167622692883,-0.8250053992494941,650,0.8563782125711441,4.061655044555664,30.364744731783865,0.2,0.0003,0.074365234375,0.0053995727
-13.05236685,67,137216,702,912.12,195,-0.006060638633789495,-0.7834871271625161,660,0.8313907384872437,12.62928295135498,41.01020426601171,0.2,0.0003,0.0912109375,0.019821983
-11.576410029999998,68,139264,704,919.91,197,-0.0010779509451822379,-0.8958053328096867,670,0.7764829248189926,2.3194239139556885,28.23769046664238,0.2,0.0003,0.04326171875,0.0039833356
-12.062379980000001,69,141312,704,922.3,200,0.0007118957786587998,-0.8804580194875598,680,0.4319361448287964,1.764965295791626,74.20364237949252,0.2,0.0003,0.07197265625,0.0051738657
-13.2035192,70,143360,704,920.59,203,-0.002789796537399525,-0.9204119268804789,690,0.5140539705753326,18.683164596557617,83.72749525755644,0.2,0.0003,0.039794921875,0.0044908086
-11.08883369,71,145408,701,922.27,207,-0.0049731377745047215,-0.8384049370884895,700,0.7222331762313843,24.97940444946289,62.0137089446187,0.2,0.0003,0.08681640625,0.008847341
-7.493379489999998,72,147456,701,924.92,210,-0.0023275932391698005,-0.8339394358918071,710,0.6727911233901978,1.8362643718719482,60.95861823298037,0.2,0.0003,0.07744140625,0.007903646
-8.64146181,73,149504,699,924.92,213,-0.007766129244919285,-0.8663866790011525,720,0.44554269313812256,7.300487041473389,105.51246258616447,0.2,0.0003,0.058349609375,0.015046249
-5.806511469999999,74,151552,696,938.76,217,-0.003984034475433873,-0.8078001195564866,730,0.5762794613838196,250.6738739013672,36.81681696474552,0.2,0.0003,0.075927734375,0.010496922
-3.0990633299999986,75,153600,694,943.38,221,0.0001684565817413386,-0.9054030841216445,740,0.6914472281932831,1.4708491563796997,32.8537686355412,0.2,0.0003,0.07216796875,0.0065882076
-0.05027898999999856,76,155648,693,949.15,224,-0.0026333174100727774,-0.7992553558200598,750,0.37970536947250366,7.903077602386475,69.28354079574346,0.2,0.0003,0.016455078125,0.0029915713
3.4894736000000006,77,157696,692,953.4,227,-0.001742835924233077,-0.8661572586745023,760,0.7216884791851044,3.4879860877990723,24.705398242920637,0.2,0.0003,0.042626953125,0.00581554
2.16326403,78,159744,689,953.4,231,-0.0002671421621926129,-0.7092309737578034,770,0.3996838927268982,4.11740255355835,84.91381174400449,0.2,0.0003,0.019677734375,0.002669666
-1.3909551199999997,79,161792,689,949.84,234,-0.01005892882385524,-0.8920507688075304,780,0.7687876224517822,3.5402791500091553,28.349846056103708,0.2,0.0003,0.094287109375,0.011946516
-0.5289708099999993,80,163840,685,949.84,238,-0.0018169735914852936,-0.8166886163875461,790,0.4472353458404541,6.711970329284668,126.43965511620044,0.2,0.0003,0.067724609375,0.006367051
0.16519109000000107,81,165888,683,949.84,242,-0.0019479069640510715,-0.8526686858385801,800,0.8524351119995117,2.268691062927246,19.540739680081607,0.2,0.0003,0.065869140625,0.006326407
-0.10207997999999914,82,167936,680,949.11,246,-0.0030382590877707115,-0.8125383185222745,810,0.7997604757547379,1.9336766004562378,27.973924676701426,0.2,0.0003,0.081884765625,0.009284775
-1.154700689999999,83,169984,680,950.15,249,-0.002048467635904672,-0.8377522673457861,820,0.5939152538776398,15.724738121032715,62.749210155010225,0.2,0.0003,0.093310546875,0.012060827
-2.2714436499999984,84,172032,679,949.98,253,-0.001429275509144645,-0.7946352858096362,830,0.7810613512992859,425.0325012207031,34.140309147536755,0.2,0.0003,0.065087890625,0.009936252
-0.7853481999999992,85,174080,675,949.98,257,-0.003292491166939726,-0.8433065667748452,840,0.7640489488840103,2.220123291015625,40.38940508589148,0.2,0.0003,0.09443359375,0.0061635715
-1.617129299999999,86,176128,675,949.98,260,-0.006151038729876745,-0.8440466912463307,850,0.806381344795227,2.0062334537506104,23.871340833604336,0.2,0.0003,0.09814453125,0.0073973127
-1.7996884199999996,87,178176,673,949.98,264,-0.0015591793169733136,-0.8092131270095706,860,0.8193751126527786,1.5492873191833496,29.585203014314175,0.2,0.0003,0.05419921875,0.0076947575
-1.8159212400000002,88,180224,674,949.98,267,-0.0008687560097314417,-0.8340972784906626,870,0.9010698571801186,0.9631160497665405,19.331278665736317,0.2,0.0003,0.08623046875,0.006067618
-2.598458659999999,89,182272,672,948.93,270,-0.003215876208560076,-0.847746641561389,880,0.8658891022205353,1.8059035539627075,21.992502505332233,0.2,0.0003,0.07626953125,0.007539761
-3.10816855,90,184320,673,948.93,273,-0.0019851079370710066,-0.821375286206603,890,0.6385844647884369,22.104413986206055,92.68966310992838,0.2,0.0003,0.073583984375,0.007982254
-2.66887216,91,186368,673,948.93,276,-0.0016236375726293773,-0.8225629450753331,900,0.9112462773919106,1.542957067489624,15.636588195338845,0.2,0.0003,0.075,0.006642016
-2.7071109400000006,92,188416,671,948.93,280,-0.004906138986916631,-0.8603436075150966,910,0.7553366124629974,1.67251455783844,26.527748074382544,0.2,0.0003,0.090478515625,0.005830685
-3.2630355399999997,93,190464,670,945.15,283,-0.002372625982388854,-0.8203065732493997,920,0.6733605265617371,0.9277470707893372,33.356300567090514,0.2,0.0003,0.05791015625,0.0047795717
-3.77746958,94,192512,669,943.34,287,-0.0012243330649653217,-0.8325799033045769,930,0.26720911264419556,13.523431777954102,108.82377678900957,0.2,0.0003,0.049365234375,0.005606331
-2.65784037,95,194560,667,942.9,291,-0.0024496950674802063,-0.7963396904990077,940,0.6892562806606293,7.26740026473999,60.00669600851834,0.2,0.0003,0.037353515625,0.0045754397
-3.39547706,96,196608,666,942.9,294,-0.0021057345446024557,-0.8403136655688286,950,0.5846587121486664,4.982285022735596,62.145299105718735,0.2,0.0003,0.07001953125,0.007228568
-0.3291471299999995,97,198656,666,944.86,298,-0.0020510836882749574,-0.7889279799535871,960,0.791928231716156,4.777341365814209,37.281203171610834,0.2,0.0003,0.092822265625,0.008671483
-3.353128509999999,98,200704,667,936.35,300,-0.001335198351443978,-0.7866636322811246,970,0.569290965795517,2.0798206329345703,52.261168538033964,0.2,0.0003,0.023681640625,0.004314447
-5.643398380000001,99,202752,665,927.85,304,-0.0030164176991092973,-0.8219644900411367,980,0.4477318525314331,2.021061897277832,87.12005964964628,0.2,0.0003,0.083349609375,0.009239185
-2.77103891,100,204800,663,931.71,308,-0.004371575450932141,-0.8284075640141964,990,0.2198147177696228,90.60253143310547,145.15202906280757,0.2,0.0003,0.02998046875,0.0025166546
-4.56414713,101,206848,663,927.25,311,-0.0001829528046073392,-0.8406741611659527,1000,0.8678814172744751,0.941310703754425,13.140945545583964,0.2,0.0003,0.0466796875,0.004418508
-6.606583539999999,102,208896,664,918.06,314,0.0003203408792614937,-0.8080306384712458,1010,0.7416693568229675,1.7030819654464722,56.678407753258945,0.2,0.0003,0.055908203125,0.0035909987
-3.8520852399999996,103,210944,664,919.48,317,-0.0016782188904471695,-0.8252105439081788,1020,0.6143690943717957,46.229766845703125,89.37599004507065,0.2,0.0003,0.0451171875,0.0035323694
-6.665293750000001,104,212992,665,907.85,320,-0.00390663985235733,-0.7774312358349562,1030,0.45141881704330444,5.702689170837402,78.02232438847423,0.2,0.0003,0.083984375,0.010065275
-5.51249025,105,215040,665,906.65,323,-0.007369984781689709,-0.7748251553624869,1040,0.5163905024528503,29.700349807739258,138.6944196358323,0.2,0.0003,0.06455078125,0.006771184
-7.786145039999999,106,217088,666,906.77,325,-0.006767822738765972,-0.8010973958298564,1050,0.5148713290691376,2.5550897121429443,60.36603488922119,0.2,0.0003,0.078271484375,0.009368343
-6.390510890000001,107,219136,664,903.56,329,0.00045634976122528316,-0.8370104325935245,1060,0.86260786652565,30.435087203979492,28.95387762412429,0.2,0.0003,0.07060546875,0.0055945776
-7.656826310000001,108,221184,665,895.96,332,-0.000612993795220973,-0.7041937841102481,1070,0.7841345965862274,32.14385223388672,65.68658697381616,0.2,0.0003,0.029150390625,0.0022047865
-7.089790720000001,109,223232,664,888.84,335,-0.00141470423550345,-0.7854792268946766,1080,0.5276542007923126,10.087464332580566,113.44013886451721,0.2,0.0003,0.043310546875,0.005814608
-6.132633509999998,110,225280,664,888.55,339,-0.0006109124056820292,-0.7415718045085669,1090,0.7806060463190079,1.4029620885849,43.57043160386384,0.2,0.0003,0.06025390625,0.006259173
