rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction
98.8,2048,1,0,-165.260016,2324,,,,,,,,,,
92.3409090909091,4096,2,2,-152.82244129545452,1758,-0.009435834956821054,0.010292234,599.9075927734375,-1.3810450531542302,0.0003,1213.6086609840393,-0.0059549808502197266,10,0.2,0.0470703125
95.71875,6144,3,3,-148.507253421875,1634,-0.006040144457074348,0.0077348,432.2757568359375,-1.3609879091382027,0.0003,1377.1877788543702,-0.006429433822631836,20,0.2,0.033349609375
98.6987951807229,8192,4,5,-147.30583415662647,1572,-0.008717975232866593,0.009431693,781.5916137695312,-1.3521820984780788,0.0003,929.3456784248352,-0.0021605491638183594,30,0.2,0.0466796875
98.09,10240,5,6,-148.36315951,1542,-0.006360163861245383,0.010560191,867.6695556640625,-1.3537357237190009,0.0003,1170.9807876586915,-0.002492189407348633,40,0.2,0.036474609375
101.16,12288,6,8,-151.85361364000005,1517,-0.008031346861389465,0.012131634,507.4964599609375,-1.3416556552052499,0.0003,714.7861678600311,-0.007778286933898926,50,0.2,0.08828125
108.31,14336,7,9,-152.976267,1490,-0.005125879272964084,0.013355862,485.8201904296875,-1.3038907766342163,0.0003,491.22326197624204,-0.0005785226821899414,60,0.2,0.09599609375
113.59,16384,8,11,-151.27927574999998,1469,-0.003100793986050121,0.0051102927,202.3874053955078,-1.2985326528549195,0.0003,776.2790495872498,-0.0895383358001709,70,0.2,0.053759765625
117.97,18432,9,12,-150.63823267,1446,-0.0045155620100558735,0.008333851,226.9797821044922,-1.2398490864783525,0.0003,476.79705114364623,-0.005909085273742676,80,0.2,0.0791015625
121.04,20480,10,14,-155.48389138000002,1424,-0.007092631493287626,0.0059333164,314.79229736328125,-1.2765609741210937,0.0003,432.280296587944,-0.007894277572631836,90,0.2,0.12939453125
127.83,22528,11,16,-151.60922944,1397,-0.0025166440071188846,0.007807316,187.79286193847656,-1.2439561866223812,0.0003,577.9383905887604,-0.0004743337631225586,100,0.2,0.0384765625
137.12,24576,12,17,-143.30006491,1373,-0.011714584952278529,0.015078853,210.5669403076172,-1.2461726795881987,0.0003,363.4366961479187,-2.7418136596679688e-06,110,0.2,0.168115234375
145.5,26624,13,19,-139.25700093,1361,-0.003525925290887244,0.013186391,130.65545654296875,-1.16395136192441,0.0003,401.2384078502655,-0.0033690929412841797,120,0.2,0.0859375
152.48,28672,14,21,-131.03566911,1349,-0.011328515280911233,0.010113269,219.18743896484375,-1.1709195163100958,0.0003,494.1358512878418,-5.507469177246094e-05,130,0.2,0.125146484375
168.75,30720,15,24,-127.93006720000001,1250,-0.004577928032813361,0.006856598,204.0504913330078,-1.1384663462638855,0.0003,616.8054375648499,1.6093254089355469e-06,140,0.2,0.0494140625
173.87,32768,16,26,-128.68945075,1252,-0.004020052672422026,0.0053697396,56.80445098876953,-1.2815072450786829,0.0003,220.2300395011902,0.00013309717178344727,150,0.2,0.010400390625
182.93,34816,17,27,-128.22654337999998,1251,-0.0029255677305627613,0.0073492117,227.3015899658203,-1.1442051645368339,0.0003,442.35695605278016,-1.9431114196777344e-05,160,0.2,0.02138671875
187.07,36864,18,30,-124.78938268000002,1212,-0.005790522918687202,0.013796106,102.04507446289062,-1.1436614084988832,0.0003,431.02832186222076,-9.775161743164062e-06,170,0.2,0.07109375
207.67,38912,19,33,-122.47756086,1170,-0.002844970101432409,0.007387952,451.5899353027344,-1.173427490144968,0.0003,447.98619651794434,-1.4662742614746094e-05,180,0.2,0.035986328125
221.71,40960,20,35,-116.15313462,1141,-0.004626141535118223,0.0064525604,114.81385040283203,-1.209733709320426,0.0003,266.9201486110687,3.8743019104003906e-05,190,0.2,0.039794921875
233.21,43008,21,38,-112.31984515999999,1104,-0.0026183327710896263,0.0046106065,373.8005676269531,-1.1739797901362181,0.0003,595.152780675888,1.8894672393798828e-05,200,0.2,0.030224609375
244.8,45056,22,40,-109.82083830000002,1099,-0.006744913024886045,0.009774495,401.5023498535156,-1.2052073638886214,0.0003,271.3526019334793,0.000148773193359375,210,0.2,0.085986328125
256.58,47104,23,43,-106.96103274,1089,-0.0039690773366601205,0.0046580965,162.97882080078125,-1.1422317694872617,0.0003,421.74140801429746,0.023149967193603516,220,0.2,0.003173828125
270.08,49152,24,45,-107.00325981,1073,-0.0073435022350167856,0.0074269203,162.66200256347656,-1.1445342235267162,0.0003,189.6817319393158,-0.11027801036834717,230,0.2,0.04599609375
282.14,51200,25,48,-108.64830103,1063,-0.010896176999085582,0.010940374,382.3130798339844,-1.1522307612001896,0.0003,337.7657647848129,0.012575328350067139,240,0.2,0.081689453125
292.73,53248,26,50,-106.01601225999998,1059,-0.004829709159093909,0.0029946598,279.2241516113281,-1.1085643786936998,0.0003,514.5885367393494,0.015476346015930176,250,0.2,0.009228515625
307.08,55296,27,53,-106.21719635,1042,-0.006339653371105669,0.008969964,150.1842803955078,-1.054118406586349,0.0003,237.14002314805984,0.23157161474227905,260,0.2,0.02822265625
317.92,57344,28,55,-104.53343672,1035,-0.005106703106139321,0.0051830932,51.246307373046875,-1.126054408401251,0.0003,164.56088743805884,0.22199881076812744,270,0.2,0.02958984375
333.5,59392,29,57,-100.84055172000001,1024,-0.005600631237757625,0.0073281587,59.87068176269531,-1.0416872762143612,0.0003,232.24714827537537,0.370155394077301,280,0.2,0.023779296875
