time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
52,135,784,106496,-53.57208791000001,705.5,112.99051952883602,91.07821655273438,510,0.2,0.0050537563,0.0003,0.044384765625,0.620580792427063,-0.8381076477468014,-0.0033738711827027146
53,139,779,108544,-49.55147489000001,721.36,137.3710851073265,9.879337310791016,520,0.2,0.0041443706,0.0003,0.03310546875,0.6006958186626434,-0.8093832667917014,-0.0028394557233696106
54,142,775,110592,-49.39005188,736.23,39.336283607780935,3.0236339569091797,530,0.2,0.0071705524,0.0003,0.09814453125,0.8550536632537842,-0.8548207964748145,-0.004571604078955715
55,145,771,112640,-49.59821251,749.16,56.469737232476476,13.065852165222168,540,0.2,0.015463991,0.0003,0.081884765625,0.8065869510173798,-0.9202684829011559,-0.003802961365363444
56,149,767,114688,-47.940410070000006,761.16,49.362007984519,12.729443550109863,550,0.2,0.007211205,0.0003,0.062939453125,0.8777889385819435,-0.7972237307578325,-0.004446272723725997
57,152,764,116736,-44.22320724,771.11,48.1227930277586,2.6961464881896973,560,0.2,0.0034908494,0.0003,0.0419921875,0.8169392943382263,-0.882375369220972,-0.003394231031415984
58,155,764,118784,-44.14863252,784.77,105.87921674400567,113.82559967041016,570,0.2,0.0083918255,0.0003,0.078955078125,0.7255532145500183,-0.8898248923942447,-0.0038023146335035563
59,159,756,120832,-41.03166824,798.3,57.96772450879216,7.151370048522949,580,0.2,0.0075200778,0.0003,0.04345703125,0.7512107044458389,-0.8277300896123052,-0.0026906860985036474
60,162,755,122880,-38.569967770000005,816.38,59.738891553133726,2.434732437133789,590,0.2,0.007921092,0.0003,0.119677734375,0.6486133337020874,-0.9250303624197841,-0.0043370117600716185
61,166,749,124928,-37.80049805000001,824.31,103.592346893996,4.027124404907227,600,0.2,0.0062141544,0.0003,0.069189453125,0.6628450155258179,-0.8250448344275355,-0.0029231186945253285
62,169,747,126976,-35.45463215000001,827.17,82.16366401463748,99.08350372314453,610,0.2,0.003281956,0.0003,0.03623046875,0.6963786482810974,-0.7867093414068222,-0.002243847160207224
63,174,741,129024,-35.61895655,834.95,38.47605206184089,1.4912850856781006,620,0.2,0.014118379,0.0003,0.08251953125,0.8094372898340225,-0.7734610067680479,-0.002606578932318371
64,176,741,131072,-34.031398700000004,846.02,38.23518906049431,206.92955017089844,630,0.2,0.0068489118,0.0003,0.075146484375,0.7516576796770096,-0.8546116648241877,-0.0015156355628278106
65,180,737,133120,-28.911357319999993,859.76,143.07654776871203,103.00152587890625,640,0.2,0.0010214302,0.0003,0.000830078125,0.5914713740348816,-0.8396688995882868,-0.000583161603208282
66,183,734,135168,-30.97996404,858.87,94.86640996187926,33.90311813354492,650,0.2,0.010632891,0.0003,0.138720703125,0.7685977220535278,-0.8025590714067221,-0.008535183512867662
67,188,726,137216,-28.439038730000004,862.94,64.77995293661952,21.898365020751953,660,0.2,0.007069394,0.0003,0.054833984375,0.7527280151844025,-0.8844427907839417,-0.0033603123207285534
68,192,723,139264,-27.262539679999996,867.57,38.04829684756696,1.763553261756897,670,0.2,0.010814564,0.0003,0.077734375,0.9201173931360245,-0.8405691867694258,-0.002876839086820837
69,195,722,141312,-24.789195179999997,869.83,28.501376738771796,1.1307072639465332,680,0.2,0.0061004204,0.0003,0.04892578125,0.906690388917923,-0.9067025993019342,-0.000805204092466738
70,197,724,143360,-23.48547484,870.92,103.23732015490532,23.053281784057617,690,0.2,0.00533692,0.0003,0.034130859375,0.7707748860120773,-0.7689838908612728,-0.0014922294416464866
71,201,722,145408,-21.23149812,868.87,103.03440024778247,218.70709228515625,700,0.2,0.0058363285,0.0003,0.039013671875,0.7420145869255066,-0.8769000129774213,-0.002042571426500217
72,205,717,147456,-21.578291729999997,868.87,66.96081213131546,2.6173207759857178,710,0.2,0.007337883,0.0003,0.041845703125,0.7222194373607635,-0.8667083859443665,-0.003209801989578409
73,209,715,149504,-20.625591089999993,868.87,36.28609826005995,3.622965097427368,720,0.2,0.0044280244,0.0003,0.055810546875,0.8002260029315948,-0.8254318255931139,-0.0006064945075195283
74,212,711,151552,-20.03819072,873.27,23.120948112010957,2.108593463897705,730,0.2,0.008281419,0.0003,0.076611328125,0.8802095726132393,-0.8645615112036467,-0.004289387426251778
75,215,712,153600,-20.33744401,865.85,30.976864062994718,1.3109904527664185,740,0.2,0.0069212285,0.0003,0.0599609375,0.8353210687637329,-0.8845185345038772,-8.536102395737544e-05
76,219,707,155648,-18.908291589999997,870.61,100.64552167654037,2.956871747970581,750,0.2,0.0032850862,0.0003,0.036767578125,0.7183175981044769,-0.7991239693015814,-0.001082745781604899
77,223,706,157696,-18.759481309999998,870.61,31.45530921295285,7.175774574279785,760,0.2,0.0068785264,0.0003,0.07158203125,0.8754721060395241,-0.869855891726911,-0.00610042680236802
78,226,706,159744,-17.84845537,875.84,26.716375934705137,0.828326404094696,770,0.2,0.006692383,0.0003,0.07890625,0.8625113219022751,-0.9298418994992972,-0.003978646935138386
79,230,702,161792,-18.603019959999997,875.84,24.82697076946497,3.0113625526428223,780,0.2,0.006088447,0.0003,0.046044921875,0.9097675532102585,-0.90613609906286,-0.0015632469432603103
80,233,700,163840,-17.082766539999994,878.75,17.111273401230573,0.9524357318878174,790,0.2,0.0053924993,0.0003,0.067236328125,0.9147279262542725,-0.9261944279074669,-0.00284409186715493
81,238,695,165888,-14.237157179999999,887.92,31.50509594511241,0.5670230388641357,800,0.2,0.008921371,0.0003,0.07841796875,0.848376527428627,-0.9249381553381681,-0.003426523353846278
82,241,694,167936,-14.753754890000003,892.31,23.950978913903235,1.0148788690567017,810,0.2,0.0031531285,0.0003,0.014111328125,0.9167707338929176,-0.8402138903737069,-0.0015794156664924231
83,245,691,169984,-14.59034572,890.69,22.893570042029022,61.204551696777344,820,0.2,0.0075560124,0.0003,0.053857421875,0.926332913339138,-0.8817882211878896,-0.0032467397548316514
84,249,690,172032,-15.131969790000001,890.69,48.79378625974059,12.944548606872559,830,0.2,0.0044496385,0.0003,0.05458984375,0.8305924981832504,-0.9389568410813809,-0.0018276529313880018
85,251,691,174080,-14.571345580000003,884.54,36.060242947191,2.037039279937744,840,0.2,0.009180294,0.0003,0.065380859375,0.884735643863678,-0.8476783834397793,-0.0021661187878635247
86,256,687,176128,-12.533492010000002,889.34,110.36952340304852,22.626291275024414,850,0.2,0.006442804,0.0003,0.029345703125,0.7499346435070038,-0.785890400595963,-0.002900048535957467
87,258,689,178176,-14.636018980000003,885.11,23.253861124813557,0.8259565830230713,860,0.2,0.007619,0.0003,0.07861328125,0.9202252104878426,-0.8764735791832209,-0.004197587291128002
88,261,688,180224,-14.18707594,885.11,70.45174101814628,1.5922315120697021,870,0.2,0.003915633,0.0003,0.01689453125,0.8332491815090179,-0.8536736000329256,-0.0014116252132225782
89,264,688,182272,-12.600335009999998,886.47,27.521195650845765,1.7614054679870605,880,0.2,0.0065124473,0.0003,0.05634765625,0.9392726942896843,-0.7982138646766543,-0.0014723925458383746
90,267,688,184320,-15.29588606,881.07,80.82852827161551,3.1119565963745117,890,0.2,0.0039619086,0.0003,0.03994140625,0.7347047030925751,-0.8325971901416779,-0.004414084214658942
91,270,688,186368,-12.226447690000002,882.47,68.88712299242616,55.974151611328125,900,0.2,0.002054104,0.0003,0.03759765625,0.8289476633071899,-0.8697040919214487,-0.0017695626149361488
92,273,688,188416,-15.584923850000004,882.34,96.86532806009055,3.331775665283203,910,0.2,0.0056199003,0.0003,0.0294921875,0.7453674674034119,-0.8142519738525152,-0.003911183684977004
93,275,690,190464,-17.273864289999995,878.14,69.99741191715002,10.873300552368164,920,0.2,0.0062291534,0.0003,0.05654296875,0.8225769698619843,-0.8837390733882785,-0.003046874474148353
94,278,690,192512,-20.46297158,871.87,104.98188033998012,75.21459197998047,930,0.2,0.007150313,0.0003,0.037353515625,0.8376370370388031,-0.8244851812720299,-0.0009867654014669824
95,281,690,194560,-22.945131779999997,865.17,78.13122227489949,64.8755111694336,940,0.2,0.0048441477,0.0003,0.0462890625,0.8000805079936981,-0.8669164365157485,-0.005717828721390106
96,286,687,196608,-21.35097119,866.84,73.61389209926128,10.699897766113281,950,0.2,0.005854495,0.0003,0.071484375,0.8948213383555412,-0.8256660932675004,-0.002043367418809794
97,290,683,198656,-22.51312576,866.84,20.678531354293227,1.3853203058242798,960,0.2,0.008628637,0.0003,0.1005859375,0.9268975108861923,-0.8510653736069799,-0.002692269669205416
98,293,683,200704,-19.430747269999998,862.76,22.48281771168113,10.516088485717773,970,0.2,0.0040770853,0.0003,0.055224609375,0.9558062851428986,-0.857354911789298,-0.002715618599904701
99,297,680,202752,-19.32180594,865.69,114.91901241391898,15.128771781921387,980,0.2,0.00805792,0.0003,0.078955078125,0.8131069242954254,-0.7765258837491273,-0.0018198122648755088
100,301,678,204800,-20.378452740000004,865.69,26.164432511851192,73.24681091308594,990,0.2,0.0077335183,0.0003,0.113720703125,0.9461209438741207,-0.8945995472371578,-0.0005666708602802828
101,305,676,206848,-18.08401106,866.43,20.896729668974878,1.1905215978622437,1000,0.2,0.0060440362,0.0003,0.066259765625,0.9595998637378216,-0.8333665365353227,-0.0003655646651168354
102,309,675,208896,-19.695585620000003,867.9,16.346527077630164,1.590619444847107,1010,0.2,0.005913424,0.0003,0.0650390625,0.9526976868510246,-0.8619324699044227,-0.00202019601201755
103,311,676,210944,-18.631648449999997,871.3,26.73014951199293,0.9149489998817444,1020,0.2,0.0045397794,0.0003,0.06044921875,0.9283441677689552,-0.86208421792835,-0.0015703925215348135
104,314,676,212992,-19.552011739999998,865.92,66.23780213743449,5.551014423370361,1030,0.2,0.004926988,0.0003,0.02705078125,0.8721549659967422,-0.8512763049453497,-0.0006769342093321029
105,319,673,215040,-18.97699682,864.41,44.12133460901678,3.2855722904205322,1040,0.2,0.0027496822,0.0003,0.0345703125,0.8725571632385254,-0.8494395390152931,0.00017040166567312555
106,322,673,217088,-16.596872500000003,869.67,154.2461324363947,107.01384735107422,1050,0.2,0.005719397,0.0003,0.073388671875,0.5875361263751984,-0.755770499445498,-0.002696327480225591
107,325,672,219136,-18.352344280000004,871.98,19.202281647920607,1.359992504119873,1060,0.2,0.0046347496,0.0003,0.06640625,0.9245077893137932,-0.8335025902837515,-0.0021691824396839364
108,328,673,221184,-19.051625310000002,875.91,20.529272712394594,0.6267762184143066,1070,0.2,0.006270717,0.0003,0.0802734375,0.9210177585482597,-0.8392619289457798,-0.0009131395796430297
109,331,673,223232,-17.006147280000004,881.8,21.67617814615369,1.5213121175765991,1080,0.2,0.007190209,0.0003,0.08740234375,0.9338954389095306,-0.8170445708557963,-0.002882867502194131
110,334,673,225280,-17.520829520000003,881.8,24.337713878042997,0.6305103302001953,1090,0.2,0.006727583,0.0003,0.05283203125,0.9144312292337418,-0.8450201550498605,-0.0009367973965709097
111,337,672,227328,-16.813034430000002,881.8,16.87605457045138,0.35888785123825073,1100,0.2,0.004227588,0.0003,0.05693359375,0.9230113551020622,-0.866239670291543,-0.004490455480117816
112,341,672,229376,-15.384071859999999,886.71,16.20580553729087,0.4729704260826111,1110,0.2,0.0051865303,0.0003,0.07919921875,0.9224539771676064,-0.8243903076276183,-0.003397911637148354
113,345,669,231424,-15.990862479999999,886.71,105.1036787893623,70.95362091064453,1120,0.2,0.0057711713,0.0003,0.0361328125,0.5666536390781403,-0.7511187827214598,-0.0010510149502806598
114,349,667,233472,-16.0657601,896.6,15.463884655665606,0.7752534747123718,1130,0.2,0.0048879907,0.0003,0.04580078125,0.9204626008868217,-0.8629342071712017,-0.0033615629392443223
115,353,666,235520,-18.44279063,895.93,25.163713006675245,4.321207046508789,1140,0.2,0.006522271,0.0003,0.088818359375,0.8997034132480621,-0.8643678169697523,-0.005016212691407418
116,356,666,237568,-20.88569739,889.3,56.086529252678154,11.999585151672363,1150,0.2,0.00869404,0.0003,0.03828125,0.8678593933582306,-0.7902932293713093,0.0006977937940973788
117,358,668,239616,-23.753740739999998,878.06,68.08008508831263,9.050027847290039,1160,0.2,0.004219804,0.0003,0.04365234375,0.8457331657409668,-0.8032622467726469,-0.0022509055626869666
118,362,666,241664,-23.94412281,877.35,94.8413601398468,96.18408203125,1170,0.2,0.0036469353,0.0003,0.022509765625,0.8308377861976624,-0.8104830345138907,-0.0009036026393005158
119,365,666,243712,-25.901528999999996,872.99,85.8959343366325,36.91023635864258,1180,0.2,0.0050746636,0.0003,0.0353515625,0.7469789683818817,-0.8276854200288654,-4.196665504423436e-05
120,369,664,245760,-24.97958878,872.99,31.55615419521928,3.625723361968994,1190,0.2,0.007100202,0.0003,0.0470703125,0.9365662410855293,-0.8145605437457561,-0.0006052421740605496
121,373,664,247808,-24.13815959,869.96,29.192918480560184,4.344861030578613,1200,0.2,0.0076125003,0.0003,0.058837890625,0.8852227330207825,-0.8683858787640929,-0.0011686814155837054
122,376,664,249856,-25.86982644,867.42,73.72379815727473,1.0793386697769165,1210,0.2,0.00833944,0.0003,0.086181640625,0.5629115402698517,-0.8103108417242766,-0.0021989810891682284
123,379,663,251904,-26.52758195,865.81,51.47510750889778,35.69746017456055,1220,0.2,0.005525336,0.0003,0.075048828125,0.8468768447637558,-0.8471738334745169,-0.0036322056395874823
1,2,751,2048,-577.3517065,839.0,33.60320660769939,177.33778381347656,1230,0.2,0.0065373555,0.0003,0.05361328125,0.9013771936297417,-0.8261554457247258,0.0006985804946452844
2,5,699,4096,-723.7866740000001,814.8,80.75953486934304,3.2630622386932373,1240,0.2,0.007851796,0.0003,0.061328125,0.5406630039215088,-0.8160096444189548,-0.0013490603771060706
3,9,678,6144,-767.6168261428572,867.7142857142857,90.85420549735427,2.7799084186553955,1250,0.2,0.006695199,0.0003,0.05322265625,0.7443393468856812,-0.8294173784554004,-0.003425501954916399
