time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
18,36864,1253,-134.25115240999995,183.87,29,-0.006425814558315324,0.2146051526069641,0.2,0.0070721647,0.0003,170,-1.1332037083804607,0.04736328125,354.8431851387024,182.71043395996094
19,38912,1207,-130.1474439,194.72,32,-0.005003808459150605,0.3865155577659607,0.2,0.0046086307,0.0003,180,-1.0920281536877154,0.035693359375,266.1342366695404,109.64762115478516
20,40960,1178,-126.34236058999998,201.57,34,-0.007258740957331611,0.5398791134357452,0.2,0.010471842,0.0003,190,-1.111212106794119,0.081884765625,209.2663590669632,126.88799285888672
21,43008,1153,-126.35491606,222.93,37,-0.006461844555451535,0.45171040296554565,0.2,0.0064766603,0.0003,200,-1.1730274751782417,0.074169921875,248.06686580181122,96.01860809326172
22,45056,1125,-123.36118698000001,233.47,40,-0.004363545080559561,0.07631254196166992,0.2,0.007069358,0.0003,210,-1.0478121496737003,0.027197265625,240.14761509895325,43.69266128540039
23,47104,1121,-121.95004520999998,248.18,41,-0.014727910434885416,0.33942145109176636,0.2,0.011767583,0.0003,220,-1.0823491223156452,0.15791015625,190.85234830379486,125.793701171875
24,49152,1101,-116.40092254000002,261.52,44,-0.011790704146551433,0.4985297918319702,0.2,0.0093260845,0.0003,230,-1.0242462517693638,0.108349609375,168.35760385990142,58.998382568359375
25,51200,1066,-115.26494445000002,275.99,47,-0.011432528603472747,0.6500322222709656,0.2,0.007947508,0.0003,240,-1.0805380295962095,0.083447265625,152.56116019487382,409.9659118652344
26,53248,1040,-112.50647530999998,289.77,51,-0.007430867668881546,0.7379739582538605,0.2,0.007740855,0.0003,250,-1.042410713993013,0.050146484375,117.25263307094573,20.985916137695312
27,55296,999,-109.28979393,308.18,55,-0.002198209462949308,0.4350314140319824,0.2,0.010396315,0.0003,260,-1.1002061985433103,0.076416015625,187.56040295362473,32.55699920654297
28,57344,987,-105.67456586999998,323.61,58,-0.005632299915305339,0.6864540874958038,0.2,0.012676082,0.0003,270,-1.0672732887789607,0.06083984375,80.94164781570434,13.600600242614746
29,59392,980,-104.14565255000001,336.61,60,-0.007476013449195307,0.6510003805160522,0.2,0.0063962606,0.0003,280,-1.0868992991745472,0.062939453125,150.58588336706163,125.94549560546875
30,61440,967,-101.47782532000001,353.42,63,-0.007553707918850705,0.6962432861328125,0.2,0.0067052026,0.0003,290,-1.1114864964038134,0.080419921875,133.4888557434082,60.57944869995117
31,63488,944,-100.11550223000002,365.57,67,-0.007160862903401721,0.6701954305171967,0.2,0.0073006246,0.0003,300,-1.0435014951974153,0.055810546875,99.31682003736496,41.00905227661133
32,65536,929,-97.02531485999998,385.52,70,-0.006111871770553989,0.6904775500297546,0.2,0.0075021503,0.0003,310,-1.0432057375088335,0.068408203125,108.14912464618683,28.729015350341797
33,67584,911,-95.42858246999998,392.91,74,-0.00955014633364044,0.8166182786226273,0.2,0.009892026,0.0003,320,-1.1058983847498893,0.120556640625,71.24994266927243,14.909459114074707
34,69632,896,-92.91628264,403.54,77,-0.008651824438129552,0.6891498565673828,0.2,0.009131525,0.0003,330,-1.0659504272043705,0.125048828125,72.69708336293698,9.554912567138672
35,71680,888,-92.39335862000001,416.09,80,-0.00918426284333691,0.810266375541687,0.2,0.0066732494,0.0003,340,-1.041957056336105,0.0642578125,64.89977023601531,12.72383975982666
36,73728,882,-90.90222329,437.81,83,-0.008140787707088749,0.8172217011451721,0.2,0.007590479,0.0003,350,-0.9897899068892002,0.052294921875,73.13757126331329,32.780372619628906
37,75776,874,-88.88581776,455.3,86,-0.005010686304012779,0.6201817691326141,0.2,0.0070741554,0.0003,360,-0.990993164293468,0.0490234375,97.49025804400443,14.966642379760742
38,77824,857,-84.01302501,471.83,90,-0.006695388903608546,0.5579253435134888,0.2,0.012526867,0.0003,370,-1.0225546030327677,0.12431640625,112.50846708714963,20.789033889770508
39,79872,852,-84.01081214999998,488.77,93,-0.009784428772400133,0.7449129819869995,0.2,0.0103505105,0.0003,380,-0.9804912317544222,0.121875,37.890436825156215,12.291072845458984
40,81920,845,-80.18823119999999,504.53,96,-0.008978706582274754,0.8563877046108246,0.2,0.00953171,0.0003,390,-0.9752186790108681,0.102099609375,21.035523588955403,4.9260969161987305
41,83968,833,-79.12574928999999,521.08,100,-0.006500371247966541,0.7697350829839706,0.2,0.00559651,0.0003,400,-0.9427219182252884,0.062841796875,52.63735230267048,9.660026550292969
42,86016,814,-76.10297967000001,537.54,105,-0.004313038891996257,0.8317709863185883,0.2,0.005592686,0.0003,410,-0.9565113173797727,0.054248046875,31.918695971369743,3.6290416717529297
43,88064,805,-72.88372675000001,553.91,109,-0.006643140909727663,0.647715836763382,0.2,0.007417786,0.0003,420,-1.0052189683541655,0.087255859375,45.184421859681606,4.962996006011963
44,90112,787,-69.39919098,570.65,114,-0.008662285983882611,0.8200308829545975,0.2,0.0070629744,0.0003,430,-0.9773360950872302,0.09521484375,33.8526604488492,2.6549723148345947
45,92160,779,-67.08998777000001,585.54,118,-0.003181006583326962,0.8289405703544617,0.2,0.0075117736,0.0003,440,-1.0039960579946636,0.072412109375,33.20645192340017,3.1978511810302734
46,94208,776,-65.47667419999999,601.81,121,-0.008372786607651506,0.8532957136631012,0.2,0.008808193,0.0003,450,-0.9790449788793921,0.103076171875,40.91546153500676,3.1715543270111084
47,96256,772,-62.91553984,617.71,124,-0.006617588656081352,0.7680296748876572,0.2,0.008073797,0.0003,460,-0.9918510211631656,0.1029296875,43.271106966584924,2.8461315631866455
48,98304,766,-58.099980359999996,632.07,128,-0.005136519714142196,0.79744952917099,0.2,0.0069956006,0.0003,470,-0.9085797108709812,0.078076171875,93.86471612751484,7.175378799438477
49,100352,758,-58.426567029999994,643.54,132,-0.006094409005163471,0.8764322325587273,0.2,0.0077044237,0.0003,480,-0.8451735597103834,0.106103515625,35.7399393055588,1.2575085163116455
50,102400,755,-56.99351613000001,658.91,135,-0.0027939687690377467,0.6898335814476013,0.2,0.010175263,0.0003,490,-0.8824810991063714,0.083837890625,88.11522895246745,40.690711975097656
51,104448,750,-54.969344410000005,674.06,139,-0.0034937195414386224,0.8369171619415283,0.2,0.014187245,0.0003,500,-0.7922496940940619,0.1064453125,80.43059998862445,3.4875714778900146
52,106496,743,-52.0962713,691.46,143,-0.009670699918933679,0.8914333656430244,0.2,0.010551674,0.0003,510,-0.8571225432679057,0.135546875,33.594723323732616,2.3080618381500244
53,108544,740,-53.19953339,698.36,146,-0.003964466972684022,0.8696293532848358,0.2,0.008357243,0.0003,520,-0.8681012334302067,0.0857421875,34.53343344181776,284.25958251953125
54,110592,735,-48.52630424000001,714.07,150,-0.0036378542448801455,0.6677930951118469,0.2,0.004363317,0.0003,530,-0.8682469030842185,0.029638671875,134.5156802356243,470.7303466796875
55,112640,732,-45.54012381000001,727.69,153,-0.00045075910529703835,0.8996852561831474,0.2,0.009246518,0.0003,540,-0.8371796153485775,0.048193359375,31.157158651575447,1.1606844663619995
56,114688,730,-42.78582472000001,734.17,156,-0.0011542452630237676,0.6458461880683899,0.2,0.006887309,0.0003,550,-0.7726815247908234,0.047705078125,85.5723204702139,15.569448471069336
57,116736,728,-42.68852241000001,734.3,160,-0.0013752294875303051,0.7029570639133453,0.2,0.003424781,0.0003,560,-0.868853291682899,0.0181640625,119.76117794811725,142.61509704589844
58,118784,722,-42.28502128000001,747.71,164,-0.005145705697941594,0.6213414072990417,0.2,0.0071718227,0.0003,570,-0.8447518408298492,0.081689453125,99.59410914927722,10.944265365600586
59,120832,715,-38.69295236000001,758.03,168,-0.0027425856169429608,0.9070128202438354,0.2,0.0056272047,0.0003,580,-0.7336259046569467,0.03583984375,58.19392341077328,4.4398298263549805
60,122880,713,-36.76276422,768.68,172,-0.004876578638504725,0.892956055700779,0.2,0.0152190905,0.0003,590,-0.8303176572546362,0.09287109375,38.715121917054056,4.356678485870361
61,124928,707,-33.42792060000001,784.03,176,-0.003910557970084483,0.8203168660402298,0.2,0.0076070186,0.0003,600,-0.8536197738721967,0.079638671875,53.09509450644255,1.4253296852111816
62,126976,703,-30.572292460000003,797.21,180,-0.005568725812190678,0.6568556129932404,0.2,0.040564366,0.0003,610,-0.7987123109400273,0.1763671875,71.03395085781813,25.73847770690918
63,129024,703,-29.368578240000005,809.88,183,-0.0009741181092977058,0.6516664326190948,0.2,0.003944764,0.0003,620,-0.8618318784981966,0.046875,79.92557988874614,18.37363052368164
64,131072,698,-27.048378130000007,814.08,187,-0.007943951743800425,0.7776782512664795,0.2,0.018227017,0.0003,630,-0.7867419064044953,0.042236328125,105.23591399490833,41.85696792602539
65,133120,695,-27.672964739999998,816.64,191,-0.005908841086784378,0.8242798745632172,0.2,0.015598346,0.0003,640,-0.8304595997557044,0.142919921875,41.57379304878414,0.5863843560218811
66,135168,689,-24.79990070000001,821.68,195,-0.003120866102472064,0.6836631596088409,0.2,0.004835644,0.0003,650,-0.8262688329443335,0.051513671875,87.8944859329611,21.812166213989258
67,137216,682,-23.106327710000006,837.15,201,-0.004442239641502965,0.8511372357606888,0.2,0.006966567,0.0003,660,-0.8154467817395925,0.069287109375,36.28140036035329,2.4979124069213867
68,139264,678,-23.72965844,845.58,205,-4.054933597217314e-05,0.8299786001443863,0.2,0.008771202,0.0003,670,-0.7754944112151861,0.065966796875,31.969354583509265,0.9126310348510742
69,141312,675,-22.496749879999996,848.87,209,-0.0025221298608812505,0.8219078779220581,0.2,0.004963731,0.0003,680,-0.7764566974714399,0.0515625,37.10043859751895,0.49952369928359985
70,143360,674,-21.05792684,857.43,212,-0.0034150481151300482,0.6090914905071259,0.2,0.0031263349,0.0003,690,-0.7796626012772322,0.01044921875,186.53080963864923,9.034114837646484
71,145408,674,-23.501203380000003,859.91,215,-0.002399377409165027,0.7459038496017456,0.2,0.006574623,0.0003,700,-0.8196477772668004,0.0451171875,91.36808201782405,37.984580993652344
72,147456,672,-22.583946169999994,866.62,219,-0.00271475694316905,0.7528506815433502,0.2,0.002546546,0.0003,710,-0.8048016065731645,0.025830078125,131.50442906469107,86.7120132446289
73,149504,671,-19.643075589999995,873.5,222,-0.0026214656983938765,0.8628621995449066,0.2,0.007444402,0.0003,720,-0.7299066288396716,0.07294921875,31.01975188702345,1.3279767036437988
74,151552,671,-18.384036439999996,869.97,225,-0.004380569872591877,0.7385384738445282,0.2,0.016419344,0.0003,730,-0.7183876566588878,0.13994140625,95.33659812882543,390.46807861328125
75,153600,671,-13.643707319999999,869.74,228,-0.002749342231982155,0.8677314519882202,0.2,0.008991303,0.0003,740,-0.7798616029322147,0.09873046875,91.709476557374,9.501069068908691
76,155648,670,-11.460133149999999,860.74,232,-0.0032103754507261328,0.5729936063289642,0.2,0.00612291,0.0003,750,-0.7744767412543296,0.0478515625,175.43689334094523,41.35916519165039
77,157696,670,-9.92590039,848.34,235,-0.0023804254560673144,0.4601854085922241,0.2,0.004409546,0.0003,760,-0.8154664382338523,0.03740234375,127.20896779596805,4.914989471435547
78,159744,670,-4.913433389999999,847.21,238,-0.0027534009648661597,0.6478110253810883,0.2,0.008010896,0.0003,770,-0.6893469827249646,0.091943359375,157.2477217465639,25.983766555786133
79,161792,672,-3.6289682199999986,836.44,240,-0.004197203661169624,0.3058714270591736,0.2,0.004426672,0.0003,780,-0.7998383829370141,0.0560546875,144.47937980890273,19.667327880859375
80,163840,673,-4.322877749999998,827.96,243,-0.001982613195286831,0.5302926898002625,0.2,0.005700181,0.0003,790,-0.730132176540792,0.048388671875,144.59900844395162,46.82667922973633
81,165888,673,-1.645589609999999,811.18,246,-0.001683450613199966,0.6349367201328278,0.2,0.009048276,0.0003,800,-0.755631473660469,0.134814453125,103.74172225892544,30.209064483642578
