rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss
320.34,-109.04730015999999,27,52,1062,55296,-1.1211623076349497,0.0003,0.5735416114330292,0.176123046875,0.025824927,-0.01472757829906186,0.2,14.015695571899414,260,103.56279277801514
334.53,-107.33027996999998,28,54,1052,57344,-1.0614934097975492,0.0003,0.07593727111816406,0.085546875,0.008168978,-0.009011032668786357,0.2,150.27491760253906,270,249.3275542974472
350.98,-104.79617016999998,29,57,1026,59392,-1.049773159995675,0.0003,0.5465238988399506,0.093994140625,0.010634621,-0.008497388639079872,0.2,26.228269577026367,280,144.92230890989305
359.69,-105.54101625999999,30,61,1003,61440,-1.0860230565071105,0.0003,0.6983417570590973,0.179833984375,0.012896234,-0.010060250149399508,0.2,9.493802070617676,290,85.9625835120678
370.79,-104.77724501,31,64,982,63488,-1.0806357506662607,0.0003,0.645940512418747,0.07822265625,0.009601841,-0.011206194802070968,0.2,16.602012634277344,300,79.60054070353507
386.66,-101.51662436999999,32,67,971,65536,-1.0236595440655947,0.0003,0.34976673126220703,0.104150390625,0.0075313793,-0.011506129428744316,0.2,44.211605072021484,310,93.67259830236435
406.34,-99.30040978,33,70,963,67584,-1.0109977023676038,0.0003,0.7599892318248749,0.059716796875,0.008231007,-0.004767557795275934,0.2,16.962905883789062,320,76.67107989192009
423.56,-96.75053669999997,34,73,950,69632,-1.062896666675806,0.0003,0.5207177698612213,0.102783203125,0.011690874,-0.007222889920376474,0.2,15.577824592590332,330,82.64470489025116
440.26,-93.74445612999997,35,77,929,71680,-0.9695232849568128,0.0003,0.8631431311368942,0.06318359375,0.006953627,-0.007336888247664319,0.2,11.910653114318848,340,41.31690362393856
445.69,-93.19413566000001,36,81,906,73728,-1.0472669202834368,0.0003,0.8061448782682419,0.135498046875,0.010311518,-0.010915645927889272,0.2,5.714017868041992,350,39.080365689098834
462.07,-87.93318374,37,85,889,75776,-0.9586687093600631,0.0003,0.707599014043808,0.06513671875,0.0063752783,-0.005690498695184942,0.2,4.378571510314941,360,61.96024560034275
485.89,-86.25980927999998,38,89,873,77824,-1.0188482586294412,0.0003,0.8336916714906693,0.106884765625,0.012384952,-0.009532698334078304,0.2,4.825251579284668,370,35.083248902112246
502.79,-83.96218455000002,39,92,862,79872,-0.9808631317690015,0.0003,0.7893472611904144,0.076416015625,0.010752945,-0.005313210808526492,0.2,208.94305419921875,380,45.06151505336165
515.71,-82.17288848,40,95,856,81920,-1.050745737925172,0.0003,0.8439791053533554,0.092578125,0.0076631918,-0.005833304241241422,0.2,3.5804283618927,390,39.44024061560631
529.41,-79.72082653,41,98,849,83968,-0.9888488132506609,0.0003,0.6351877748966217,0.023486328125,0.0041368715,-0.003724205442267703,0.2,11.194478988647461,400,73.34752080142498
549.73,-73.64541343,42,102,840,86016,-0.8236688053235411,0.0003,0.4289146661758423,0.045703125,0.01088829,-0.003599903697613627,0.2,110.72368621826172,410,182.60039554536343
566.59,-70.83789708,43,105,833,88064,-0.8544011756777763,0.0003,0.4308329224586487,0.08984375,0.022992706,-0.007664114540966693,0.2,52.33404541015625,420,128.67495746612548
571.72,-69.64308407,44,108,828,90112,-0.9781901443377137,0.0003,0.7036966383457184,0.136328125,0.018235713,-0.003230047897886834,0.2,2.974060297012329,430,55.97767695337534
582.06,-66.49588890000001,45,111,823,92160,-0.9267358342185616,0.0003,0.5693944990634918,0.046728515625,0.006737888,-0.0032167640973057134,0.2,61.02094650268555,440,162.55685788094996
595.68,-65.6024047,46,114,819,94208,-0.9877371471375227,0.0003,0.6097249388694763,0.114697265625,0.010134365,-0.004492042427227716,0.2,9.026542663574219,450,105.23240855634212
606.14,-62.53474848,47,118,813,96256,-0.9751168258488179,0.0003,0.614520251750946,0.093115234375,0.009414364,-0.005385244771605358,0.2,26.868717193603516,460,90.58826303929091
621.86,-60.99799506,48,122,802,98304,-0.8870114095509052,0.0003,0.5876384675502777,0.02001953125,0.0025030365,-0.002580747729007271,0.2,74.72077941894531,470,157.9188475906849
636.99,-57.86948000000001,49,125,798,100352,-0.8810948066413402,0.0003,0.83219014108181,0.135986328125,0.0063468083,-0.0004297752064303495,0.2,1.5774198770523071,480,50.88199931718409
647.57,-54.563148420000005,50,129,789,102400,-0.7737629091367125,0.0003,0.718415379524231,0.065380859375,0.004149089,-0.0051147438178304585,0.2,8.444788932800293,490,76.89305236563087
663.31,-51.83532466,51,132,785,104448,-0.7825092535465956,0.0003,0.822360634803772,0.09560546875,0.009058854,-0.004542273742845282,0.2,2.330334424972534,500,35.60510401427746
