rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-158.57438170000003,2048,0,2343,97.55,1,,,,,,,,,,
-154.89195075609757,4096,2,1767,98.65853658536585,2,0.008858989,0.2,0.0003,-1.3813886612653732,10,-0.0017000436782836914,0.036669921875,1290.5814376831054,-0.006005145864037331,866.8826904296875
-156.145300031746,6144,3,1624,97.12698412698413,3,0.0057716174,0.2,0.0003,-1.3757469203323125,20,0.0006595253944396973,0.02939453125,2201.4170154571534,-0.005697796343156369,848.151611328125
-158.40781238271606,8192,5,1555,100.38271604938272,4,0.0115020815,0.2,0.0003,-1.368485802412033,30,-0.013444185256958008,0.08955078125,1051.9215227127074,-0.010480678779276786,387.0743713378906
-152.98137028000002,10240,6,1515,101.12,5,0.0074482076,0.2,0.0003,-1.3459736652672292,40,-0.006376385688781738,0.072314453125,858.0162821769715,-0.009424745304568206,579.8859252929688
-145.73287462,12288,8,1484,106.38,6,0.0085191075,0.2,0.0003,-1.324627572670579,50,-0.01521611213684082,0.01748046875,994.9250980377197,-0.004683189901697915,355.93890380859375
-142.70774416,14336,9,1457,110.01,7,0.014234361,0.2,0.0003,-1.2965818099677562,60,8.356571197509766e-05,0.11982421875,738.876264667511,-0.005906805921404157,305.2714538574219
-140.81147923,16384,11,1441,117.47,8,0.009459169,0.2,0.0003,-1.2422462299466133,70,-0.002115964889526367,0.1396484375,466.6346534252167,-0.0064469491830095645,252.30062866210938
-136.45707625,18432,12,1431,126.75,9,0.008455511,0.2,0.0003,-1.2466453686356544,80,-0.03677010536193848,0.04697265625,825.0361584663391,-0.003982836408249568,275.22540283203125
-136.87722749,20480,175,116,134.73,10,0.010613877,0.2,0.0003,-1.1853499040007591,90,-0.00024771690368652344,0.0505859375,549.3118078231812,-0.005474808974395273,162.676513671875
-129.99136087,22528,177,127,142.46,11,0.006875053,0.2,0.0003,-1.1666029646992684,100,2.384185791015625e-06,0.098388671875,650.0090764045715,-0.005354166238976177,383.6279602050781
-128.43593777,24576,179,137,147.91,12,0.00535382,0.2,0.0003,-1.135534081235528,110,-0.00040435791015625,0.04990234375,453.97043466567993,-0.005471749210846611,120.85905456542969
-125.32256775,26624,181,146,170.18,13,0.005932371,0.2,0.0003,-1.20862598977983,120,0.0014336705207824707,0.047607421875,410.52758302688596,-0.008350555623474065,217.69046020507812
-125.29839421999999,28672,183,156,178.83,14,0.0050850017,0.2,0.0003,-1.2431612767279148,130,0.05306142568588257,0.01533203125,361.5148120164871,-0.008651852852199226,129.09844970703125
-120.45149888999998,30720,186,165,190.67,15,0.006501329,0.2,0.0003,-1.127145617827773,140,-0.04101896286010742,0.031640625,410.9435815811157,-0.004694125649984926,303.92236328125
-122.82331661,32768,187,174,196.47,16,0.0051970254,0.2,0.0003,-1.1793488789349795,150,0.16814583539962769,0.0208984375,263.95257811546327,-0.004651590409048367,65.12537384033203
-119.47149952999999,34816,189,183,203.74,17,0.0015059815,0.2,0.0003,-1.0542892377823592,160,-0.43150651454925537,9.765625e-05,558.2207914352417,-0.0012561796203954146,265.7030029296875
-122.55358544,36864,191,192,212.27,18,0.0067093056,0.2,0.0003,-1.039518902078271,170,0.05893439054489136,0.007275390625,505.83206486701965,-0.002895122827612795,285.1235046386719
-123.75757785,38912,193,201,220.75,19,0.009632191,0.2,0.0003,-1.0926968447864056,180,0.16237270832061768,0.05224609375,642.9125763893128,-0.009891856955800905,191.82415771484375
-120.43672297999997,40960,195,209,231.74,20,0.008003721,0.2,0.0003,-1.0866839881986379,190,0.11879980564117432,0.019775390625,383.4915923118591,-0.0035992575903947,233.79322814941406
-121.31380134999999,43008,197,217,241.7,21,0.008246976,0.2,0.0003,-1.151999771222472,200,0.4222695827484131,0.066357421875,165.62843415737152,-0.007322135357389925,39.774356842041016
-120.14885151,45056,200,225,252.81,22,0.0028966703,0.2,0.0003,-1.1418544836342335,210,0.27543288469314575,0.002197265625,362.9056692123413,-0.0034499836336181035,187.35704040527344
-114.11013123000001,47104,203,231,270.55,23,0.007250835,0.2,0.0003,-1.124275241419673,220,0.07642912864685059,0.033056640625,249.32575931549073,-0.0048421569852507675,128.6500701904297
