rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
237.49,38,45056,22,1175,-116.66056907000002,0.0076322453,0.2,31.12373161315918,253.29768756628036,0.3533484935760498,210,-1.1569255765527486,0.042333984375,-0.005605592856591101,0.0003
243.93,40,47104,23,1176,-115.51216132000002,0.006585071,0.2,72.351318359375,348.9940928220749,0.21710240840911865,220,-1.0677813980728388,0.023779296875,-0.003924759473738959,0.0003
256.57,42,49152,24,1161,-112.47642094999998,0.008999174,0.2,86.73595428466797,320.6719353914261,0.3578376770019531,230,-1.005670820735395,0.101708984375,-0.009395739411411341,0.0003
266.99,45,51200,25,1126,-110.83722454999999,0.0061269426,0.2,405.2398376464844,227.2960223197937,0.5987636148929596,240,-1.1282443895936012,0.016552734375,-0.0047271721668948885,0.0003
285.81,48,53248,26,1107,-108.77108531999998,0.010702014,0.2,14.358570098876953,64.88067190647125,0.7993276566267014,250,-1.2166957516223191,0.087109375,-0.007371032979426673,0.0003
296.0,50,55296,27,1088,-106.43703878000001,0.008430752,0.2,34.14326095581055,118.51796656847,0.7780209481716156,260,-1.0942771129310132,0.065380859375,-0.007351240629213862,0.0003
312.98,53,57344,28,1067,-102.67130534000002,0.011733169,0.2,78.27935028076172,110.23315572142602,0.7366335093975067,270,-1.1534352984279395,0.106005859375,-0.00581976261746604,0.0003
330.01,57,59392,29,1036,-96.85920912000003,0.008411711,0.2,13.554953575134277,47.56653203070164,0.8722969144582748,280,-1.0102250259369612,0.080615234375,-0.006503003589750733,0.0003
346.69,60,61440,30,1010,-97.59340100000001,0.010898909,0.2,23.070201873779297,65.14735606312752,0.8213980793952942,290,-1.1843938034027814,0.09697265625,-0.010267792150989408,0.0003
361.41,63,63488,31,993,-94.93330628,0.008671034,0.2,4.53200626373291,37.77126772254705,0.8944726437330246,300,-1.1621665373444556,0.123291015625,-0.009275068731221836,0.0003
377.66,67,65536,32,972,-92.26274673,0.0057276227,0.2,50.214237213134766,126.30251751244069,0.6796886920928955,310,-1.1598966028541327,0.02431640625,-0.00400059748426429,0.0003
395.88,70,67584,33,960,-91.11009045,0.010486729,0.2,4.409279823303223,41.37488568127155,0.8930791765451431,320,-1.1493021726608277,0.164990234375,-0.009296924219233916,0.0003
411.55,73,69632,34,947,-89.81327642000001,0.0071106777,0.2,9.753388404846191,86.90426922440528,0.7678383737802505,330,-1.0812581177800893,0.0708984375,-0.005663476510380861,0.0003
428.39,76,71680,35,933,-85.73868950999999,0.0155673195,0.2,2.8924834728240967,23.126095075905322,0.924835205078125,340,-0.9573650332167745,0.094775390625,-0.00780839627768728,0.0003
442.87,79,73728,36,924,-84.83569142,0.010736525,0.2,4.5385260581970215,37.120318898558615,0.8670973181724548,350,-1.059069735184312,0.12998046875,-0.010553780556074343,0.0003
451.84,82,75776,37,922,-83.33175817,0.0051630866,0.2,44.311161041259766,141.6493291825056,0.5981281697750092,360,-1.006055394746363,0.02001953125,-0.0037264637860062065,0.0003
467.65,84,77824,38,918,-77.15141359,0.010457095,0.2,28.184612274169922,164.09033522605895,0.6005842983722687,370,-0.9212820898741484,0.05205078125,-0.0044582029790035445,0.0003
484.13,88,79872,39,905,-71.44747114,0.010731773,0.2,30.508014678955078,88.27915211319923,0.7084373235702515,380,-0.8955128379166126,0.102880859375,-0.007507133914623409,0.0003
489.3,90,81920,40,904,-73.48770228000001,0.011866631,0.2,127.18205261230469,98.31714143157005,0.6951852440834045,390,-0.8911266313865781,0.12568359375,-0.005739200706739211,0.0003
497.21,93,83968,41,901,-72.69185279000001,0.006240598,0.2,22.838376998901367,241.81655249595642,0.5004322826862335,400,-0.9140000680461526,0.01826171875,-0.004080049737967784,0.0003
511.09,96,86016,42,894,-68.24864137,0.008503431,0.2,29.304258346557617,87.44302746057511,0.734738290309906,410,-0.9742691142484545,0.0791015625,-0.006375457609829027,0.0003
524.75,98,88064,43,892,-65.16531036000002,0.006033378,0.2,29.489269256591797,89.38538103699685,0.7596057951450348,420,-0.8596449552103878,0.062841796875,-0.004763833903416526,0.0003
535.51,101,90112,44,890,-60.019778880000004,0.0068229754,0.2,70.87850189208984,266.5288806319237,0.5294861793518066,430,-0.8839164406061173,0.019482421875,-0.005365409854493919,0.0003
532.38,103,92160,45,891,-56.95853749,0.005685913,0.2,78.98129272460938,212.58620631098748,0.5421726107597351,440,-0.8776871558278799,0.02861328125,-0.003245399965089746,0.0003
540.52,106,94208,46,887,-48.80631229000001,0.008340782,0.2,103.42427062988281,235.1314594089985,0.6488077342510223,450,-0.757023511081934,0.0416015625,-0.0034749296253721697,0.0003
