time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
25,51200,43,1168,271.75,-110.06247415,0.061474609375,0.0003,-0.009122374885191676,240,-0.9961621090769768,489.14653577804563,0.17527329921722412,0.2,0.0069028195,143.6290283203125
26,53248,46,1144,285.1,-107.95225033999999,0.105810546875,0.0003,-0.00854803444526624,250,-1.00672094412148,169.30506092309952,0.4416794180870056,0.2,0.009665193,47.35877227783203
27,55296,49,1113,288.63,-107.20005271,0.0564453125,0.0003,-0.0032236056227702647,260,-1.005508797802031,208.10370466709136,0.37187087535858154,0.2,0.0062613897,86.2148666381836
28,57344,51,1106,304.24,-105.32524047999999,0.05732421875,0.0003,-0.004824459335941356,270,-1.009178219549358,121.34383041858673,0.5224260985851288,0.2,0.008985913,77.76204681396484
29,59392,55,1068,320.94,-100.33588534000002,0.06845703125,0.0003,-0.007579956371046137,280,-1.0122344912961125,194.49466772079467,0.4600454568862915,0.2,0.006388291,77.78892517089844
30,61440,58,1050,333.96,-99.96900066999999,0.055810546875,0.0003,-0.00990145268078777,290,-0.9971846168860793,128.88727966547012,0.5449615716934204,0.2,0.0063049197,17.278209686279297
31,63488,61,1036,348.9,-101.26980486999999,0.136328125,0.0003,-0.008920600163401104,300,-0.9301523173227906,133.7535549521446,0.5783075392246246,0.2,0.012205798,44.497718811035156
32,65536,64,1015,361.42,-99.71131611999999,0.11416015625,0.0003,-0.008405019778001588,310,-1.0027445206418633,123.44823753833771,0.3605639934539795,0.2,0.010435799,80.26264190673828
33,67584,67,1001,380.82,-96.455365,0.14453125,0.0003,-0.010717167732218513,320,-0.9809390464797616,78.93660219311714,0.6970181167125702,0.2,0.012200847,24.70665168762207
34,69632,70,985,397.66,-94.13503760999998,0.102099609375,0.0003,-0.009808488043927355,330,-1.0504727194085717,72.43282658457755,0.5526568293571472,0.2,0.009199977,45.289642333984375
35,71680,74,958,414.11,-90.22601266,0.06376953125,0.0003,-0.0053801880887476726,340,-0.9511122601106763,50.17792289853096,0.8609226644039154,0.2,0.007125866,14.7996244430542
36,73728,78,943,429.27,-87.61165983,0.082666015625,0.0003,-0.007489993645140203,350,-0.9809417372569442,55.42375069260597,0.8009932488203049,0.2,0.010858759,26.11236572265625
37,75776,81,925,445.21,-83.13422855999997,0.10615234375,0.0003,-0.010567133042786735,360,-0.9404534310102463,57.18503757417202,0.6455594301223755,0.2,0.008232013,19.975629806518555
38,77824,85,914,460.39,-83.21379499999999,0.071533203125,0.0003,-0.00588406632450642,370,-0.9392001327127218,37.14076092541218,0.7976310849189758,0.2,0.0058971364,12.280231475830078
39,79872,88,897,476.92,-79.51957996,0.1126953125,0.0003,-0.008013667921477462,380,-1.0482580544427038,33.886771857738495,0.3394715189933777,0.2,0.010073533,5.788382053375244
40,81920,92,888,489.65,-79.3466484,0.057275390625,0.0003,-0.004465527411957737,390,-0.9306689841672778,44.14515495598316,0.7224709093570709,0.2,0.0072868112,10.8433256149292
41,83968,96,866,497.59,-76.37582132,0.0259765625,0.0003,-0.0024059952469542623,400,-0.9698601914569736,71.42216922342777,0.46321815252304077,0.2,0.003721117,46.553531646728516
42,86016,100,858,521.53,-76.46348183,0.041162109375,0.0003,-0.004296113825330394,410,-0.9253828819841147,50.603181302547455,0.7439500987529755,0.2,0.0043071155,6.956865310668945
43,88064,103,850,538.31,-72.73520500000001,0.01630859375,0.0003,-0.003876500647311332,420,-0.9762396939098835,96.04806843698024,0.5924424529075623,0.2,0.003768897,26.171850204467773
44,90112,107,834,555.05,-69.94925106,0.073876953125,0.0003,-0.00453267472476,430,-1.009700533747673,31.966380374133585,0.540892094373703,0.2,0.0062948475,4.927124500274658
45,92160,113,814,570.18,-67.16870763999998,0.091943359375,0.0003,-0.005241880758694606,440,-1.010702707245946,33.28542344719172,0.46671706438064575,0.2,0.008855224,4.558724403381348
46,94208,116,807,578.08,-66.72977572999999,0.053515625,0.0003,-0.0023126528936700196,450,-0.931446804665029,50.20143322199583,0.5567337274551392,0.2,0.0048521585,6.396608829498291
47,96256,119,802,594.1,-62.851632,0.085693359375,0.0003,-0.0057885942034772596,460,-1.0108528677374125,31.686829981207847,0.2836153507232666,0.2,0.007903071,4.235065937042236
48,98304,124,791,610.21,-62.56898732999999,0.022119140625,0.0003,-0.00038401134079322217,470,-0.9608137177303433,32.97904824018478,0.39478766918182373,0.2,0.0051383693,7.324692249298096
49,100352,128,782,624.12,-57.506117559999986,0.05478515625,0.0003,-0.004291570082204999,480,-0.9807733180001378,48.12213577926159,0.48876357078552246,0.2,0.005538392,5.427161693572998
50,102400,132,773,640.27,-58.112396329999996,0.056396484375,0.0003,-0.00424687988270307,490,-0.9473953975364566,44.540494580566886,0.661620557308197,0.2,0.00524038,3.5247626304626465
