rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss
141.5,-133.39142628,18,1365,24576,12,-1.0132789611816406e-05,-0.005253348965197802,418.9423993587494,0.060009765625,176.65440368652344,0.01849236,0.0003,110,0.2,-1.1497363448143005
156.5,-132.65337615999997,20,1302,26624,13,-1.6450881958007812e-05,-0.006002177322807256,360.3534336566925,0.107568359375,158.9910888671875,0.010216149,0.0003,120,0.2,-1.1167378447949887
166.69,-131.29605431,22,1293,28672,14,0.00030481815338134766,-0.005589667175081558,255.39453868865968,0.046240234375,41.06805419921875,0.007454085,0.0003,130,0.2,-1.2148112010210752
173.79,-128.5075872,23,1288,30720,15,-0.00032913684844970703,-0.006531373756297398,267.93069303035736,0.059033203125,159.1907501220703,0.0060640974,0.0003,140,0.2,-1.1630419343709946
183.09,-124.92143315,25,1285,32768,16,-7.224082946777344e-05,-0.009146465305821038,358.28561248779295,0.137744140625,109.16065216064453,0.0077546025,0.0003,150,0.2,-1.1751692827790976
189.05,-122.86850079000001,27,1280,34816,17,-0.0005323886871337891,-0.0033324831354548225,347.0679572105408,0.02880859375,110.92084503173828,0.004071081,0.0003,160,0.2,-1.1558115970343352
198.24,-120.40050802000002,28,1274,36864,18,-3.647804260253906e-05,-0.009686344477813691,397.5865243911743,0.120068359375,197.5260009765625,0.0087022055,0.0003,170,0.2,-1.1139475632458926
204.02,-119.57597465999997,30,1261,38912,19,-1.4662742614746094e-05,-0.0030637026560725645,376.18522186279296,0.005908203125,385.2528076171875,0.004044735,0.0003,180,0.2,-1.0912631686776877
225.3,-113.59167776,33,1231,40960,20,2.0742416381835938e-05,-0.00743471535097342,313.11422176361083,0.13515625,108.07918548583984,0.013350762,0.0003,190,0.2,-1.0194096732884645
228.83,-114.48944440999999,35,1217,43008,21,0.00041282176971435547,-0.007505554039380513,144.5417620062828,0.101025390625,132.70330810546875,0.01449639,0.0003,200,0.2,-1.0441616378724574
244.71,-112.97693093999999,37,1193,45056,22,-0.018058419227600098,-0.008297444627532968,271.2034008264542,0.064990234375,126.68212890625,0.00918117,0.0003,210,0.2,-1.0664420766755938
258.26,-112.09110020000001,40,1162,47104,23,0.0015113353729248047,-0.009046119207050651,318.5126029253006,0.099267578125,174.43743896484375,0.008491001,0.0003,220,0.2,-1.0943185146898031
272.12,-112.12399778999999,43,1117,49152,24,0.034415364265441895,-0.00437111793726217,179.1299729347229,0.03232421875,103.54072570800781,0.0071915975,0.0003,230,0.2,-1.0787645269185304
291.56,-109.42943339000001,46,1093,51200,25,0.045287132263183594,-0.0061321370274527,154.51826580762864,0.03671875,49.54650115966797,0.0070423447,0.0003,240,0.2,-1.06311111189425
312.15,-103.92643594,51,1038,53248,26,0.09398156404495239,-0.01094587162078824,173.79592349529267,0.131103515625,53.063507080078125,0.00974833,0.0003,250,0.2,-1.1201568063348533
326.97,-103.13920427000001,54,1019,55296,27,0.18017631769180298,-0.00741156542499084,154.57898967266084,0.0390625,34.85102462768555,0.0055604074,0.0003,260,0.2,-1.1010608844459058
339.88,-101.03248896,58,984,57344,28,0.204961895942688,-0.006254627961607184,116.1177581191063,0.0357421875,63.15948486328125,0.003817333,0.0003,270,0.2,-1.0873479053378106
360.39,-99.58906133999999,61,961,59392,29,0.4954543709754944,-0.0038033302917028777,92.69195131659508,0.0376953125,14.204410552978516,0.0060262983,0.0003,280,0.2,-1.0245420647785068
376.72,-97.22956408000002,64,946,61440,30,0.3064534068107605,-0.006456867573433556,119.28315172791481,0.092626953125,16.274513244628906,0.011029952,0.0003,290,0.2,-0.9742062624543906
389.34,-95.85592168000001,69,916,63488,31,0.03613215684890747,-0.005586523031524848,128.11798987984656,0.095654296875,69.62527465820312,0.012318039,0.0003,300,0.2,-1.0819284245371819
405.07,-93.28658899999999,72,901,65536,32,0.07117003202438354,-0.005066011963936035,121.28100436329842,0.08369140625,40.89543151855469,0.009129845,0.0003,310,0.2,-0.972743296250701
413.68,-90.57146041,76,883,67584,33,-0.00497591495513916,-0.005030296881886898,29.510079976916312,0.116455078125,8.288360595703125,0.007814945,0.0003,320,0.2,-1.089992200396955
426.92,-89.71852365999999,80,865,69632,34,0.25919997692108154,-0.007629975665986421,31.122104620933534,0.095068359375,7.578845977783203,0.007974615,0.0003,330,0.2,-1.0336421562358737
443.46,-86.84273061,84,846,71680,35,0.10267984867095947,-0.007452856052259449,28.66803560554981,0.074267578125,7.452121734619141,0.005587296,0.0003,340,0.2,-1.0631294537335634
458.01,-83.81012831,88,832,73728,36,0.22855383157730103,-0.00536527158037643,30.86197636127472,0.07724609375,8.592938423156738,0.0076996386,0.0003,350,0.2,-1.0859259489923716
472.74,-81.45971913,92,818,75776,37,0.39169102907180786,-0.005099226269885548,28.551286520063876,0.074853515625,7.54470157623291,0.008010851,0.0003,360,0.2,-1.0476796755567193
488.44,-77.73055315,96,804,77824,38,0.6480079591274261,-0.005032444764947286,37.71307022571564,0.04609375,9.292840957641602,0.0056751575,0.0003,370,0.2,-0.9665251143276692
504.49,-76.92476656999999,100,796,79872,39,0.5446077585220337,-0.0071902973315445705,45.853323793411256,0.07880859375,8.9517822265625,0.008359389,0.0003,380,0.2,-0.9720308871939778
528.2,-73.40200843999999,104,786,81920,40,0.382088840007782,-0.007343480711278971,33.43971207886934,0.058056640625,4.313221454620361,0.0047642197,0.0003,390,0.2,-1.0147476192563771
543.66,-70.9297532,108,775,83968,41,0.3222152590751648,-0.004726470963214524,112.67319585382938,0.026416015625,76.90477752685547,0.00297701,0.0003,400,0.2,-1.029042560607195
558.61,-71.0338427,112,765,86016,42,0.45577889680862427,-0.0032820405380334706,45.81507848203182,0.053955078125,4.850397109985352,0.003821361,0.0003,410,0.2,-0.9528302147984504
574.88,-67.04224946000001,117,750,88064,43,0.30502933263778687,-0.009985367894842057,18.299853977560996,0.164990234375,3.6312479972839355,0.0115652,0.0003,420,0.2,-1.0632637361064554
589.25,-66.01611156000001,121,740,90112,44,0.42043769359588623,-0.003155210988916224,26.441526474803688,0.04560546875,3.1344640254974365,0.0067650974,0.0003,430,0.2,-0.960263455659151
605.22,-62.146707129999996,126,730,92160,45,0.3230000138282776,-0.0041353783839440435,23.62372241765261,0.047998046875,4.209473609924316,0.0046538142,0.0003,440,0.2,-0.9895939314737916
621.52,-59.263825800000006,130,723,94208,46,0.35394221544265747,-0.006201585111557506,28.49583408907056,0.06953125,233.29342651367188,0.006091049,0.0003,450,0.2,-0.9950599668547511
637.68,-56.65094449,133,718,96256,47,-0.022441864013671875,-0.0025704895568196664,67.02369147539139,0.034619140625,10.937633514404297,0.0044932235,0.0003,460,0.2,-0.9328561808913947
651.87,-54.552484250000006,137,712,98304,48,0.5729358792304993,-0.0031282008487323763,41.24359003603458,0.053955078125,6.293576717376709,0.006856791,0.0003,470,0.2,-0.8919036069884896
