time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
867,40,533.68,94,-74.29507377,81920,0.0003,0.2,0.18364137411117554,18.3352108001709,0.079541015625,114.15622862279415,0.0064738025,-0.003281249514839146,390,-0.9531152376905083
862,41,550.5,97,-71.40223302,83968,0.0003,0.2,0.0052468180656433105,5.636232852935791,0.104150390625,49.363138704001905,0.010896558,-0.005559150641784072,400,-0.9712705137208104
857,42,565.61,100,-66.95911312,86016,0.0003,0.2,0.35998260974884033,8.150748252868652,0.06064453125,33.4699763789773,0.0074386317,-0.0023442727433575783,410,-0.9851262409240007
848,43,578.8,103,-66.80048744,88064,0.0003,0.2,0.174835205078125,33.846519470214844,0.054052734375,23.912589006125927,0.0057617826,-0.0038995655108010397,420,-0.9786020332947374
845,44,593.75,106,-63.61606957999999,90112,0.0003,0.2,0.5126895904541016,2.6377274990081787,0.0662109375,26.58297001197934,0.007905873,-0.006378152330580633,430,-0.9787380795925855
839,45,608.42,109,-60.067808940000006,92160,0.0003,0.2,0.20782119035720825,7.299070358276367,0.087060546875,36.02931733429432,0.009019774,-0.003724724996936857,440,-1.0043162507936358
835,46,618.84,112,-60.318982690000006,94208,0.0003,0.2,0.2534484267234802,2.7296011447906494,0.0640625,71.76784326583147,0.006068616,-0.004113071644678712,450,-1.003587019816041
827,47,634.38,116,-57.141252990000005,96256,0.0003,0.2,0.24441176652908325,2.5070414543151855,0.03359375,79.62017225176096,0.003918631,-0.0038935405667871238,460,-1.0310027772560715
824,48,648.66,119,-57.85173811999999,98304,0.0003,0.2,0.7073234617710114,3.846529722213745,0.096728515625,31.761385841667654,0.0066557145,-0.0063919933767465405,470,-1.0194736236706377
819,49,664.0,122,-56.71699106,100352,0.0003,0.2,0.3179294466972351,57.45523452758789,0.02021484375,95.76294858008623,0.004974304,-0.0028879381170554552,480,-0.9839634051546454
818,50,678.61,125,-54.432608169999995,102400,0.0003,0.2,0.6704078614711761,5.049952507019043,0.0361328125,25.33329306393862,0.0032856744,-0.002118557534413412,490,-0.9533759294077754
801,51,699.58,130,-51.48746965,104448,0.0003,0.2,0.8055623918771744,7.882153511047363,0.057373046875,27.288396951556205,0.0052114725,-0.0031670795913669282,500,-0.9467262614518404
798,52,715.05,133,-50.086919820000006,106496,0.0003,0.2,0.6469490230083466,172.93128967285156,0.052001953125,60.76937020644546,0.008377204,-0.005401039281787234,510,-0.9368629382923246
