time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
19,1167,33,38912,236.37,-122.70347714000002,-0.005743914579943521,81.90348052978516,0.040185546875,0.0068288045,0.0003,0.01973581314086914,180,-1.1339262746274472,382.5032956123352,0.2
20,1132,36,40960,247.11,-118.33767309000002,-0.009096419328125193,24.416397094726562,0.080615234375,0.011203959,0.0003,0.42420464754104614,190,-1.234406292065978,110.57213698029518,0.2
21,1086,39,43008,265.28,-117.31777942000002,-0.0031953205150784926,42.100257873535156,0.044091796875,0.0075004585,0.0003,0.4212544560432434,200,-1.2061609137803315,134.55031530857087,0.2
22,1085,41,45056,275.5,-114.34744691000002,-0.005811109374917578,80.31625366210938,0.047607421875,0.0073839873,0.0003,0.1292412281036377,210,-1.0691713124513627,253.17247643470765,0.2
23,1079,43,47104,288.76,-113.34637254,-0.008117764720009291,91.33487701416016,0.107177734375,0.010477849,0.0003,0.239721417427063,220,-0.9847628047689796,369.5833766698837,0.2
24,1048,46,49152,305.87,-108.80216240000001,-0.00473925651749596,60.08279800415039,0.067236328125,0.0039478946,0.0003,0.3566039800643921,230,-1.0758981831371783,175.09158118963242,0.2
25,1038,49,51200,317.89,-108.88563299000002,-0.006162165991554502,16.776124954223633,0.05478515625,0.0064910576,0.0003,0.7833665013313293,240,-1.1352418903261423,86.85216443538665,0.2
26,992,53,53248,339.52,-104.21951672000002,-0.005783856177004054,87.42279815673828,0.069287109375,0.011767181,0.0003,0.5621267557144165,250,-1.095771850645542,167.3419089794159,0.2
27,975,56,55296,353.77,-101.40721940999998,-0.005535805986073683,388.0614929199219,0.0611328125,0.009476993,0.0003,0.5853222608566284,260,-1.169881099462509,144.62499211728573,0.2
28,958,59,57344,370.28,-100.89729362000001,-0.0040559537068475034,48.84297180175781,0.05126953125,0.006715865,0.0003,0.662054717540741,270,-1.056196496076882,100.38012309670448,0.2
29,944,62,59392,383.15,-97.25477418,-0.0058138271131610965,38.94862365722656,0.095654296875,0.011319686,0.0003,0.5510982573032379,280,-1.0720372604206205,143.87346207499505,0.2
30,931,65,61440,397.54,-96.15741306999999,-0.005876052632083883,75.25623321533203,0.064501953125,0.0061907973,0.0003,0.5416667461395264,290,-1.0299156269058585,184.12655844688416,0.2
31,912,69,63488,413.67,-95.63157346999998,-0.006167800612456631,14.274552345275879,0.08876953125,0.00927338,0.0003,0.7231065630912781,300,-1.0178637413308025,59.84653237462044,0.2
32,908,72,65536,424.94,-92.22262019999998,-0.011776528676273301,8.305059432983398,0.183251953125,0.011593961,0.0003,0.7830759882926941,310,-1.1114405389875173,63.85027775168419,0.2
33,902,74,67584,441.53,-89.29351453,-0.0035122302077070346,53.14094161987305,0.0224609375,0.0054426068,0.0003,0.3942132592201233,320,-0.998157524690032,269.83522683382034,0.2
34,888,78,69632,450.59,-84.97504289,-0.003300073199352482,28.267065048217773,0.029052734375,0.0050110715,0.0003,0.6173129677772522,330,-1.0293543573468924,156.20305162072182,0.2
35,882,81,71680,468.25,-85.04383513000002,-0.004736874694935977,18.484283447265625,0.058740234375,0.0049975375,0.0003,0.7508915811777115,340,-1.0110509919002653,82.8114049166441,0.2
36,874,84,73728,487.23,-83.12665444,-0.006578856054693461,27.989248275756836,0.081298828125,0.006214832,0.0003,0.6735255718231201,350,-0.9309799229726196,124.60283721089363,0.2
37,864,87,75776,504.64,-79.56254243,-0.0058572834022925235,7.278985500335693,0.085595703125,0.009053212,0.0003,0.7360338568687439,360,-1.0316795878112317,101.88826448917389,0.2
38,849,91,77824,521.14,-75.23608202999999,-0.006456707877077861,3.8277056217193604,0.14716796875,0.007046449,0.0003,0.856838271021843,370,-1.0567819844931363,43.02734521478415,0.2
39,837,95,79872,540.6,-73.87110726,-0.005326677373523126,2.8273184299468994,0.0826171875,0.009197086,0.0003,0.8707611560821533,380,-0.9511837689206004,38.98358680382371,0.2
40,827,99,81920,556.34,-71.24823248999999,-0.006166883329569828,93.5628890991211,0.11708984375,0.033015437,0.0003,0.612210750579834,390,-0.7157831665128469,159.88366663455963,0.2
41,819,102,83968,569.82,-67.30424839,-0.004681524392799475,8.44633674621582,0.04873046875,0.009898145,0.0003,0.8616882562637329,400,-0.9680399088189006,55.35153110474348,0.2
42,814,105,86016,588.88,-59.54221363000001,-0.003518270685162861,23.265871047973633,0.07890625,0.0071170814,0.0003,0.7637300491333008,410,-0.9434934467077255,69.73605818450451,0.2
