time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
1362,18,24576,-140.97107704,134.53,12,0.2,0.06708984375,370.41961669921875,-0.00023401500948239118,110,0.0003,-1.2188389897346497,929.9713165283204,0.012444003,3.224611282348633e-05
1361,19,26624,-143.28642075,134.54,13,0.2,0.0,398.490478515625,-0.0015733922366052866,120,0.0003,-1.2091294564306736,949.1110907554627,0.0024153683,-0.0004140138626098633
1349,21,28672,-140.60821876000003,136.98,14,0.2,0.07509765625,350.2479553222656,-0.007164300811564317,130,0.0003,-1.1751318525522947,739.4428087234497,0.00730649,-1.7762184143066406e-05
1340,22,30720,-146.01445174,139.0,15,0.2,0.002099609375,91.94967651367188,-0.0035729608382098375,140,0.0003,-1.1792998440563678,742.5823179721832,0.0049329363,0.0005831718444824219
1334,24,32768,-148.17975570999997,142.95,16,0.2,0.006494140625,310.16644287109375,-0.003606527189913322,150,0.0003,-1.1661578964442014,674.732672405243,0.0032647965,0.11449313163757324
1328,26,34816,-146.85505080000001,148.84,17,0.2,0.003173828125,248.46429443359375,-0.003028279715363169,160,0.0003,-1.181419589370489,659.2319155693054,0.0023260044,0.1630803942680359
1325,27,36864,-151.50144664,150.56,18,0.2,0.03466796875,225.445068359375,-0.00860505943055614,170,0.0003,-1.1795437168329954,631.440775680542,0.006762645,0.14285773038864136
1321,29,38912,-144.2445712,152.32,19,0.2,0.04189453125,226.8284454345703,-0.009641983904293739,180,0.0003,-1.1528409380465745,543.7604070663452,0.008231055,0.24904054403305054
1315,31,40960,-150.00677327999998,157.61,20,0.2,0.008544921875,185.23165893554688,-0.0041456562612438574,190,0.0003,-1.1235763400793075,395.22429342269896,0.0070136306,0.231583833694458
1309,32,43008,-147.88357462,164.23,21,0.2,0.02666015625,83.54512023925781,-0.00617138111992972,200,0.0003,-1.0974511213600635,374.0551702022552,0.0057319654,0.42974036931991577
1283,35,45056,-146.50628571000004,168.17,22,0.2,0.012109375,130.2596893310547,-0.0047352542052976785,210,0.0003,-1.08458213172853,442.98644256591797,0.007339694,0.34563982486724854
1269,37,47104,-149.35206854,183.02,23,0.2,0.02021484375,61.04133987426758,-0.003922861465252936,220,0.0003,-1.1560649875551463,233.2722407579422,0.0061989506,0.44459068775177
1243,39,49152,-142.25733047000003,195.68,24,0.2,0.123779296875,341.8824157714844,-0.012350124281510944,230,0.0003,-1.0989268511533736,685.0278167247773,0.010351968,0.11960500478744507
1240,41,51200,-138.03229935,199.64,25,0.2,0.060888671875,95.6246566772461,-0.0059811523147800475,240,0.0003,-1.180583544075489,311.5365706682205,0.006873596,0.3492893576622009
1240,42,53248,-139.75269583000002,202.67,26,0.2,0.1107421875,296.7012634277344,-0.01075334094784921,250,0.0003,-1.089596065506339,397.3589020729065,0.009866947,0.3560640811920166
1239,44,55296,-136.26015334,204.93,27,0.2,0.045947265625,99.08638763427734,-0.006560510671988595,260,0.0003,-1.025278020091355,413.950848531723,0.0065487665,0.5036722421646118
1224,46,57344,-130.70784117000002,216.58,28,0.2,0.00205078125,117.4188232421875,-0.0027618419007922057,270,0.0003,-1.0571971092373134,321.7451054573059,0.004118721,0.5586243569850922
1191,49,59392,-125.40608562999999,225.71,29,0.2,0.00693359375,168.8192138671875,-0.0034054849900712727,280,0.0003,-1.1349256176501512,399.9587543487549,0.0036727975,0.0011234879493713379
1162,52,61440,-122.53654135,239.87,30,0.2,0.1009765625,48.903892517089844,-0.009500668859982398,290,0.0003,-1.2383098457008601,209.08011640310286,0.012019054,0.4291844964027405
1155,54,63488,-120.32461132999998,244.66,31,0.2,0.022998046875,133.4284210205078,-0.0050215072551509365,300,0.0003,-1.1695404972881078,284.84564744234086,0.0058835186,0.422200083732605
1146,57,65536,-119.26020724,258.3,32,0.2,0.043603515625,79.84298706054688,-0.004945111478446051,310,0.0003,-1.110165048390627,299.7234549760818,0.0076093837,0.34878796339035034
1128,59,67584,-115.57011385,270.31,33,0.2,0.09306640625,298.57611083984375,-0.009899505889916328,320,0.0003,-1.0649629972875119,279.8379424333572,0.009050478,0.3939087390899658
1102,63,69632,-110.00509711999999,286.4,34,0.2,0.103173828125,36.79619598388672,-0.013641824143269332,330,0.0003,-1.1811893928796053,160.13067543506622,0.010511491,0.5693083703517914
1089,65,71680,-108.52230275,303.79,35,0.2,0.106884765625,15.980472564697266,-0.012052917206892744,340,0.0003,-1.1512971326708794,92.05136326551437,0.010912705,0.7153838574886322
1089,67,73728,-105.65777871999998,309.96,36,0.2,0.120947265625,71.13382720947266,-0.00631017811174388,350,0.0003,-1.0860623084008694,137.6694251358509,0.013645588,0.5469623804092407
1079,70,75776,-105.29082144,322.19,37,0.2,0.05478515625,122.37287902832031,-0.00787581443291856,360,0.0003,-1.0181716224178672,166.78990992307664,0.007229175,0.5733004808425903
1074,72,77824,-104.21542414999998,323.97,38,0.2,0.0623046875,28.37074851989746,-0.009621850503026507,370,0.0003,-0.9836218634620308,119.29761733412742,0.0069645904,0.8207537680864334
1069,74,79872,-105.03830262,328.05,39,0.2,0.134375,41.482940673828125,-0.010330193505797069,380,0.0003,-0.9158351361751557,135.27867417931557,0.013239829,0.8007024228572845
1051,77,81920,-96.68219888999998,343.86,40,0.2,0.098681640625,74.37562561035156,-0.010648276323627215,390,0.0003,-0.9899146525189281,122.9478732585907,0.00827411,0.7509853839874268
1028,81,83968,-104.39532437999998,350.23,41,0.2,0.052099609375,19.031484603881836,-0.006953940373205114,400,0.0003,-0.8983955025672913,98.05785856842995,0.011052681,0.8370777815580368
1021,84,86016,-95.55052991999999,367.8,42,0.2,0.114794921875,13.156171798706055,-0.008041090043116128,410,0.0003,-0.9349249003455042,78.11929103136063,0.010507397,0.8455264717340469
1002,87,88064,-91.25573869000002,382.51,43,0.2,0.096875,19.379810333251953,-0.007106504620605847,420,0.0003,-0.8076510654762388,216.17297371029855,0.01131151,0.6600643992424011
995,90,90112,-81.51299089,390.13,44,0.2,0.063720703125,30.6595516204834,-0.00665296354345628,430,0.0003,-0.8484432592988014,153.1173156797886,0.016055774,0.5016193985939026
