time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
2353,94.71428571428571,2048,1,0,-157.06341047619046,,,,,,,,,,
1788,91.75,4096,2,2,-169.83894929545457,0.2,390.2476501464844,0.007440568,0.0003,10,1955.6277894973755,-1.3816197860985995,0.0302734375,-0.008433612124645152,0.007507622241973877
1655,94.203125,6144,3,3,-165.13401121875,0.2,426.8122253417969,0.0045543048,0.0003,20,1204.808409690857,-1.3732368700206279,0.013525390625,-0.0058066666941158475,-0.05392754077911377
1585,96.85714285714286,8192,4,5,-158.36155385714284,0.2,415.1812744140625,0.01284099,0.0003,30,1141.500660610199,-1.3688923049718142,0.066357421875,-0.009914313269837294,-0.07292282581329346
1548,98.1,10240,5,6,-160.77603358000002,0.2,195.4155731201172,0.007244868,0.0003,40,842.6189059734345,-1.3600155901163817,0.0283203125,-0.005160237321251771,3.403425216674805e-05
1520,100.32,12288,6,8,-157.99050646,0.2,1497.990966796875,0.0059783673,0.0003,50,1588.2987424850464,-1.3518150642514228,0.062353515625,-0.005960619446705095,0.0007385015487670898
1504,102.05,14336,7,9,-150.35965655,0.2,322.3089599609375,0.012322307,0.0003,60,1139.1672174453736,-1.349868443235755,0.0951171875,-0.008258252179075498,0.0008138418197631836
1488,104.35,16384,8,11,-154.46732246,0.2,384.2123718261719,0.010939725,0.0003,70,450.1419162750244,-1.3248516257852316,0.14931640625,-0.01299452529347036,3.3020973205566406e-05
1475,107.04,18432,9,12,-151.0542349,0.2,170.4476318359375,0.008946687,0.0003,80,577.0219920158386,-1.3129864744842052,0.0240234375,-0.007384722281858558,0.05189162492752075
1414,117.49,20480,10,14,-149.74531126999997,0.2,276.7965087890625,0.0107353255,0.0003,90,559.7756328582764,-1.2808395560830832,0.035888671875,-0.01052341410832014,0.05517685413360596
1393,126.68,22528,11,16,-145.16141958,0.2,56.79282760620117,0.009515534,0.0003,100,225.55287885665894,-1.2830419894307852,0.085595703125,-0.008095195874921047,0.008842408657073975
1385,135.04,24576,12,17,-146.81551398,0.2,479.2570495605469,0.0082054995,0.0003,110,927.7594123840332,-1.2177645053714514,0.04912109375,-0.004694337856199127,-0.09274959564208984
1368,144.27,26624,13,19,-147.10232797,0.2,176.992919921875,0.0059844656,0.0003,120,562.6639172077179,-1.2122718449681997,0.05986328125,-0.007149645476602018,0.14199072122573853
1363,151.28,28672,14,21,-147.2359858,0.2,182.5227508544922,0.012488844,0.0003,130,387.53524374961853,-1.2066166512668133,0.121875,-0.011340666744217742,0.15562689304351807
1348,159.02,30720,15,22,-146.67589190999996,0.2,170.80091857910156,0.012605278,0.0003,140,351.6079176425934,-1.1589260920882225,0.109326171875,-0.011399711947888136,0.11388123035430908
1295,174.62,32768,16,25,-142.90605999,0.2,143.1730499267578,0.011051672,0.0003,150,389.8346188545227,-1.128814285248518,0.06181640625,-0.007392349863948766,0.10020869970321655
1284,183.51,34816,17,27,-136.82954041,0.2,158.7268524169922,0.008906405,0.0003,160,226.3542917251587,-1.178976146504283,0.07255859375,-0.005549242155393585,0.12843072414398193
1270,192.69,36864,18,29,-138.30330206,0.2,324.423828125,0.009889754,0.0003,170,408.9499198436737,-1.0569277036935092,0.07744140625,-0.007340043487783987,0.07337313890457153
1265,201.13,38912,19,30,-136.64590923000003,0.2,268.2891845703125,0.008382784,0.0003,180,718.0888165473938,-1.0969716172665358,0.0185546875,-0.004261751897865906,0.2226088047027588
1231,205.67,40960,20,33,-133.70265673,0.2,274.2504577636719,0.006524216,0.0003,190,383.209531211853,-1.0993514716625215,0.027880859375,-0.005320309345552232,0.2995203733444214
1201,220.92,43008,21,35,-130.35439418,0.2,103.72431182861328,0.005914765,0.0003,200,259.01106951236727,-1.1219695415347815,0.032421875,-0.006791324984806124,0.3015797734260559
1188,227.67,45056,22,37,-125.40109776,0.2,158.8132781982422,0.005527651,0.0003,210,369.7148600101471,-1.0482156042009592,0.035498046875,-0.006329700726200827,0.22981148958206177
1178,239.07,47104,23,39,-123.20002244999998,0.2,75.07571411132812,0.010254063,0.0003,220,236.6632543325424,-1.0712404252961278,0.048828125,-0.0040404145067441275,0.5120279788970947
1169,247.37,49152,24,42,-126.18481656000002,0.2,128.14723205566406,0.005869781,0.0003,230,322.1657428264618,-1.0334426948800683,0.0369140625,-0.005269866820890456,0.3707818388938904
1110,266.43,51200,25,46,-119.94621114,0.2,139.82235717773438,0.005726884,0.0003,240,283.87956442832945,-1.040237862057984,0.066552734375,-0.008145564323058352,0.4130796790122986
1089,275.75,53248,26,48,-115.82056402,0.2,43.060909271240234,0.008435561,0.0003,250,147.9431028008461,-1.179603609442711,0.094921875,-0.007768980981200002,0.4723730683326721
1072,288.08,55296,27,51,-115.1253339,0.2,68.35575103759766,0.009117269,0.0003,260,146.8504173517227,-1.0862625133246184,0.08173828125,-0.0070745957731560335,0.5992565751075745
1046,304.75,57344,28,54,-111.1489108,0.2,126.04802703857422,0.0075858254,0.0003,270,169.58062742948533,-1.0589390572160482,0.067578125,-0.006414109212346375,0.48742538690567017
1025,321.56,59392,29,57,-106.96769171999999,0.2,15.099679946899414,0.007890925,0.0003,280,80.03341025710105,-1.0123178508132695,0.07646484375,-0.007595298060914501,0.7951408475637436
998,338.18,61440,30,61,-102.67244159999998,0.2,122.37667083740234,0.009361222,0.0003,290,143.7790657669306,-0.9492748230695724,0.079443359375,-0.006980088393902406,0.4759524464607239
