time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
11,133.55,19,22528,1137,-135.23667668,225.8451690673828,-4.971027374267578e-05,0.132666015625,-0.010039311389846262,100,0.013478432,517.1218523025512,0.0003,0.2,-1.1766024429351092
12,147.88,22,24576,1077,-133.78836878999996,130.6507568359375,0.0007889270782470703,0.03515625,-0.0076209761005884506,110,0.0038375198,366.1902976036072,0.0003,0.2,-1.1519331652671099
13,161.38,25,26624,1042,-129.91649927,65.2656478881836,0.02073568105697632,0.004833984375,-0.0031790299428394063,120,0.004031003,266.8574373483658,0.0003,0.2,-1.2047424886375666
14,173.68,28,28672,1015,-122.44385214,143.60638427734375,-0.013157129287719727,0.00595703125,-0.006299132323329104,130,0.0053339284,330.3306135892868,0.0003,0.2,-1.182609162852168
15,184.06,30,30720,994,-122.01301947999998,231.36984252929688,-0.1452486515045166,0.000146484375,-0.0024477094564645087,140,0.000931084,523.7430329799652,0.0003,0.2,-1.1501274101436139
16,198.24,33,32768,970,-120.26162105999998,37.18288803100586,0.22013145685195923,0.01953125,-0.005075496582867345,150,0.005682111,285.63071357011796,0.0003,0.2,-1.1038446202874184
17,208.01,35,34816,974,-116.62798637999998,111.04359436035156,0.17919623851776123,0.0,-0.0011215712373086717,160,0.0016624834,277.5278920888901,0.0003,0.2,-1.1461345318704843
18,218.81,37,36864,980,-117.56237987,174.66737365722656,0.19513815641403198,0.017236328125,-0.003603945390204899,170,0.007351579,556.2089464187623,0.0003,0.2,-1.106764118373394
19,230.33,40,38912,964,-114.40395376000002,396.98529052734375,0.2425937056541443,4.8828125e-05,-0.0019188468759239186,180,0.0015391603,604.343026638031,0.0003,0.2,-1.0874757159501314
20,242.89,42,40960,953,-111.1371294,74.52142333984375,0.5684639811515808,0.015380859375,-0.005837250906188274,190,0.0044650314,145.47287528514863,0.0003,0.2,-1.1775582376867533
21,255.54,45,43008,947,-110.80425813000002,129.2361297607422,0.38872283697128296,0.034716796875,-0.008967482518346514,200,0.0075035915,332.8829328536987,0.0003,0.2,-1.174475407600403
22,264.9,48,45056,921,-109.24490546000001,73.99939727783203,0.4822272062301636,0.02333984375,-0.004299337427073624,210,0.0060788924,242.43054609298707,0.0003,0.2,-1.1035502087324858
23,278.72,51,47104,922,-107.97787362999998,51.205650329589844,0.5741657614707947,0.0953125,-0.005938879754103255,220,0.0097906785,134.12228120565413,0.0003,0.2,-1.1481442157179118
24,288.1,53,49152,926,-107.40705619999999,233.67767333984375,0.4983104467391968,0.04296875,-0.0053807808537385425,230,0.0061802,271.5728212594986,0.0003,0.2,-1.0849467411637306
25,299.83,55,51200,918,-104.0186036,88.74862670898438,0.45591580867767334,0.018359375,-0.006706628356914735,240,0.004618874,300.94692850112915,0.0003,0.2,-1.0690204992890358
26,301.46,58,53248,902,-102.79113425,64.99188995361328,0.6172149479389191,0.099609375,-0.009586526814382523,250,0.008513427,205.79436708688735,0.0003,0.2,-1.156178155913949
27,317.18,62,55296,879,-100.62843495000003,36.494285583496094,0.6296854317188263,0.021240234375,-0.005246550295851193,260,0.0065240366,194.852212369442,0.0003,0.2,-1.1441179525107146
28,319.66,65,57344,873,-100.05350766,19.27793312072754,0.7574985921382904,0.091796875,-0.01056076837994624,270,0.010285867,69.02156600356102,0.0003,0.2,-1.2352314583957196
29,329.33,68,59392,865,-99.49466792999998,44.7181510925293,0.5733469426631927,0.020361328125,-0.0042948629554302896,280,0.003981458,181.0878100156784,0.0003,0.2,-1.1192525517195464
30,352.23,72,61440,847,-96.45540146000002,50.34146499633789,0.7453874945640564,0.076220703125,-0.006624872457177844,290,0.009249905,114.33655735850334,0.0003,0.2,-1.1622479856014252
31,353.2,75,63488,835,-99.33315581,22.215164184570312,0.6080787777900696,0.05478515625,-0.004839210682257544,300,0.0056051817,126.61059472560882,0.0003,0.2,-1.144789882004261
32,368.66,79,65536,824,-92.64477945,15.141849517822266,0.7664480656385422,0.07529296875,-0.009099843043804868,310,0.009727517,92.92398718595504,0.0003,0.2,-1.18787395991385
33,373.28,82,67584,822,-95.69146582999998,404.661376953125,0.6407995223999023,0.09501953125,-0.010391849880397786,320,0.014594513,142.4911239027977,0.0003,0.2,-1.1255855061113835
34,383.64,85,69632,811,-94.44573936,73.14183044433594,0.6283956468105316,0.034326171875,-0.006582108109432739,330,0.0049732197,180.01162394285203,0.0003,0.2,-1.050818793848157
35,399.97,89,71680,802,-90.58369447000001,19.380353927612305,0.7882380932569504,0.14296875,-0.006186198411887745,340,0.0137430485,67.28105592131615,0.0003,0.2,-1.0791518326848746
36,418.0,92,73728,798,-88.56922681999998,13.651756286621094,0.8221276998519897,0.061376953125,-0.006895378483022796,350,0.008743269,65.73323672115802,0.0003,0.2,-1.0902375791221857
37,424.57,95,75776,789,-86.30929956999998,28.14097023010254,0.8473691940307617,0.01005859375,-0.0019031588817597367,360,0.003559634,88.44674515128136,0.0003,0.2,-1.0536836441606283
38,434.99,98,77824,789,-85.57264026000001,5.237911224365234,0.8686089217662811,0.12421875,-0.005036974513495806,370,0.010707233,45.02373842149973,0.0003,0.2,-0.9876679362729192
39,452.32,101,79872,784,-81.73393512,36.43124008178711,0.6122453212738037,0.00986328125,-0.002545364592879196,380,0.0028374926,124.98427430391311,0.0003,0.2,-0.9500311631709337
40,465.75,105,81920,779,-79.86598750000002,5.040058135986328,0.7929060757160187,0.1193359375,-0.006052094055485213,390,0.010533189,76.45070713907481,0.0003,0.2,-0.9400224024429917
41,476.63,108,83968,773,-80.69921176000001,17.411930084228516,0.8266030102968216,0.087255859375,-0.0046172208938514816,400,0.010429433,135.75934945344926,0.0003,0.2,-0.9200130261480808
42,488.38,112,86016,766,-75.28644186000001,45.60793685913086,0.8382718414068222,0.025830078125,-0.006060424965835409,410,0.004317692,94.98172176480293,0.0003,0.2,-0.9775100285187364
43,496.58,116,88064,757,-74.27631946000001,30.529090881347656,0.7270443141460419,0.053564453125,-0.004586975242273183,420,0.0071190577,170.72247670590878,0.0003,0.2,-0.9168415000662208
44,512.61,119,90112,756,-71.35950259,6.505828857421875,0.8991127982735634,0.0615234375,-0.003720149029686581,430,0.006051871,33.01485506296158,0.0003,0.2,-0.9399896601215005
45,522.53,122,92160,752,-70.10720676999999,9.05743408203125,0.8089757114648819,0.018212890625,-0.0021610035124467685,440,0.0022242162,85.39496809840202,0.0003,0.2,-0.9067331209778786
46,532.39,125,94208,752,-68.57978969999999,69.64716339111328,0.8286928236484528,0.095361328125,-0.00539428694974049,450,0.010391731,74.13968781083823,0.0003,0.2,-0.9101508278399706
47,536.42,128,96256,749,-62.213042709999996,17.144826889038086,0.740067183971405,0.077392578125,-0.006610867322888225,460,0.011664609,114.95354414880276,0.0003,0.2,-0.7790203584358096
48,555.68,131,98304,745,-52.917049300000016,21.257150650024414,0.5458788573741913,0.060498046875,-0.004894779234746238,470,0.006885913,180.14606726169586,0.0003,0.2,-0.7298529734835029
49,549.58,133,100352,748,-51.24016578,113.25345611572266,0.41470110416412354,0.0640625,-0.008805882091110107,480,0.0203116,204.91067715883256,0.0003,0.2,-0.776577796600759
50,561.1,136,102400,751,-45.50299701000001,68.40196228027344,0.4185284376144409,0.01591796875,-0.0040597092789539605,490,0.004525692,367.56740350723265,0.0003,0.2,-0.9276075828820467
51,571.83,138,104448,752,-37.58071498000001,44.26597213745117,0.5503179132938385,0.0275390625,-0.005005440143577289,500,0.0047808206,217.39851617217064,0.0003,0.2,-0.82071627471596
52,574.57,141,106496,754,-37.07648733,54.65969467163086,0.45657628774642944,0.040625,-0.0018738144957751502,510,0.0037393484,207.74310297966002,0.0003,0.2,-0.8315394436940551
53,589.58,143,108544,755,-35.171049360000005,84.13356018066406,0.5745263695716858,0.02158203125,-0.005185841224010801,520,0.0047693993,217.89537900686264,0.0003,0.2,-0.8623769376426935
54,589.9,146,110592,756,-29.676770670000007,94.28475952148438,0.7918069660663605,0.037451171875,-0.004997821168217342,530,0.004543865,175.96004192233084,0.0003,0.2,-0.8253589175641537
55,595.14,149,112640,754,-29.291527570000007,131.050537109375,0.6376045048236847,0.01904296875,-0.003825996302475687,540,0.004091265,301.3324934363365,0.0003,0.2,-0.8465434825047851
56,594.29,152,114688,752,-25.521153970000004,44.72695541381836,0.8054045289754868,0.03662109375,-0.0052217050404578915,550,0.002975667,110.62917225658893,0.0003,0.2,-0.8808002287521959
57,596.84,155,116736,753,-26.3233995,125.99837493896484,0.5133407413959503,0.036572265625,-0.005039424433925887,560,0.0065303314,227.75036586523055,0.0003,0.2,-0.762488087080419
58,596.35,157,118784,753,-24.742832000000003,41.49557113647461,0.7533363401889801,0.02490234375,-0.0033654263548669404,570,0.004378703,136.37251629829407,0.0003,0.2,-0.9740179222077131
59,592.49,161,120832,749,-22.604942129999998,67.92344665527344,0.725030779838562,0.075732421875,-0.00564059729440487,580,0.0063589686,182.0046927034855,0.0003,0.2,-0.8754709389060735
60,588.8,164,122880,748,-22.29068023,33.44937515258789,0.672343373298645,0.039306640625,-0.0023208562255604193,590,0.006238363,154.24372219741343,0.0003,0.2,-0.6906264634802938
61,589.25,167,124928,747,-15.78199719,18.823232650756836,0.8008145391941071,0.04853515625,-0.004394357472483535,600,0.0057420153,106.05383742153644,0.0003,0.2,-0.9108202399685978
62,598.85,170,126976,745,-8.850837210000003,211.2015838623047,0.6718735992908478,0.1150390625,-0.003740960660070414,610,0.009471068,169.70338107943536,0.0003,0.2,-0.8824678380042315
63,588.62,173,129024,745,-7.568527690000001,36.054073333740234,0.5882697403430939,0.0791015625,-0.004481968669279013,620,0.009582645,138.4223777860403,0.0003,0.2,-0.8268802976235747
64,582.6,175,131072,744,-5.40920814,119.4332046508789,0.6907166242599487,0.06708984375,-0.0030254543460614515,630,0.006693016,202.17549246549606,0.0003,0.2,-0.8279079811647534
65,555.55,178,133120,746,-11.83975956,116.54560852050781,0.7977840006351471,0.050537109375,-0.004857213106151903,640,0.005801037,165.54368469715118,0.0003,0.2,-0.9143795173615217
66,543.97,180,135168,746,-9.14236575,34.93186950683594,0.7926977723836899,0.06318359375,-0.005037170356081333,650,0.007504302,171.51534703969955,0.0003,0.2,-0.8926311673596501
67,536.32,183,137216,746,-9.134253219999998,90.7209701538086,0.613834023475647,0.03125,-0.0025794621604291025,660,0.00467519,332.01728241443635,0.0003,0.2,-0.6160325820557773
68,534.9,186,139264,746,-7.286269719999999,97.86933898925781,0.8063682317733765,0.070068359375,-0.008440647002134937,670,0.006219552,162.5466886997223,0.0003,0.2,-0.8846225656569005
69,521.02,189,141312,745,-8.02518512,203.3479766845703,0.658121258020401,0.03447265625,-0.005001785513013601,680,0.005272476,173.81239166259766,0.0003,0.2,-0.8316418759524822
70,526.69,192,143360,743,-6.839538360000001,221.7535858154297,0.8002386838197708,0.07509765625,-0.005423607074772008,690,0.010233505,121.91606996953487,0.0003,0.2,-0.8096671745181083
71,532.51,196,145408,738,-5.542819150000001,5.682176113128662,0.9130979850888252,0.13681640625,-0.0061031237419229,700,0.011135831,24.09224489927292,0.0003,0.2,-0.9541202561929822
72,537.13,200,147456,735,-6.715092620000002,4.125596046447754,0.9255750328302383,0.0943359375,-0.007096349938365165,710,0.008231511,15.793136315792799,0.0003,0.2,-1.0027989804744721
73,542.13,204,149504,731,-7.86062816,4.545607089996338,0.8355351835489273,0.07705078125,-0.005193361040437594,720,0.006797216,33.39411392658949,0.0003,0.2,-0.9894378919154405
74,545.59,207,151552,729,-7.899656099999999,3.2781474590301514,0.8989042565226555,0.1294921875,-0.00837754096428398,730,0.009826333,23.438387341797352,0.0003,0.2,-1.0441320821642877
75,553.13,211,153600,725,-9.947180079999999,61.173648834228516,0.6264589726924896,0.01884765625,-0.002543924049678026,740,0.0034558997,106.25991714596748,0.0003,0.2,-0.8132109457626939
76,558.19,214,155648,725,-8.923036380000001,7.136145114898682,0.6048096120357513,0.06083984375,-0.002423230151180178,750,0.008062774,85.077048830688,0.0003,0.2,-0.7723982563242316
77,571.76,217,157696,725,-3.7249402100000033,10.419233322143555,0.495164155960083,0.03330078125,-0.0018237661472085165,760,0.0035067904,116.31133463382722,0.0003,0.2,-0.7653166394680738
78,572.85,220,159744,725,-6.923922590000002,21.60755729675293,0.5329979956150055,0.0494140625,-0.0045393207830784375,770,0.0076854327,140.1988502562046,0.0003,0.2,-0.838248192332685
79,579.01,223,161792,724,-5.776360030000003,47.34537887573242,0.643422931432724,0.01611328125,-0.0030295855998701882,780,0.004339271,170.49645609259605,0.0003,0.2,-0.805853021889925
80,580.21,226,163840,723,-0.7786406900000017,144.941650390625,0.6092081964015961,0.0228515625,-0.0035908476951590274,790,0.0044984613,142.4165872901678,0.0003,0.2,-0.8642439525574446
81,587.4,230,165888,719,4.276080409999998,32.43994903564453,0.5722729861736298,0.08076171875,-0.004619436808570754,800,0.007011577,103.19330885112285,0.0003,0.2,-0.7599135814234614
82,597.13,233,167936,719,10.31633,6.460208415985107,0.649806946516037,0.05322265625,-0.006337447871192126,810,0.005185136,76.11295152008533,0.0003,0.2,-0.753016391210258
83,605.78,236,169984,719,9.78269795,18.908992767333984,0.5630992650985718,0.071875,-0.0015326948807341978,820,0.009584081,84.86771095097065,0.0003,0.2,-0.8016788525506854
84,607.73,239,172032,718,8.91289285,54.92551040649414,0.5205894112586975,0.066259765625,-0.005200780768427648,830,0.012299377,151.15724363923073,0.0003,0.2,-0.7474411949515343
85,604.41,242,174080,718,12.090612500000002,57.22550582885742,0.690779834985733,0.0341796875,-0.0007089682861987967,840,0.004821865,118.75039158463478,0.0003,0.2,-0.8262971322983503
86,602.26,245,176128,716,12.842593620000004,61.29821014404297,0.5225426256656647,0.047900390625,-0.004021977995580528,850,0.008111106,152.60699982643126,0.0003,0.2,-0.7360111057758332
87,609.15,248,178176,716,21.029501460000002,20.75981903076172,0.5805945098400116,0.02939453125,-0.004958642318524653,860,0.0037315572,140.76474553346634,0.0003,0.2,-0.840597472153604
88,611.14,251,180224,716,21.930970399999996,44.396141052246094,0.6164782643318176,0.01884765625,-0.003420207108865725,870,0.002934225,148.34999105334282,0.0003,0.2,-0.7509739911183715
89,601.5,254,182272,715,25.6770614,70.3278579711914,0.6030381321907043,0.04677734375,-0.0047040333822224055,880,0.006225155,185.09043728709221,0.0003,0.2,-0.7891570188105106
90,608.03,257,184320,715,26.230440669999997,391.4559020996094,0.7318856418132782,0.07607421875,-0.003320182098832447,890,0.007084044,100.62669481039048,0.0003,0.2,-0.8035971915349365
91,608.14,260,186368,714,25.491906120000003,27.92861557006836,0.8224395960569382,0.061376953125,-0.0020923066873365314,900,0.0064116567,96.67173684835434,0.0003,0.2,-0.7992411928251386
92,607.62,263,188416,715,26.15864005,55.160072326660156,0.6166121959686279,0.128173828125,-0.007608749010978499,910,0.003608763,185.1966921567917,0.0003,0.2,-0.8543598555028439
93,611.54,265,190464,716,32.653146109999994,15.481600761413574,0.7995826750993729,0.070458984375,-0.002956281604565447,920,0.007553123,87.39007095396519,0.0003,0.2,-0.8555489983409643
94,609.94,268,192512,716,38.77932535,285.56982421875,0.5660267472267151,0.07939453125,-0.004849921237473609,930,0.009065815,154.02008433043957,0.0003,0.2,-0.8126224290579558
95,618.07,271,194560,717,44.49807725000001,21.065427780151367,0.7173804640769958,0.077685546875,-0.003678728455270175,940,0.008783952,110.60252329707146,0.0003,0.2,-0.8097940936684609
96,619.22,273,196608,717,46.747581090000004,22.387874603271484,0.6774861812591553,0.097265625,-0.005948359255125979,950,0.024321984,96.46938874721528,0.0003,0.2,-0.7248511774465441
97,617.4,276,198656,718,55.27324642999999,25.671890258789062,0.701452374458313,0.043603515625,-0.003269961189653259,960,0.0038113045,96.11788928210736,0.0003,0.2,-0.7344558024778962
98,619.09,279,200704,719,57.20612564,13.112581253051758,0.8298675119876862,0.059228515625,-0.003706049745233031,970,0.006107356,97.7119546353817,0.0003,0.2,-0.7289216168224811
99,608.98,281,202752,720,57.20551544,7.060391902923584,0.7467467188835144,0.05693359375,-0.0042815760411031075,980,0.006187016,58.300598273426296,0.0003,0.2,-0.6376143017783761
100,580.72,283,204800,721,62.833358069999996,7.50675106048584,0.6796454191207886,0.072119140625,-0.005118399591447087,990,0.004990233,148.42655340582132,0.0003,0.2,-0.7538409549742937
101,555.85,286,206848,723,63.91473204000001,12.035995483398438,0.7156107723712921,0.040478515625,-0.00262990738156077,1000,0.00576281,106.7142464056611,0.0003,0.2,-0.7431323295459151
102,539.02,288,208896,723,66.54214624000001,12.984542846679688,0.5452223718166351,0.0833984375,-0.004436691862792941,1010,0.0040202085,164.78769611120225,0.0003,0.2,-0.8084283314645291
103,532.44,291,210944,723,67.83392601,9.645658493041992,0.7167832851409912,0.049951171875,-0.004760820039518876,1020,0.011748359,107.66055244207382,0.0003,0.2,-0.7555812068283558
104,531.05,293,212992,724,72.92011432999999,13.097415924072266,0.5983092486858368,0.02802734375,-0.004272473411401734,1030,0.004413408,114.46422074437142,0.0003,0.2,-0.656798325292766
105,527.44,296,215040,724,72.39152443,11.555529594421387,0.6223978400230408,0.033740234375,-0.0011620467266766354,1040,0.003208092,109.77695991694927,0.0003,0.2,-0.6807421823963523
106,524.15,299,217088,725,73.98410885,324.928955078125,0.7011847198009491,0.046728515625,-0.005216498246591072,1050,0.005167331,104.14364702701569,0.0003,0.2,-0.7357381392270327
107,520.04,301,219136,725,74.58747442999999,61.02153778076172,0.4975224733352661,0.088671875,-0.007191381946904584,1060,0.011642488,138.4047702342272,0.0003,0.2,-0.6378193732351065
108,514.73,304,221184,725,72.13681367000001,22.072420120239258,0.5759336650371552,0.06083984375,-0.002707861189628602,1070,0.010050714,65.34337544292211,0.0003,0.2,-0.7389902675524354
109,514.88,307,223232,725,78.49227568,17.480358123779297,0.526454508304596,0.07197265625,-0.004153145523014245,1080,0.0073400177,111.17677606195211,0.0003,0.2,-0.653974630869925
110,518.42,311,225280,724,78.78144778,7.59807014465332,0.6522294878959656,0.037890625,-0.0036039734681253322,1090,0.003189623,101.02711094319821,0.0003,0.2,-0.6401162942871451
111,518.88,313,227328,724,80.95954451,76.71489715576172,0.484737753868103,0.10302734375,-0.007865962717914954,1100,0.008022757,93.251866543293,0.0003,0.2,-0.6663043145090342
112,510.8,316,229376,725,81.03235918000001,162.89910888671875,0.6046234667301178,0.052587890625,-0.0019008537106856237,1110,0.006006133,137.434229940176,0.0003,0.2,-0.6627285374328494
113,502.0,318,231424,726,80.62517718999999,14.22952651977539,0.5985530614852905,0.072705078125,-0.003806381350295851,1120,0.008345611,121.37528676986695,0.0003,0.2,-0.73847626298666
114,492.38,321,233472,726,78.77577799,99.89909362792969,0.5823143422603607,0.044873046875,-0.0033523042548040394,1130,0.004343169,176.26424931287767,0.0003,0.2,-0.6664750443771481
115,490.96,324,235520,726,78.99639862,229.03001403808594,0.5703102946281433,0.059423828125,-0.0030317184224259107,1140,0.0043157088,152.72808347940446,0.0003,0.2,-0.6582832746207714
116,484.24,326,237568,726,77.56277136,57.2668342590332,0.5965033173561096,0.057958984375,-0.005954967514117016,1150,0.0073369634,179.1942325592041,0.0003,0.2,-0.7388387581333518
117,483.65,329,239616,727,77.41178633999998,165.0583038330078,0.6622534692287445,0.067431640625,-0.00159353174676653,1160,0.0040248428,161.04872125983238,0.0003,0.2,-0.786698430031538
118,480.97,331,241664,728,77.9195309,28.15313148498535,0.6639414131641388,0.031591796875,-0.001608211726124864,1170,0.004855458,140.45930863022804,0.0003,0.2,-0.7087081162258982
119,479.09,334,243712,728,77.01465515000001,4.102877140045166,0.6596403419971466,0.07080078125,-0.0034475673324777744,1180,0.012011141,130.17863310575484,0.0003,0.2,-0.7180220015347004
120,480.19,336,245760,729,77.05912719000001,255.62570190429688,0.7443006932735443,0.065185546875,-0.006133396243239986,1190,0.007501572,78.24263736009598,0.0003,0.2,-0.7908754186704755
121,481.85,339,247808,730,77.70765919,29.899856567382812,0.7350696921348572,0.039306640625,-0.0008223610944696702,1200,0.0046900855,92.27806285321712,0.0003,0.2,-0.6716046992689371
122,474.19,341,249856,730,78.41494723000001,41.632606506347656,0.662754476070404,0.058544921875,-0.003102079873497132,1210,0.0051001557,107.37532251179218,0.0003,0.2,-0.741066082753241
123,479.22,344,251904,731,80.15092047000002,184.98109436035156,0.6788745522499084,0.09599609375,-0.0031864761003816966,1220,0.004292132,88.82021553590894,0.0003,0.2,-0.782526252605021
1,430.25,1,2048,1126,-192.15441525,15.985373497009277,0.7078972458839417,0.087646484375,-0.0028054794456693344,1230,0.012756448,81.91814765036106,0.0003,0.2,-0.625457936245948
2,402.4,4,4096,909,-245.1230949,6.00719690322876,0.604533851146698,0.064404296875,-0.0012053523663780653,1240,0.0050707744,142.30875096023084,0.0003,0.2,-0.7331837089732289
3,464.2307692307692,6,6144,894,-252.48519392307693,73.99657440185547,0.6161980032920837,0.048486328125,-0.001317485180334188,1250,0.00557677,274.50062972903254,0.0003,0.2,-0.7590579884126782
4,444.72222222222223,9,8192,871,-265.982366,115.20884704589844,0.6953973174095154,0.082763671875,-0.0031365328170068095,1260,0.01128675,110.55048103928566,0.0003,0.2,-0.6141087153926492
5,436.0,12,10240,850,-259.5644537391304,177.39268493652344,0.6509729325771332,0.047314453125,-0.0029286675759067292,1270,0.006272933,218.90964266061783,0.0003,0.2,-0.6819171193987131
6,417.82758620689657,14,12288,859,-257.6519644827586,18.808013916015625,0.8130617141723633,0.101953125,-0.0033359523346007335,1280,0.008133927,115.43347788751126,0.0003,0.2,-0.7879534933716059
7,406.9142857142857,16,14336,847,-257.44226085714286,21.108156204223633,0.6149899959564209,0.084619140625,-0.003941861340717878,1290,0.008142653,215.5543999016285,0.0003,0.2,-0.7631157454103231
8,405.925,19,16384,841,-254.82258510000003,83.24591064453125,0.7719115018844604,0.1087890625,-0.002853354613398551,1300,0.011017637,214.92209548801185,0.0003,0.2,-0.7831456866115332
9,404.44444444444446,21,18432,840,-253.13220455555555,12.389904975891113,0.866068109869957,0.073876953125,-0.004620385728048859,1310,0.0066963015,146.48028587996959,0.0003,0.2,-0.6926484350115061
10,405.46,24,20480,842,-248.67654421999998,121.83526611328125,0.8365698009729385,0.044921875,-0.0011905546736670658,1320,0.006631184,194.38738677501678,0.0003,0.2,-0.726966942101717
11,412.98148148148147,26,22528,848,-250.02140162962962,13.888116836547852,0.8842496052384377,0.062158203125,-0.0030971350803156382,1330,0.0042606285,121.98555799126625,0.0003,0.2,-0.6841501845046878
12,425.87719298245617,29,24576,825,-255.46863114035088,64.07498168945312,0.8899530321359634,0.111962890625,-0.006223239599057706,1340,0.009005454,116.25669326335192,0.0003,0.2,-0.7110468128696084
13,426.11290322580646,32,26624,829,-259.07277503225805,17.0811710357666,0.9155288338661194,0.0767578125,-0.005472071993426653,1350,0.0074982075,73.57049423754215,0.0003,0.2,-0.6446640809997917
14,432.6666666666667,34,28672,827,-268.1950513181818,160.03695678710938,0.6527336239814758,0.031005859375,-0.0046208129475417085,1360,0.0037906887,263.18885786533355,0.0003,0.2,-0.6845718400552869
15,432.056338028169,37,30720,822,-261.58981960563386,75.81246185302734,0.7568062394857407,0.043212890625,-0.003651406630524434,1370,0.005987302,166.1504833459854,0.0003,0.2,-0.6983007341623306
16,440.5810810810811,39,32768,819,-265.600936445946,10.250326156616211,0.8512901961803436,0.038818359375,-0.0020557345691486263,1380,0.0044821547,148.7750377178192,0.0003,0.2,-0.6709258848801255
17,446.83116883116884,42,34816,815,-264.31408898701306,161.83428955078125,0.7087789475917816,0.21181640625,-0.008109010173211573,1390,0.03138321,152.75183938741685,0.0003,0.2,-0.6335723300464451
18,452.9753086419753,45,36864,809,-261.99107482716045,66.53962707519531,0.7512171864509583,0.137744140625,-0.004241162050311687,1400,0.011808422,120.86950163692237,0.0003,0.2,-0.6712663862854242
19,459.2261904761905,48,38912,810,-264.8563538809523,61.17515182495117,0.8179480135440826,0.0927734375,-0.0008414070867729606,1410,0.01141784,134.2602976128459,0.0003,0.2,-0.6714691270142794
20,463.42045454545456,50,40960,812,-264.09019560227273,80.4100570678711,0.6566658318042755,0.06455078125,-0.005513462567614624,1420,0.010574238,150.01758813858032,0.0003,0.2,-0.6686605833470821
21,458.5698924731183,52,43008,816,-261.51781487096775,18.7747745513916,0.8881430998444557,0.070361328125,-0.001621548566618003,1430,0.007923527,104.83072040975094,0.0003,0.2,-0.6840248309075833
22,457.4387755102041,55,45056,815,-262.96967555102043,13.434475898742676,0.8706146776676178,0.030859375,-0.0010249981485685566,1440,0.0027724032,137.7144917100668,0.0003,0.2,-0.7214768325909973
23,461.38,57,47104,818,-262.49745951,44.779911041259766,0.8463239371776581,0.050732421875,-0.002330530105245998,1450,0.004666182,203.7957691848278,0.0003,0.2,-0.6328369161114097
24,463.76,60,49152,815,-266.80225820000004,159.3141632080078,0.8635009527206421,0.04794921875,-0.002534244256094098,1460,0.0053328667,156.17395608425142,0.0003,0.2,-0.6747062661685049
25,469.45,63,51200,804,-263.29519361,19.561141967773438,0.911627858877182,0.05224609375,0.0005074842920294032,1470,0.0050032986,108.09587283805013,0.0003,0.2,-0.6710260886698961
26,471.89,66,53248,804,-264.15095128999997,2.710036277770996,0.9176780954003334,0.08671875,3.279917509644292e-05,1480,0.006899073,54.34619188308716,0.0003,0.2,-0.7636110482737422
27,477.27,69,55296,801,-258.34678312,13.756196022033691,0.8760440945625305,0.071728515625,2.6371527201263235e-05,1490,0.0040418273,93.58614996522665,0.0003,0.2,-0.5841361784376204
28,484.71,71,57344,804,-265.50887654,92.11579895019531,0.9366465955972672,0.048681640625,-0.0016761819751991425,1500,0.0037096732,67.21363131850958,0.0003,0.2,-0.6254586113616825
