rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate
-154.26892113636364,2048,0,1,2321,90.68181818181819,,,,,,,,,,
-163.43855847826083,4096,2,2,1729,87.71739130434783,782.554931640625,0.0060750423,10,-0.005486989897326567,0.2,0.019384765625,0.002290785312652588,2228.114781951904,-1.3832041796296835,0.0003
-162.3760019402985,6144,3,3,1551,89.50746268656717,440.46234130859375,0.00915343,20,-0.008082584507064894,0.2,0.039453125,-0.009152650833129883,918.7037188529969,-1.3777065541595221,0.0003
-158.48377886516855,8192,5,4,1457,91.15730337078652,514.0582885742188,0.0081830155,30,-0.011200215465942165,0.2,0.076123046875,-0.004183530807495117,754.021379184723,-1.3627680409699678,0.0003
-161.15750778,10240,7,5,1407,94.58,325.8393249511719,0.007259526,40,-0.006886058957024943,0.2,0.02705078125,-0.009215950965881348,673.2845965385437,-1.3388881657272578,0.0003
-164.39467464,12288,8,6,1381,96.8,300.7010498046875,0.011031702,50,-0.006796782021410763,0.2,0.077490234375,0.0005154609680175781,584.4086857795716,-1.321533589065075,0.0003
-160.16843741,14336,10,7,1362,100.59,156.4881134033203,0.01153677,60,-0.012571562822267878,0.2,0.07001953125,-0.1797623634338379,550.6369944095611,-1.3205151494592429,0.0003
-158.8589902,16384,12,8,1354,101.47,192.64630126953125,0.010731851,70,-0.009708750893332762,0.2,0.21044921875,-0.00814807415008545,376.8897306919098,-1.2409065969288349,0.0003
-154.33535836,18432,13,9,1349,106.33,612.324462890625,0.007500794,80,-0.007088001265947242,0.2,0.085400390625,-0.0042198896408081055,880.0997073173523,-1.2344032503664493,0.0003
-151.79276681000002,20480,15,10,1350,109.23,547.0289306640625,0.012820184,90,-0.009451882987923455,0.2,0.10234375,-0.0006442070007324219,736.02362575531,-1.221815537661314,0.0003
-145.14917389000001,22528,16,11,1349,110.95,611.9990234375,0.006271574,100,-0.004022381560207578,0.2,0.017919921875,-0.00043451786041259766,514.8395354747772,-1.2203691825270653,0.0003
-141.19010424,24576,18,12,1347,115.32,372.5545349121094,0.0076096863,110,-0.009621527818671894,0.2,0.12509765625,-3.170967102050781e-05,468.55153646469114,-1.155551890283823,0.0003
-137.93119159000003,26624,20,13,1330,120.91,210.3217010498047,0.008299655,120,-0.00636080536787631,0.2,0.03544921875,-0.0002943277359008789,625.0418624401093,-1.1276943523436784,0.0003
-133.21252214000003,28672,23,14,1239,140.23,378.6806640625,0.008160992,130,-0.007135738278157078,0.2,0.057177734375,7.224082946777344e-05,483.4529203414917,-1.173207024484873,0.0003
-124.99122351000001,30720,25,15,1220,154.12,70.54852294921875,0.007921766,140,-0.003919395348930266,0.2,0.030859375,0.0013437271118164062,238.3645686388016,-1.233576477319002,0.0003
-127.32809027000003,32768,27,16,1180,169.35,111.23011016845703,0.011712354,150,-0.0053757742171001155,0.2,0.052197265625,0.008669555187225342,324.8006067752838,-1.1786103643476964,0.0003
-122.62916368000002,34816,30,17,1155,184.36,36.67899703979492,0.011358754,160,-0.006661128637642832,0.2,0.0822265625,0.15498965978622437,193.31403321027756,-1.1503250259906053,0.0003
-120.57334317000004,36864,33,18,1104,194.93,48.6340217590332,0.00798553,170,-0.00769933339979616,0.2,0.02919921875,0.290773868560791,210.93046633005142,-1.1184051252901555,0.0003
-119.52503681999998,38912,35,19,1093,212.46,48.865901947021484,0.006397634,180,-0.006274982201284729,0.2,0.038134765625,0.4116430878639221,99.91530345678329,-1.1670244354754686,0.0003
-116.45713187,40960,38,20,1069,225.83,112.2802505493164,0.005784278,190,-0.006209622936148662,0.2,0.02138671875,0.2191287875175476,356.85687153339387,-1.032892843708396,0.0003
-114.17346315,43008,41,21,1033,245.88,125.08639526367188,0.0050972416,200,-0.005974668002454564,0.2,0.01875,0.3864092230796814,238.2557844877243,-1.0897064357995987,0.0003
-111.95933617,45056,43,22,1030,258.97,89.07584381103516,0.0067125466,210,-0.005341694375238149,0.2,0.046142578125,0.5911176800727844,116.27272021174431,-1.1299179147928953,0.0003
-109.54934445000002,47104,46,23,1016,275.06,61.14278030395508,0.0030776006,220,-0.004441951873013749,0.2,0.02734375,0.3971368670463562,208.57614426612855,-0.980511331744492,0.0003
-105.8472807,49152,49,24,992,287.42,17.551841735839844,0.010282394,230,-0.007639567735168384,0.2,0.124853515625,0.44849133491516113,161.2309606730938,-1.0480878012254835,0.0003
